//Input. Needs to be first e.g [I] replaced by click or tap,
Click,Klik
GameUIProfileAvatar25Name,Custom Avatar - Frankenabe
GameUIProfileAvatar25ShortName,Frankenabe Avatar
GameUIProfileAvatar25Description,"Frankenabes yndlingsord: ""Blooooooons"".  Samlerobjekt kan fås i begrænset tid!"
GameUIProfileAvatar26Name,Custom Avatar - Ulve-abe
GameUIProfileAvatar26ShortName,Ulve-abe Avatar
GameUIProfileAvatar26Description,"Den sejeste avatar på skolen, teenage Ulveabe er klart den cooleste. Samlerobjekt kan fås i begrænset tid!"
GameOverScreen,Spillet er forbi
TowerProjectileBananaFarmCandyCornName,Bananfarm slikmajs-ananer
TowerProjectileBananaFarmCandyCornShortName,Slikmajs fra farmen
TowerProjectileBananaFarmCandyCornDescription,"Bananer smager godt, men slikmajs-ananer smager endnu bedre. Samlerobjekt kan fås i begrænset tid!"
GameUIPowerSkinHalloweenFarmerName,Custom kraft - Bonden med leen
GameUIPowerSkinHalloweenFarmerShortName,Bonden med leen
GameUIPowerSkinHalloweenFarmerDescription,"Det ser sort ud for dine afgrøder,  og Bonden med leen er kommet for at indkræve din gæld. Samlerobjekt kan fås i begrænset tid!"
GameUIPowerSkinCoffinDropName,Custom kraft - Ligliste levering
GameUIPowerSkinCoffinDropShortName,Ligkiste levering
GameUIPowerSkinCoffinDropDescription,"Flagermus med en masse penge eksisterer faktisk, droner er SÅ gammeldags. Samlerobjekt kan fås i begrænset tid!"
GameUIMusicTrackMusicFiestaSynthwaveMixName,Jukebox: Fiesta Flamenco - Synthwave Mix
GameUIMusicTrackMusicFiestaSynthwaveMixShortName,Flamenco - Synthwave
GameUIMusicTrackMusicFiestaSynthwaveMixDescription,Dit yndlings Flamenco nummer i 80'er stil. Stort hår er valgfrit!
TowerProjectileMonkeyAceBonesName,Pilot-abe knogle-pile
TowerProjectileMonkeyAceBonesShortName,Pilot-abe knogle-pile
TowerProjectileMonkeyAceBonesDescription,Lad pilot-aber sende en ødelæggende regn af knogle-pile ned på banen. Samlerobjekt kan fås i begrænset tid!
TowerPetMonkeySubRubberDuckName,Abe-ubåd badeand
TowerPetMonkeySubRubberDuckShortName,Ubåds ande-kæledyr
TowerPetMonkeySubRubberDuckDescription,Rap rap i abe-ubåden! Nuttede badeænder til alle dine ubåde!
PlayerStatsNecroBloons,Genoplivne bloons
Achievement 102 Name,Tykke aber
Achievement 102 Description,Jeg kan bedst lide dem med kød på
Achievement 103 Name,Ed-brydere
Achievement 103 Description,Genopliv 250.000 bloons til at kæmpe på din side når du bruger åndemaner-troldmand
HiddenAchievementQuestionMarkString,???
Achievement 104 Name,Et liv på kanten
Achievement 104 Description,Vind et ikke-CHIMPS/uspringbart spil med kun 1 liv tilbage
Achievement 105 Name,Fræk Fredag
Achievement 105 Description,Brug alkymistens transformerende tonica-evner 100 gange
PlayerStatsTransformingTonics,Transformerende tonika brugt
Achievement 106 Name,Abe-fanklub
Achievement 106 Description,Opret en konto eller login hos Ninja Kiwi for at gemme dit spil
Total Transformation Ability,Total Transformation
Jungles Bounty Ability,Junglens skatte
Spirit of the Forest Ability,Skovens ånd
Ultraboost Ability,Ultraboost
Dark Knight Ability,Mørke-skifte
Dark Champion Ability,Mørke-skifte
Door Gunner Ability,Dørskytte
SearchText,Søg...
DartlingGunnerLockedIn,Målsøgning!
TowerEffectAllMonkeysPlacementUpgradesGhostsName,Spøgelses-placering og opgraderings-effekter
TowerEffectAllMonkeysPlacementUpgradesGhostsShortName,Spøgelsesopgraderings-effekt
TowerEffectAllMonkeysPlacementUpgradesGhostsDescription,Giv dine abetårne et overnaturligt pift og opgrader til den nye spøgelses-effekt.
BloonsAllBloonsPopsBonesName,Knogle-brag effekt
BloonsAllBloonsPopsBonesShortName,Knogle-brag effekt
BloonsAllBloonsPopsBonesDescription,Er der knogler i bloons? Bloonatomister er nysgerrige!  Samlerobjekt kan fås i begrænset tid!
OdysseyThemeBloonRush,Bloon-sværm
OdysseyThemeSpecificBloonRush,{0} Bloon-sværm
OdysseyThemeMegaBloon,Mega {0}
OdysseyThemeRoundMashUp,Runde-mashup
OdysseyThemeRoundMixUp,Runde-blanding
OdysseyThemeEntryMixUp,Indgangs-blanding
OdysseyStars,Stjerner
DisableNudgeMode,Sluk for Nudge Mode
More Pops To Open,Spring flere bloons for at åbne!
Most Pops Tip,"Få flest spring i mellem, hård og gratis spil!"
btd6_churchillbundle,Helte-pakke
btd6_churchillbundle Description,• Helt\n• Helte-skin\n• Placerings Anim\n• Avatar
btd6_ezilibundle,Helte-pakke
btd6_ezilibundle Description,• Helt\n• Helte-skin\n• Helte-kæledyr\n• Avatar
btd6_benjaminbundle,Helte-pakke
btd6_benjaminbundle Description,• Helt\n• Helte-skin\n• Placerings Anim\n• Avatar
btd6_patfustybundle,Helte-pakke
btd6_patfustybundle Description,• Helt\n• Helte-skin\n• Helte-kæledyr\n• Avatar
Red,Rød
Blue,Blå
Green,Grøn
Yellow,Gul
Pink,Rosa
Purple,Lilla
Lead,Bly
Black,Sort
White,Hvid
Zebra,Zebra
Rainbow,Regnbue
Ceramic,Keramik
MOAB,MOAB
BFB,BFB
ZOMG,ZOMG
DDT,DDT
BAD,BAD
Insta Monkey Collection,Insta-abe samling
Most Experienced Monkey,Mest erfarne abe
Most Experienced Monkey Xp,Mest erfarne abe XP
Collection Chests Opened,Samlings-kister åbnet
btd6_moremoneypack_sale,Flere-penge-pakke udsalg!
btd6_moremoneypack_sale Description,"Alle de rigtige kræfter til at få nogen hurtige penge - 20 pengenedkastninger, 5 abefarme, og 5 blomstre! Tidsbegrænset tilbud!"
EditorRegrowSpeed,Gendannelses-rate
HeroBundle,Helte-pakke!
GetItAllNow,Få det hele nu!
PlacementAnimation,Placerings-anim
XFactor,X Faktor
Skates,Skøjter
DartlingGunner Short Description,Militæraber
btd6_starterheroskinbundle Description,• 2 Quincy-skin\n\n• 2 Gwen-skin\n\n• 2 Angriber-skin\n\n• 2 Obyn-skin
btd6_starterheroskinbundle,Mega-pakke
ObynMountainGuardianSkinName,Skovvogter-skin
ObynMountainGuardianSkinDescription,Skovens ånder vågner.
HeroesPatPetPenguinName,Snemanden Fusty Pingvin-kæledyr
HeroesPatPetPenguinShortName,Snemands Pingvin-kæledyr
HeroesPatPetPenguinDescription,Pingviner er en snemands bedste ven! Selvom den her ser ud til at pønse på noget... Kun til snemanden Fusty. Tidsbegrænset samlerobjekt!
HeroesAdmiralBrickellPetParrotName,Brickell papegøje-kæledyr
HeroesAdmiralBrickellPetParrotShortName,Brickell papegøje
HeroesAdmiralBrickellPetParrotDescription,"Skræp skræp! Bloons i sigte, bloons i sigte! Kun for piraten Brickell"
TowerPetMonkeyVillageElfName,Abelandsby alf-kæledyr
TowerPetMonkeyVillageElfShortName,Landsby-alf
TowerPetMonkeyVillageElfDescription,"Det er ligesom en drillenisse men med mere hår og en hale. Den kan også lide at efterlade ""gaver"" rundt omkring i landsbyen. Tidsbegrænset samlerobjekt!"
TowerEffectAllMonkeysPlacementUpgradesPresentsName,Gave-placerings og opgraderings effekter
TowerEffectAllMonkeysPlacementUpgradesPresentsShortName,Gaveopgradering-FX
TowerEffectAllMonkeysPlacementUpgradesPresentsDescription,Hver dag er juleaften når alle dine opgraderinger eksploderer med gaver! Tidsbegrænset samlerobjekt!
TowerProjectileBoomerangCandyCaneName,Boomerangabe slikstok-ranger
TowerProjectileBoomerangCandyCaneShortName,Slikstok-ranger
TowerProjectileBoomerangCandyCaneDescription,Spring bloons med disse lækre godterier! Tidsbegrænset samlerobjekt!
BloonsAllBloonsSantaHatsName,Nissehuer
BloonsAllBloonsSantaHatsShortName,Nissehuer
BloonsAllBloonsSantaHatsDescription,"Bloons + nissehuer, et mareridtssyn eller bedste gave nogen sinde? Tidsbegrænset samlerobjekt!"
BloonsAllBloonsRudolphNoseName,Rød næse-klistermærke
BloonsAllBloonsRudolphNoseShortName,Rød næse
BloonsAllBloonsRudolphNoseDescription,"De lyser vej for de andre bloons, udstyr dine MOABs med disse røde næser. Tidsbegrænset samlerobjekt!"
BloonsAllBloonsPopsSnowflakesName,Snefnug-pop FX
BloonsAllBloonsPopsSnowflakesShortName,Snefnug-pop FX
BloonsAllBloonsPopsSnowflakesDescription,"Gør hver bloon til et sart snefnug, ved at springe dem!"
BloonsMOABSkinGlacierName,Frossen gletscher MOAB
BloonsMOABSkinGlacierShortName,Frossen gletscher MOAB
BloonsMOABSkinGlacierDescription,Huleabe advarer andre aber. Stor Bloon komme. Stor Bloon frysses. Huleabe sulten. Hvor banan henne?
CoopEmoteAnimationHappyHolidaysName,God jul-emote
CoopEmoteAnimationHappyHolidaysShortName,God jul
CoopEmoteAnimationHappyHolidaysDescription,Ønsk alle en god jul med denne emote. Tidsbegrænset samlerobjekt!
CoopEmoteAnimationCelebrationName,Fest-emote
CoopEmoteAnimationCelebrationShortName,Fest-emote
CoopEmoteAnimationCelebrationDescription,Opnå en personlig rekord for at fejre det nye år
CoopEmoteAnimationFacepalmName,Facepalm-emote
CoopEmoteAnimationFacepalmShortName,Facepalm
CoopEmoteAnimationFacepalmDescription,Vil Ben ikke dele sine penge med andre? Lader Quincy bloons slippe forbi ham? Ezili-facepalms er kan passende bruges i mange situationer!
GameUIPowerSkinBaubleMineName,Custom-kraft - Julepynts-mine
GameUIPowerSkinBaubleMineShortName,Julepynts-mine
GameUIPowerSkinBaubleMineDescription,"Spring MOABs, og pynt juletræet! Tidsbegrænset samlerobjekt!"
GameUIPowerSkinRetroTechbotName,Custom-kraft - Retro-Tekbot
GameUIPowerSkinRetroTechbotShortName,Retro-tekbot
GameUIPowerSkinRetroTechbotDescription,Hold styr på dine aktiverede evner med med denne oversmarte retro-tekbot. Batterier medfølger ikke. Tidsbegrænset samlerobjekt!
GameUIPowerSkinIcebergPontoonName,Custom-kraft - Isbjergs-ponton.
GameUIPowerSkinIcebergPontoonShortName,Isbjerg-ponton
GameUIPowerSkinIcebergPontoonDescription,Dine bloon-problemer smelter væk med denne megaseje Isbjergs-ponton.
GameUIProfileAvatar27Name,Custom Avatar - Pilot-abe
GameUIProfileAvatar27ShortName,Pilot-abe avatar
GameUIProfileAvatar27Description,Pilot-aben kommer til undsætning! Bliv himlens hersker med denne fantastiske avatar
GameUIProfileAvatar28Name,Custom Avatar - Dartling-skytte
GameUIProfileAvatar28ShortName,Dartling-skytte avatar
GameUIProfileAvatar28Description,"Du har set abetårnet, nu kan du få avatar'en. Alle elsker den gamle bloon-springer!"
GameUIProfileAvatar29Name,Custom Avatar - Vinter-ninja
GameUIProfileAvatar29ShortName,Vinter-ninja avatar
GameUIProfileAvatar29Description,Forbered dig på julen med en cool ninja avatar. Tidsbegrænset samlerobjekt!
GameUIProfileAvatar30Name,Custom Avatar - Højtids-patch
GameUIProfileAvatar30ShortName,Højtids-patch avatar
GameUIProfileAvatar30Description,"Patch har en opdatering til dig, god jul og godt nytår! Tidsbegrænset samlerobjekt!"
RecurringRangs,Gentagne 'ranger
RecurringRangsDescription,Boomeranger som vender tilbage til boomerang-aben bliver kastet endnu en gang.
FirstLastLineOfDefense,Første sidste forsvarslinje.
FirstLastLineOfDefenseDescription,Købsprisen på den første pig-fabrik i hvert spil er $150 lavere.
FlankingManeuvers,Flankeringsmanøvrer
FlankingManeuversDescription,"Snigskytte, abe-ubåd og piratabe angriber 10% hurtigere hvis de er sat til 'sidste' målsøgnings-prioritet."
EmergencyUnlock,Nødoplåsning
EmergencyUnlockDescription,Aktiveret evne: låser op for låste dartling-skytter og  deres svinghastighed i en kort periode.
GorgonStorm,Gorgon Storm
GorgonStormDescription,Hydra raket-storm
CrossTheStreams,Kryds strålerne
CrossTheStreamsDescription,Når plasma- eller dommedagslasere krydser sporet skaber de midlertidige plasma-pøle
MonkeysTogetherStrong,Aber stærkere sammen
MonkeysTogetherStrongDescription,Helte får 5% mere erfaring for hver placeret helt.
GrandPrixSpree,Grand Prix løb
GrandPrixSpreeDescription,Prisen i abepenge for at være med i et løb reduceres med 10%
ChallengeBrowser,Udfordrings-browser
Trending,Trending
Casual,Afslappet
Newest,Nyeste
Expert,Ekspert
MostLiked,Mest likede
Favorites,Favoritter
Played,Spillet
MyChallenges,Mine udfordringer
ChallengeName,Udfordringens navn
Creator,Skaber
Likes,Likes
WinPercent,Vinder %
Create,Skab
PageXofY,Side {0} af {1}
ChallengeInfo,Udfordrings-information
TimeUploaded,Tidspunkt uploadet
Last24Hours,De sidste 24 timer
LastWeek,Sidste uge
LastMonth,Sidste måned
AllTime,Samlet
NoChallengesFound,Ingen udfordringer
Shared,Delt
DeleteThisSave,Slet gemt data?
DeleteThisChallenge,Slet udfordringen permanent?
ShareAgainIn,Del igen om:
ShareAgainExplanation,Del igen når timeren har talt ned. Du må klare udfordringen før du kan dele den.
MySavedGames,Mine gemte spil
ConfirmShare,Bekræft deling? Den kan ses i indholds-browseren indenfor få minutter.
Custom,Custom
ChallengeSearch,Søg/Udfordringskode
IncludeOldVersions,Inkluder gamle versioner
Achievement 107 Name,"Klar, spiller nummer 1?"
Achievement 107 Description,Vind 10 co-op spil som vært
Achievement 108 Name,Titanernes sammenstød
Achievement 108 Description,Fjern forstærkningerne fra forstærkede DDT'er 3000 gange
Achievement 109 Name,A La Kode
Achievement 109 Description,Send en udfordring til indholds-browseren
Achievement 110 Name,Givet videre
Achievement 110 Description,Spring 1000.000 bloons med dartlingskytter
Achievement 111 Name,Kupon-kulret
Achievement 111 Description,Brug mindst 50 trofæer i trofæ-forretningen
Achievement 112 Name,Øjeblikkelig tilfredsstillelse
Achievement 112 Description,Brug insta'abe på niveau 5. BEMÆRK: selv efter de er brugt tæller insta'aber mod din samling
Achievement 113 Name,Insta-århundrede
Achievement 113 Description,Brug 100 insta'aber. BEMÆRK: selv efter de er brugt tæller insta'aber mod din samling
Achievement 114 Name,Begrænset oplag
Achievement 114 Description,Køb mindst en tidsbegrænset genstand i trofæ-forretningen.
Achievement 115 Name,Darwins værktøj
Achievement 115 Description,Opgrader tårne 20.000 gange
Achievement 116 Name,Stædig strategi
Achievement 116 Description,"Bare fordi man kan, betyder det ikke, at  man bør."
ChallengeBrowserDescription,"Skab dit eget community-indhold, og bedøm andres!"
VerifiedUser,Verificeret spiller
TrophyBadgesEmpty,Vind spil for at få medaljer!
,
// External cleaning app (not in binary),
cleaner.oops.title,Ups!
cleaner.oops.message,Træf et gyldigt valg...
cleaner.warning.title,Er du sikker?
cleaner.warning.message,ADVARSEL: Kan ikke fortrydes!
cleaner.title,{0} Renser
cleaner.Message,Vælg...
cleaner.RadioButton_CleanAll,Rens alt
cleaner.RadioButton_Keep,Behold indstillinger og fremskridt
cleaner.RadioButton_CleanSelective,Selektiv rens
cleaner.CheckBox_Preferences,Præferencer
cleaner.CheckBox_Progress,Fremskridt
cleaner.Button_Run,Fortsæt
cleaner.Button_Exit,Slut
cleaner.allDone,Færdig!
// External cleaning lines complete,
,
ChallengeBrowserError,Der skete en fejl ved indlæsning af indholds-browseren
OverwriteChallengeBrowserText,Dit ældste gemte spil vil blive overskrevet. Er du sikker?
OverwriteChallengeBrowserHeader,Overskriv gemt data?
GameUIMusicTrackMusicJingleBloonsName,Jukeboks: Glade Bloon
GameUIMusicTrackMusicJingleBloonsShortName,Glade Bloon
GameUIMusicTrackMusicJingleBloonsDescription,Nu kan du fejre helligdagene med dette seje originale bloons-nummer. Bjældeklang!\nTænd for musikken i Jukeboks i hovedmenuens indstillinger
Favorite,Yndlings
FasterRegen,Genoplivningsraten øget
SlowerRegen,Genoplivningsraten formindsket
NewTower,Nyt tårn
MapUnlockTutorHeader,Lås op for baner
MapUnlockTutorBody,Vind på en bane for første gang i en kategori for at låse op for en bane i næste kategori.\n\n•Begynderbane låser op for mellemsvær\n•Mellemsvær låser op for avanceret\n•Avanceret låser op for ekspert
HideCompleted,Skjul færdiggjorte
Ravine,Kløft
GameUIProfileAvatar31Name,Custom avatar - Kabuki Ninja
GameUIProfileAvatar31ShortName,Kabuki Ninja Avatar
GameUIProfileAvatar31Description,Ninja-aben har den bedste kumadori-sminke
GameUIProfileAvatar32Name,Custom Avatar - Heli-pilot
GameUIProfileAvatar32ShortName,Heli-pilot avatar
GameUIProfileAvatar32Description,Nu letter vi! Denne heli-pilot avatar forener nuttethed med effektivitet
BloonsAllBloonsTruckerHatsName,Trucker hatte
BloonsAllBloonsTruckerHatsShortName,Trucker hatte
BloonsAllBloonsTruckerHatsDescription,Bloons'ene her er langturschauffører! Foden på sømmet!
BloonsAllBloonsPopsPowName,Pow-lydeffekter
BloonsAllBloonsPopsPowShortName,Pow-lydeffekter
BloonsAllBloonsPopsPowDescription,Pow! Bum! Bang! Spring flere bloons med en sej pow-animation
BloonsBFBSkinLanternName,Lanterne BFB
BloonsBFBSkinLanternShortName,Lanterne BFB
BloonsBFBSkinLanternDescription,"Bring held, velstand og lys til slagmarken med et sejt BFB skin"
TowerProjectileSpikeFactoryPineapplesName,Sømfabrik-ananas
TowerProjectileSpikeFactoryPineapplesShortName,Sømfabrik-ananas
TowerProjectileSpikeFactoryPineapplesDescription,"Hvad er mere pigget end end pigkugle? En ananas, selvfølgelig! Spring-fede tider. Kun pigkugle opgradering."
GameUIMusicTrackMusicBMCStreetPartyName,Jukebox: BMC Gadefest
GameUIMusicTrackMusicBMCStreetPartyShortName,BMC Gadefest
GameUIMusicTrackMusicBMCStreetPartyDescription,Nu er den her igen! Den populære Gadefest fra bloons Abeby!
FirstTimeContinue,"Åh nej! Bloons'ene slap igennem! Du kan fortsætte gratis i denne omgang, men derefter koster det abepenge."
Follow,Følg
Unfollow,Følg ikke længere
Following,Følger
Primary Knowledge,Primær kundskab
Military Knowledge,Militær kundskab
Magic Knowledge,Magisk kundskab
Support Knowledge,Støtte-kundskab
Heroes Knowledge,Helte-kundskab
Powers Knowledge,Kræfter-kundskab
Block followers,Bloker for følgere
Unblock followers,Fjern blokering for følgere
Followers,Følg
Submitted Challenges,Indsendte udfordringer
TurnOnNotificationsCreator,Tænd for notifikationer for denne skaber?
TurnOffNotificationsCreator,Sluk for notifikationer for denne skaber?
TargetingOptionFirstTimePopup,I svære spillerunder kan det nogle gange hjælpe at ændre på målsøgningsindstillingerne.
et_challengefreeplaytitle,Frit-spil-mode for udfordringer!
et_challengefreeplaydescription,"Frit-spil-mode for udfordringer. Du kan fortsætte spillet, men du optjener ikke XP eller andre gevinster."
GameServicesBlockedText,"Der er noget der blokerer for vores spilservice. Spillet kan påvirkes, sluk for din blokeringstjeneste for at undgå uventede problemer. For mere info: https://ninja.kiwi/btd6_network"
DoubleCashDisabled,Dobbelt penge slået fra
UnableToAccessDomain,"Har ikke adgang til {0}, hvis du har en blokerings-service, sluk for den og prøv igen."
Custom Rounds,Custom runder
Warning,Advarsel
Player Completion Rate,Spiller færdiggørelses-rate
Win Rate,Vinder-rate
HeroesBenjaminPlacementMatrixName,Benjamin Matrixplacering og opgradering
HeroesBenjaminPlacementMatrixShortName,Benjamin Matrix
HeroesBenjaminPlacementMatrixDescription,"Wauw, nu kan jeg kung fu! Kun original Benjamin"
HeroesObynPetBunnyName,Obyn kanin kæledyr
HeroesObynPetBunnyShortName,Obyn kanin kæledyr
HeroesObynPetBunnyDescription,Den søde lille kanin er en af Obyns bedste venner. Kun original Obyn. Tidsbegrænset samlerobjekt!
TowerProjectileDartlingEasterEggsName,Dartling påskeæg-hagl
TowerProjectileDartlingEasterEggsShortName,Dartling påskeæg
TowerProjectileDartlingEasterEggsDescription,Forsyn dig med chokolade-guf og fyr løs! Kun bukkeskud og raket opgraderinger. Tidsbegrænset samlerobjekt!
TowerPetNinjaMonkeyKiwiName,Ninja-abe kiwi kæledyr
TowerPetNinjaMonkeyKiwiShortName,Ninja kiwi kæledyr
TowerPetNinjaMonkeyKiwiDescription,"Den tapre ikke-flyvedygtige Kiwi, den mest ædle følgesvend en ninja-abe kunne ønske sig"
BloonsMOABSkinChocolateName,Chokoladeægs-MOAB
BloonsMOABSkinChocolateShortName,Chokolade-MOAB
BloonsMOABSkinChocolateDescription,"Den er overtrukket i chokolade, men den her MOAB har stadigvæk 4 keramiske bloons i sig. Tidsbegrænset samlerobjekt!"
BloonsBFBSkinChocolateName,Chokoladeægs-BFB
BloonsBFBSkinChocolateShortName,Chokolade-BFB
BloonsBFBSkinChocolateDescription,Bonus point hvis din chokolade-BFB har chokolade-MOABs i sig. Tidsbegrænset samlerobjekt!
BloonsAllBloonsBunnyEarsName,Kanin-øre bloons
BloonsAllBloonsBunnyEarsShortName,Kanin-øre bloons
BloonsAllBloonsBunnyEarsDescription,Bloons er mere nuttede med kanin-ører! Tidsbegrænset samlerobjekt!
BloonsAllBloonsPopsFlowersName,Blomster-springs FX
BloonsAllBloonsPopsFlowersShortName,Blomster-springs FX
BloonsAllBloonsPopsFlowersDescription,Hvert spring er en farve-eksplosion med Blomster-springs FX
CoopEmoteAnimationPixelMonkeyDanceName,Dansende abe emote
CoopEmoteAnimationPixelMonkeyDanceShortName,Dansende abe
CoopEmoteAnimationPixelMonkeyDanceDescription,"Dans for mig dans for mig, åh ja..."
CoopEmoteAnimationFlowerBloomName,Blomstrings-emote
CoopEmoteAnimationFlowerBloomShortName,Blomstring
CoopEmoteAnimationFlowerBloomDescription,"Der er forår i luften, fuglene synger, bierne summer og blomsterne blomstrer!"
GameUIProfileAvatar33Name,Custom avatar - Obyns æg
GameUIProfileAvatar33ShortName,Obyns æg avatar
GameUIProfileAvatar33Description,Beskyt de dyrebare æg sammen med Obyn. Tidsbegrænset samlerobjekt!
GameUIProfileAvatar34Name,Custom avatar - Stift-abe
GameUIProfileAvatar34ShortName,Stift-abe avatar
GameUIProfileAvatar34Description,Avatar vinder af mutamarkl
GameUIProfileAvatar35Name,Custom Avatar - Kraftfuld Sentai
GameUIProfileAvatar35ShortName,Kraftfuld Sentai avatar
GameUIProfileAvatar35Description,Avatar vinder af Kuzuyku
GameUIProfileAvatar36Name,Custom Avatar - Intens troldmand
GameUIProfileAvatar36ShortName, Intens troldmand avatar
GameUIProfileAvatar36Description,Avatar vinder af _Concilliabule_
Balance,Balance
Blons,Blons
Latest Save,Sidst gemte spil
Sauda,Sauda
Sauda Short Description,Sværdmester
Sauda Description,Med en stilfærdig vrede snitter Sauda bloons'ene i småbidder med sine to skarpe sværd.
Sauda Level 1 Description,Hugger efter bloons med begge sværd. Kan springe camo bloons.
Sauda Level 2 Description,Springer flere bloons pr. angreb
Sauda Level 3 Description,Springende sværdangreb: Saudas dramatiske bly-springende angreb smadrer alle bloons som hun får på kornet.
Sauda Level 4 Description,Saudas sværd skærer sig igennem 2 lag bloons.
Sauda Level 5 Description,Sauda angriber hurtigere
Sauda Level 6 Description,Øget angrebsrækkevidde og springkraft.
Sauda Level 7 Description,"Sauda udnytter bloons'enes svagheder, og gør ekstra skade hvis de er lammede, og hun kan nu springe frosne bloons."
Sauda Level 8 Description,Sauda angriber endnu hurtigere.
Sauda Level 9 Description,"Bloon blod: Sauda springer 3 lag bloons med hvert hug, og forårsager yderligere langsom skade over tid. "
Sauda Level 10 Description,"Sværd angreb: Sauda glider langs hele banen, og hærger bloons på sin vej."
Sauda Level 11 Description,"Sauda udøver ekstra skade til alle som er sinket, lammet, eller tager skade over tid fra andre aber."
Sauda Level 12 Description,Springende sværd angreb får kraftigt forøget styrke.
Sauda Level 13 Description,Fortryllede klinger gør mere skade og gør at Sauda kan skade alle bloons
Sauda Level 14 Description,Sauda angriber endnu hurtigere
Sauda Level 15 Description,"Øget angrebsrækkevidde og springevne, og springende sværdangreb gør mere skade."
Sauda Level 16 Description,Sværd angreb får kraftigt forøget springkraft.
Sauda Level 17 Description,Saudas sværd-angreb skærer igennem mange bloonlag på en gang.
Sauda Level 18 Description,Saudas sværd skærer med lynets hast.
Sauda Level 19 Description,"Fortryllede klinger gør mere skade på regen, forstærkede og camo bloons."
Sauda Level 20 Description,Meget kraftigere sværd-angreb fejer alle bane-spor tre gange! Springende sværd angrebskraft stærkt forøget.
SushiBentoBenjaminSkinName,Sushi Bento Skin
SushiBentoBenjaminSkinDescription,"Maden er klar, så er der sushi!"
Leaping Sword Attack Ability,Springende sværd angreb
Leaping Sword Attack Ability Description,Saudas dramatiske bly-springende angreb hamrer ned på bloons'ene.
Sword Charge Ability,Sværd angreb
Sword Charge Ability Description,"Sauda glider langs hele banen, og smadrer bloons på sin vej."
Playing,Antal spillere {0}
Solo,Solo
Custom Challenge,Custom udfordring
Browsing,Søgere {0}
Menues,Menuer
Challenges,Udfordringer
GoldenBloonsPopped,Gyldne bloons sprunget
ChallengeStats,Udfordrings statistik
Attempts,Forsøg
Wins,Sejre
Fails,Tab
Unique Players,Unikke spillere
Victorious Players,Sejrige spillere
FirstWinner,Første vinder
MostRecentWinner,Seneste vinder
DiskFullMessage,"Hukommelse fyldt, frigør noget plads og prøv igen"
RacePassRemaining,Løb tilbage:
RacePassHeader,Løb-pas
RacePassDescription,"Giver ubegrænsede forsøg per ugentligt løb!\Ingen timer, ingen abepenge, bare race!"
4RacesPass,4 løb-pas
12RacesPass,12 løb-pas
ft_goldentitle,Gyldne bloons
ft_goldendescription,"Spring den gyldne bloon for at tjene ekstra abepenge! Den er svær at springe, men du mister ingen liv hvis den undslipper.\nDen gyldne bloon dukker op flere gange i løbet af et spil og udvikler sig med hver optræden!\Held og lykke!"
TapToUnlock,[I] for at låse op
btd6_4racespass Description,Race så meget du vil i 4 løb!
btd6_4racespass,4 løb-pas
btd6_12racespass Description,Race så meget du vil i 12 løb!
btd6_12racespass,12 løb-pas
GetHeroBooster,Få en helte-booster
IntermediateUnlockText,Vind på en begynderbane for første gang for at låse op for en mellemsvær bane.
AdvancedUnlockText,Vind på en mellemsvær bane for første gang for at låse op for en avanceret bane.
ExpertUnlockText,Vind på en avanceret bane for første gang for at låse op for en ekspert bane.
HeroesSaudaPetCraneName,Sauda trane-kæledyr
HeroesSaudaPetCraneShortName,Sauda trane-kæledyr
HeroesSaudaPetCraneDescription,"Wax on, wax off. Lær trane-kampsportsteknik med Saudas yndefulde nye følgesvend! Kun for original Sauda"
HeroesPatFustyPlacementSuperjumpName,Pat supersprings-placering og opgradering
HeroesPatFustyPlacementSuperjumpShortName,Pat superspring
HeroesPatFustyPlacementSuperjumpDescription,"Pat er så ivrig efter at give MOABene en stor klemmer, at han superspringer i aktion så snart han er på banen, og for hver opgradering! Kun for original Pat Fusty"
TowerPetBananaFarmChickenName,Bananfarm-kylling
TowerPetBananaFarmChickenShortName,Farm-kylling
TowerPetBananaFarmChickenDescription,Ingen gård uden en kylling. Hvorfor en kylling? Bare fordi! Gok gok!
TowerPropMonkeyVillageBrazilFlagName,Abelandsby Brasilien-flag
TowerPropMonkeyVillageBrazilFlagShortName,Landsby Brasilien-flag
TowerPropMonkeyVillageBrazilFlagDescription,MÅÅÅÅÅÅÅÅÅL! Vis din glæde for alt brasiliansk med abelandsby flaget. Kan ses i alle opgraderinger.
TowerPropMonkeyVillageUSAFlagName,Abelandsby USA-flag
TowerPropMonkeyVillageUSAFlagShortName,Landsby USA Flag
TowerPropMonkeyVillageUSAFlagDescription,USA! USA! Lad 'stars and stripes' veje over din abelandsby. Kan ses i alle opgraderinger.
BloonsAllBloonsPopsPewpewName,Pang pang Pop FX
BloonsAllBloonsPopsPewpewShortName,Pang pang Pop FX
BloonsAllBloonsPopsPewpewDescription,"Se dybt ind i dit indre - du må simpelthen købe den nu, og må fjerde maj være med dig! Samlerobjekt kan fås i ekstremt begrænset tid!"
BloonsMOABSkinBtd4RetroName,BTD4 Retro-MOAB
BloonsMOABSkinBtd4RetroShortName,Retro-MOAB
BloonsMOABSkinBtd4RetroDescription,Så nostalgisk. Tag de roserøde briller på og kast et blik på en tidligere MOAB-model.
