//Input. Needs to be first e.g [I] replaced by click or tap,
Click,Kliknij
GameUIProfileAvatar40Description,Zwycięski awatar autorstwa Qqertynn
GameUIProfileAvatar41Name,Niestandardowy awatar – Ninja z bombą błyskową
GameUIProfileAvatar41ShortName,Awatar Bomba błyskowa
GameUIProfileAvatar41Description,Zwycięski awatar autorstwa _Concilliabule_
GameUIProfileAvatar42Name,Niestandardowy awatar – Łatka korporacyjna
GameUIProfileAvatar42ShortName,Awatar Łatka korporacyjna
GameUIProfileAvatar42Description,Łatka po cichutku wspina się po korporacyjnej drabinie Monkeydom
GameUIProfileAvatar43Name,Niestandardowy awatar – Fajerwerkowe działa bombowe
GameUIProfileAvatar43ShortName,Awatar Fajerwerkowa bomba
GameUIProfileAvatar43Description,Czy jest lepszy sposób na odpalenie tych rakiet? Ograniczony czasowo przedmiot kolekcjonerski!
GameUIPowerSkinMonkeyBoostFireworksName,Niestandardowa moc – Fajerwerkowe doładowanie małpek
GameUIPowerSkinMonkeyBoostFireworksShortName,Fajerwerkowe doładowanie małpek
GameUIPowerSkinMonkeyBoostFireworksDescription,Wzmocnij swoje małpki i zmotywuj je do większych czynów dzięki temu ogromnemu pokazowi fajerwerków. Ograniczony czasowo przedmiot kolekcjonerski!
GameUIMusicTrackMusicTropicalOctopusMixName,Szafa grająca: Tropikalny karnawał – Składanka ośmiornicy
GameUIMusicTrackMusicTropicalOctopusMixShortName,Ośmiornica na tropikalnym karnawale
GameUIMusicTrackMusicTropicalOctopusMixDescription,"Zapodaj elektroniczne bity, a ten karnawałowy kawałek stanie się prawdziwym imprezowym hitem. Podkręć muzę!"
PlaySocial,Zagraj społecznościowe
ContentBrowser,Przeglądarka treści
CoopChallenge,Wyzwanie dla trybu kooperacji
SocialEditChallenge,Edytuj wyzwanie
SocialEditOdyssey,Edytuj odyseję
SocialViewBrowser,Wyświetl przeglądarkę
MonkeyTeamWins,Wygrane drużyny małpek
NewerSaveFound,"Znaleziono nowsze dane zapisu! Grasz w nowszą wersję gry na innym urządzeniu. Zaktualizuj wersję, aby kontynuować grę na tym urządzeniu. Aktualizacja nie jest dostępna? Odwiedź stronę https://ninja.kiwi/btd6_outofdate, aby uzyskać dodatkową pomoc."
RacePasses,{0} przejściówki(-ek) wyścigów
FreeEntries,Darmowe wejścia {0}
FreeEntry,1 darmowe wejście
PrivateCoopLobby,Prywatne lobby trybu kooperacji
PublicCoopLobby,Lobby trybu kooperacji [{0}]
MyOdysseys,Moje odyseje
OdysseySearch,Szukaj/Kod odysei...
Psychic Blast Ability,Psychiczny pocisk
Psychic Blast Ability Description,"Psi uwalnia falę mocy, która na długi czas ogłusza najbliższe blony."
Psionic Scream Ability,Psioniczny krzyk
Psionic Scream Ability Description,"Psi wydaje cichy krzyk, który wprawia blony w całkowity chaos."
EditorMode,Tryb edytora
ConfirmMaps,Mapy do zatwierdzenia: {0}
ResetOdysseyProgress,To unieważni twoje postępy w odysei. Czy na pewno chcesz to zrobić?
OdysseyName,Nazwa odysei
OdysseyEditor,Edytor odysei
MaxPowers,Maksimum mocy:
MaxMonkeySlots,Maksimum miejsc na małpki:
MaxPowerSlots,Maksimum miejsc na moce:
MapNumber,Mapa {0}
ExtremeMode,Tryb ekstremalny:
Edit,Edytuj
OdysseyInviteReceivedDescription,Zaproszono cię do użycia kodu odysei: {0}
SharingOdyssey,Dasz radę ukończyć tę odyseję w Bloons TD 6?
EditorPowersIncluded,Z mocami
EditorPowersExcluded,Bez mocy
OdysseyDescription,Opis:
SelectDefaultCrew,Wybierz domyślną załogę
Completed,Ukończono
BossStart,Rozpocznij wydarzenie bossa
BloonariusPrime,Blonarius Prime
OdysseyLockedSubmitButtonDescription,Ta odyseja została już przesłana
OdysseyLockedShareButtonDescription,"Aby udostępnić swoją odyseję, najpierw musisz udowodnić, że można ją przejść, dochodząc do ekranu zwycięstwa w trybie testowym!"
OdysseyShareAgainExplanation,"Udostępnij ponownie, gdy zegar zacznie odliczać. Aby udostępnić odyseję, musisz ją ukończyć."
ProfileAvatars,Awatary
ProfileBanners,Banery
BossNormal,Normalne
BossElite,Elitarne
BloonariusTagLine,Od Swampy Depths
BloonariusTagLine2,Budzi się inflator!
Bloonarius,Blonarius
TierX,Rząd {0}
HeroesGwendolinPlacementFireballName,Umieszczanie i ulepszanie kuli ognia Gwendolin
HeroesGwendolinPlacementFireballShortName,Kula ognia Gwendolin
HeroesGwendolinPlacementFireballDescription,"Dopilnuj, by przybycie i ulepszenia Gwen były odpowiednio ogniste dzięki temu niesamowitemu efektowi kuli ognia! Tylko oryginalna Gwendolin."
TowerPropMonkeyVillageGermanyFlagName,Flaga Niemiec małpiej wioski
TowerPropMonkeyVillageGermanyFlagShortName,Flaga Niemiec wioski
TowerPropMonkeyVillageGermanyFlagDescription,"Powszechnie wiadomo, że technologia w niemieckiej małpiej wiosce jest ausgezeichnet! Wyświetla się dla wszystkich ulepszeń."
TowerPropMonkeyVillageUKFlagName,Flaga UK małpiej wioski
TowerPropMonkeyVillageUKFlagShortName,Flaga UK wioski
TowerPropMonkeyVillageUKFlagDescription,Ta małpia wioska ma zaszczyt należeć do Wspólnoty. Brytyjska duma wyświetla się dla wszystkich ulepszeń
BloonsDDTSkinTronName,Neonowy MST
BloonsDDTSkinTronShortName,Neonowy MST
BloonsDDTSkinTronDescription,"Elegancki i zabójczy, można przysiąc, że ten MST pochodzi z przyszłości. Całkiem możliwe."
BloonsAllBloonsBucketHatName,Rybacki blon
BloonsAllBloonsBucketHatShortName,Rybacki blon
BloonsAllBloonsBucketHatDescription,Te blony podążają z trendami dzięki najnowszemu projektowi cyfrowych kapeluszy rybackich.
BloonsAllBloonsPopsWaterbloonName,Efekt przekłuwania blonów Woda
BloonsAllBloonsPopsWaterbloonShortName,Efekt przekłuwania blonów Woda
BloonsAllBloonsPopsWaterbloonDescription,"Idealny na fale upałów sprawia, że każdy blon staje się wodnym blonem z fajnym, mokrym efektem przekłuwania"
CoopEmoteTextNextRoundScaryName,Kolejna runda! To straszne! Emotka z tekstem
CoopEmoteTextNextRoundScaryShortName,Kolejna runda! To straszne!
CoopEmoteTextNextRoundScaryDescription,Ostrzeż pozostałych członków drużyny kooperacji o kolejnej rundzie! Szczególnie przydatna też podczas Halloween.
CoopEmoteTextNextRoundScaryWord,Kolejna runda! To straszne!
CoopEmoteAnimationFistpumpName,Animacja Żółwik
CoopEmoteAnimationFistpumpShortName,Żółwik
CoopEmoteAnimationFistpumpDescription,Za dobrą robotę!
GameUIProfileAvatar44Name,Niestandardowy awatar – Małpka SAS
GameUIProfileAvatar44ShortName,Awatar Małpka SAS
GameUIProfileAvatar44Description,Zwycięski awatar autorstwa LV-223_Deacon
GameUIProfileAvatar45Name,Niestandardowy awatar – Plan
GameUIProfileAvatar45ShortName,Awatar Plan
GameUIProfileAvatar45Description,Zwycięski awatar autorstwa dungeon-raided
GameUIProfileAvatar46Name,Niestandardowy awatar – Ezili w masce
GameUIProfileAvatar46ShortName,Awatar Ezili w masce
GameUIProfileAvatar46Description,Znana również jako poranna czupryna Ezili
GameUIProfileAvatar47Name,Niestandardowy awatar – Kolczasta kula
GameUIProfileAvatar47ShortName,Awatar Kolczasta kula
GameUIProfileAvatar47Description,Kolczaste kule wyglądają naprawdę nieźle – nie może ich zabraknąć
GameUIProfileBanner1Name,Baner profilu Anteny
GameUIProfileBanner1ShortName,Baner Anteny
GameUIProfileBanner1Description,Ten niestandardowy baner profilu inspirowany pilotami będzie robił pętle wokół innych graczy
GameUIProfileBanner2Name,Baner profilu Wilczy duch
GameUIProfileBanner2ShortName,Baner Wilczy duch
GameUIProfileBanner2Description,Obudź zmarłych za pomocą niestandardowego banera profilu wilczego Obyna
GameUIProfileBanner3Name,Baner profilu Nadchodzi
GameUIProfileBanner3ShortName,Baner Nadchodzi
GameUIProfileBanner3Description,Użyj tego niestandardowego banera profilu z ołowianą burzą blonową BLB jako trofeum za swoje zwycięstwa
GameUIProfileBanner4Name,Baner profilu Burza rzutek
GameUIProfileBanner4ShortName,Baner Burza rzutek
GameUIProfileBanner4Description,"Zwykła rzutka to niecodzienny widok w tym eleganckim, ciemnym i niestandardowym banerze profilu"
GameUIProfileBanner5Name,Baner profilu Reakcja
GameUIProfileBanner5ShortName,Baner Reakcja
GameUIProfileBanner5Description,Moc i niebezpieczeństwo łączą się w tym inspirowanym inspirowanym łodzią podwodną niestandardowym banerze profilu
Paragon Title,Ulepsz do mistrza
Paragon Body,"Ta czynność utworzy wieżę {0} mistrza. Wszyscy pozostali bohaterzy typu {1} zostaną w tym czasie zniszczone, zasilając moc mistrza!"
ft_paragontitle,Włączono ulepszenie mistrza!
ft_paragondescription,"Ulepsz jedną ze swoich małpek z rzędu 5 w mistrza! Mistrzowie pochłaniają wszystkie małpki swojego typu, w tym małpki z rzędu 5 z pozostałych dwóch ścieżek.\n\nStopień mistrza jest zależny od tego, ile mocy pochłonięto w momencie ulepszenia. Niedostępne w"
ParagonDegreeText,Stopień mistrza
DartMonkeys,Małpki z rzutkami
BoomerangMonkeys,Bumerangowe małpki
BombShooters,Działa bombowe
TackShooters,Działa gwoździowe
IceMonkeys,Lodowe małpki
GlueGunners,Strzelcy klejowi
SniperMonkeys,Małpki snajperzy
MonkeySubs,Podwodne małpki
MonkeyBuccaneers,Małpki piraci
MonkeyAces,Małpki piloci
HeliPilots,Piloci helikoptera
MortarMonkeys,Małpki z moździerzem
WizardMonkeys,Małpki czarodzieje
DartlingGunners,Strzelcy rzutkowi
SuperMonkeys,Supermałpki
NinjaMonkeys,Małpki ninja
Alchemists,Alchemicy
Druids,Druidzi
BananaFarms,Bananowe farmy
EngineerMonkeys,Małpki inżynierowie
SpikeFactorys,Fabryki kolców
MonkeyVillages,Małpie wioski
BossInfoPanelTitle,Wydarzenie bossa blonów
BossInfoPanelDescription,"Witaj, dzielny poszukiwaczu przygód, wkraczasz do królestwa bossów! Powodzenia i pamiętaj o tych ważnych zasadach:\n• Wydarzenie bossa rozpoczyna się po naciśnięciu przycisku Graj, nie ma przerw między rundami, a bossów nie można spowolnić.\n• Przekłuj wszystkich bossów z rzędu 5, aby wygrać w każdym trybie bossa. Ukończ tryb normalny, aby odblokować elitarny.\n• Powiększaj swoją gospodarkę, przygotuj umiejętności i wykorzystaj czas między poziomami!\n• Zdobywaj trofea lub inne nagrody za każdy pokonany poziom. Gdy jednak nie ukończysz rzędu 5 w 20 rundach, przegrywasz. \n• Rywalizuj z innymi graczami w trybie rankingowym, aby zobaczyć, kto pokona bossa najszybciej, i zdobądź wspaniałe nagrody!\n• Nagrody, które możesz wygrać, zależą od twojej najlepszej pozycji w trybach jednego gracza LUB kooperacji.\n• W trybach normalnym i elitarnym znajdziesz oddzielne tabele liderów i nagrody do wygrania!"
BloonariusInfoPanelDescription,"Zamieszkujący szlam Blonarius wypluwa blony, gdy otrzymuje obrażenia, a następnie wyrzuca ich ogromne skupiska, gdy osiągniesz kolejną czaszkę na pasku zdrowia.\n\nNasączona szlamem łuska Blonariusa sprawia, że jest powolna, ale niezwykle wytrzymała."
NextBossIn,Boss pojawi się za: {0}
ARound,1 runda
SomeRounds,{0} rund(y)
DartMonkey Paragon,Małpi plazmowy mistrz
DartMonkey Paragon Description,"Wystrzel z katapulty blony niszczące plazmę, nie pozostawiając nic po sobie..."
BoomerangMonkey Paragon,Glewius Dominus
BoomerangMonkey Paragon Description,"Blony poznają, co to strach, gdy ujrzą moje glewie."
TowerEffectAllMonkeysPlacementUpgradesButterfliesName,Efekt umieszczania Motyle
TowerEffectAllMonkeysPlacementUpgradesButterfliesShortName,Efekt ulepszania Motyle
TowerEffectAllMonkeysPlacementUpgradesButterfliesDescription,"Doceń naturę i piękno, gdy każde umieszczenie i ulepszenie małpki powoduje, że motyle trzepoczą skrzydełkami."
BossEvent,Wydarzenie bossa
NewCoopGame,Nowa gra kooperacji
Hold,Przytrzymaj
Paragon,Mistrz
Unlock All (For This Tower),Odblokuj wszystkie (dla tej wieży)
Purchase Tower XP,Kup PD wieży
Connect Controller,Podłącz kontroler
BossDefeatedYou,{0} pokonuje cię
TierBossDefeated,Przekłuto rząd {0}
BossDefeated,Pokonujesz: {0}!
Set Center,Ustaw środek
Bombardment Ability,Bombardowanie
PlayerStatsHighestRoundCHIMPS,Najwyższa runda SKiMMPS-ów
PlayerStatsHighestRoundDeflation,Najwyższa runda deflacji
Rejoin Coop,Dołącz ponownie do kooperacji
WaitingEndRound,Oczekiwanie na koniec bieżącej rundy
SoftwareCursor,Duży kursor
LargeCursor,Bardzo duży kursor
Cursor,Kursor
SandboxCursor,Piaskownica/kursor
Achievement 128 Name,Co za blonowanie?
Achievement 128 Description,Pokonaj bossa z rzędu 1
Achievement 129 Name,Kto tu rządzi?
Achievement 129 Description,Pokonaj bossa z rzędu 5
Achievement 130 Name,Ja tu rządzę
Achievement 130 Description,Pokonaj elitarnego bossa z rzędu 5
Achievement 131 Name,Apoteoza
Achievement 131 Description,Ulepsz do wieży mistrzowskich małpek
Achievement 132 Name,Jak szef
Achievement 132 Description,Przekłuj 50 blonów bossa
Achievement 133 Name,Doskonały mistrz
Achievement 133 Description,Mistrz mistrzów
Log in,Zaloguj się
Twitch Integration,Integracja z Twitchem
Choose my loadout,Wybierz moje wyposażenie
Required polls,Wymagane ankiety:
Total duration,Łączny czas trwania:
Duration,Czas trwania
Max winners,Suma zwycięzcy ankiet (za wyposażenie)
Loadout Poll,Ankieta wyposażenia
Initializing,Inicjalizacja...
Running poll,Przeprowadzenie ankiety
XofY,{0} z {1}
Point voting,Głosowanie punktowe
Points per vote,Punkty za głos
Bit voting,Głosowanie bitowe
Bits per vote,Bity za głos
TwitchTimeout,Twitch odpowiada zbyt długo...
TwitchInvalidOperation,Nieprawidłowa operacja... spróbuj ponownie później.
TwitchAuthFail,Nie udało się uwierzytelnić na Twitchu! Spróbuj zalogować się ponownie...
TwitchPartnerFail,"Przepraszamy, aby korzystać z tej funkcji, musisz być Towarzyszem lub Partnerem Twitch."
TwitchError,Coś poszło nie tak... Spróbuj ponownie później.\n{0}
Monkeys for poll,Małpki za ankietę
TwitchSignedInInfo,"Jeśli jesteś Towarzyszem lub Partnerem Twitch, możesz teraz tworzyć ankiety dotyczące wyposażenia! Poszukaj przycisku ustawień Twitch w grze."
BestRound,Najlepsza runda:
NewBestRound,Nowa najlepsza runda:
CurrentRound,Bieżąca runda:
Select All,Wybierz wszystkie
btd6_towerandparagonunlock,Pełne odblokowanie wieży i mistrza
btd6_towerandparagonunlock Description,Natychmiast odblokowuje wszystkie ulepszenia mistrza dla wybranej małpiej wieży.
btd6_paragonunlock,Odblokowanie mistrza
btd6_paragonunlock Description,Natychmiast odblokowuje ulepszenie dla wybranej małpiej wieży.
jukeboxskipbossmusic,Pomiń muzykę bossa
GameUIMusicTrackMusicBossBloonariusName,Primal One
GameUIMusicTrackMusicBossBloonariusShortName,Primal One
GameUIMusicTrackMusicBossBloonariusDescription,Utwór bossa Primal
Play Again,Graj ponownie
Retry From Checkpoint,Ponów grę z punktu kontrolnego
RetryCheckpointText,Ponowić grę z ostatniego punktu kontrolnego w rundzie {0}?
Retry From Round,Ponów grę od rundy {0}
EliteBossLockedPopup,"Pokonaj bossa na normalnym poziomie trudności, aby odblokować elitarny poziom trudności"
Custom Odyssey,Niestandardowa odyseja
Creating Odyssey,Tworzenie odysei
Creating Challenge,Tworzenie wyzwania
TheCabin,Chatka
VikingSaudaSaudaSkinName,Skórka Saudy Wiking
VikingSaudaSaudaSkinDescription,Chwyć za topór!
HeroesChurchillSentaiSkinPetDroneName,Zwierzak dron Churchilla Sentai
HeroesChurchillSentaiSkinPetDroneShortName,Dron Churchilla Sentai
HeroesChurchillSentaiSkinPetDroneDescription,"Superzaawansowany strażnik zwiadowczy Y26G błyskawicznie przeprowadza ocenę zagrożeń i wygląda przy tym dobrze. Nic dziwnego, że nazywamy go SASSY. Tylko oryginalny Churchill Sentai."
TowerPetGlueGunnerRatName,Zwierzak szczurek strzelca klejowego
TowerPetGlueGunnerRatShortName,Zwierzak szczurek strzelca klejowego
TowerPetGlueGunnerRatDescription,"Zawsze u boku strzelca klejowego, zwłaszcza w laboratorium. Pewnie zastanawiasz się, kto odkrył różne właściwości kleju? Z pewnością szczurek."
TowerEffectAllMonkeysPlacementUpgradesBatsName,Efekt umieszczania i ulepszania Nietoperze
TowerEffectAllMonkeysPlacementUpgradesBatsShortName,Efekt ulepszania Nietoperze
TowerEffectAllMonkeysPlacementUpgradesBatsDescription,"Przekłuj blony za każdym razem, gdy wieża zostanie umieszczona i ulepszona za pomocą animacji niegodziwych nietoperzy, które są straszliwie niesamowite na określonych mapach."
TowerPetMonkeyBuccaneerNarwhalName,Zwierzak narwal małpki pirata
TowerPetMonkeyBuccaneerNarwhalShortName,Zwierzak narwal pirata
TowerPetMonkeyBuccaneerNarwhalDescription,"Ujrzyj mitycznego narwala z każdym umieszczonym piratem! Kto, jak nie potężny pirat mógłby zarówno rządzić na pełnym morzu, jak i zaprzyjaźnić się z ich legendami?!"
TowerProjectileEngineerVampireHunterName,Pociski inżyniera łowców wampirów
TowerProjectileEngineerVampireHunterShortName,Pociski inżyniera łowców
TowerProjectileEngineerVampireHunterDescription,"Na wszelki wypadek, gdyby blony były potajemnie wampirami, inżynier może teraz wyposażyć arsenał wampirzych pocisków, takich jak kołki, czosnek i trumny. Ograniczony czasowo przedmiot kolekcjonerski!"
TowerPropMonkeyVillageCanadianFlagName,Flaga Kanady małpiej wioski
TowerPropMonkeyVillageCanadianFlagShortName,Flaga Kanady wioski
TowerPropMonkeyVillageCanadianFlagDescription,"Najwyższa pora! Och Kanado, niech ta flaga powiewa we wszystkich małpich wioskach. Wyświetla się dla wszystkich ulepszeń."
BloonsZOMGSkinJackOLanternName,Dyniowy ZOMG
BloonsZOMGSkinJackOLanternShortName,Dyniowy ZOMG
BloonsZOMGSkinJackOLanternDescription,"Sauda wygrywa w corocznym konkursie na drążenie dyni w kształcie ZOMG, bo przecież tak ciężko jest pokroić pomidora! Ograniczony czasowo przedmiot kolekcjonerski!"
BloonsAllBloonsVampireCapesName,Blony w wampirzej pelerynie
BloonsAllBloonsVampireCapesShortName,Blony w wampirzej pelerynie
BloonsAllBloonsVampireCapesDescription,Ubierz swoje blony jak nocne stwory w to Halloween! Ograniczony czasowo przedmiot kolekcjonerski!
CoopEmoteAnimationPanicMonkeyName,Emotka Spanikowana małpka
CoopEmoteAnimationPanicMonkeyShortName,Spanikowana małpka
CoopEmoteAnimationPanicMonkeyDescription,Mówi twój gospodarz kooperacji. Prosimy. Nie panikować. TERAZ MOŻNA PANIKOWAĆ!
CoopEmoteAnimationBeggingMonkeyName,Emotka Prosząca małpka
CoopEmoteAnimationBeggingMonkeyShortName,Prosząca małpka
CoopEmoteAnimationBeggingMonkeyDescription,"Proszę, potrzebuję jeszcze tylko 10 000 do tego ulepszenia! To tylko zbieg okoliczności, że jestem graczem 3, na serio!"
GameUIPowerSkinThriveStonksName,Niestandardowa moc – Hossa
GameUIPowerSkinThriveStonksShortName,Hossa
GameUIPowerSkinThriveStonksDescription,"Ben radzi, żeby zainwestować całą kasę w Bananacoin, który teraz zwyżkuje!"
GameUIProfileAvatar48Name,Niestandardowy awatar – Małpka w masce hokejowej
GameUIProfileAvatar48ShortName,Małpka w masce hokejowej
GameUIProfileAvatar48Description,Uważaj na małpkę w masce hokejowej! Ograniczony czasowo przedmiot kolekcjonerski!
GameUIProfileAvatar49Name,Niestandardowy awatar – Ołowiany zepelin
GameUIProfileAvatar49ShortName,Awatar Ołowiany zepelin
GameUIProfileAvatar49Description,Zwycięski awatar autorstwa waywardzuck
GameUIProfileAvatar50Name,Niestandardowy awatar – SuperBen
GameUIProfileAvatar50ShortName,Awatar SuperBen
GameUIProfileAvatar50Description,"Kto wymieni ci procesor? On! Kto gra najlepsze bity? On! A kto przyrządzi smaczne sushi na kolejną imprezę drużyny? No przeca, że on!"
GameUIProfileAvatar51Name,Niestandardowy awatar – Szybki Psi
GameUIProfileAvatar51ShortName,Awatar Szybki Psi
GameUIProfileAvatar51Description,"Bycie przez cały czas w jedności ze wszechświatem nie oznacza, że Psi nie może się od czasu do czasu zabawić! Użyj tego cudownego awatara Psi, aby wyrazić uznanie."
GameUIProfileBanner6Name,Baner profilu Świątynia Słońca
GameUIProfileBanner6ShortName,Baner Świątynia Słońca
GameUIProfileBanner6Description,Odkryj prawdziwą moc w pełni sprawnej słonecznej świątyni dzięki temu epickiemu niestandardowemu banerowi profilu
GameUIProfileBanner7Name,Baner profilu Cukierkowe duchy
GameUIProfileBanner7ShortName,Baner Cukierkowe duchy
GameUIProfileBanner7Description,Cukierek czy psikus? Idealny niestandardowy baner profilu na Halloween
LychTagLine,Cmentarny Władca
LychTagLine2,zmartwychwstał!
Lych,Lych
LychInfoPanelDescription,"• Cmentarny Władca Lych wysysa wzmocnienia z twoich małpek, uzdrawiając się w tym samym czasie.\n• Po osiągnięciu kolejnej czaszki na swoim pasku zdrowia Lych staje się eteryczny, wskrzeszając puste skorupy niedawno wystrzelonych blonów klasy MOAB.\n• Gdy Lych staje się eteryczny, nie można go uszkodzić, dopóki wszystkie wskrzeszone blony nie zostaną zniszczone, w tym wysysający życie Lych.\n• Wskrzeszone MOAB-y nie przywołują nowych blonów."
EditorReviewMap,Przejrzyj mapę
YourBestTime,Rekordowy czas
Boss,Boss
MiniBoss,Miniboss
NormalRewards,Normalne nagrody
EliteRewards,Elitarne nagrody
1Player,1 gracz
2Player,2 graczy
3Player,3 graczy
4Player,4 graczy
BossLeaderboard,Tabela liderów bossów
LeaderboardSubmissionFail,Nie da się umieścić w tabeli liderów
SafeNameChallenge,Wyzwanie: {0}
SafeNameOdyssey,Odyseja: {0}
BossEventEnded,Wydarzenie bossa zakończyło się!
RankedNormal,Ranking normalny
RankedElite,Ranking elitarny
StartRankedBoss,Rozpocznij ranking bossa
MusicHaunted,Nawiedzony dom
GameUIMusicTrackMusicHauntedName,Szafa grająca: Nawiedzony dom
GameUIMusicTrackMusicHauntedShortName,Nawiedzony dom
GameUIMusicTrackMusicHauntedDescription,"Przerażające bity i widmowe rytmy sprawiają, że jest to obowiązkowy utwór na Halloween lub wieczorne sesje zabaw. Ograniczony czasowo przedmiot kolekcjonerski!"
NSCameraUsageDescription,Zrzut ekranu dla zgłoszeń do wsparcia
btd6_needmoremonkeymoneyprompt_no_iap,Za mało małpiej kasy!
UseRacePassDescription,"Czy skorzystać z przejściówki wyścigów, aby uzyskać nieograniczoną liczbę wejść na ten wyścig?"
RacePassActivated,Aktywowano przejściówkę wyścigów
UseRacePassTitle,Użyć przejściówki wyścigów?
Elite Best Time,Najlepszy elitarny czas
Normal Best Time,Najlepszy normalny czas
NormalCursor,Normalny kursor
MayAffectPerformance,*Może wpływać na skuteczność
GameUIMusicTrackMusicOnslaughtName,Onslaught
GameUIMusicTrackMusicOnslaughtShortName,Onslaught
GameUIMusicTrackMusicOnslaughtDescription,Utwór bossa Onslaught
SharingCoopBoss,Dołącz do mojej gry bossa w Bloons TD 6!
EliteBossEvent,Elitarne wydarzenie bossa
NinjaMonkey Paragon,Powstały cień
NinjaMonkey Paragon Description,Kompletny pakiet zabójców do radzenia sobie z każdym atakiem blonów.
Elite,Elitarne
HackGameStopMessage,Nie można ponownie zsynchronizować wartości gry. Niestety nie można kontynuować tej gry. Zagraj w nową grę.
RankedMode,Tryb rankingowy
Any,Dowolny
ScoreNotVerifiable,"Twój wynik nie został przesłany, ponieważ nie można go zweryfikować."
NoBossDataYet,"Pokonaj bossa, aby dołączyć do tabeli liderów minibossów!"
LeaderboardMessageMaxPlayers,Ranking 100 najlepszych graczy
ConfirmQuitCoopMessage,"Nie będzie można ponownie dołączyć do tej gry, jeśli ją teraz opuścisz. Czy na pewno chcesz to zrobić?"
YouWereRemoved,Twoja pozycja w trybie kooperacji została zamknięta w ostatniej grze i nie można do niej ponownie dołączyć.
iCloudLongMessage,"Jeśli usługa iCloud jest włączona i dostępna, twoje zapisy będą automatycznie przechowywane na Twoim koncie iCloud w celu tworzenia kopii zapasowych i dostępu na innych urządzeniach."
CreateNew,Utwórz nowe
SlotX,Miejsce {0}
EmptySlot,Puste miejsce
Delete,Usuń
CreatedDate,Stworzone: {0}
LastSavedDate,Ostatnio zapisane: {0}
DeleteDescription,Czy na pewno chcesz usunąć ten plik zapisu z urządzenia i konta iCloud?
SaveSlots,Zapisz miejsca
LoadGame,Załaduj grę
DeleteDescriptionNotConnected,Czy na pewno chcesz usunąć ten plik zapisu z pamięci lokalnej?
icloudConflictMessage,Twoje dane zapisu na koncie iCloud i na twoim urządzeniu są różne. Wybierz jedną opcję zapisu. Druga zostanie trwale usunięta.
GamecenterRestricted,Tryb dla wielu graczy niedostępny — nie możesz grać w gry wieloosobowe ani korzystać z ich treści na tym urządzeniu.
DeviceOfflineMessage,To urządzenie jest obecnie offline. Wszelkie istniejące zapisy w chmurze nie będą dostępne. Wszelkie postępy w grze mogą nie zostać zapisane.
GamecenterLoginPrompt,"Zaloguj się do Game Center, aby uzyskać dostęp. Otwórz Ustawienia urządzenia, znajdź Game Center i zaloguj się."
GamecenterRestrictedTitle,Ograniczony dostęp do gier wieloosobowych
GamecenterLoginTitle,Zaloguj się do Game Center
QuietStreet,Cicha uliczka
GalaxiliEziliSkinName,Skórka Galaxili
GalaxiliEziliSkinDescription,"Istoty ludzkie, cały wszechświat – powstał z kosmicznego pyłu"
MonkeyBuccaneer Paragon,Nawarcha mórz
MonkeyBuccaneer Paragon Description,"Najwspanialsza rzecz, jaka kiedykolwiek pływała na wodzie."
HeroesPsiPetBisonName,Zwierzak bizon Psi
HeroesPsiPetBisonShortName,Zwierzak bizon Psi
HeroesPsiPetBisonDescription,"Przykładowy okaz z rodzaju parzystokopytnych, który Psi uważa za megauroczy. Tylko oryginalny Psi ;)"
TowerPropMonkeyVillageAustralianFlagName,Flaga Australii małpiej wioski
TowerPropMonkeyVillageAustralianFlagShortName,Flaga Australii wioski
TowerPropMonkeyVillageAustralianFlagDescription,"Aussie Aussie Aussie, Oi Oi Oi! Ta flaga małpiej wioski wyświetla się dla wszystkich ulepszeń"
TowerProjectileMortarSnowName,Śnieżny pocisk małpki z moździerzem
TowerProjectileMortarSnowShortName,Śnieżny pocisk z moździerza
TowerProjectileMortarSnowDescription,Wygraj każdą bitwę na śnieżki z tym niezwykle śnieżnym pociskiem małpki z moździerzem. Ograniczony czasowo przedmiot kolekcjonerski!
TowerPetIceMonkeySnowmanName,Zwierzak bałwan lodowej małpki
TowerPetIceMonkeySnowmanShortName,Śnieżny zwierzak lodowej małpki
TowerPetIceMonkeySnowmanDescription,"Co robi lodowa małpka, gdy nie przekłuwa blonów? Oczywiście lepi fantastyczne śnieżne zwierzaki! Ograniczony czasowo przedmiot kolekcjonerski!"
BloonsDDTSkinSleighName,MST Śnieżna zagłada
BloonsDDTSkinSleighShortName,MST Śnieżna zagłada
BloonsDDTSkinSleighDescription,Podaruj prezenty w stylu w te Święta z przerażającą Śnieżną zagładą! Ograniczony czasowo przedmiot kolekcjonerski!
BloonsAllBloonsElfHatName,Elfickie blony
BloonsAllBloonsElfHatShortName,Elfickie blony
BloonsAllBloonsElfHatDescription,Wszystko jest ładniejsze w malutkiej czapce elfa! Ograniczony czasowo przedmiot kolekcjonerski!
CoopEmoteAnimationBenCoolName,Emotka Luzacki Ben
CoopEmoteAnimationBenCoolShortName,Luzacki Ben
CoopEmoteAnimationBenCoolDescription,Bądź jak Ben i wyluzuj się na maksa!
CoopEmoteAnimationBikerBonesRageName,Emotka Czaszkowa wściekłość
CoopEmoteAnimationBikerBonesRageShortName,Czaszkowa wściekłość
