//Input. Needs to be first e.g [I] replaced by click or tap,
Click,Klikk
Geraldo Level 19 Description,Geraldos hovedangrep er forbedret og se usynlighet-brygg får bonusskade mot kamuflerte bloons.
Geraldo Level 20 Description,Ny gjenstand! Paragon-krafttotem – tilfører paragonkraft til neste paragon som lages. Butikken fylles opp! Geraldos hovedangrep gjør mer skade.
Geraldo Shop shortname,Butikk
Geraldo Shop name,Geraldos butikk
Shooty turret name,Skyttertårn
Shooty turret description,"Et permanent, håndlagd dartskytende tårn."
Stack of old nails name,Haugmed gamle spiker
Stack of old nails description,"Ja, det er bare en haug med gamle spiker, men legg dem hvor som helst på banen, så popper de fort bloons som unnslipper."
Creepy idol name,Skummel statue
Creepy idol description,Sett denne skumle statuen nær banen for å skremme bloons tilbake dit de kom fra.
Jar of Pickles name,Glass med sylteagurk
Jar of Pickles description,"Prøv disse sylteagurkene på ett av apetårnene dine, så vil de en stund treffe hardere, men skyte saktere."
Rare Quincy action figure name,Sjelden actionfigur av Quincy
Rare Quincy action figure description,"I begrenset opplag og utmerket stand – original actionfigur av Quincy, sønn av Quincy! Denne blir bare mer og mer verdifull, så kjøp den nå!"
See invisibility potion name,Se usynlighet-brygg
See invisibility potion description,"Alle aper som får dette lekre brygget, kan se kamuflerte bloons så lett som bare det! Effekten avtar."
Tube of amaz-o-glue name,Tube med utrolim
Tube of amaz-o-glue description,"Helt utrolig! Bruk en tube av dette moderne vidunderet hvor som helst på banen, så vil bloonsene raskt sakkes ned. Varer i 4 runder eller frem til det er brukt opp."
Sharpening stone name,Hvessestein
Sharpening stone description,"Hvess dartpilene! Bruk denne på dartpiler og klinger, så blir de skarpere enn noensinne. Utløper etter 15 runder."
Worn heros cape name,Brukt heltekappe
Worn heros cape description,"Alle helter bruker kapper! Gi denne til en av dart-apene dine og se forvandlingen! Litt brukt, kun for lavere nivåer."
Blade trap name,Klingefelle
Blade trap description,Sett denne ut på banen og se de første bloonsene som berører den bli revet i fillebiter av snurrende klinger!
Gerrys fire hot sauce name,Flaske med chilisausen Gerrys ild
Gerrys fire hot sauce description,"2,8 millioner Bloonville-enheter Hvem enn som smaker denne spesielle sausen vil sprute ild en stund!"
Fertilizer name,Gjødsel
Fertilizer description,Har gården din bananer? Lyst på enda flere bananer? Spre litt av dette magiske gjødslet direkte på gården for å få flere bananer!
Pet rabbit name,Kjælekanin
Pet rabbit description,Noen ganger trenger du bare en supersøt kanin! Eller flere!
Rejuv potion name,Ungdomsbrygg
Rejuv potion description,Slipp denne deilige drikken hvor som helst og se den ungdommelige effekten dens gjenopprette liv og tilbakestille nedkjølinger.
Genie bottle name,Åndeflaske
Genie bottle description,"Tilkall en apeåpnd fra denne vakre blå flasken, men husk at ingenting varer evig! (ingen ønsker inkludert med kjøp)."
Paragon power totem name,Paragon-krafttotem
Paragon power totem description,Øk neste paragons krefter med denne mystiske gjenstanden …
EventEndingSoonText,"Hendelsen avsluttes snart, så man kan ikke lenger bli med."
EngineerMonkey Paragon,Mesterbygger
EngineerMonkey Paragon Description,Apeingeniørskap utviklet til perfeksjon. Lager tre megatårn som bygge sine egne tårn.
OptionsLogout,Logg ut
ConfirmLogout,Bekreft utlogging
ConfirmLogoutDesc,"Er du sikker på at du vil logge ut av kontoen din? Hvis du gjør det, burde du først huske kontodetaljene dine og tilknytningskoden din.\n\n{0}"
VortexTagLine,Fra himmelen kommer
VortexTagLine2,Dødelig luftmester
Vortex,Vortex
VortexInfoPanelDescription,"• Vortex beveger seg raskt som lynet og får også fart på andre bloons!\n• Når en helsefelt-hodeskalle nås, beskytter Vortex seg og sender ut en sjokkbølge som lamslår tårn i nærheten før han trekker seg tilbake på banen.\n• Vortex sender ut en vanlig stormpuls som ødelegger prosjektiler, inkludert ikke-krefter på banen."
Scrapyard,Skrapgård
BloonsAllBloonsCatEarName,Katteøre-bloons
BloonsAllBloonsCatEarShortName,Katteøre-bloons
BloonsAllBloonsCatEarDescription,"Bloons og katter pleier ikke å være en god kombinasjon, men akkurat denne gangen er det purrfekt."
BloonsAllBloonsDisguiseGlassesName,Forkledningsbrille-bloons
BloonsAllBloonsDisguiseGlassesShortName,Forkledningsbrille-bloons
BloonsAllBloonsDisguiseGlassesDescription,Bare en ape ville latt seg lure av denne forkledningen. Vent nå litt …
CoopEmoteAnimationPatFlexName,Pats flekseemote
CoopEmoteAnimationPatFlexShortName,Pats fleksing
CoopEmoteAnimationPatFlexDescription,"Styrke og intellekt, for en kombinasjon! Pat sterk!"
CoopEmoteAnimationMindBlownName,Imponert emote
CoopEmoteAnimationMindBlownShortName,Imponert
CoopEmoteAnimationMindBlownDescription,"Når samarbeidspartneren din gjør noe helt vanvittig smart, er det kun denne emoten som er god nok!"
GameUIProfileAvatar59Name,Superape-avatar
GameUIProfileAvatar59ShortName,Superape-avatar
GameUIProfileAvatar59Description,Du kan se kjærligheten i øynene hans. Nå må du bare bestemme om superapen ser på deg eller rett og slett sitt eget speilbilde.
GameUIProfileAvatar60Name,Striker Jones-avatar
GameUIProfileAvatar60ShortName,Striker Jones-avatar
GameUIProfileAvatar60Description,Striker Jones rapporterer til tjeneste! Vis hvor klar du er til å vinne med hilsninger fra apen som skyter fra skulderen.
GameUIProfileBanner13Name,Ankomst-profilbanner
GameUIProfileBanner13ShortName,Ankomstbanner
GameUIProfileBanner13Description,Bannervinner av betapotata
GameUIProfileBanner14Name,Under vannet-profilbanner
GameUIProfileBanner14ShortName,Under vannet-banner
GameUIProfileBanner14Description,Bannervinner av Cyliia
GameUIMusicTrackMusicSunshineFiestaMixName,Jukeboks: Sunshine Serenade - Fiesta Remix
GameUIMusicTrackMusicSunshineFiestaMixShortName,Sunshine - Fiesta
GameUIMusicTrackMusicSunshineFiestaMixDescription,Skru opp lyden og kos deg med denne deilige remiksen av Sunshine Serenade.
CantSubmitEventEnded,"Kan ikke sende poengene dine, hendelsen er allerede over."
CyberQuincySkinNameFull,Cyber Quincy
ScientistGwendolinSkinNameFull,Forskeren Gwendolin
SentaiCaptainChurchillSkinNameFull,Sentai Churchill
BikerBonesSkinNameFull,Sykkel-Bein
ObynOceanGuardianSkinNameFull,Havvokter
BenJamminSkinNameFull,Benjammin DJ
SmudgeCattSkinNameFull,Katten Smudge
FustyTheSnowmanSkinNameFull,Snømannen Fusty
WolfpackQuincySkinNameFull,Ulveflokk-Quincy
JoanOfArcAdoraSkinNameFull,Jeanne d'Arc-adora
HarlegwenGwendolinSkinNameFull,Harlegwen
OctoJonesStrikerJonesSkinNameFull,Blekkjones
DreadPirateBrickellAdmiralBrickellSkinNameFull,Fryktpiraten Brickell
ObynMountainGuardianSkinNameFull,Fjellvokter
SushiBentoBenjaminSkinNameFull,Sushi Bento
ETnEtienneSkinNameFull,ETn
VikingSaudaSaudaSkinNameFull,Viking Sauda
GalaxiliEziliSkinNameFull,Galaxili
PsimbalsPsiSkinNameFull,Psimbaler
Least Cash,Minst kontanter:
Least Tiers,Laveste nivå:
Least Cash Used,Minst kontanter brukt:
Least Tiers Used,Laveste nivå brukt:
All Tiers Used,Alle nivåer brukt
All Cash Used,Alle kontanter brukt
Tiers Used,Nivåer brukt
Cash Used,Kontanter brukt
No Score Set,Ingen poeng
Auto,Auto
FriendScreenFriends,Venner
FriendScreenRequests,Forespørsler
FriendScreenYourFriendCode,Din vennekode:
FriendScreenOnline,Online
FriendScreenOffline,Offline
FriendScreenAccept,Godta
FriendScreenDecline,Avslå
FriendScreenBlock,Blokker
FriendScreenFriendText,Vennene dine vises her. Del vennekoden din med venner og familie
RequestDisabledText,Forespørsler avvist
FriendScreenEnterCode,Skriv vennekode:
FriendScreenAdd,Legg til
FriendScreenSureUnfriend,Er du sikker på at du vil fjerne brukeren som venn?
FriendScreenSureBlock,Er du sikker på at du vil blokkere brukeren?
SpecialConditions,Spesielle vilkår
FriendScreenRequestText,Forespørsler vises her. Del vennekoden din med venner og familie
FriendScreenCodeHidden,Vennekode skjult
RequestEnabledText,Forespørsler aktivert
Least Cash No Colon,Minst kontanter
Least Tiers No Colon,Laveste nivå
SpecialConditionsColon,Spesielle vilkår:
GoalSetForCash,Målet er satt til {0} kontanter
GoalSetForTiers,Målet er satt til {0} nivåer
ChallengeCashUsed,Du brukte {0}/{1} kontanter
ChallengeTiersUsed,Du brukte {0}/{1} nivåer
ShootyTurret,Skyttertårn
CreepyIdol,Skummel statue
RareQuincyActionFigure,Sjelden actionfigur av Quincy
GenieBottle,Åndeflaske
ParagonPowerTotem,Paragon-krafttotem
FriendScreenErrorRequestFailed,Venneforespørsel mislyktes
FriendScreenErrorInvalidCode,Ugyldig vennekode
FriendScreenErrorBlocked,Spilleren du prøver å legge til har dessverre blokkert venneforespørsler.
FriendScreenErrorAlreadySent,Du har allerede sendt en venneforespørsel til denne spilleren
FriendScreenErrorTooManyFriends,Du har nådd maksgrensen for venner. Du kan lage plass til flere ved å fjerne en venn eller avbryte en venneforespørsel du har sendt
MapEditor,Kartredigeringsverktøy
Jar of Pickles description level 11,"Prøv disse sylteagurkene på et av apetårnene dine, så vil det i en periode treffe hardere, men skyte mer langsomt. Nå med økt skade på forsterkede bloons!"
Creepy idol description level 12,Plasser denne spøkelsesaktige statuen i nærheten av banen for å skremme bloons (selv MOAB-er!) tilbake dit de kom fra.
Shooty turret description level 13,"Et permanent, håndlagd dartskytende tårn. Oppgradert! Skyter kjappere og påfører mer skade."
Stack of old nails description level 13,"Ja, det er bare en haug med gamle spiker, men legg dem hvor som helst på banen, så popper de fort bloons som unnslipper."
See invisibility potion description level 14,Apen du utstyrer med denne ekstremt effektive eliksiren vil enkelt kunne spotte kamuflasjebloons! Effekter avtar. Gir nå økt rekkevidde og varer enda lengre!
Sharpening stone description level 15,"Slip pilene, min venn! Bruk denne på dartpilene og klingene dine,  og de vil bli skarpere og gjøre mer skade enn noen gang før."
Blade trap description level 15,"Plasser denne på banen og følg med når de første bloonsene kommer borti den og blir revet i filler av de store, snurrende klinger! En nyere og mer kraftfull modell! "
Stack of old nails description level 16,"Ja, det er bare en GIGANTISK SPIKERMINE, men plasser den hvor som helst på banen, så vil den enkelt poppe bloons som unnslipper."
Jar of Pickles description level 16,"Prøv disse sylteagurkene på et av apetårnene dine, så vil det treffe hardere, men skyte mer langsomt i en stund. Nå med ENDA MER økt skade på forsterkede bloons!"
Gerrys fire hot sauce description level 16,"2,8 millioner Bloonville-enheter. Den som smaker på denne spesialsausen, vil spy ut flammer i en stund! Nå med ekstra brennfaktor."
Tube of amaz-o-glue description level 17,"Helt utrolig! Bruk en tube av dette moderne vidunderet hvor som helst på banen, så vil bloonsene og MOAB-ene raskt sakkes ned."
Genie bottle description level 18,"Tilkall en åndeape fra denne briljante gullflasken, men vær obs – den varer ikke evig! (Ingen ønsker inkludert i kjøp). Inkluderer nå ekstra angrep og mer skade på MOAB-er."
Creepy idol description level 18,Plasser denne spøkelsesaktige statuen i nærheten av banen for å skremme bloons tilbake dit de kom fra. Liklaken-oppgradering er låst opp!
See invisibility potion description level 19,Apen du utstyrer med denne ekstremt effektive eliksiren vil enkelt kunne spotte kamuflerte bloons og påføre dem mer skade! Effekter avtar.
FriendScreenSureUnBlock,Er du sikker på at du vil oppheve blokkeringen av denne brukeren?
None,Ingen
Knowledge Requirement Monkey Money,Ikke nok apepenger. Vil du kjøpe mer?
Knowledge Requirement Points,Ikke nok kunnskapspoeng
InviteFriend,Inviter venn
InvitedToJoin,{0} har invitert deg til å bli med i samarbeidsspillet sitt. Har du lyst til å bli med?
HeroesMountainObynPetBalfrogName,Balfrosk-kjæledyr
HeroesMountainObynPetBalfrogShortName,Balfrosk-kjæledyr
HeroesMountainObynPetBalfrogDescription,"Denne lille frosken, som stammer fra mørke gruver under tåkefjell, lyser opp enhver samtale med et brennende ønske om å være din ene flamme. Kun Fjell-Obyn."
TowerPropMonkeyVillagePrideFlagName,Apelandsby-prideflagg
TowerPropMonkeyVillagePrideFlagShortName,Landsby-prideflagg
TowerPropMonkeyVillagePrideFlagDescription,Feir mangfold og ulike livsstiler med dette fantastiske prideflagget til apelandsbyene dine. Vises for alle oppgraderinger
CoopEmoteTextNeedMoreName,Trenger mer!-tekstemote
CoopEmoteTextNeedMoreShortName,Trenger mer!
CoopEmoteTextNeedMoreDescription,"Denne emoten er perfekt for enhver anledning – enten du trenger mer penger, bloons, forsvar eller mat."
CoopEmoteTextNeedMoreWord,Trenger mer!
CoopEmoteAnimationRainbowName,Regnbueanimasjon
CoopEmoteAnimationRainbowShortName,Regnbue
CoopEmoteAnimationRainbowDescription,"Syng med, alle sammen! Et steeeeed over regnbuen …"
GameUIProfileAvatar61Name,Dart-ape-avatar
GameUIProfileAvatar61ShortName,Dart-ape-avatar
GameUIProfileAvatar61Description,All ære til den mektige darten! Bloonspopper!
GameUIProfileAvatar62Name,Geraldo-avatar
GameUIProfileAvatar62ShortName,Geraldo-avatar
GameUIProfileAvatar62Description,"Hei, venn! Kan jeg friste med en lodden, hvit kanin? Han er helt harmløs – er du ikke enig?"
GameUIProfileBanner15Name,Banner i original BTD-stil
GameUIProfileBanner15ShortName,Banner i original BTD-stil
GameUIProfileBanner15Description,Bannervinner av LordTeddington
GameUIProfileBanner16Name,Skogens ånd-banner
GameUIProfileBanner16ShortName,Skogens ånd-banner
GameUIProfileBanner16Description,Bannervinner av tricky999tricky
GameUIMusicTrackMusicTribesJaloonMixName,Jukeboks: Klaner og prøvelser – Jaloon-remiks
GameUIMusicTrackMusicTribesJaloonMixShortName,Klaner – Jaloon
GameUIMusicTrackMusicTribesJaloonMixDescription,Begi deg ut på dansegulvet med denne energiske remiksen av den elskede låten Klaner og prøvelser
Quarry,Gullgruve
VoidoraAdoraSkinName,Voidora-skin
VoidoraAdoraSkinDescription,Jeg har kommet fra tomrommet
VoidoraAdoraSkinNameFull,Voidora
InappropriateTeamName,Velg et mer passende navn på laget
TeamNameNotUnique,"Navnet er allerede i bruk! Velg et annet, eller prøv å legge til tall"
TeamNameTooShort,Lagnavn må bestå av mellom {0} og {1} tegn 
SentryParagonChild,Modifisert skiltparagon
LoginwithEpic,Logg inn med Epic
EnterLinkingCode,Skriv inn en tilkoblingskode for å koble til:
Connect,Koble til
PrivacyPolicy,Retningslinjer for personvern
TermsOfService,Tjenestevilkår
ConfirmAgeInfo,Bekreft alderen din for å fortsette. Du må logge inn for å spille ekstra nettfunksjoner og sikkerhetskopiere dataene dine.
AgeQuestion,Er du {0} år eller eldre? 
AgeYes,"Ja, jeg er {0} år eller eldre."
AgeNo,"Nei, jeg er under {0} år."
PersonalAccountInfo,"Du kan opprette en personlig konto uten å bruke personopplysninger.
Ved å velge «Jeg samtykker», har forelderen eller vergen din lest gjennom Ninja Kiwi sine retningslinjer for personvern og tjenestevilkår med deg, og de samtykker til retningslinjene for personvern og tjenestevilkårene og muligheten vår for å lagre spilløktene dine og ikke-personlig identifiserbar kontoinformasjon i tjenesten vår som inkluderer bruken av servere i USA."
AgreeCreateAccount,Jeg godtar – opprett en konto
NormalAccountInfo,"Ved å fortsette godtar du Ninja Kiwis retningslinjer for personvern og tjenestevilkår og vår evne til å lagre spillingen din og kontoinformasjon på tjenesten vår, som inkluderer bruken av servere i USA."
LoggedInAs,Logget inn som:
EpicAccountId,Epic-konto-ID:
NeedHelp,Trenger du hjelp?
ContactSupport,Kontakt kundestøtten
DeleteAccountText,Hvis du sletter kontoen din mister du tilgang til all skyframdrift og alle data.
EnterUserId,Skriv inn bruker-ID-en din her
GetAllButton,Skaff deg alle
GetAllConfirmation,Bekreft at du ønsker å bruke apepengene dine på å sikre deg alle tilgjengelige helter og skins!
DeleteAccount,Slett konto
CtLeaderboardTitle,Ledertavle for Kapret territorium
LocalTeams,Lokale lag
LocalPlayers,Lokale spillere
GlobalTeams,Globale lag
GlobalPlayers,Globale spillere
CreateTeamPanelTitle,Opprett lag
CreateTeamTitle,Opprett et lag
CreateTeamNameDescription,Lagnavn:
CreateTeamNameInputField,Skriv inn lagnavn …
CreateTeamCostDescription,Bruk {0} på å opprette et lag
CreateTeamFailed,Kunne ikke opprette lag
EditTeamPanelTitle,Rediger lag
EditTeamTitle,Rediger laget ditt
EditTeamNameDescription,Rediger lagnavnet:
TeamEmblemTitle,Emblem
TeamBannerTitle,Banner
TeamEmblemsTitle,Emblemer
TeamBannersTitle,Bannere
TeamGeneralTitle,Generelt
TeamSettingPublicTitle,Offentlig
TeamSettingPrivateTitle,Privat
TeamSettingClosedTitle,Kun inviter
TeamJoin,Bli med
TeamApply,Spør om å få bli med
RecentWin,Nylig seier:
TileHeldBy,Flisen eies av:
Score,Poengsum
ScoreDegradesIn,Poengsummen degraderes om:
NeutralOwnerIn,Nøytral eier om:
Tile,Flis: {0}
RelicTile,Relikvieflis
BannerTile,Bannerflis
BonusCTPoints,Ekstra KT-poeng!
DailyRelics,Daglige kraft- og hendelsesrelikvier
HeldRelics,Kaprede relikvier
Tickets,Billetter:
PurchaseTickets,Kjøp billett
MoreTicketsIn,Flere billetter om:
CTTitleName,Kapret territorium
CTTeamStore,Lagbutikk
CTMyTeam,Mitt lag
CTTeamTrophies,Lagtrofeer
CTTickets,Billetter
CTTeamTickets,Lagsaker
CTNextTicketsIn,Neste billetter om:
CTTileSearch,Søk etter flis
CTOwner,Eier:
CTScore,Poeng:
CTNeutralIn,Nøytral om:
CTPosition,Plassering:
CTUncaptured,Ikke kapret
CTCheckpoint,Kontrollpunkt er nådd!
CTNewScore,Ny poengsum!
CTBestScore,Beste poengsum
TimeAttack,Tidsangrep
ERR_NOT_LOGGED_IN,Ikke innlogget
ERR_ALREADY_PENDING,Forespørselen venter allerede
ERR_FEATURE_UNAVAILABLE,Funksjonen er ikke tilgjengelig. Prøv igjen senere
ERR_REQUEST_PARAMETER_MISSING,Mangler parameter
ERR_GUILD_FULL,Laget er fullt
ERR_GUILD_NAME_EXISTS,Lagnavnet finnes allerede
ERR_GUILD_DOES_NOT_EXIST,Laget finnes ikke
ERR_GUILD_CANNOT_DISBAND,Laget kan ikke oppløses
ERR_GUILD_PERMISSION_DENIED,Tillatelse avslått
ERR_GUILD_CANNOT_UPDATE_OWNER_DENIED,Kan ikke oppdatere lageieren. Tillatelsen ble avslått
ERR_GUILD_CANNOT_UPDATE_OWNER_NONE,Kan ikke oppdatere lageieren
ERR_TIMEOUT,Forespørselen ble tidsavbrutt. Prøv på nytt
CreateNewTeamText,Vil du opprette et nytt lag?
ParagonLimitReached,Grense for paragon er nådd
TeamMsgNewMayor,{0} er den nye borgermesteren!
TeamMsgPlayerJoined,{0} har blitt med på laget
TeamMsgPlayerLeft,{0} har forlatt laget
TeamMsgPlayerKicked,{0} ble kastet ut av laget av {1}.
TeamMsgPlayerDemoted,{0} ble degradert av {1}.
TeamMsgRegularTileCaptured,{0} kapret en vanlig flis. Godt jobba!
TeamMsgBannerTileCaptured,{0} kapret en bannerflis. Nydelig!
TeamMsgRelicTileCaptured,{0} kapret en relikvieflis og la til {1} i lagets relikvieliste. Sånn skal det gjøres!
TeamMsgRegularTileCapturedOtherGuild,{0} kapret en vanlig flis fra {1}. Godt jobba!
TeamMsgBannerTileCapturedOtherGuild,{0} kapret en bannerflis fra {1}. Nydelig!
TeamMsgRelicTileCapturedOtherGuild,{0} kapret en relikvieflis fra {2} og la til {1} i lagets relikvieliste. Sånn skal det gjøres!
TeamMsgRelicTileLost,Relikvieflisen er borte! {0} er ikke lenger tilgjengelig.
TeamMsgPlayerPromoted,{0} ble forfremmet til assisterende borgermester av {1}
TeamMsgTeamCreated,Laget {0} ble opprettet av {1}
TeamMsgNewFocusMarker,Nytt flagg plassert av {0}
TeamMsgFlairUnlocked,{0} er låst opp! Herlig innsats!
TileCaptured,Flisen er kapret
TileNotCaptured,Flisen er ikke kapret
TicketUsed,Billett brukt
NoTicketUsed,Ingen billett brukt
ScoreToBeat,Poengsum som må slås:
YourScore,Din poengsum:
PublicWithBrackets,(Offentlig)
PrivateWithBrackets,(Privat)
CTRelicWon,Relikvie vunnet!
CTBonusPoints,Bonuspoeng!
Teams,Lag
CaptureScoreMissed,Du klarte ikke kapringspoengsummen!
CaptureScoreNear,Advarsel! Du nærmer deg kapringspoengsummen
CtInternalError,Det oppstod en intern feil. Prøv igjen senere
CtServerError,Kapret territorium-serveren kan ikke behandle forespørselen din akkurat nå. Prøv igjen senere
Achievement 143 Name,Erobret territorium
Achievement 143 Description,Kapre 5 fliser fra andre spillere
Achievement 144 Name,Imperienes nivå
Achievement 144 Description,Kapre 50 fliser
Achievement 145 Name,Territoriumprøvetaker
Achievement 145 Description,"Kapre én av hver: sjef, tidsangrep, siste nivåer og fliser med minst penger"
CTLeastCashDescription,"Bruk så lite penger som mulig for å vinne flisen. Penger brukt inkluderer apetårn-plasseringer og oppgraderinger, i tillegg til betalte helteoppgraderinger. Salg av aper reduserer ikke brukte penger."
CTLeastTiersDescription,Bruk så få apetårn og oppgraderinger som mulig for å vinne flisen. Hver ape og helt som plasseres og hver oppgradering teller som ett nivå. Betalte helteoppgraderinger teller også som et nivå. Salg av aper reduserer ikke nivåantallet.
CTTimeAttackDescription,"Sikre deg den kjappest mulige tiden for å vinne flisen. Basert på racehendelsen starter tidtakeren når du trykker på spill. Send neste runder tidlig for å forbedre tiden din, men vær forsiktig – tidsangrepsspill lagres ikke, så unngå å gi opp midt i spill"
CTBossDescription,"Ta knekken på sjefen så kjapt som mulig for å vinne flisen. Basert på sjefshendelsen starter tidtakeren når sjefen vises på skjermen. Sjefer i Kapret territorium vil enten være på bare nivå 1 eller nivå 1 og 2, avhengig av rundeantallet for flisen. Konsen"
CtEventEnded,Hendelsen er dessverre avsluttet
RelicStartingStash,Oppstartsstæsj
RelicExtraEmpowered,Ekstra styrket
RelicBoxOfChocolates,Sjokoladeboks
RelicBoxOfMonkey,Apeboks
RelicMarchingBoots,Marsjeringsstøvler
RelicHeroBoost,Helteøkning
RelicBiggerBloonSabotage,Større bloon-sabotasje
RelicRoundingUp,Runder opp
RelicManaBulwark,Mana-festningsvoll
RelicRegeneration,Regenerering
RelicRestoration,Helbredelse
RelicDurableShots,Varige skudd
RelicAlchemistTouch,En alkymists berøring
RelicDeepHeat,Dyp varme
RelicSharpsplosion,Skarplosjon
RelicRoyalTreatment,Kongelig behandling
RelicHardBaked,Hardbakt
RelicFortifried,"Forsterket, men stekt"
RelicMoabClash,MOAB-sammenstøt
RelicCamoFlogged,Kamuknertet
RelicBrokenHeart,Knust hjerte
RelicGoingTheDistance,Går den ekstra mila
RelicHeartless,Hjerteløs
RelicFlintTips,Flintsteinkanter
RelicAbilitized,Skrytepave
RelicAirAndSea,Luft og sjø
RelicElDorado,El Dorado
RelicMonkeyShield,Apeskjold
RelicMonkeyShieldMark2,Apeskjold-merke 2
RelicMonkeyShieldMark3,Apeskjold-merke 3
RelicPsiVision,Psi-syn
RelicOpenSeason,Åpen sesong
RelicCamoTrap,Kamuflert felle
RelicThrive,Vekst
RelicSuperMonkeyStorm,Superapestorm
RelicMonkeyBoost,Apeøkning
RelicRoadSpikes,Veispikre
RelicMoabMine,MOAB-mine
RelicGlueTrap,Limfelle
RelicTechbot,Tekbot
RelicPrimaryPrimates,Opprinnelige primater
RelicMilitaryMonkeys,Militæraper
RelicMagicMonkeys,Magiske aper
RelicSupportSimians,Støtte-menneskeaper
RelicMonkeyTycoon,Apefyrste
RelicStartingStashDescription,Start hvert spill med 250 penger ekstra (kan stables med flere penger på vanlige fliser)
RelicExtraEmpoweredDescription,Helten din starter et spill med 3 ekstra nivåer (kan stables med styrkede helter på vanlige fliser)
RelicBoxOfChocolatesDescription,Start hvert spill med 100 ekstra liv
RelicBoxOfMonkeyDescription,Start hvert spill med én gratis ape som koster 400 $ eller mindre for umodifisert førstegangs plassering
RelicMarchingBootsDescription,"I spill med begrensede antall får spillere maks +1 av hvert tårn i utvalget deres, eller totalt maks +4 per spill"
RelicHeroBoostDescription,Helter får XP 15 % kjappere i hvert spill
RelicBiggerBloonSabotageDescription,Alle bloons i MOAB-klasse lager nye bloons med 15 % mindre helse og beveger seg i en hastighet tilsvarende 95 %
RelicRoundingUpDescription,Tjen +20 $ på slutten av hver runde
RelicManaBulwarkDescription,Skaper et skjold som absorberer opptil 50 liv (kan stables med manaskjold på vanlige fliser)
RelicRegenerationDescription,Gjenopprett 20 liv per runde opp til hvert spills startverdi for liv hvis du ikke mistet noen liv i runden
RelicRestorationDescription,Gjenopprett 10 liv per runde opp til en økt startverdi for liv til en verdi av +200 hvis du ikke mistet noen liv i runden
RelicDurableShotsDescription,Alle prosjektiler har levetid på +25 %
RelicAlchemistTouchDescription,Alle angrep kan poppe blybloons
RelicDeepHeatDescription,Alle angrep kan poppe hvite bloons
RelicSharpsplosionDescription,Alle angrep kan poppe svarte bloons
RelicRoyalTreatmentDescription,Alle angrep kan poppe lilla bloons
RelicHardBakedDescription,Alle angrep påfører +1 skade på keramiske bloons
RelicFortifriedDescription,Alle angrep påfører +1 skade på forsterkede bloons
RelicMoabClashDescription,Alle angrep påfører +2 skade på bloons i MOAB-klasse
RelicCamoFloggedDescription,Alle angrep påfører +3 skade på kamuflerte bloons
RelicBrokenHeartDescription,Alle angrep påfører +1 skade på gjenvoksende bloons
RelicGoingTheDistanceDescription,Alle aper får +20 % rekkevidde
RelicHeartlessDescription,Regenereringsraten for gjenvoksende bloons reduseres med 50 %
RelicFlintTipsDescription,"Skarpe prosjektiler tilføyer ildkuler på alle bloons de skader (1 skade hvert 2,5 sek i totalt 5 sek)"
RelicAbilitizedDescription,Alle aktiverte evnenedkjølinger for alle aper reduseres med 10 %
RelicAirAndSeaDescription,"Ess, Helikopter, Pirat og Ubåt får plasserings- og oppgraderingskostnadene redusert med 5 %, samt 5 % forbedret omlading"
RelicElDoradoDescription,Alle apepenger og lagtrofé-belønninger fra spillseire økes med 25 % (minimum +1)
RelicMonkeyShieldDescription,Flisen du har kapret kan ikke angripes av andre lag i løpet av den første timen. Forbedret poengsum vil tilbakestille tidtakeren.
RelicMonkeyShieldMark2Description,Flisen du har kapret kan ikke angripes av andre lag i løpet av de første to timene. Forbedret poengsum vil tilbakestille tidtakeren.
RelicMonkeyShieldMark3Description,Flisen du har kapret kan ikke angripes av andre lag i løpet av de første tre timene. Forbedret poengsum vil tilbakestille tidtakeren.
RelicPsiVisionDescription,Se fullstendig informasjon for alle fliser på kartet
RelicOpenSeasonDescription,Angrip en flis på kartet
RelicCamoTrapDescription,Gir bruk av 1 kamuflasje-felle per spill
RelicThriveDescription,Tildeler bruk av 2 vekstøkninger per spill
RelicSuperMonkeyStormDescription,Tildeler bruk av 2 superapestormer per spill
RelicMonkeyBoostDescription,Tildeler bruk av 3 apeøkninger per spill
RelicRoadSpikesDescription,Gir 10 hauger med veispikre per spill
RelicMoabMineDescription,Gir bruk av 1 MOAB-mineøkning per spill
RelicGlueTrapDescription,Gir bruk av 2 limfelle-kraftøkninger per spill
RelicTechbotDescription,Gir bruk av 1  tekbot-kraftøkning per spill
RelicPrimaryPrimatesDescription,Reduserer kostnaden for alle opprinnelige aper med 8 %
RelicMilitaryMonkeysDescription,Reduserer kostnaden for alle militæraper med 8 %
RelicMagicMonkeysDescription,Reduserer kostnaden for alle magiske aper med 8 %
RelicSupportSimiansDescription,Reduserer kostnaden for alle støtteapper med 10 %
RelicMonkeyTycoonDescription,"Få +1 av alle apetårn i utvalget ditt, og grunnprisen deres reduseres med 4 %"
InviteToTeam,Inviter til laget
TeamLeave,Forlat laget
Requests,Forespørsler
TeamMessagesTab,Meldinger
TeamRosterTab,Utvalg
TeamPending,Venter
CancelRequest,Avbryt forespørsel
TeamDisband,Oppløs lag
TeamCode,Lagkode
TeamMemberCount,{0}/{1} medlemmer
TeamPendingApplications,({0} venter)
TeamNoInfo,Ingen informasjon å vise
AllTeams,Alle lag
