//Input. Needs to be first e.g [I] replaced by click or tap,
Click,คลิก
EditorPowersIncluded,รวมพลังด้วย
EditorPowersExcluded,ไม่รวมพลัง
OdysseyDescription,คำอธิบาย:
SelectDefaultCrew,เลือกลูกเรือเริ่มต้น
Completed,สมบูรณ์
BossStart,เริ่มอีเว้นท์บอส
BloonariusPrime,บลูนาเรียส ไพรม์
OdysseyLockedSubmitButtonDescription,คุณได้ส่งโอดิสซีย์ นี้ไปแล้ว
OdysseyLockedShareButtonDescription,ในการแบ่งปันโอดิสซีย์ของคุณ คุณต้องพิสูจน์ว่า โอดิสซีย์ของคุณสามารถเอาชนะได้ โดยเล่นให้ถึงหน้าจอชัยชนะในโหมดทดสอบ!
OdysseyShareAgainExplanation,แบ่งปันอีกครั้งเมื่อตัวจับเวลานับถอยหลัง คุณต้องเอาชนะโอดิสซีย์เพื่อแบ่งปัน
ProfileAvatars,อวตาร
ProfileBanners,ป้าย
BossNormal,ปกติ
BossElite,อีลิท
BloonariusTagLine,จากห้วงน้ำลึก
BloonariusTagLine2,อินเฟลเตอร์ตื่นขึ้นแล้ว!
Bloonarius,บลูาเรียส
TierX,ระดับ {0}
HeroesGwendolinPlacementFireballName,วางลูกบอลไฟเกว็นโดลิน และอัปเกรด
HeroesGwendolinPlacementFireballShortName,ลูกบอลไฟเกว็น
HeroesGwendolinPlacementFireballDescription,ทำให้แน่ใจว่าการมาถึงและการอัปเกรดของเกว็นนั้นจะแผดเผาอย่างสวยงามด้วยเอฟเฟกต์ลูกไฟที่สุดยอดนี้! เกว็นโดลินตัวเดิมเท่านั้น
TowerPropMonkeyVillageGermanyFlagName,ธงหมู่บ้านลิงเยอรมนี
TowerPropMonkeyVillageGermanyFlagShortName,ธงหมู่บ้านเยอรมันนี
TowerPropMonkeyVillageGermanyFlagDescription,ทุกคนรู้ดีว่าเทคโนโลยีหมู่บ้านลิงเยอรมันนีนั้นยอดเยี่ยมมาก! แสดงการอัปเกรดทั้งหมด
TowerPropMonkeyVillageUKFlagName,ธงหมู่บ้านลิงอังกฤษ
TowerPropMonkeyVillageUKFlagShortName,ธงหมู่บ้านอังกฤษ
TowerPropMonkeyVillageUKFlagDescription,หมู่บ้านลิงแห่งนี้เป็นส่วนหนึ่งของเครือจักรภพสหราชอาณาจักร ความภาคภูมิใจแสดงอยู่ในการอัปเกรดทั้งหมด
BloonsDDTSkinTronName,นีออน DDT
BloonsDDTSkinTronShortName,นีออน DDT
BloonsDDTSkinTronDescription,โฉบเฉี่ยวและอันตราย ถ้าบอกว่า DDT นี้มาจากอนาคต คุณก็คงจะเชื่อ เอ๊ะ หรือว่ามันอาจจะมาจากอนาคตจริงๆ
BloonsAllBloonsBucketHatName,ลูกโป่งหมวกบักเก็ต
BloonsAllBloonsBucketHatShortName,ลูกโป่งหมวกบักเก็ต
BloonsAllBloonsBucketHatDescription,แต่งตัวให้ลูกโป่งตามเทรนด์ ด้วยหมวกบักเก็ตดิจิทัลล่าสุด
BloonsAllBloonsPopsWaterbloonName,เอฟเฟกต์เสียงลูกโป่งน้ำแตก
BloonsAllBloonsPopsWaterbloonShortName,เอฟเฟกต์เสียงลูกโป่งน้ำแตก
BloonsAllBloonsPopsWaterbloonDescription,เหมาะสำหรับคลื่นความร้อน ทำให้ลูกโป่งทุกตัวเป็นลูกโป่งน้ำ ด้วยเอฟเฟกต์ลูกโป่งแตกสุดเจ๋งนี้
CoopEmoteTextNextRoundScaryName,รอบต่อไป! น่ากลัวมาก! ข้อความอีโมต
CoopEmoteTextNextRoundScaryShortName,รอบต่อไป! น่ากลัวมาก!
CoopEmoteTextNextRoundScaryDescription,เตือนเพื่อนสมาชิกในทีม co-op ของคุณในรอบต่อไป! โดยเฉพาะอย่างยิ่งในช่วงฮัลโลวีน
CoopEmoteTextNextRoundScaryWord,รอบต่อไป! น่ากลัวมาก!
CoopEmoteAnimationFistpumpName,แอนิเมชั่นชนกำปั้น
CoopEmoteAnimationFistpumpShortName,ชนกำปั้น
CoopEmoteAnimationFistpumpDescription,สำหรับฉลองการต่อสู้ที่ยอดเยี่ยม!
GameUIProfileAvatar44Name,อวตารกำหนดเอง - ลิง SAS 
GameUIProfileAvatar44ShortName,อวตารลิง SAS
GameUIProfileAvatar44Description,ผู้ชนะอวตารโดย LV-223_Deacon
GameUIProfileAvatar45Name,อวตารกำหนดเอง - พิมพ์เขียว
GameUIProfileAvatar45ShortName,อวตารพิมพ์เขียว
GameUIProfileAvatar45Description,ผู้ชนะอวตารโดย การบุกใต้ดิน
GameUIProfileAvatar46Name,อวตารกำหนดเอง - เอซิลี่สวมหน้ากาก
GameUIProfileAvatar46ShortName,อวตารเอซิลี่สวมหน้ากาก
GameUIProfileAvatar46Description,ฉายาเอซิลี่ผมยุ่ง
GameUIProfileAvatar47Name,อวตารกำหนดเอง - บอลหนาม
GameUIProfileAvatar47ShortName,อวตารบอลหนาม
GameUIProfileAvatar47Description,บอลหนามไม่เคยดูเท่ขนาดนี้มาก่อน ของมันต้องมี
GameUIProfileBanner1Name,แบนเนอร์โปรไฟล์ทางอากาศ
GameUIProfileBanner1ShortName,แบนเนอร์เสาอากาศ
GameUIProfileBanner1Description,แบนเนอร์โปรไฟล์แบบกำหนดเองที่ได้รับแรงบันดาลใจจากเอซนี้จะวนเวียนอยู่รอบ ๆ ผู้เล่นคนอื่น ๆ
GameUIProfileBanner2Name,แบนเนอร์โปรไฟล์วิญญาณหมาป่า
GameUIProfileBanner2ShortName,แบนเนอร์วิญญาณหมาป่า
GameUIProfileBanner2Description,ปลุกวิญญาณด้วยแบนเนอร์โปรไฟล์ที่กำหนดเองของหมาป่าโอบิน
GameUIProfileBanner3Name,แบนเนอร์โปรไฟล์ที่กำลังมา
GameUIProfileBanner3ShortName,แบนเนอร์ที่กำลังมา
GameUIProfileBanner3Description,สวมผู้นำบลูนสตอร์ม BFB นี้เป็นถ้วยรางวัลแบนเนอร์โปรไฟล์ที่กำหนดเองสำหรับชัยชนะของคุณ
GameUIProfileBanner4Name,แบนเนอร์โปรไฟล์ดาร์ทสตอร์ม
GameUIProfileBanner4ShortName,แบนเนอร์ดาร์ทสตอร์ม
GameUIProfileBanner4Description,ลูกดอกทั่วไปเป็นอะไรที่ธรรมดามาก เป็นแค่แบนเนอร์โปรไฟล์กำหนดเองสีมืด ๆ
GameUIProfileBanner5Name,แบนเนอร์โปรไฟล์รีแอคทีฟ
GameUIProfileBanner5ShortName,แบนเนอร์รีแอคทีฟ
GameUIProfileBanner5Description,พลังและความอันตรายรวมอยู่ในแบนเนอร์โปรไฟล์แบบกำหนดเอง
Paragon Title,อัปเกรดเป็นพารากอน
Paragon Body,การดำเนินการนี้จะสร้างพารากอน {0} {1} อื่นๆ ทั้งหมดจะถูกทำลายใน ใส่พลังให้พารากอน!
ft_paragontitle,เปิดใช้งานการอัปเกรดพารากอนแล้ว!
ft_paragondescription,อัปเกรดหนึ่งในลิงระดับ 5 ของคุณให้เป็นพารากอน! พารากอนดูดซับประเภทลิงทั้งหมด รวมถึงลิงระดับ 5 จากอีกสองเส้นทาง\n\nระดับของพารากอนนั้นได้รับอิทธิพลจากปริมาณพลังงานที่ดูดซับในขณะอัปเกรด ไม่มีในการทดสอบ
ParagonDegreeText,ระดับพารากอน
DartMonkeys,ลิงลูกดอก
BoomerangMonkeys,ลิงบูมเมอแรง
BombShooters,เครื่องยิงระเบิด
TackShooters,เครื่องยิงตะปู
IceMonkeys,ลิงน้ำแข็ง
GlueGunners,ลิงปืนกาว
SniperMonkeys,ลิงซุ่มยิง
MonkeySubs,ลิงเรือดำน้ำ
MonkeyBuccaneers,ลิงโจรสลัด
MonkeyAces,ลิงเครื่องบิน
HeliPilots,ลิงเฮลิคอปเตอร์
MortarMonkeys,ลิงปืนครก
WizardMonkeys,ลิงนักเวท
DartlingGunners,ลิงดาร์ทลิ่ง
SuperMonkeys,ซูเปอร์มังกี้
NinjaMonkeys,ลิงนินจา
Alchemists,นักแปรธาตุ
Druids,ลิงดรูอิด
BananaFarms,ฟาร์มกล้วย
EngineerMonkeys,ลิงวิศวกร
SpikeFactorys,โรงงานตะปู
MonkeyVillages,หมูบ้านลิง
BossInfoPanelTitle,อีเวนท์ลูกโป่งหัวหน้า
BossInfoPanelDescription,สวัสดีนักผจญภัยผู้กล้าหาญ คุณได้เข้าสู่อาณาจักรบอสแล้ว! ขอให้โชคดีและจำกฎสำคัญเหล่านี้ไว้:\n• กิจกรรมบอสจะเริ่มต้นเมื่อคุณกดปุ่ม เล่น ไม่มีการหยุดระหว่างรอบ และบอสจะทำให้ช้าลงไม่ได้\n• เปิดบอสทั้ง 5 ระดับเพื่อเอาชนะแต่ละโหมดบอส เอาชนะโหมดปกติเพื่อปลดล็อกโ
BloonariusInfoPanelDescription,บลูนาเรียสที่อาศัยอยู่ในกากตะกอนจะพ่นลูกโป่ง ออกมาในขณะที่ได้รับความเสียหาย จากนั้นจะสลายกลุ่มลูกโป่งขนาดใหญ่เมื่อกะโหลกแต่ละอันบนแถบพลังชีวิตมาถึง\n\nกากตะกอนของบลูนาเรียสที่แช่อยู่ทำให้เปลือกแข็งช้าแต่แข็งแกร่งมาก
NextBossIn,บอสปรากฏตัวใน: {0}
ARound,1 รอบ
SomeRounds,{0} รอบ
DartMonkey Paragon,ปรมาจารย์พลังพลาสมาเอเป็กส์
DartMonkey Paragon Description,ปล่อยบอลจักเกอร์นอตพลาสม่าที่หั่นลูกโป่งเป็นชิ้นๆ ไม่ให้เหลือแม้แต่ซาก...
BoomerangMonkey Paragon,กงจักร์โดมินัส
BoomerangMonkey Paragon Description,ลูกโป่งจะมองดูดาบของฉัน และพวกมันจะได้รู้จักถึงความกลัว
TowerEffectAllMonkeysPlacementUpgradesButterfliesName,การวางตำแหน่งผีเสื้อและเอฟเฟกต์การอัปเกรด
TowerEffectAllMonkeysPlacementUpgradesButterfliesShortName,เอฟเฟกต์ผีเสื้ออัปเกรด
TowerEffectAllMonkeysPlacementUpgradesButterfliesDescription,ชื่นชมธรรมชาติและความงามเมื่อลิงแต่ละตำแหน่งและการอัปเกรดทำให้ผีเสื้อพลิ้วไหว
BossEvent,อีเว้นท์บอส
NewCoopGame,เกม Co-op ใหม่
Hold,รอ
Paragon,พารากอน
Unlock All (For This Tower),ปลดล็อกทั้งหมด (สำหรับทาวเวอร์นี้)
Purchase Tower XP,ซื้อ XP ทาวเวอร์
Connect Controller,เชื่อมต่อคอนโทรลเลอร์
BossDefeatedYou,{0} ได้เอาชนะคุณ
TierBossDefeated,ระดับ {0} โผล่แล้ว
BossDefeated,คุณเอาชนะ {0}!
Set Center,ตั้งศูนย์กลาง
Bombardment Ability,การทิ้งระเบิด
PlayerStatsHighestRoundCHIMPS,รอบ CHIMPS สูงสุด
PlayerStatsHighestRoundDeflation,รอบการแฟบสูงสุด
Rejoin Coop,เข้าร่วม Co-op อีกครั้ง
WaitingEndRound,กำลังรอรอบปัจจุบันสิ้นสุด
SoftwareCursor,เคอร์เซอร์ขนาดใหญ่
LargeCursor,เคอร์เซอร์ขนาด XL
Cursor,เคอร์เซอร์
SandboxCursor,ทดสอบ/เคอร์เซอร์
Achievement 128 Name,เจ้าหน้าใหม่นี่คือใคร
Achievement 128 Description,เอาชนะบอสระดับ 1
Achievement 129 Name,แถวนี้ใครคุม
Achievement 129 Description,เอาชนะบอสระดับ 5
Achievement 130 Name,ฉันคือบอสตัวจริง
Achievement 130 Description,เอาชนะบอสอีลิทระดับ 5 
Achievement 131 Name,อโพธีโอซิส
Achievement 131 Description,อัปเกรดเป็นทาวเวอร์ลิงพารากอน
Achievement 132 Name,อย่างเทพ
Achievement 132 Description,ทำลายลูกโป่งบอส 50 ใบ
Achievement 133 Name,พารากอนสมบูรณ์แบบ
Achievement 133 Description,พารากอนที่เหนือกว่าพารากอนใดๆ
Log in,เข้าสู่ระบบ
Twitch Integration,ผสานกับ Twitch
Choose my loadout,เลือก Loadout ของฉัน
Required polls,แบบสำรวจที่จำเป็น:
Total duration,ระยะเวลาทั้งหมด:
Duration,ระยะเวลา
Max winners,ผลรวมของผู้ชนะแบบสำรวจ (สำหรับ Loadout )
Loadout Poll,แบบสำรวจ Loadout 
Initializing,กำลังเริ่มต้น...
Running poll,แบบสำรวจที่กำลังดำเนิน
XofY,{0} จาก {1}
Point voting,คะแนนโหวต
Points per vote,คะแนนต่อการโหวต
Bit voting,โหวตบิต
Bits per vote,บิตต่อโหวต
TwitchTimeout,Twitch ใช้เวลาในการตอบสนองนานเกินไป...
TwitchInvalidOperation,การดำเนินการไม่ถูกต้อง... โปรดลองอีกครั้งในภายหลัง
TwitchAuthFail,การยืนยันตัวตนกับ Twitch ล้มเหลว! กรุณาลองเข้าสู่ระบบอีกครั้ง...
TwitchPartnerFail,ขออภัย คุณต้องเป็นพันธมิตรหรือพาร์ทเนอร์ของ Twitch จึงจะสามารถใช้คุณสมบัตินี้ได้
TwitchError,มีบางอย่างผิดพลาด... ลองอีกครั้งในภายหลัง\n{0}
Monkeys for poll,ลิงสำหรับแบบสำรวจ
TwitchSignedInInfo,หากคุณเป็นพันธมิตรหรือพาร์ทเนอร์ของ Twitch คุณสามารถสร้างแบบสำรวจ loadout ได้! กรุณามองหาปุ่มการตั้งค่า Twitch ขณะอยู่ในเกม
BestRound,รอบที่ดีที่สุด:
NewBestRound,รอบใหม่ที่ดีที่สุด!
CurrentRound,รอบปัจจุบัน:
Select All,เลือกทั้งหมด
btd6_towerandparagonunlock,ปลดล็อกทาวเวอร์เต็ม และพารากอน
btd6_towerandparagonunlock Description,ปลดล็อกการอัปเกรดทั้งหมดรวมถึงพารากอนสำหรับหอลิงทันที
btd6_paragonunlock,ปลดล็อกพารากอน
btd6_paragonunlock Description,ปลดล็อกการอัพเกรดพารากอนสำหรับหอลิงทันที
jukeboxskipbossmusic,ข้ามบอสเพลง
GameUIMusicTrackMusicBossBloonariusName,ไพรมัลวัน
GameUIMusicTrackMusicBossBloonariusShortName,ไพรมัลวัน
GameUIMusicTrackMusicBossBloonariusDescription,แทร็กบอสไพรมัล
Play Again,เล่นอีกครั้ง
Retry From Checkpoint,ลองอีกครั้งจากจุดเช็คพ้อยท์
RetryCheckpointText,ลองอีกครั้งจากจุดเช็คพ้อยท์สุดท้ายของคุณที่รอบ {0} หรือไม่
Retry From Round,ลองอีกครั้งจากรอบ {0}
EliteBossLockedPopup,เอาชนะบอสในระดับความยากปกติเพื่อปลดล็อกความยากระดับอีลิท
Custom Odyssey,โอดิสซีย์สร้างเอง
Creating Odyssey,สร้างโอดิสซีย์
Creating Challenge,สร้างชาเลนจ์
TheCabin,กระท่อม
VikingSaudaSaudaSkinName,สกินไวกิ้งเซาด้า
VikingSaudaSaudaSkinDescription,ขวานพร้อมแล้ว!
HeroesChurchillSentaiSkinPetDroneName,สัตว์เลี้ยงโดรนเซนไต เชอร์ชิลล์ 
HeroesChurchillSentaiSkinPetDroneShortName,โดรนเซนไต เชอร์ชิลล์
HeroesChurchillSentaiSkinPetDroneDescription,ป้อมซุปเปอร์แอดวานซ์สเกาท์ Y26G คำนวณการประเมินภัยคุกคามด้วยเลเซอร์ที่รวดเร็ว และทำได้ดีด้วย ไม่แปลกใจเลยที่เราเรียกมันว่า SASSY เซนไต เชอร์ชิลล์เท่านั้น
TowerPetGlueGunnerRatName,สัตว์เลี้ยงพลหนูปืนกาว
TowerPetGlueGunnerRatShortName,สัตว์เลี้ยงพลหนูปืนกาว
TowerPetGlueGunnerRatDescription,อยู่ข้างกายพลปืนกาวเสมอ โดยเฉพาะในห้องแล็บ เคยสงสัยหรือไม่ว่าใครอยู่เบื้องหลังวิทยาศาสตร์ที่สร้างคุณสมบัติมากมายของกาว เราคิดว่าเป็นเจ้าหนูนั้นเอง
TowerEffectAllMonkeysPlacementUpgradesBatsName,เอฟเฟกต์การวางและอัปเกรดค้างคาว
TowerEffectAllMonkeysPlacementUpgradesBatsShortName,เอฟเฟกต์ค้างคาวอัปเกรด
TowerEffectAllMonkeysPlacementUpgradesBatsDescription,ทำให้ลูกโป่งตกใจทุกครั้งที่วางทาวเวอร์ และอัปเกรดด้วยแอนิเมชั่นค้างคาวชั่วร้ายที่น่ากลัวบนแผนที่เฉพาะ
TowerPetMonkeyBuccaneerNarwhalName,สัตว์เลี้ยงปลานาร์วาลโจรสลัดลิง
TowerPetMonkeyBuccaneerNarwhalShortName,สัตว์เลี้ยงปลานาร์วาลโจรสลัด
TowerPetMonkeyBuccaneerNarwhalDescription,จงดูปลานาร์วาลในตำนานตอนวางโจรสลัดทุกตัว! ใครกันนอกจากโจรสลัดผู้ยิ่งใหญ่ที่สามารถทำได้ทั้งครองท้องทะเล และผูกมิตรกับสัตว์ในตำนานในมหาสมุทร!
TowerProjectileEngineerVampireHunterName,วิถีแนวโค้งวิศวกรนักล่าแวมไพร์
TowerProjectileEngineerVampireHunterShortName,วิศวกรนักล่าแวมไพร์
TowerProjectileEngineerVampireHunterDescription,มีโอกาสที่ลูกโป่งจะเป็นแวมไพร์อย่างลับๆ ตอนนี้วิศวกรสามารถติดตั้งคลังกระสุนลูกโป่งแวมไพร์ที่ระเบิดสิ่งของได้ เช่น พวก ไม้ผุ กระเทียม และโลงศพ ไอเทมสำหรับนักสะสมจำกัดเวลา!
TowerPropMonkeyVillageCanadianFlagName,ธงหมู่บ้านลิงแคนาดา
TowerPropMonkeyVillageCanadianFlagShortName,ธงหมู่บ้านแคนาดา
TowerPropMonkeyVillageCanadianFlagDescription,เอาล่ะ ได้เวลาแล้ว! โอ้ แคนาดา โบกธงนี้ให้กับหมู่บ้านลิงทั้งหมดของคุณ แสดงการอัปเกรดทั้งหมด
BloonsZOMGSkinJackOLanternName,แจ็คโอแลนเทิร์น ZOMG
BloonsZOMGSkinJackOLanternShortName,แจ็คโอแลนเทิร์น ZOMG
BloonsZOMGSkinJackOLanternDescription,ผลงานชนะเลิศของซอด้า ในการแข่งขัน แกะสลักฟักทองให้ได้อย่าง ZOMG ประจำปี และเธอยังสวยเสียเหลือเกิน! ไอเทมสำหรับนักสะสมจำกัดเวลา!
BloonsAllBloonsVampireCapesName,ลูกโป่งเสื้อคลุมแวมไพร์
BloonsAllBloonsVampireCapesShortName,ลูกโป่งเสื้อคลุมแวมไพร์
BloonsAllBloonsVampireCapesDescription,แต่งตัวลูกโป่งของคุณให้เป็นสิ่งมีชีวิตในคืนฮาโลวีนนี้! ไอเทมสำหรับนักสะสมจำกัดเวลา!
CoopEmoteAnimationPanicMonkeyName,อีโมตลิงตื่นตระหนก
CoopEmoteAnimationPanicMonkeyShortName,ลิงตื่นตระหนก
CoopEmoteAnimationPanicMonkeyDescription,นี่คือคำพูดของเจ้าของห้อง Co-op โปรดอย่าตื่นตกใจ โอเค ตอนนี้ตกใจได้!
CoopEmoteAnimationBeggingMonkeyName,อีโมตลิงอ้อนวอน
CoopEmoteAnimationBeggingMonkeyShortName,ลิงอ้อนวอน
CoopEmoteAnimationBeggingMonkeyDescription,ได้โปรดล่ะ ฉันต้องการเพิ่มอีกเพียง 10k สำหรับการอัปเกรดนี้! ฉันแค่บังเอิญเป็นผู้เล่นที่ 3 พูดจริงจริ๊ง!
GameUIPowerSkinThriveStonksName,พลังกำหนดเอง - หุ้นโต
GameUIPowerSkinThriveStonksShortName,หุ้นโต
GameUIPowerSkinThriveStonksDescription,เบ็นบอกให้ลงทุนเงินทุกบาททุกสตางค์ในบานาน่าคอยน์ รับรองราคาพุ่งกระฉูด!
GameUIProfileAvatar48Name,อวตารกำหนดเอง - ลิงหน้ากากฮอกกี้
GameUIProfileAvatar48ShortName,อวตารหน้ากากฮอกกี้
GameUIProfileAvatar48Description,ระวังลิงหน้ากากฮอกกี้! ไอเทมสำหรับนักสะสมจำกัดเวลา!
GameUIProfileAvatar49Name,อวตารกำหนดเอง - ลีด เซปเปลิ้น
GameUIProfileAvatar49ShortName,อวตารลีด เซปเปลิ้น
GameUIProfileAvatar49Description,ผู้ชนะอวตาร โดยเววาร์ดซักค์
GameUIProfileAvatar50Name,อวตารกำหนดเอง - เบ็นแสนดี
GameUIProfileAvatar50ShortName,อวตารเบ็นแสนดี
GameUIProfileAvatar50Description,ใครดูแลด้าน IT ให้คุณบ้าง ผู้ชายคนนี้ไง! ใครเล่นเพลงจังหวะน่าเต้น ผู้ชายคนนี้ไง! และใครบ้างที่สามารถทำให้อีเวนท์ทีมของคุณเพลิดเพลินกับซูชิแสนอร่อย แน่นอนว่าคนนี้คนเดียว
GameUIProfileAvatar51Name,อวตารกำหนดเอง - ไซพลังจิต
GameUIProfileAvatar51ShortName,อวตารไซพลังจิต
GameUIProfileAvatar51Description,การเป็นหนึ่งเดียวกับจักรวาลตลอดเวลา ไม่ได้หมายความว่าไซจะสนุกซักหน่อยไม่ได้! ใช้อวาตารไซสุดเจ๋งนี้เพื่อแสดงความรักให้พวกเขาเห็น
GameUIProfileBanner6Name,แบนเนอร์โปรไฟล์วัดแห่งอาทิตย์
GameUIProfileBanner6ShortName,ป้ายวัดแห่งอาทิตย์
GameUIProfileBanner6Description,ร่วมเป็นสักขีพยานในพลังที่แท้จริงของวัดแห่งอาทิตย์ ที่เปิดใช้งานอย่างเต็มรูปแบบด้วยแบนเนอร์โปรไฟล์อันยิ่งใหญ่ที่กำหนดเองนี้
GameUIProfileBanner7Name,แบนเนอร์โปรไฟล์ผีกับขนม
GameUIProfileBanner7ShortName,แบนเนอร์ผีกับขนม
GameUIProfileBanner7Description,ทริคออร์ทรีท! แบนเนอร์โปรไฟล์ที่กำหนดเองฮัลโลวีนที่สมบูรณ์แบบ
LychTagLine,เกรฟลอร์ด
LychTagLine2,ฟื้นคืนชีพแล้ว!
Lych,ลิช
LychInfoPanelDescription,• ลิช เจ้าแห่งสุสานดูดบัฟจากลิงของคุณ พร้อมกับเพิ่มพลังชีวิตให้ตัวเอง\n• เมื่อกะโหลกแต่ละอันที่แถบพลังชีวิตของมันถึงขีดสุด ลิชจะเข้าสู่ร่างวิญญาณ ชุบชีวิตเปลือกเปล่าของลูกโป่งคลาส MOAB ที่โดนเจาะไป\n• เมื่ออยู่ในร่างวิญญาณ ลิชจะไม่ได้รับความเสียหายจนกว่าลูกโป่งที่ฟื้นคืนชีพทั้งหมดจะถูกเจาะ รวมถึงลูกโป่งวิญญาณลิชที่ดูดชีวิต\n• ลูกโป่งคลาส MOAB ที่ฟื้นคืนชีพจะไม่มีลูกโป่งลูก
EditorReviewMap,ทบทวนแผนที่
YourBestTime,เวลาที่ดีที่สุดของคุณ
Boss,บอส
MiniBoss,มินิบอส
NormalRewards,รางวัลปกติ
EliteRewards,รางวัลอีลิท
1Player,ผู้เล่น 1 คน
2Player,ผู้เล่น 2 คน
3Player,ผู้เล่น 3 คน
4Player,ผู้เล่น 4 คน
BossLeaderboard,กระดานผู้นำบอส
LeaderboardSubmissionFail,ไม่สามารถส่งไปยังกระดานผู้นำ
SafeNameChallenge,ชาเลนจ์ของ {0}
SafeNameOdyssey,โอดิสซีย์ของ {0}
BossEventEnded,อีเว้นท์บอสจบลงแล้ว!
RankedNormal,อันดับปกติ
RankedElite,อันดับอีลีท
StartRankedBoss,เริ่มอันดับบอส
MusicHaunted,บ้านผีสิง
GameUIMusicTrackMusicHauntedName,ตู้เพลง: บ้านผีสิง
GameUIMusicTrackMusicHauntedShortName,บ้านผีสิง
GameUIMusicTrackMusicHauntedDescription,จังหวะหลอน และจังหวะสเปกตรัมเป็นเพลงที่ต้องมีสำหรับช่วงฮาโลวีน  หรือช่วงดึก ไอเทมสำหรับนักสะสมจำกัดเวลา!
NSCameraUsageDescription,ภาพหน้าจอสำหรับตั๋วสนับสนุน
btd6_needmoremonkeymoneyprompt_no_iap,เงินลิงไม่พอ!
UseRacePassDescription,ใช้บัตรผ่านแข่งขันเพื่อรับรายการไม่จำกัดสำหรับการแข่งขันนี้หรือไม่
RacePassActivated,เปิดใช้งานบัตรผ่านแข่งขันแล้ว
UseRacePassTitle,ใช้บัตรผ่านแข่งขันหรือไม่
Elite Best Time,เวลาที่ดีที่สุดของอีลีท
Normal Best Time,เวลาที่ดีที่สุดปกติ
NormalCursor,เคอร์เซอร์ปกติ
MayAffectPerformance,*อาจส่งผลต่อการแสดง
GameUIMusicTrackMusicOnslaughtName,การโจมตี
GameUIMusicTrackMusicOnslaughtShortName,การโจมตี
GameUIMusicTrackMusicOnslaughtDescription,แทร็กบอสการโจมตี
SharingCoopBoss,เข้าร่วมเกมบอสของฉันใน ลูกโป่ง TD 6!
EliteBossEvent,อีเวนท์อีลิทบอส 
NinjaMonkey Paragon,เงาสวรรค์
NinjaMonkey Paragon Description,แพ็คเกจนักฆ่าที่สมบูรณ์สำหรับการจัดการกับภัยคุกคามจากลูกโป่ง
Elite,อีลีท
HackGameStopMessage,ค่าเกมไม่สามารถซิงค์ใหม่ได้ น่าเสียดายที่เกมนี้ไม่สามารถดำเนินการต่อได้ โปรดลองเกมใหม่
RankedMode,โหมดจัดอันดับ
Any,ใดๆ
ScoreNotVerifiable,ไม่ได้ส่งคะแนนของคุณ เนื่องจากไม่สามารถตรวจสอบได้
NoBossDataYet,เอาชนะบอสเพื่อเข้าร่วมกระดานผู้นำมินิบอส!
LeaderboardMessageMaxPlayers,กำลังแสดงผู้เล่น 100 อันดับแรก
ConfirmQuitCoopMessage,คุณจะไม่สามารถกลับเข้าร่วมเกมนี้ได้อีก หากคุณออกตอนนี้ คุณแน่ใจหรือไม่
YouWereRemoved,ตำแหน่ง co-op ของคุณถูกปิดในเกมที่แล้ว ไม่สามารถเข้าร่วมใหม่ได้
iCloudLongMessage,หากเปิดใช้งาน iCloud และพร้อมใช้งาน การบันทึกของคุณจะถูกเก็บไว้ในบัญชี iCloud ของคุณโดยอัตโนมัติสำหรับการสำรองข้อมูลและการเข้าถึงบนอุปกรณ์อื่นๆ
CreateNew,สร้างใหม่
SlotX,สล็อต {0}
EmptySlot,สล็อตว่าง
Delete,ลบ
CreatedDate,สร้าง: {0}
LastSavedDate,บันทึกล่าสุด: {0}
DeleteDescription,คุณแน่ใจหรือไม่ว่าต้องการลบไฟล์บันทึกนี้ออกจากอุปกรณ์และบัญชี iCloud ของคุณ
SaveSlots,บันทึกสล็อต
LoadGame,โหลดเกม
DeleteDescriptionNotConnected,คุณแน่ใจหรือไม่ว่าต้องการลบไฟล์บันทึกนี้ออกจากที่จัดเก็บในเครื่องของคุณ
icloudConflictMessage,ข้อมูลที่บันทึกไว้ใน iCloud และบนอุปกรณ์ต่างกัน โปรดเลือกหนึ่งรายการที่จะเก็บไว้ อีกอันหนึ่งจะถูกยกเลิกอย่างถาวร
GamecenterRestricted,ผู้เล่นหลายคนไม่พร้อมใช้งาน – คุณไม่ได้รับอนุญาตให้เล่นเกมหรือเนื้อหาแบบผู้เล่นหลายคนบนอุปกรณ์นี้
DeviceOfflineMessage,อุปกรณ์นี้ออฟไลน์อยู่ การบันทึกบนคลาวด์ที่มีอยู่จะไม่สามารถใช้ได้ ความคืบหน้าของเกมใด ๆ ที่ไม่สามารถบันทึกได้
GamecenterLoginPrompt,โปรดลงชื่อเข้าใช้ Game Center เพื่อเข้าถึง เปิดการตั้งค่าอุปกรณ์ ค้นหา Game Center และลงชื่อเข้าใช้
GamecenterRestrictedTitle,การเข้าถึงแบบผู้เล่นหลายคนถูกจำกัด
GamecenterLoginTitle,ลงชื่อเข้าใช้ Game Center
QuietStreet,ถนนที่เงียบสงบ
GalaxiliEziliSkinName,สกินกาแล็กซี่ลี่
GalaxiliEziliSkinDescription,ทุกสิ่งที่เราเป็น ทุกสิ่งที่เราเห็น มาจากฝุ่นอวกาศ
MonkeyBuccaneer Paragon,นาวาร์แห่งท้องทะเล
