//Input. Needs to be first e.g [I] replaced by click or tap,
Click,クリック
TapToUnlock,[I]でアンロック
btd6_4racespass Description,4レース分、思う存分レースしよう！
btd6_4racespass,レースパス4回分
btd6_12racespass Description,1レース分、思う存分レースしよう！
btd6_12racespass,レースパス12回分
GetHeroBooster,ヒーローブースターを入手
IntermediateUnlockText,初級マップで初めて勝利して、中級マップをアンロックしよう
AdvancedUnlockText,中級マップで初めて勝利して、上級マップをアンロックしよう
ExpertUnlockText,上級マップで初めて勝利して、エキスパートマップをアンロックしよう
HeroesSaudaPetCraneName,サウダーのペットの鶴
HeroesSaudaPetCraneShortName,サウダーのペットの鶴
HeroesSaudaPetCraneDescription,練習、練習。サウダーの新しい優雅な仲間と一緒に、鶴のテクニックを学ぼう！オリジナルのサウダーのみ
HeroesPatFustyPlacementSuperjumpName,パットのスーパージャンプの配置とアップグレード
HeroesPatFustyPlacementSuperjumpShortName,パットのスーパージャンプ
HeroesPatFustyPlacementSuperjumpDescription,パットはMOABをハグするのに興奮して、アクションとアップグレードのたびにスーパージャンプするよ！オリジナルのパット・ファスティーのみ。
TowerPetBananaFarmChickenName,バナナ農園のニワトリ
TowerPetBananaFarmChickenShortName,農園のニワトリ
TowerPetBananaFarmChickenDescription,ニワトリなしでは農場は不完全。なぜニワトリかって？それはニワトリだから！！！わああああ！！！
TowerPropMonkeyVillageBrazilFlagName,モンキービレッジ・ブラジルの旗
TowerPropMonkeyVillageBrazilFlagShortName,ビレッジ・ブラジルの旗
TowerPropMonkeyVillageBrazilFlagDescription,ゴーーーール！このモンキービレッジの旗で、ブラジルの全てを応援していることを示そう。全てのアップグレードで見せる
TowerPropMonkeyVillageUSAFlagName,モンキービレッジUSAの旗
TowerPropMonkeyVillageUSAFlagShortName,ビレッジUSAの旗
TowerPropMonkeyVillageUSAFlagDescription,USA！USA！モンキービレッジの上に、誇りを持って星条旗を掲げよう。全てのアップグレードで見せる。
BloonsAllBloonsPopsPewpewName,ピューピューポップFX
BloonsAllBloonsPopsPewpewShortName,ピューピューポップFX
BloonsAllBloonsPopsPewpewDescription,自分の気持ちを探って - 今これを買え、フォースと共にあらんことを！超期間限定のコレクターズアイテム！
BloonsMOABSkinBtd4RetroName,BTD4レトロMOAB
BloonsMOABSkinBtd4RetroShortName,レトロMOAB
BloonsMOABSkinBtd4RetroDescription,ああ、ノスタルジア。バラ色に見えるメガネをかけて、MOABの初期モデルをチェック。
BloonsBFBSkinBtd4RetroName,BTD4レトロBFB
BloonsBFBSkinBtd4RetroShortName,レトロBFB
BloonsBFBSkinBtd4RetroDescription,これが空でいちばん大きかった頃の、古い習慣は素晴らしい！
CoopEmoteAnimationTrophyName,トロフィー勝者エモート
CoopEmoteAnimationTrophyShortName,トロフィー勝者
CoopEmoteAnimationTrophyDescription,シャンパンを開けて！この輝く金のトロフィーで勝利を祝おう！
CoopEmoteAnimationPlayerNumbersName,プレイヤー番号エモート
CoopEmoteAnimationPlayerNumbersShortName,プレイヤー番号
CoopEmoteAnimationPlayerNumbersDescription,この便利なプレイヤー番号エモートで、他のプレイヤーともっと簡単に話そう。プレイヤー3にはお手柔らかに。
GameUIProfileAvatar37Name,カスタムアバター - シャープサウダー
GameUIProfileAvatar37ShortName,シャープサウダーのアバター
GameUIProfileAvatar37Description,沈黙、スキル、正確さ。この素晴らしいサウダーのアバターで、プレイヤーとしてのあなたを明確に。
GameUIProfileAvatar38Name,カスタムアバター - ペンギンフレンド
GameUIProfileAvatar38ShortName,ペンギンフレンドのアバター
GameUIProfileAvatar38Description,ReconScoutTeemoのアバター勝者
GameUIProfileAvatar39Name,カスタムアバター - ぐるーガナー
GameUIProfileAvatar39ShortName,ぐるーガナーのアバター
GameUIProfileAvatar39Description,Cyliiaのアバター勝者
GameUIPowerSkinLavaLakeName,カスタムパワー - ポータブル溶岩湖
GameUIPowerSkinLavaLakeShortName,ポータブル溶岩湖
GameUIPowerSkinLavaLakeDescription,ここは熱くなってきた！心配事はこの燃える溶岩のプールで沸騰させちゃえ！
Resort,リゾート
ETnEtienneSkinName,ETn
ETnEtienneSkinDescription,リーダーのところに連れて行って。
VeteranXP,ベテランXP
GameUIMusicTrackMusicSailsAgain,再航海
Leaderboards,リーダーボード
Global,グローバル
League,リーグ
Race,レース
Mini-race,ミニレース
NoRaceDataYet,レースを完了してミニレースに参加しよう！
Kick,キック
MakePublic,公開する
VeteranLevelsHeader,ベテランレベル
VeteranLevelsDescription,おめでとうございます。レベル上限に到達しました！ここからはベテランXPを獲得して、ベテランレベルに到達します。これらのレベルは通常より長く、ブルーン破裂へのあなたの莫大な専心の現れです！
LevelCapIncreasedHeader,レベル上限が上昇！
LevelCapIncreasedDescription,レベル上限が上昇しました！再びレベル上限に達するまで、通常レベルを獲得します。ベテランXPとレベルはそのままで、次のレベル上限に到達した時に、またベテランXPを獲得します。
Rejoin,再び参加
GameHasEnded,ゲームは終了しました
SlowInternet,インターネットの接続がないか、遅いです
ErrorRejoining,再び参加する途中で、エラーになりました
RewardsTopPlacing,トップ{0}
LostConnectionRejoin,接続が切断されました。協力プレイゲームに再び参加しますか？
Rejoining,再び参加中・・・
PlayerPositionClosed,プレイヤーのポジションが閉鎖
YouFinished,終了：
BestTime,ベストタイム：
Claim,回収
PlayerRejoinedGame,が再びゲームに参加しました
PlayerKickedFromGame,がゲームから排除されました
ConfirmKickPlayer,本当に{0}をゲームから排除したいですか?
Remove,排除
MiniRacesFirstTimeTitle,ミニレース！
MiniRacesFirstTimeDescription,レース終了後、ミニレースとメインレースのリーダーボードに名前が載ります。レースが終了したら、ミニレースで他のプレイヤーと対戦して、もっと賞品をもらいましょう！
SharingCoop,ブルーンTD6で私の協力プレイに参加して！
SharingChallenge,ブルーンTD6のチャレンジに勝てるかな？
btd6_racespass,{0}レースパス
btd6_racepass,1レースパス
OdysseyCrewConfirmed,乗組員確認済み
OdysseyCrewModified,変更された乗組員
Odysseys,オデッセイ
InviteReceivedTitle,招待を受信
ChallengeInviteReceivedDescription,チャレンジコードを試す招待を受けました: {0}
CoopInviteReceivedDescription,協力ゲームに招待されました：{0}
Join,参加する
AccountPermissionRestriction,このXboxアカウントには、マルチプレイヤーゲームのプレイ許可がありません
AccountCommunityPermissionRestriction,このXboxアカウントには、コミュニティーコンテンツの閲覧や作成の許可がありません
dont have bloons,Bloons TD6を持っていないのですか？今すぐダウンロード！
launch game,ゲームを起動する
copy code,ここをクリックしてコードをコピー
game already opened,ゲームはすでに開いていますか？
Psi,サイ
Psi Short Description,サイオニックモンキー
Psi Description,才能に恵まれた子ザルのサイは、マインドパワーだけを使ってブルーンを内側から破壊する。
Psi Level 1 Description,どのような範囲や障害物があっても、サイはブルーンを一度に一個ずつ完全破壊する致命的な振動を設定する。カモフラージュも標的にできる。
Psi Level 2 Description,少し素早く攻撃するようになる。
Psi Level 3 Description,サイキックブラスト：付近のブルーンを長時間マヒさせる力の波動をサイが発動する。
Psi Level 4 Description,サイの攻撃は、狙ったブルーンのすぐそばの別のブルーンがある場合、それにも命中する。
Psi Level 5 Description,サイオニック振動が、通常より素早くブルーンを破壊する。
Psi Level 6 Description,サイの強力なマインドは、鉛ブルーンをも貫通する。
Psi Level 7 Description,サイキックブラストが二度パルスを出す。サイが陶器ブルーンを破壊できるようになった。
Psi Level 8 Description,破壊的共振はサイの主攻撃でブルーンを破壊させ、その際、近く別のブルーンにダメージを与える。
Psi Level 9 Description,マインド分割。サイが一度に2個の異なるブルーンを攻撃できるようになった。
Psi Level 10 Description,サイオニックの叫び：サイが沈黙の叫びを発し、ブルーンをカオスへといざなう。
Psi Level 11 Description,サイオニック振動がさらに早くブルーンを破壊する。
Psi Level 12 Description,サイキックブラストは、3回波動を放出する。
Psi Level 13 Description,紫ブルーンさえ、サイのマインド攻撃パワーには抵抗できない。
Psi Level 14 Description,サイの絶大なサイキックパワーで、MOABに対する照準と破壊を可能になる。
Psi Level 15 Description,破壊的共振が、さらに破壊的に。
Psi Level 16 Description,サイオニック振動がさらに早くブルーンを破壊する。サイはBFBを攻撃できるようになった。
Psi Level 17 Description,マインド分割。サイが一度に3個の異なるブルーンを攻撃できるようになった。
Psi Level 18 Description,サイの攻撃が、さらに広い半径内の標的ブルーンに影響を与える。
Psi Level 19 Description,破壊的共振が、さらに輪をかけて破壊的に。
Psi Level 20 Description,サイオニックの叫びは、画面上のすべてのブルーンをおさえ、ダメージを与える。 サイはDDTとZOMGを攻撃できるようになった。
Sanctuary,サンクチュアリ
ft_monkeyteamstitle,モンキーチーム
ft_monkeyteamsdescription,ボーナスモンキーマネーを獲得しよう！
ModderWarningPopup,ゲームクライアントに変更が検知されました。ゲームモードのいくつかは、ご利用できません。
ModdedClient,変更されたクライアント
Achievement 117 Name,実績の実績
Achievement 117 Description,実績を35個集める
Achievement 118 Name,釣り針、釣り糸、そしておもり
Achievement 118 Description,MOABテイクダウンの能力を使い、3000個のMOAB級ブルーンを手繰り寄せる
Achievement 119 Name,移動する家
Achievement 119 Description,チヌーク補佐を使って1000個のモンキータワーを再展開させる
Achievement 120 Name,社交家
Achievement 120 Description,協力プレイゲームでエモートを100回使う
Achievement 121 Name,とってもキラキラ！
Achievement 121 Description,金のブルーンを20個割る
Achievement 122 Name,金ピカ
Achievement 122 Description,金のブルーンを100個割る
Achievement 123 Name,金の栄光
Achievement 123 Description,金のブルーンを500個割る
Achievement 124 Name,マジックゴールド
Achievement 124 Description,マジックモンキー限定モードで、金のブルーンを50個割る
Achievement 125 Name,チームプレイヤー
Achievement 125 Description,モンキーチームで25回勝利する
Achievement 126 Name,チームキャプテン
Achievement 126 Description,モンキーチームで50回勝利する
Achievement 127 Name,究極のチームアップ
Achievement 127 Description,モンキーチームで100回勝利する
HeroesEtiennePetRoombaName,エティエンヌのルーンバペット
HeroesEtiennePetRoombaShortName,エティエンヌのルーンバペット
HeroesEtiennePetRoombaDescription,エティエンヌが好きなのは、ルーンバなのかネコなのか確かでない。セットになっている。オリジナルのエティエンヌのみ
HeroesEziliPlacementGlyphName,エジーリグリフの具現化配置とアップグレード
HeroesEziliPlacementGlyphShortName,エジーリグリフ
HeroesEziliPlacementGlyphDescription,エジーリ、やつらをやっつけろ！オリジナルエジーリのみ
TowerPropMonkeyVillageNZFlagName,モンキービレッジのニュージーランド国旗
TowerPropMonkeyVillageNZFlagShortName,ビレッジNZ国旗
TowerPropMonkeyVillageNZFlagDescription,太陽神に我らが自由の土地を守ってもらい、さらに、モンキービレッジをブルーンたちから守ってもらおう！すべてのアップグレードを示す
TowerPropMonkeyVillageScotlandFlagName,モンキービレッジのスコットランド国旗
TowerPropMonkeyVillageScotlandFlagShortName,ビレッジスコットランド国旗
TowerPropMonkeyVillageScotlandFlagDescription,このモンキービレッジの旗で、立ち上がりフリーダム宣言をしよう。すべてのアップグレードを示す
TowerPropMonkeyVillageBananaFlagName,モンキービレッジのバナナの旗
TowerPropMonkeyVillageBananaFlagShortName,ビレッジのバナナの旗
TowerPropMonkeyVillageBananaFlagDescription,モンキーならみんな大好きなバナナが、君のモンキービレッジに掲げられ、クレイジーな気分に。すべてのアップグレードを示す
TowerEffectAllMonkeysPlacementUpgradesFireworksName,花火配置とアップグレード効果
TowerEffectAllMonkeysPlacementUpgradesFireworksShortName,花火アップグレードFX
TowerEffectAllMonkeysPlacementUpgradesFireworksDescription,新しいモンキーたち全員を、この素敵な花火でお祝いしよう！期間限定のコレクターアイテム！
TowerProjectileWizardMonkeyFireworksName,魔法使いの花火
TowerProjectileWizardMonkeyFireworksShortName,魔法使いの花火
TowerProjectileWizardMonkeyFireworksDescription,自分の内なるガンダルフとチャネリングし、魔法使いモンキーたちにかっこいい花火をあげよう！期間限定のコレクターアイテム！
BloonsAllBloonsBeardsName,ひげブルーン
BloonsAllBloonsBeardsShortName,ひげブルーン
BloonsAllBloonsBeardsDescription,美術監督のひげとして知られている、このおしゃれな顔ひげをお見逃しなく
BloonsAllMOABSepiaName,なつかしのMOAB級ブルーン
BloonsAllMOABSepiaShortName,なつかしのMOAB
BloonsAllMOABSepiaDescription,セットを調整する必要なし、このMOABたちは旧式スタイル
CoopEmoteAnimationTumbleweedName,回転草のアニメーション
CoopEmoteAnimationTumbleweedShortName,回転草
CoopEmoteAnimationTumbleweedDescription,最大インパクトを目指し、コオロギたちと協力しよう
CoopEmoteIconSkullAndCrossbonesName,頭蓋骨と骨クロスのエモート
CoopEmoteIconSkullAndCrossbonesShortName,頭蓋骨と骨クロス
CoopEmoteIconSkullAndCrossbonesDescription,このかっこいいエモートは、歩み寄る危険を警告しているのか、単にあらゆるガイコツを愛しているだけなのか
CoopEmoteTextActivateName,有効化！エモート
CoopEmoteTextActivateWord,有効化！
CoopEmoteTextActivateShortName,有効化！
CoopEmoteTextActivateDescription,ワークショップで反転マシンをトリガーしよう！MOABテイクダウンを発射！テクノロジーの恐怖を発動しよう！今すぐ、君のメッセージを理解させるんだ
GameUIProfileAvatar40Name,カスタムアバター：クレイジーグウェンPFP
GameUIProfileAvatar40ShortName,クレイジーグウェンPFPアバター
GameUIProfileAvatar40Description,Qqertynnによるアバター受賞作
GameUIProfileAvatar41Name,カスタムアバター：閃光爆弾忍者
GameUIProfileAvatar41ShortName,閃光爆弾アバター
GameUIProfileAvatar41Description, _Concilliabule_によるアバター受賞作
GameUIProfileAvatar42Name,カスタムアバター：企業パッチ
GameUIProfileAvatar42ShortName,企業パッチアバター
GameUIProfileAvatar42Description,パッチはモンキーダムの企業の階段を静かに上がってきているんだ
GameUIProfileAvatar43Name,カスタムアバター：花火爆弾シューター
GameUIProfileAvatar43ShortName,花火爆弾アバター
GameUIProfileAvatar43Description,これらのロケットを発射するのに、これ以上の方法は無いよね？期間限定のコレクターアイテム！
GameUIPowerSkinMonkeyBoostFireworksName,カスタムパワー：花火モンキーブースター
GameUIPowerSkinMonkeyBoostFireworksShortName,花火モンキーブースター
GameUIPowerSkinMonkeyBoostFireworksDescription,モンキーをブーストし、この巨大花火大会でもっと大きな貢献をするようにインスピレーションを与えよう。期間限定のコレクターアイテム。
GameUIMusicTrackMusicTropicalOctopusMixName,ジュークボックス：トロピカルカーニバル- 八本足ミックス
GameUIMusicTrackMusicTropicalOctopusMixShortName,八本足のトロピカルカーニバル
GameUIMusicTrackMusicTropicalOctopusMixDescription,エレクトロビートを重ねたこのカーニバル音楽は、パーティーの人気曲になること間違いなし。音量を上げて！
PlaySocial,ソーシャルプレイ
ContentBrowser,コンテンツブラウザー
CoopChallenge,協力プレイチャレンジ
SocialEditChallenge,チャレンジを編集
SocialEditOdyssey,オデッセイを編集
SocialViewBrowser,ブラウザーを見る
MonkeyTeamWins,モンキーチームの勝利
NewerSaveFound,新しいセーブデータが見つかりました！別のデバイスで、もっと新しいバージョンをプレイしたようです。このデバイスでのプレイを続けるには、今すぐアップデートしてください。アップデートが見つからない？ヘルプはこちらからどうぞ。 https://ninja.kiwi/btd6_outofdate 
RacePasses,レースパス{0}枚
FreeEntries,無料エントリー{0}回
FreeEntry,無料エントリー1回
PrivateCoopLobby,プライベート協力ロビー
PublicCoopLobby,協力ロビー[{0}]
MyOdysseys,私のオデッセイ
OdysseySearch,検索/オデッセイコード...
Psychic Blast Ability,サイキックブラスト
Psychic Blast Ability Description,付近のブルーンを長時間マヒさせる力の波動をサイが発動する。
Psionic Scream Ability,サイオニックの叫び
Psionic Scream Ability Description,サイが沈黙の叫びを発し、ブルーンをカオスへといざなう。
EditorMode,エディターモード
ConfirmMaps,確認するマップ: {0}
ResetOdysseyProgress,これにより、オデッセイの進行状況が無効になります。 本当に良いのですか？
OdysseyName,オデッセイ名
OdysseyEditor,オデッセイエディター
MaxPowers,最大パワー：
MaxMonkeySlots,最大モンキースロット：
MaxPowerSlots,最大パワースロット：
MapNumber,マップ {0}
ExtremeMode,究極モード：
Edit,編集
OdysseyInviteReceivedDescription,オデッセイコードを試す招待を受けました: {0}
SharingOdyssey,Bloons TD 6のオデッセイに勝てるかな？
EditorPowersIncluded,含まれるパワー
EditorPowersExcluded,除外されたパワー
OdysseyDescription,説明：
SelectDefaultCrew,デフォルトの乗組員を選択
Completed,完了
BossStart,ボスイベントを開始
BloonariusPrime,ブルーナリウスプライム
OdysseyLockedSubmitButtonDescription,このオデッセイは送信済みです
OdysseyLockedShareButtonDescription,オデッセイを共有するには、テストモードで勝利画面に到達できることを証明しなくてはなりません！
OdysseyShareAgainExplanation,タイマーがカウントダウンしたら、また共有しましょう。共有するにはオデッセイに勝たなければならなりません。
ProfileAvatars,アバター
ProfileBanners,バナー
BossNormal,通常
BossElite,エリート
BloonariusTagLine,深い沼地から
BloonariusTagLine2,インフレーターが目覚めた！
Bloonarius,ブルーナリウス
TierX,ティア {0}
HeroesGwendolinPlacementFireballName,グウェンドリンのファイアボールの配置とアップグレード
HeroesGwendolinPlacementFireballShortName,グウェンのファイアボール
HeroesGwendolinPlacementFireballDescription,このすごいファイアボール効果で、グウェンの登場とアップグレードがホットであることを確認してください！ オリジナルのグウェンドリンのみ
TowerPropMonkeyVillageGermanyFlagName,モンキービレッジ・ドイツの旗
TowerPropMonkeyVillageGermanyFlagShortName,ビレッジ・ドイツの旗
TowerPropMonkeyVillageGermanyFlagDescription,ドイツのモンキービレッジの技術が素晴らしいことは誰もが知っている！すべてのアップグレードを表示
TowerPropMonkeyVillageUKFlagName,モンキービレッジUKの旗
TowerPropMonkeyVillageUKFlagShortName,ビレッジUKの旗
TowerPropMonkeyVillageUKFlagDescription,このモンキービレッジは、誇らしい連邦の一部。 すべてのアップグレードは英国のプライド
BloonsDDTSkinTronName,ネオンDDT
BloonsDDTSkinTronShortName,ネオンDDT
BloonsDDTSkinTronDescription,かっこよくて致命的なので、このDDTが未来から来たに決まってると思うでしょう。 多分そうなのかも。
BloonsAllBloonsBucketHatName,バケツ帽子ブルーン
BloonsAllBloonsBucketHatShortName,バケツ帽子ブルーン
BloonsAllBloonsBucketHatDescription,最新のデジタルバケツ帽子デザインで、このブルーンをバズらせよう。
BloonsAllBloonsPopsWaterbloonName,ウォーターブルーンポップFX
BloonsAllBloonsPopsWaterbloonShortName,ウォーターブルーンポップFX
BloonsAllBloonsPopsWaterbloonDescription,あらゆる熱波に最適で、この最高にクールなポップ効果ですべてのブルーンをウォーターブルーンにします
CoopEmoteTextNextRoundScaryName,次のラウンド！ 怖い！ 助けて
CoopEmoteTextNextRoundScaryShortName,次のラウンド！ 怖い！
CoopEmoteTextNextRoundScaryDescription,仲間の協力プレイチームメンバーに次のラウンドを警告！ ハロウィーンの時期には必須。
CoopEmoteTextNextRoundScaryWord,次のラウンド！ 怖い！
CoopEmoteAnimationFistpumpName,ガッツポーズアニメーション
CoopEmoteAnimationFistpumpShortName,ガッツポーズ
CoopEmoteAnimationFistpumpDescription,任務完了を祝おう！
GameUIProfileAvatar44Name,カスタムアバター　 - 　 　SASモンキー
GameUIProfileAvatar44ShortName,SASモンキーアバター
GameUIProfileAvatar44Description,LV-223_Deaconによるアバターの勝者
GameUIProfileAvatar45Name,カスタムアバター - 設計図
GameUIProfileAvatar45ShortName,ブループリントアバター
GameUIProfileAvatar45Description,ダンジョン襲撃によるアバターの勝者
GameUIProfileAvatar46Name,カスタムアバター - マスクを付けたエジリ
GameUIProfileAvatar46ShortName,マスクを付けたエジリアバター
GameUIProfileAvatar46Description,またの名を朝の髪エジリ
GameUIProfileAvatar47Name,カスタムアバター - スパイクボール
GameUIProfileAvatar47ShortName,スパイクボールアバター
GameUIProfileAvatar47Description,スパイクボールがこれほどカッコ良く見えたことはありません - 必須なり
GameUIProfileBanner1Name,空中プロフィールバナー
GameUIProfileBanner1ShortName,空中バナー
GameUIProfileBanner1Description,エースにインスパイアされたこのカスタムプロフィールバナーは、他のプレイヤーの周りを繰り返し回ります
GameUIProfileBanner2Name,オオカミの精プロフィールバナー
GameUIProfileBanner2ShortName,オオカミの精バナー
GameUIProfileBanner2Description,オービンオオカミのカスタムプロフィールバナーで精を目覚めさよう
GameUIProfileBanner3Name,着信プロフィールバナー
GameUIProfileBanner3ShortName,着信バナー
GameUIProfileBanner3Description,このBFBが主導するブルーンストームを、勝利のカスタムプロフィールバナーのトロフィーとして着用してください
GameUIProfileBanner4Name,ダートストームプロフィールバナー
GameUIProfileBanner4ShortName,ダートストームバナー
GameUIProfileBanner4Description,ありきたりダーツは、このかっこいいダークなカスタムプロフィールバナーでは、ありきたりではありません
GameUIProfileBanner5Name,リアクティブプロフィールバナー
GameUIProfileBanner5ShortName,リアクティブバナー
GameUIProfileBanner5Description,潜水艦にインスパイアされたカスタムプロフィールバナーでは、力と危険が組み合わされている
Paragon Title,パラゴンにアップグレードする
Paragon Body,このアクションにより、パラゴン{0}が作成されます。 他のすべての{1}はその過程で破壊され、パラゴンの力を供給します！
ft_paragontitle,パラゴンアップグレードが有効になりました！
ft_paragondescription,ティア5のモンキーの1匹をパラゴンにアップグレードしてください！パラゴンは、他の2つのパスからのティア5のモンキーを含む、同じタイプのすべてのモンキーを吸収します。\n\nパラゴンの度合いは、アップグレード時に吸収される電力量に影響されます。サンドボックスでも使えるようになりました。
ParagonDegreeText,バラゴン度
DartMonkeys,ダーツモンキー
BoomerangMonkeys,ブーメランモンキー
BombShooters,爆弾シューター
TackShooters,びょうシューター
IceMonkeys,アイスモンキー
GlueGunners,グルーガンマン
SniperMonkeys,スナイパーモンキー
MonkeySubs,モンキー潜水艦
MonkeyBuccaneers,モンキーバッカニア
MonkeyAces,エースモンキー
HeliPilots,ヘリパイロット
MortarMonkeys,迫撃砲モンキー
WizardMonkeys,魔法使いモンキー
DartlingGunners,ダートリング砲手
SuperMonkeys,スーパーモンキー
NinjaMonkeys,忍者モンキー
Alchemists,錬金術師
Druids,ドルイド
BananaFarms,バナナ農園
EngineerMonkeys,エンジニアモンキー
SpikeFactorys,スパイク工場
MonkeyVillages,モンキー村
BossInfoPanelTitle,ボスブルーンイベント
BossInfoPanelDescription,勇敢な冒険家の皆さん、ボスの領域に突入しました！ご武運を！そして次の重要なルールを忘れずに。\n•ボスイベントはプレイを押すとすぐに始まり、ラウンドの間に一時停止はありませんし、ボスはスローダウンできません。\n•ボスの5ティアすべてを割ってノーマルを倒してから各ボスモードを勝ち、エリートのロックを解除します。\n•経済を構築し、能力を準備し、ティア間の時間を利用しましょう！\n•各ティアをクリアするとトロフィーやその他の報酬を獲得できますが、20ラウンドでティアをクリアすると負けになります。\n•ランクモードで他のプレイヤーと対戦して、誰がボスを最速で倒し、素晴らしい賞品を獲得できるかを確認してください！\n•シングルプレイヤーまたは協力プレイでの最高のランキングによって、獲得できる報酬が決まります。\n•ノーマルモードとエリートモードでは 別々のリーダーボードと賞品があり、どちらも勝ち取ることができます！
BloonariusInfoPanelDescription,汚泥に住むブルーナリウスは、ダメージを受けるとブルーンを吐き出し、ヘルスバーの各頭蓋骨に到達すると巨大なブルーンクラスターを破壊します。\n\nブルーナリウスの汚泥が注入された殻は、遅くなるが、非常にタフになる。
NextBossIn,ボスの登場まで：{0}
ARound,1 ラウンド
SomeRounds,{0} ラウンド
DartMonkey Paragon,アペックスプラズマ・マスター
DartMonkey Paragon Description,何も残さずに、バルーンシュレッダープラズマ巨人ボールで地域を埋める…
BoomerangMonkey Paragon,剣マスター
BoomerangMonkey Paragon Description,ブルーンは私の剣を見て、恐れているでしょう。
TowerEffectAllMonkeysPlacementUpgradesButterfliesName,蝶の配置とアップグレード
TowerEffectAllMonkeysPlacementUpgradesButterfliesShortName,蝶のアップグレードFX
TowerEffectAllMonkeysPlacementUpgradesButterfliesDescription,モンキーの配置とアップグレードのたびに蝶が羽ばたくときには、その自然と美しさをお楽しみください。
BossEvent,ボスイベント　
NewCoopGame,新しい協力プレイゲーム
Hold,一時停止
Paragon,パラゴン
Unlock All (For This Tower),全てアンロック（このタワーのために）
Purchase Tower XP,タワー XPを購入
Connect Controller,コントローラーを接続
BossDefeatedYou,{0} にやられた
TierBossDefeated,{0} ティアを割った
BossDefeated,{0}をやっつけた！
Set Center,中央を設定
Bombardment Ability,砲撃
PlayerStatsHighestRoundCHIMPS,CHIMPSの最高のラウンド
PlayerStatsHighestRoundDeflation,最高のラウンドのデフレ
Rejoin Coop,協力ゲームに再参加
WaitingEndRound,現在のラウンドの終了を待っています
SoftwareCursor,大きなカーソル
LargeCursor,特大カーソル
Cursor,カーソル
SandboxCursor,サンドボックス/カーソル
Achievement 128 Name,この新しいブルーナリーとは何ですか？
Achievement 128 Description,ティア１のボスを倒す
Achievement 129 Name,ボスは誰ですか？
Achievement 129 Description,ティア５のボスを倒す
Achievement 130 Name,私がボスだ
Achievement 130 Description,ティア５のエリートボスを倒す
Achievement 131 Name,神格
Achievement 131 Description,モンキーパラゴンタワーにアップグレード
Achievement 132 Name,ボスのように
Achievement 132 Description,ボスブルーンを50個割る
Achievement 133 Name,完璧なパラゴン
Achievement 133 Description,パラゴンのパラゴン
Log in,ログイン
Twitch Integration,Twitch統合
Choose my loadout,ロードアウトを選択してください
Required polls,必要な投票：
Total duration,合計時間：
Duration,時間
Max winners,投票の勝者の合計（ロードアウト用）
Loadout Poll,ロードアウト投票
Initializing,初期化中...
Running poll,投票の実行
XofY,{1}の{0}
Point voting,ポイント投票
Points per vote,投票あたりのポイント
Bit voting,ビッツ投票
Bits per vote,投票あたりのビッツ数
TwitchTimeout,Twitchの応答に時間がかかりすぎています...
TwitchInvalidOperation,操作が無効です...後でもう一度やり直してください。
TwitchAuthFail,Twitchでの認証に失敗しました！ もう一度ログインしてみてください...
TwitchPartnerFail,申し訳ありませんが、この機能を使用するには、Twitchアフィリエイトまたはパートナーである必要があります。
TwitchError,問題が発生しました...後でもう一度お試しください。\n{0}
Monkeys for poll,投票のためのモンキー
TwitchSignedInInfo,Twitchパートナーまたはアフィリエイトの場合、ロードアウト投票を作成できるようになりました。 ゲーム中にTwitch設定ボタンを探します。
BestRound,ベストラウンド：
NewBestRound,新しいベストラウンド！
CurrentRound,現在のラウンド：
Select All,すべて選択
btd6_towerandparagonunlock,フルタワーとパラゴンのアンロック
btd6_towerandparagonunlock Description,モンキータワーのパラゴンを含むすべてのアップグレードを即座にアンロックします。
btd6_paragonunlock,パラゴンロック解除
btd6_paragonunlock Description,モンキータワーのパラゴンアップグレードを即座にアンロックします。
jukeboxskipbossmusic,ボスミュージックをスキップ
GameUIMusicTrackMusicBossBloonariusName,プライマルワン
GameUIMusicTrackMusicBossBloonariusShortName,プライマルワン
GameUIMusicTrackMusicBossBloonariusDescription,プライマルボストラック
Play Again,再びプレー
Retry From Checkpoint,チェックポイントから再試行
RetryCheckpointText,ラウンド{0}の最後のチェックポイントから再試行しますか？
Retry From Round,ラウンド{0}から再試行
EliteBossLockedPopup,通常の難易度でボスを倒し、エリート難易度をアンロックします
Custom Odyssey,カスタムオデッセイ
Creating Odyssey,オデッセイの作成
Creating Challenge,チャレンジの作成
TheCabin,船室
VikingSaudaSaudaSkinName,バイキングのサウダスキン
VikingSaudaSaudaSkinDescription,準備ができた斧！
HeroesChurchillSentaiSkinPetDroneName,戦隊チャーチル・ドローンペット
HeroesChurchillSentaiSkinPetDroneShortName,戦隊チャーチル・ドローン
HeroesChurchillSentaiSkinPetDroneDescription,最上級のスカウト見張りY26Gは、レーザー高速脅威評価を計算し、かっこよく実行する。イケてるのは当たり前。戦隊チャーチルのみ
TowerPetGlueGunnerRatName,グルーガンマンのペットネズミ
TowerPetGlueGunnerRatShortName,グルーガンマンのペットネズミ
TowerPetGlueGunnerRatDescription,特にラボでは、常にグルーガンマンの側にいる。グルーの多くの特性の科学は誰が仕込んだのか、疑問に思ったことはありませんか？ きっと、ネズミだと思います。
TowerEffectAllMonkeysPlacementUpgradesBatsName,コウモリの配置とアップグレード効果
TowerEffectAllMonkeysPlacementUpgradesBatsShortName,コウモリのアップグレードFX
