//Input. Needs to be first e.g [I] replaced by click or tap,
Click,Klicka
GameUIPowerSkinRetroTechbotName,Anpassad förmåga - Retro Techbot
GameUIPowerSkinRetroTechbotShortName,Retro Techbot
GameUIPowerSkinRetroTechbotDescription,Håll koll på dina aktiverade förmågor med denna superhäftiga retro-techbot. Batterier ingår inte. Samlarföremål under begränsad tid!
GameUIPowerSkinIcebergPontoonName,Anpassad förmåga - Isbergsflotte
GameUIPowerSkinIcebergPontoonShortName,Isbergsflotte
GameUIPowerSkinIcebergPontoonDescription,Se hur dina Bloonproblem smälter bort med denna supercoola Isbergsflotte.
GameUIProfileAvatar27Name,Anpassad avatar - Apess
GameUIProfileAvatar27ShortName,Apessavatar
GameUIProfileAvatar27Description,Apesset räddar dagen! Ta över skyarna med denna fantastiska avatar.
GameUIProfileAvatar28Name,Anpassad avatar - Pilspruteskytt
GameUIProfileAvatar28ShortName,Pilspruteskyttavatar
GameUIProfileAvatar28Description,"Du har sett Aptornet, nu är det dags för avataren! Visa din kärlek för denna Bloonsmällande favoritsmällare av den gamla skolan!"
GameUIProfileAvatar29Name,Anpassad avatar - Vinterninja
GameUIProfileAvatar29ShortName,Vinterninjaavatar
GameUIProfileAvatar29Description,Förbered dig för julhelgen med denna iskyliga Ninjaavatar. Samlarföremål under begränsad tid!
GameUIProfileAvatar30Name,Anpassad avatar - Julpatch
GameUIProfileAvatar30ShortName,Julpatchavatar
GameUIProfileAvatar30Description,Patch har en uppdatering år dig. God jul och gott nytt år! Samlarföremål under begränsad tid!
RecurringRangs,Återkommande bumeranger
RecurringRangsDescription,Bumeranger som återkommer till Bumerangapan kommer att kastas ytterligare en gång.
FirstLastLineOfDefense,Första sista försvarslinjen
FirstLastLineOfDefenseDescription,Köppriset för den första Spikfabriken under varje spel är $150 billigare.
FlankingManeuvers,Flankerande manövrer
FlankingManeuversDescription,"Prickskytten, Apubåten och Apbuckanjären attackerar 10 % snabbare när de är inställda till 'Sista' målinriktningsprioritet."
EmergencyUnlock,Nödupplåsning
EmergencyUnlockDescription,Aktiverad förmåga: låser upp Pilspruteskyttar och höjer deras eldrörshastighet under en kort stund.
GorgonStorm,Gorgonstorm
GorgonStormDescription,Hydraraketstorm bedövar skadade Bloons under en kort stund.
CrossTheStreams,Korsa strålarna
CrossTheStreamsDescription,"Där Plasma- och Domedagsstrålar korsas på spelplanen, bildas tillfälliga plasmapölar."
MonkeysTogetherStrong,Apor är starka tillsammans
MonkeysTogetherStrongDescription,Hjältar från 5 % mer erfarenhet per varje utplacerad Hjälte.
GrandPrixSpree,Grand Prix-galej
GrandPrixSpreeDescription,Kostnaden i Appengar för att delta i Tävlingslopp minskas med 10 %.
ChallengeBrowser,Utmaningswebbläsare
Trending,Trender
Casual,Avslappnad
Newest,Nyaste
Expert,Expert
MostLiked,Mest gillade
Favorites,Favoriter
Played,Spelad
MyChallenges,Mina utmaningar
ChallengeName,Utmaningens namn
Creator,Skapare
Likes,Gillningar
WinPercent,Vinst-%
Create,Skapa
PageXofY,Sida {0} av {1}
ChallengeInfo,Utmaningsinfo:
TimeUploaded,Tid uppladdad
Last24Hours,Senaste 24 timmarna
LastWeek,Senaste veckan
LastMonth,Senaste månaden
AllTime,Hela tiden
NoChallengesFound,Inga utmaningar hittades
Shared,Delad
DeleteThisSave,Radera detta sparade spel?
DeleteThisChallenge,Radera denna utmaning permanent?
ShareAgainIn,Dela igen om:
ShareAgainExplanation,Dela igen när tidräknaren räknar ner. Du måste klara utmaningen för att kunna dela den.
MySavedGames,Mina sparade spel
ConfirmShare,Bekräfta delning? Det kommer att visas i innehållswebbläsaren om några minuter.
Custom,Standard
ChallengeSearch,Sök/Utmaningskod...
IncludeOldVersions,Inkludera äldre versioner
Achievement 107 Name,"Redo, spelare ett?"
Achievement 107 Description,Var värd för och vinn 10 samarbetsspel
Achievement 108 Name,Titanernas Kamp
Achievement 108 Description,Rensa befästningsverken från Förstärkta DDT:er 3 000 gånger
Achievement 109 Name,A La Code
Achievement 109 Description,Skicka en Utmaning till innehållswebbläsaren
Achievement 110 Name,Återskänkt
Achievement 110 Description,Smäll 1 000 000 Bloons med Pilspruteskyttar
Achievement 111 Name,Galen Kupong
Achievement 111 Description,Spendera minst 50 Troféer i Trofébutiken
Achievement 112 Name,Omedelbar Tillfredsställelse
Achievement 112 Description,"Använd en Instaapa på Nivå 5. OBS: även efter att de har använts, räknas Instas fortfarande in i ditt antal!"
Achievement 113 Name,Instaårhundrade
Achievement 113 Description,"Använd 100 Instaapor OBS: även efter att de har använts, räknas Instas fortfarande in i ditt antal!"
Achievement 114 Name,Begränsad Tid
Achievement 114 Description,Köp minst 1 ny begränsad tid-artikel från Trofébutiken.
Achievement 115 Name,Darwins Verktyg
Achievement 115 Description,Uppgradera torn 20 000 gånger
Achievement 116 Name,Envis Strategi
Achievement 116 Description,"Bara för att en sak inte kan göras, betyder inte att den inte bör göras"
ChallengeBrowserDescription,"Spela, skapa och betygsätt communityinnehåll!"
VerifiedUser,Verifierad användare
TrophyBadgesEmpty,Vinn spel för att få medaljer!
,
// External cleaning app (not in binary),
cleaner.oops.title,Hoppsan!
cleaner.oops.message,Var vänlig välj ett giltigt alternativ...
cleaner.warning.title,Är du säker?
cleaner.warning.message,VARNING: Åtgärden kan inte ångras!
cleaner.title,{0} Rengörare
cleaner.Message,Var vänlig välj ett alternativ:
cleaner.RadioButton_CleanAll,Rensa alla
cleaner.RadioButton_Keep,Behåll inställningarna och fortsätt
cleaner.RadioButton_CleanSelective,Selektiv rensning
cleaner.CheckBox_Preferences,Inställningar
cleaner.CheckBox_Progress,Förlopp
cleaner.Button_Run,Fortsätt
cleaner.Button_Exit,Avsluta
cleaner.allDone,Färdigt!
// External cleaning lines complete,
,
ChallengeBrowserError,Det inträffade ett fel vid laddningen av innehållswebbläsaren
OverwriteChallengeBrowserText,Din äldsta sparade fil kommer att skrivas över. Är du säker?
OverwriteChallengeBrowserHeader,Skriv över sparad fil?
GameUIMusicTrackMusicJingleBloonsName,Jukebox: Jingle Bloons
GameUIMusicTrackMusicJingleBloonsShortName,Jingle Bloons
GameUIMusicTrackMusicJingleBloonsDescription,Fira jul med denna fantastiska nya Bloonslåt. Hördes dingle-dång!\nAktiva musik via Jukebox i huvudmenyns inställningar
Favorite,Favorit
FasterRegen,Regenereringshastighet ökad
SlowerRegen,Regenereringshastighet minskad
NewTower,Nytt torn
MapUnlockTutorHeader,Upplåsning av banor
MapUnlockTutorBody,Vinn en bana i valfri kategori för första gången för att låsa upp banan i nästa kategori.\n\n•Nybörjare låser upp medelsvår\n•Medelsvår låser upp avancerad\n•Avancerad låser upp expert
HideCompleted,Dölj klarade
Ravine,Ravin
GameUIProfileAvatar31Name,Anpassad avatar - Kabukininja
GameUIProfileAvatar31ShortName,Kabukininjaavatar
GameUIProfileAvatar31Description,Ninjaapan har det bästa kumadorisminket
GameUIProfileAvatar32Name,Anpassad avatar - Helikopterpilot
GameUIProfileAvatar32ShortName,Helikopterpilotavatar
GameUIProfileAvatar32Description,Mot skyn! Denna helikopterpilotavatar kombinerar söthet med effektivitet
BloonsAllBloonsTruckerHatsName,Lastbilsförarkepsar
BloonsAllBloonsTruckerHatsShortName,Lastbilsförarkepsar
BloonsAllBloonsTruckerHatsDescription,"Dessa Bloons är långkörare! Kör hårt, kompis!"
BloonsAllBloonsPopsPowName,Pow Pop FX
BloonsAllBloonsPopsPowShortName,Pow Pop FX
BloonsAllBloonsPopsPowDescription,Pang! Bom! Smäll! Slakta fler Bloons med denna fantastiska Pow Pop-animering
BloonsBFBSkinLanternName,Lanterna BFB
BloonsBFBSkinLanternShortName,Lanterna BFB
BloonsBFBSkinLanternDescription,"Sprid lycka, välgång och ljus på slagfältet med detta fantastiska BFB-skin"
TowerProjectileSpikeFactoryPineapplesName,Spikfabrik-ananas
TowerProjectileSpikeFactoryPineapplesShortName,Spikfabrik-ananas
TowerProjectileSpikeFactoryPineapplesDescription,"Vad är spikigare än en spikklot? En ananas, såklart! Det smäller högt. Endast uppgradering för spikklot."
GameUIMusicTrackMusicBMCStreetPartyName,Jukebox: BMC Street Party
GameUIMusicTrackMusicBMCStreetPartyShortName,BMC Street Party
GameUIMusicTrackMusicBMCStreetPartyDescription,"Det är tillbaaaaka! På allmän begäran, Street Party från Bloons Monkey City!"
FirstTimeContinue,"Åh nej! Bloonsen tog sig igenom! Första gången kan du fortsätta gratis, men efter det kostar det appengar"
Follow,Följ
Unfollow,Sluta följa
Following,Följer
Primary Knowledge,Primär kunskap
Military Knowledge,Militär kunskap
Magic Knowledge,Magisk kunskap
Support Knowledge,Stödkunskap
Heroes Knowledge,Hjältekunskap
Powers Knowledge,Kraftkunskap
Block followers,Blockera följare
Unblock followers,Avblockera följare
Followers,Följare
Submitted Challenges,Skickade utmaningar
TurnOnNotificationsCreator,Sätt på aviseringar för denna skapare?
TurnOffNotificationsCreator,Stäng av aviseringar för denna skapare?
TargetingOptionFirstTimePopup,Att ändra målsökningsalternativ kan hjälpa till ibland för tuffa rundor!
et_challengefreeplaytitle,Frispel för utmaningar!
et_challengefreeplaydescription,Detta är ett frispelsläge för utmaningar! Du kan fortsätta att spela men du kommer inte att få XP eller belöningar.
GameServicesBlockedText,"Något blockerar åtkomsten till våra speltjänster. Spelfunktionerna kan påverkas, inaktivera blockeringstjänsten för att undvika oväntade problem. För mer information: https://ninja.kiwi/btd6_network"
DoubleCashDisabled,Dubbla pengar inaktiverat
UnableToAccessDomain,"Kunde inte nå {0}, inaktivera eventuella blockeringstjänster och försök igen"
Custom Rounds,Anpassade rundor
Warning,Varning
Player Completion Rate,Spelarens slutförandegrad
Win Rate,Vinstfrekvens
HeroesBenjaminPlacementMatrixName,Benjamins Matrix Placera och uppgradera
HeroesBenjaminPlacementMatrixShortName,Benjamin Matrix
HeroesBenjaminPlacementMatrixDescription,"Wow, nu kan jag kung fu! Endast original-Benjamin"
HeroesObynPetBunnyName,Obyns kanin
HeroesObynPetBunnyShortName,Obyns kanin
HeroesObynPetBunnyDescription,Denna söta lilla kanin är en av Obyns bästa vänner. Endast original-Obyn Samlarföremål under begränsad tid!
TowerProjectileDartlingEasterEggsName,Påskäggspellets för pilsprutan
TowerProjectileDartlingEasterEggsShortName,Påskägg förpilsprutan
TowerProjectileDartlingEasterEggsDescription,Ladda med chokladgodsaker och sätt igång och skjut! Endast hagel- och raketuppgraderingar. Samlarföremål under begränsad tid!
TowerPetNinjaMonkeyKiwiName,Ninjaapans kiwifågel
TowerPetNinjaMonkeyKiwiShortName,Ninjakiwifågel
TowerPetNinjaMonkeyKiwiDescription,Den kavata Kiwifågeln som saknar flygförmåga är Ninjaapans ädla hjälpreda.
BloonsMOABSkinChocolateName,Chokladägg-MOAB
BloonsMOABSkinChocolateShortName,Choklad-MOAB
BloonsMOABSkinChocolateDescription,"Det må vara att den är täckt av choklad, men denna MOAB har 4 keramiklager inuti! Samlarföremål under begränsad tid!"
BloonsBFBSkinChocolateName,Chokladägg-BFB
BloonsBFBSkinChocolateShortName,Choklad-BFB
BloonsBFBSkinChocolateDescription,Bonuspoäng om din choklad-BFB har choklad-MOAB:er inuti. Samlarföremål under begränsad tid!
BloonsAllBloonsBunnyEarsName,Kaninöron-Bloons
BloonsAllBloonsBunnyEarsShortName,Kaninöron-Bloons
BloonsAllBloonsBunnyEarsDescription,Bloons är sötare med kaninöron! Samlarföremål under begränsad tid!
BloonsAllBloonsPopsFlowersName,Blomsmäll-FX
BloonsAllBloonsPopsFlowersShortName,Blomsmäll-FX
BloonsAllBloonsPopsFlowersDescription,Varje smäll är en explosion av färger med Blomsmäll-ljudeffekten
CoopEmoteAnimationPixelMonkeyDanceName,Dansande ap-emote
CoopEmoteAnimationPixelMonkeyDanceShortName,Dansande apa
CoopEmoteAnimationPixelMonkeyDanceDescription,Dansa för mig dansa för mig danska för mig åh åh åh...
CoopEmoteAnimationFlowerBloomName,Blommande blom-emote
CoopEmoteAnimationFlowerBloomShortName,Blommande blommor
CoopEmoteAnimationFlowerBloomDescription,"Våren har kommit, fåglarna sjunger, bina surrar och blommorna blommar!"
GameUIProfileAvatar33Name,Anpassad avatar - Obyns ägg
GameUIProfileAvatar33ShortName,Obyns ägg-avatar
GameUIProfileAvatar33Description,Skydda dessa dyrbara ägg med Obyn. Samlarföremål under begränsad tid!
GameUIProfileAvatar34Name,Anpassad avatar - Nubbapa
GameUIProfileAvatar34ShortName,Nubbapavatar
GameUIProfileAvatar34Description,Avatarvinnare av mutamarkl
GameUIProfileAvatar35Name,Anpassad avatar - Mäktig Sentai
GameUIProfileAvatar35ShortName,Mäktig Sentai-avatar
GameUIProfileAvatar35Description,Avatarvinnare av mutamarkl
GameUIProfileAvatar36Name,Anpassad avatar - Intensiv trollkarl
GameUIProfileAvatar36ShortName,Intensiv trollkarl-avatar
GameUIProfileAvatar36Description,Avatarvinnare av _Concilliabule_
Balance,Saldo
Blons,Blons
Latest Save,Senaste sparade spelet
Sauda,Sauda
Sauda Short Description,Svärdmästare
Sauda Description,Med lugnt raseri kan Saudo karva sönder Bloons med sina dubbla rakbladsvassa svärd.
Sauda Level 1 Description,Svingar med båda svärden mot Bloons i närheten. Kan smälla Kamo.
Sauda Level 2 Description,Smäller fler Bloons per attack.
Sauda Level 3 Description,Hoppande svärdattack: Saudas dramatiska Blysmällande hoppattack slår ner Bloonsen hon riktar in sig på.
Sauda Level 4 Description,Saudas svärd skär igenom 2 Bloonlager.
Sauda Level 5 Description,Sauda attackerar snabbare.
Sauda Level 6 Description,Ökad attackräckvidd och smällkraft.
Sauda Level 7 Description,Sauda utnyttjar Bloonsens svagheter och utdelar extra skada om de är bedövade och nu kan hon smälla frusna Bloons.
Sauda Level 8 Description,Sauda attackerar ännu snabbare.
Sauda Level 9 Description,Bloonblödning: Sauda smäller igenom 3 lager Bloon med varje attack och orsakar en effekt med långsam skada över tid.
Sauda Level 10 Description,Svärdanfall: Sauda glider längs med hela banan och tillintetgör Bloons på vägen.
Sauda Level 11 Description,"Sauda åsamkar extra skada på alla Bloons som har saktats ner, gjorts orörliga eller tar skada över tid från andra apor."
Sauda Level 12 Description,Den hoppande svärdattacken får mycket högre effekt.
Sauda Level 13 Description,Förtrollade blad åsamkar mer skada och gör det möjligt för Sauda att skada alla Bloons.
Sauda Level 14 Description,Sauda attackerar ännu snabbare.
Sauda Level 15 Description,Ökad attackräckvidd och smällkraft och svärdhoppattack åsamkar mer skada.
Sauda Level 16 Description,Svärdladdning ökar skadan avsevärt.
Sauda Level 17 Description,Saudas svärdattacker skär igenom många Bloonlager samtidigt.
Sauda Level 18 Description,Saudas svärdattack snabbt som ögat.
Sauda Level 19 Description,"Förtrollade blad åsamkar extra skada på Återväxande, Förstärkta och Kamobloons."
Sauda Level 20 Description,Mera kraftfullt svärdanfall sveper över alla banans vägar tre gånger! Effekten för Hoppande Svärd har ökat markant.
SushiBentoBenjaminSkinName,Sushi Bento-skin
SushiBentoBenjaminSkinDescription,"Dags att beställa, sushi finns på menyn!"
Leaping Sword Attack Ability,Hoppande svärdattack
Leaping Sword Attack Ability Description,Saudas dramatiska Blysmällande hoppattack slår ner Bloonsen hon riktar in sig på.
Sword Charge Ability,Svärdanfall
Sword Charge Ability Description,Sauda glider längs med hela banan och tillintetgör Bloons på vägen.
Playing,Spelar {0}
Solo,Ensam
Custom Challenge,Anpassad utmaning
Browsing,Letar {0}
Menues,Menyer
Challenges,Utmaningar
GoldenBloonsPopped,Smällda Gyllene Bloons
ChallengeStats,Utmaningsstatistik
Attempts,Försök
Wins,Vinster
Fails,Förluster
Unique Players,Unika spelare
Victorious Players,Segrande spelare
FirstWinner,Första segraren
MostRecentWinner,Senaste segraren
DiskFullMessage,"Disken är full, var vänlig frigör utrymme och försök igen"
RacePassRemaining,Återstående lopp:
RacePassHeader,Tävlingspass
RacePassDescription,"Ger dig obegränsade loppförsök per veckotävling!\nIngen tidtagning, inga appengar, bara tävla!"
4RacesPass,Pass för 4 lopp
12RacesPass,Pass för 12 lopp
ft_goldentitle,Gyllene Bloons
ft_goldendescription,"Smäll den Gyllene Bloonen för att tjäna extra appengar! Den är svår att smälla, men du förlorar inga liv om den kommer undan.\nDen Gyllene Bloonen dyker upp  flera gånger varje spelomgång och den förändras varje gång!\nLycka till!"
TapToUnlock,[I] för att låsa upp
btd6_4racespass Description,Tävla så mycket du vill i 4 lopp!
btd6_4racespass,Pass för 4 lopp
btd6_12racespass Description,Tävla så mycket du vill i 12 lopp!
btd6_12racespass,Pass för 12 lopp
GetHeroBooster,Skaffa Hjälteförstärkare
IntermediateUnlockText,Vinn en nybörjarbana för första gången för att låsa upp en medelsvår bana
AdvancedUnlockText,Vinn en medelsvår bana för första gången för att låsa upp en avancerad bana
ExpertUnlockText,Vinn en avancerad bana för första gången för att låsa upp en expertbana
HeroesSaudaPetCraneName,Saudas kranhusdjur
HeroesSaudaPetCraneShortName,Saudas kranhusdjur
HeroesSaudaPetCraneDescription,"Wax on, wax off. Studera krantekniken med Saudas nya graciösa kompanjon! Endast original-Sauda"
HeroesPatFustyPlacementSuperjumpName,Pats Superhopp Placera och uppgradera
HeroesPatFustyPlacementSuperjumpShortName,Pats superhopp
HeroesPatFustyPlacementSuperjumpDescription,Pats är så spänd på att krama de där MOAB:erna att han superhoppar till verket och med varje uppgradering! Endast original-Pat Fusty
TowerPetBananaFarmChickenName,Bananodlingskyckling
TowerPetBananaFarmChickenShortName,Gårdskyckling
TowerPetBananaFarmChickenDescription,Ingen gård är komplett utan en kyckling. Varför en kyckling? För att det är en kyckling!!! Kackel!!!
TowerPropMonkeyVillageBrazilFlagName,Apbyns Brasilienflagga
TowerPropMonkeyVillageBrazilFlagShortName,Byns Brasilienflagga
TowerPropMonkeyVillageBrazilFlagDescription,MÅÅÅÅÅÅÅÅÅL! Visa ditt stöd för allt brasilianskt med denna Apbyflagga. Visas för alla uppgraderingar
TowerPropMonkeyVillageUSAFlagName,Apbyns amerikanska flagga
TowerPropMonkeyVillageUSAFlagShortName,Byns amerikanska flagga
TowerPropMonkeyVillageUSAFlagDescription,USA! USA! Låt stjärnor och ränder fladdra med stolthet över din Apby. Visas för alla uppgraderingar
BloonsAllBloonsPopsPewpewName,Pang pang Smäll-ljudeffekt
BloonsAllBloonsPopsPewpewShortName,Pang pang Smäll-ljudeffekt
BloonsAllBloonsPopsPewpewDescription,Sök i ditt inre - du måste köpa det här nu och May the 4th be with you! Samlarobjekt under extremt begränsad tid!
BloonsMOABSkinBtd4RetroName,BTD4 Retro-MOAB
BloonsMOABSkinBtd4RetroShortName,Retro-MOAB
BloonsMOABSkinBtd4RetroDescription,"Åh, nostalgi. Sätt på dessa rosafärgade glasögon och kolla in en MOAB av tidigare modell"
BloonsBFBSkinBtd4RetroName,BTD4 Retro-BFB
BloonsBFBSkinBtd4RetroShortName,Retro-BFB
BloonsBFBSkinBtd4RetroDescription,"Inget är som den gamla skolan, när det här var störst på himlen!"
CoopEmoteAnimationTrophyName,Trofévinnar-emote
CoopEmoteAnimationTrophyShortName,Trofévinnare
CoopEmoteAnimationTrophyDescription,"Öppna champagnen, plopp! Fira din seger med denna glänsande guldtrofé!"
CoopEmoteAnimationPlayerNumbersName,Spelarnummer-emote
CoopEmoteAnimationPlayerNumbersShortName,Spelarnummer
CoopEmoteAnimationPlayerNumbersDescription,Kommunicera med andra spelare på ett enklare sätt med dessa praktiska spelarnummer-emotes. Ta det försiktigt med spelare 3.
GameUIProfileAvatar37Name,Anpassad avatar - Vass Sauda
GameUIProfileAvatar37ShortName,Vass Sauda-avatar
GameUIProfileAvatar37Description,"Tystnad, färdighet, precision. Denna häftiga Sauda-avatar definierar dig som spelare!"
GameUIProfileAvatar38Name,Anpassad avatar - Pingvinvän
GameUIProfileAvatar38ShortName,Pingvinvän-avatar
GameUIProfileAvatar38Description,Avatarvinnare av  ReconScoutTeemo
GameUIProfileAvatar39Name,Anpassad avatar - Gloo-skytt
GameUIProfileAvatar39ShortName,Glooskyttavatar
GameUIProfileAvatar39Description,Avatarvinnare av  Cyliia
GameUIPowerSkinLavaLakeName,Anpassad förmåga - Flyttbara lavasjö
GameUIPowerSkinLavaLakeShortName,Flyttbar lavasjö
GameUIPowerSkinLavaLakeDescription,Det börjar bli varmt här! Koka bort dina bekymmer i denna brinnande lavapool!
Resort,Semesteranläggning
ETnEtienneSkinName,ETn
ETnEtienneSkinDescription,Ta mig till er ledare.
VeteranXP,Veteran-XP
GameUIMusicTrackMusicSailsAgain,Sails Again
Leaderboards,Poängtavlor
Global,Globalt
League,Liga
Race,Lopp
Mini-race,Minilopp
NoRaceDataYet,Slutför ett lopp för att delta i ett minilopp!
Kick,Sparka
MakePublic,Offentliggör
VeteranLevelsHeader,Veterannivåer
VeteranLevelsDescription,"Gratulerar, du har nått nivåtaket! Från och med nu börjar du att tjäna Veteran-XP och nå Veterannivåer. Dessa nivåer tar längre än normalt och bevisar din enorma hängivenhet till Bloonsmällning!"
LevelCapIncreasedHeader,Nivåtak utökat!
LevelCapIncreasedDescription,"Nivåtaket har utökats! Du kommer nu att fortsätta att tjäna normala nivåer tills du återigen når nivåtaket. Oroa dig inte, dina Veteran-XP och Veteran-nivåer kommer att finnas kvar där du lämnade dem och du kommer att börja att tjäna Veteran-XP på nytt nä"
Rejoin,Återanslut
GameHasEnded,Spelet har avslutats
SlowInternet,Ingen eller långsam internetanslutning
ErrorRejoining,Ett fel inträffade under återanslutningen
RewardsTopPlacing,Topp {0}
LostConnectionRejoin,Anslutningen förlorad. Återanslut till ditt samarbetsspel?
Rejoining,Återansluter...
PlayerPositionClosed,Spelarposition stängd
YouFinished,Du slutade på:
BestTime,Bästa tid:
Claim,Begär
PlayerRejoinedGame, har återanslutit till spelet
PlayerKickedFromGame,{0} har avlägsnats från spelet
ConfirmKickPlayer,Är du säker på att du vill ta bort {0}?
Remove,Ta bort
MiniRacesFirstTimeTitle,Minilopp!
MiniRacesFirstTimeDescription,Efter att ha slutfört ett lopp kommer du att placeras på minilopptopplistan såväl som huvudtopplistan. Tävla mot andra spelare i våra minilopp för ännu fler priser när loppet är slut!
SharingCoop,Gå med i mitt samarbetsspel på Bloons TD 6!
SharingChallenge,Kan du klara denna Bloons TD 6-utmaning?
btd6_racespass,{0} Tävlingspass
btd6_racepass,1 Tävlingspass
OdysseyCrewConfirmed,Besättning bekräftad
OdysseyCrewModified,Besättning modifierad
Odysseys,Odysséer
InviteReceivedTitle,Inbjudan mottagen
ChallengeInviteReceivedDescription,Du har bjudits in att testa utmaningskoden: {0}
CoopInviteReceivedDescription,Du har bjudits in att delta i samarbetsspelet: {0}
Join,Gå med
AccountPermissionRestriction,Detta Xbox-konto har inte tillstånd att spela multiplayer-spel
AccountCommunityPermissionRestriction,Detta Xbox-konto har inte tillstånd att visa eller skapa community-innehåll
dont have bloons,Har du inte Bloons TD 6? Ladda ner nu!
launch game,starta spelet
copy code,Klicka här för att kopiera koden
game already opened,Är spelet redan öppnat?
Psi,Psi
Psi Short Description,Psionisk Apa
Psi Description,"Psi, som är en begåvad apunge, använder bara sin sinnesstyrka för att förstöra Bloons, inifrån och ut."
Psi Level 1 Description,"Över valfri distans och över alla hinder skapar Psi dödliga vibrationer som förstör Bloons fullständigt, en i taget. Kan rikta in sig på Kamobloons."
Psi Level 2 Description,Attackerar något snabbare.
Psi Level 3 Description,Psykisk stötvåg: Psi släpper lös en stötvåg som bedövar Bloons i närheten länge.
Psi Level 4 Description,Psis attack kan träffa en annan Bloon om den är väldigt nära Bloonen som attacken riktades mot.
Psi Level 5 Description,De psioniska vibrationerna förstör Bloons snabbare än normalt.
Psi Level 6 Description,Psis kraftfulla sinne kan tränga igenom Blybloons.
Psi Level 7 Description,Psykisk stötvåg pulserar två gånger. Psi kan nu förstöra Keramikbloons.
Psi Level 8 Description,Destruktiv resonans gör så att Bloons som förstörs av Psis huvudattack skadar andra Bloons i närheten.
Psi Level 9 Description,Dela sinnet. Psi kan nu attackera två olika Bloons samtidigt.
Psi Level 10 Description,Psioniskt skrik: Psi släpper lös ett tyst skrik som skapar fullkomligt kaos bland Bloonsen.
Psi Level 11 Description,De psioniska vibrationerna förstör Bloons ännu snabbare.
Psi Level 12 Description,Psykisk stötvåg pulserar tre gånger.
Psi Level 13 Description,Inte ens Lila Bloons kan motstå kraften i Psis sinnesattacker.
Psi Level 14 Description,Psis enorma psykiska krafter kan rikta in sig på och förstöra Bloons i MOAB-klassen.
Psi Level 15 Description,Destruktiv resonans är ännu mera destruktiv.
Psi Level 16 Description,De psioniska vibrationerna förstör Bloons mycket snabbare. Psi kan nu rikta in sig på BFB:er.
Psi Level 17 Description,Dela sinnet. Psi kan nu attackera tre olika Bloons samtidigt.
Psi Level 18 Description,Psis attacker påverkar Bloons inom en större radie från den Bloon som attackeras.
Psi Level 19 Description,Destruktiv resonans är mycket mera destruktiv.
Psi Level 20 Description,Psioniskt Skrik håller fast och skadar alla Bloons på skärmen. Psi kan nu rikta in sig på DDT:er och ZOMG:er.
Sanctuary,Helgedom
ft_monkeyteamstitle,Apteam
ft_monkeyteamsdescription,Tjäna bonusappengar! Välj valfri hjälte och använd endast de valda aporna för att klara denna bana och vinna bonusappengar! Högre svårighetsgrad ger mer appengar.
ModderWarningPopup,Modifierad spelklient detekterad. Vissa spelfunktioner kommer inte att vara tillgängliga.
ModdedClient,Moddad klient
Achievement 117 Name,Prestationernas prestation
Achievement 117 Description,Samla in 35 prestationer
Achievement 118 Name,"Krok, lina och sänke"
Achievement 118 Description,Hala in 3 000 Bloons i MOAB-klassen med hjälp av MOAB-nedtagningsförmågan
Achievement 119 Name,Flyttlass
Achievement 119 Description,Omplacera 1 000 aptorn med hjälp av understödshelikoptern
Achievement 120 Name,Social fjäril
Achievement 120 Description,Använd emotes 100 gånger i samarbetsspel
Achievement 121 Name,Det glänser!
Achievement 121 Description,Smäll 20 Gyllene Bloons
Achievement 122 Name,Glittrande guld
Achievement 122 Description,Smäll 100 Gyllene Bloons
Achievement 123 Name,Strålande guld
Achievement 123 Description,Smäll 500 Gyllene Bloons
Achievement 124 Name,Magiskt guld
Achievement 124 Description,Smäll 50 Gyllene Bloons i Endast magiska apor-läget
Achievement 125 Name,Lagspelare
Achievement 125 Description,Vinn 25 gånger med Apteam
Achievement 126 Name,Lagkapten
Achievement 126 Description,Vinn 50 gånger med Apteam
Achievement 127 Name,Ultimat lagarbete
Achievement 127 Description,Vinn 100 gånger med Apteam
HeroesEtiennePetRoombaName,Etienne Roomba-husdjur
HeroesEtiennePetRoombaShortName,Etienne Roomba-husdjur
HeroesEtiennePetRoombaDescription,Vi är inte riktigt säkra om det är Roomba eller katten som Etienne tycker bäst om. Det är ett paketerbjudande. Endast original-Etienne
HeroesEziliPlacementGlyphName,Ezili Glyphs Materialisering Placera och uppgradera
HeroesEziliPlacementGlyphShortName,Ezili Glyph
HeroesEziliPlacementGlyphDescription,"Stråla upp mig, Ezili! Endast original-Ezili"
TowerPropMonkeyVillageNZFlagName,Apbyns Nya Zeeland-flagga
TowerPropMonkeyVillageNZFlagShortName,Byns NZ-flagga
TowerPropMonkeyVillageNZFlagDescription,Låt Solguden försvarar vårt fria land OCH vår Apby från Bloonsen! Visas för alla uppgraderingar
TowerPropMonkeyVillageScotlandFlagName,Apbyns skotska flagga
TowerPropMonkeyVillageScotlandFlagShortName,Byns skotska flagga
TowerPropMonkeyVillageScotlandFlagDescription,Gör uppror och utropa din friiiiiihet med den apbyflagga. Visas för alla uppgraderingar
TowerPropMonkeyVillageBananaFlagName,Apbyns skotska flagga
TowerPropMonkeyVillageBananaFlagShortName,Byns bananflagga
TowerPropMonkeyVillageBananaFlagDescription,Gå bananas och låt varje apas favoritfrukt vaja stolt över din apby. Visas för alla uppgraderingar
