//Input. Needs to be first e.g [I] replaced by click or tap,
Click,点击
GamecenterRestrictedTitle,多人游戏访问受限
GamecenterLoginTitle,登录到游戏中心
QuietStreet,静谧街道
GalaxiliEziliSkinName,星系皮肤
GalaxiliEziliSkinDescription,我们以及我们所看到的一切，都是宇宙尘埃的表象
MonkeyBuccaneer Paragon,海洋主宰
MonkeyBuccaneer Paragon Description,有史以来最强大的海上王者。
HeroesPsiPetBisonName,灵机野牛宠物
HeroesPsiPetBisonShortName,灵机野牛宠物
HeroesPsiPetBisonDescription,偶蹄类动物的骄子，碰巧灵机觉得它非常可爱。仅限初始灵机,)
TowerPropMonkeyVillageAustralianFlagName,猴子村澳大利亚国旗
TowerPropMonkeyVillageAustralianFlagShortName,猴村澳大利亚国旗
TowerPropMonkeyVillageAustralianFlagDescription,澳洲 澳洲 澳洲，嗷 嗷 嗷！这面猴村国旗显示所有升级
TowerProjectileMortarSnowName,迫击炮猴雪球射弹
TowerProjectileMortarSnowShortName,迫击炮雪球射弹
TowerProjectileMortarSnowDescription,借助强力迫击炮猴雪球射弹赢得每一场雪仗的胜利。这是限时出售的道具哦！
TowerPetIceMonkeySnowmanName,冰猴雪人宠物
TowerPetIceMonkeySnowmanShortName,冰猴雪人宠物
TowerPetIceMonkeySnowmanDescription,冰猴不打气球的时候在做什么？当然是在堆可爱的雪人宠物啦！这是限时出售的道具哦！
BloonsDDTSkinSleighName,厄运雪橇 DDT
BloonsDDTSkinSleighShortName,厄运雪橇 DDT
BloonsDDTSkinSleighDescription,今年的圣诞节，用可怕的厄运雪橇来送礼物吧！这是限时出售的道具哦！
BloonsAllBloonsElfHatName,精灵帽气球
BloonsAllBloonsElfHatShortName,精灵帽气球
BloonsAllBloonsElfHatDescription,戴上小精灵的帽子，一切都变得更可爱了！这是限时出售的道具哦！
CoopEmoteAnimationBenCoolName,酷本的表情
CoopEmoteAnimationBenCoolShortName,酷本
CoopEmoteAnimationBenCoolDescription,像本一样酷，像Ben一样潇洒
CoopEmoteAnimationBikerBonesRageName,狂怒骷髅骑手表情
CoopEmoteAnimationBikerBonesRageShortName,狂怒骷髅骑手
CoopEmoteAnimationBikerBonesRageDescription,你真的牺牲了我所有的塔来建造你的寺庙吗？骷髅骑手出离愤怒了！
GameUIProfileAvatar52Name,自定义化身 – 回旋镖
GameUIProfileAvatar52ShortName,回旋镖化身
GameUIProfileAvatar52Description,左手回旋镖是最好用的回旋镖！
GameUIProfileAvatar53Name,自定义化身 – 海盗船长
GameUIProfileAvatar53ShortName,海盗船长化身
GameUIProfileAvatar53Description,呀！你们想用最好的化身奖杯来打动其他的流氓玩家，不是吗？
GameUIProfileAvatar54Name,自定义化身 – 几何学昆西
GameUIProfileAvatar54ShortName,几何昆西化身
GameUIProfileAvatar54Description,我是阿尔法和欧米伽。我是昆西的平方
GameUIProfileAvatar55Name,自定义化身 – 圣诞星阿多拉
GameUIProfileAvatar55ShortName,星星阿多拉化身
GameUIProfileAvatar55Description,你还能信赖谁来为这棵树做最后的修饰？阿多拉当仁不让！这是限时出售的道具哦！
GameUIProfileBanner8Name,跃入太空个人资料横幅
GameUIProfileBanner8ShortName,跃入太空横幅
GameUIProfileBanner8Description,横幅获胜者Galaksyz
GameUIProfileBanner9Name,直面太阳个人资料横幅
GameUIProfileBanner9ShortName,直面太阳横幅
GameUIProfileBanner9Description,横幅获胜者Bohrokki
GameUIPowerSkinEnergisingTotemChristmasTreeName,自定义力量 - 圣诞树活力图腾
GameUIPowerSkinEnergisingTotemChristmasTreeShortName,活力圣诞树
GameUIPowerSkinEnergisingTotemChristmasTreeDescription,用这棵五颜六色的圣诞树让你的猴子保持活力！这是限时出售的道具哦！
GameUIPowerSkinDartTimeMatrixName,自定义力量 - 超级吸血鬼风暴
GameUIPowerSkinDartTimeMatrixShortName,飞镖时间结束
GameUIPowerSkinDartTimeMatrixDescription,这不是故障，你以前没有见过这个，但你会喜欢它，我们保证
GameUIMusicTrackMusicWinterChilledMixName,点唱机：冬夜 - 放松混音版
GameUIMusicTrackMusicWinterChilledMixShortName,冬夜 - 放松混音版
GameUIMusicTrackMusicWinterChilledMixDescription,放松，播放这首酷酷的混音新曲，然后凝视一下冬天的星星。
Achievement 134 Name,达维德与歌利亚的较量
Achievement 134 Description,在不使用英雄的情况下赢得一场Boss战
Achievement 135 Name,五味杂陈的Ninja Kiwi
Achievement 135 Description,只用陆上塔就能在替补气球回合中通过香料群岛
Achievement 136 Name,颗粒无收
Achievement 136 Description,在不移除任何玉米的情况下在CHIMPS模式中通过玉米地
Achievement 137 Name,学生贷款
Achievement 137 Description,4 x 10^5 (欠下40万美元的债务)
Achievement 138 Name,不缺少关键信息
Achievement 138 Description,"完成25,000次关键命中"
GameRestartedTitle,游戏重新启动
GameContinuedTitle,游戏继续
GameRestartedDescription,游戏已被另一玩家重新启动。
GameContinuedDescription,游戏已被另一玩家继续进行。
EditorAbilityCooldown,技能冷却速度
EditorRemovableCost,移除费用
AbilityCooldownIncreased,技能冷却速度加快
AbilityCooldownDecreased,技能冷却速度减慢
RemovableCostIncreased,移除费用增加
RemovableCostDecreased,移除费用减少
Disabled,已禁用
ViewStats,查看统计数据
CloseSlot,关闭栏位
OpenSlot,启用栏位
CalloutBossCrusher,Boss克星
CalloutBossCrusherDesc,对Boss造成{0}伤害
CalloutWellRounded,设计周密
CalloutWellRoundedDesc,4种塔型中的每一种都有{0}
CalloutEndlessPower,无尽的力量！
CalloutEndlessPowerDesc,{0}级模范已创建
AnyGame,任意游戏
AnyMap,任意地图
AnyDifficulty,任意难度
AnyMode,任意模式
DataConsentTitle,启用数据传输
DataConsentBody,您好！Ninja Kiwi需要使用您的游戏信息（包括IP地址、GameCenter名称和游戏进度）才能启用征程、竞速、Boss、合作及其它活动。这样可以吗？
DataConsentAccepted,非常感谢！请享受这些活动带来的乐趣
DataConsentRejected,没关系。我们不会使用您的游戏信息，因此将禁用征程、竞速、Boss、合作活动。您仍可以玩单人游戏，并且可随时在设置菜单中更改此项设置。
DataConsentCurrent,数据传输：{0}
DataConsentEnabled,已启用
DataConsentDisabled,已禁用
DataConsentReview,查看
DataConsentYes,是
DataConsentNo,否
BionicAugmentation,仿生增强
BionicAugmentationDescription,当涡轮增压启动时，仿生回旋镖可以瞄准迷彩气球
XrayUltra,超X射线
XrayUltraDescription,超级视距使超级猴子能够看穿并射穿阻挡的物体
BonusGlueGunner,奖励胶水炮手
BonusGlueGunnerDescription,每局游戏开始时免费获得一个胶水炮手！（每局游戏只能免费获得一个猴子塔）
Achievement 139 Name,胶着局面
Achievement 139 Description,"粘上500,000个气球"
Achievement 140 Name,大手笔
Achievement 140 Description,"在一回合中花费1,000,000块钱"
Achievement 141 Name,每日雷德
Achievement 141 Description,赢得365场独特的每日挑战
Achievement 142 Name,我会卷土重来
Achievement 142 Description,"在继续或检查站上花费1,000个猴币"
PetSounds,宠物声音
UserID,用户身份
SunkenColumns,凹陷的柱子
PsimbalsPsiSkinName,铙钹灵机皮肤
PsimbalsPsiSkinDescription,你准备好表演了吗？！
HeroesStrikerJonesPetGermanShepherdName,先锋琼斯德国牧羊犬宠物
HeroesStrikerJonesPetGermanShepherdShortName,先锋幼崽宠物
HeroesStrikerJonesPetGermanShepherdDescription,先锋当然有一只德国牧羊犬！用肩部发射玩具和一只健壮的狗狗玩取物游戏。仅限初始先锋琼斯
HeroesETnPlacementBeamDownName,ET-n 瞬间传送放置和升级
HeroesETnPlacementBeamDownShortName,ET-n 瞬间传送
HeroesETnPlacementBeamDownDescription,这里没有召回和瞬间传回。ET-n 认为传送器更适合直接投入行动或为升级添加标志性天赋。仅限 ET-n
TowerPetHeliPilotHummingbirdName,直升机飞行员蜂鸟宠物
TowerPetHeliPilotHummingbirdShortName,直升机飞行员蜂鸟宠物
TowerPetHeliPilotHummingbirdDescription,直升机飞行员都会一些疯狂的悬停技巧，但这只美丽的蜂鸟宠物表明了它还有进步的空间
TowerProjectileWizardZombiesName,死灵法师僵尸气球
TowerProjectileWizardZombiesShortName,死灵法师气球
TowerProjectileWizardZombiesDescription,死亡宣告！这些死灵气球和MOAB级乐于瞬间秒杀入侵气球。
BloonsAllBloonsDaisyChainName,雏菊花环气球
BloonsAllBloonsDaisyChainShortName,雏菊花环气球
BloonsAllBloonsDaisyChainDescription,所有气球围成一圈，都点缀上了花束！用漂亮的花环装饰所有常规类型气球，庆祝春天的到来。这是限时出售的道具哦！
BloonsBADSkinWhaleName,BAD鲸鱼
BloonsBADSkinWhaleShortName,BAD鲸鱼
BloonsBADSkinWhaleDescription,我们倾向于认为所有鲸鱼都是友好的，但这只看起来很可爱的洋红色野兽绝对是一只BAD鲸鱼。
CoopEmoteAnimationObynPeaceName,奥本胜利手势表情
CoopEmoteAnimationObynPeaceShortName,奥本胜利手势
CoopEmoteAnimationObynPeaceDescription,你的选择 — 无论是想致以佛禅式问候，想让他人缓和对玩家3的态度，还是想因为搞砸了你激活的技能而致歉。奥本胜利手势都能派上用场。这是限时出售的道具哦！
CoopEmoteAnimationThinkingMonkeyName,思考的猴子表情
CoopEmoteAnimationThinkingMonkeyShortName,思考的猴子
CoopEmoteAnimationThinkingMonkeyDescription,一只会思考的猴子是一只好猴子。当你在思考或者想知道别人到底在想什么的时候，它就会起作用了。
GameUIProfileAvatar56Name,德鲁伊春天鲜花头像
GameUIProfileAvatar56ShortName,德鲁伊春天头像
GameUIProfileAvatar56Description,用这个美丽、沉思的德鲁伊头像来随时唤起春天的魔力。这是限时出售的道具哦！
GameUIProfileAvatar57Name,探险家猴子潜艇头像
GameUIProfileAvatar57ShortName,探险家潜艇头像
GameUIProfileAvatar57Description,在潜水艇里，没有比整个脸贴在玻璃上有更好的视野了。用这个睁大眼睛的头像给潜艇带来一些爱。
GameUIProfileAvatar58Name,暴风雪人冰淇淋头像
GameUIProfileAvatar58ShortName,暴风冰淇淋头像
GameUIProfileAvatar58Description,我咆哮，你也咆哮，帕特·弗洛斯第喜欢他的冰淇淋。显然，对于我们这些欣赏生活中美好事物的人来说，这是最好的头像。
GameUIPowerSkinRoadSpikesFlowerPatchName,自定义力量 — 花田路钉
GameUIPowerSkinRoadSpikesFlowerPatchShortName,花田刺钉
GameUIPowerSkinRoadSpikesFlowerPatchDescription,谁说路钉需要看起来像粗糙的工业紧固件？采摘这些带刺的鲜花，鱼与熊掌兼得！
GameUIPowerSkinMonkeyBoostSugarRushName,自定义力量 — 糖果大战猴子士气提升
GameUIPowerSkinMonkeyBoostSugarRushShortName,糖果大战士气提升
GameUIPowerSkinMonkeyBoostSugarRushDescription,人类：我们都知道，我们在大量含糖物质的影响下表现更好。猴子：我们也一样。
GameUIProfileBanner10Name,涂鸦才华档案横幅
GameUIProfileBanner10ShortName,涂鸦才华横幅
GameUIProfileBanner10Description,横幅获胜者chompypaw
GameUIProfileBanner11Name,奥秘 Necronicom 档案横幅
GameUIProfileBanner11ShortName,奥秘 Necronicom 横幅
GameUIProfileBanner11Description,横幅获胜者_Concilliabule_
GameUIProfileBanner12Name,蜜蜂鸣叫档案横幅
GameUIProfileBanner12ShortName,蜜蜂鸣叫横幅
GameUIProfileBanner12Description,蜜蜂树上嗡嗡叫，专来为我酿蜂蜜。这是限时出售的道具哦！
FilterAll,所有
FilterHeroPlacementUpgrades,放置特效
FilterHeroPets,宠物
FilterTowerPlacementUpgrades,升级特效
FilterTowerPets,宠物
FilterProjectiles,射弹
FilterFlags,旗帜
FilterPopFX,爆破特效
FilterAllBloonSkins,所有气球皮肤
FilterRegularSkins,气球皮肤
FilterMoabSkins,MOAB皮肤
FilterStandardEmotes,标准表情
FilterTextEmotes,文字表情
FilterSoundEmotes,声音表情
FilterFullScreenEmotes,全屏表情
FilterMusicTracks,音乐曲目
FilterAvatars,化身
FilterPowerSkins,力量皮肤
FilterProfileBanners,档案横幅
FilterMisc,其他
Blast Chain Ability,爆破链
Blast Chain Ability Description,水雷在短时间内发射速度更快
TowerSpecial,特制猴子
Geraldo,杰拉尔多
Geraldo Short Description,神秘店主
Geraldo Description,店主杰拉尔多出售一些有用的道具，并用他的闪电攻击击毁气球。
Geraldo Level 1 Description,可用的道具！射击炮塔、旧钉子堆、令人毛骨悚然的神像、泡菜罐。杰拉尔多也可以进行近距离魔法攻击。
Geraldo Level 2 Description,新道具！罕见的昆西可动人偶 — 保有时间越长，价值就越高！
Geraldo Level 3 Description,新道具！识破隐形药水 — 短时间内赋予猴子塔或英雄迷彩探测能力。杰拉尔多的攻击范围增加。
Geraldo Level 4 Description,新道具！一管神奇胶水 — 可以放在路径上，减缓气球的速度。
Geraldo Level 5 Description,新道具! 磨刀石 – 在进行刃器伤害时，提升猴塔或英雄的穿透力。杰拉尔德攻击速度加快。
Geraldo Level 6 Description,新道具！破旧的英雄斗篷 — 将2阶或更低级的飞镖猴转换成超猴侠！转换后的超猴侠只能升级到3阶。
Geraldo Level 7 Description,新道具！利刃陷阱 — 当可见气球接触到陷阱时，利刃漩涡就会触发。杰拉尔多主攻击的伤害和穿刺力增加。
Geraldo Level 8 Description,新道具！一瓶“格里之火” — 富含280 万个Bloonville单位的纯辣酱火！赋予猴子、英雄或仆从炽热攻击，持续10回合。
Geraldo Level 9 Description,新道具！肥料 — 使目标香蕉农场的香蕉产量大幅增加，并获得现金奖励，效果持续几个回合。杰拉尔多主攻击爆炸半径增加。
Geraldo Level 10 Description,新道具！宠物兔 — 哇，好可爱的小兔子啊！
Geraldo Level 11 Description,新道具！回春药剂 — 重置所有猴子塔和英雄的冷却时间，恢复50点生命。杰拉尔多主攻击的穿透力增加，泡菜罐对强化气球造成额外伤害。
Geraldo Level 12 Description,新道具！精灵瓶 — 召唤一只等离子驱动的精灵猴，持续3回合。令人毛骨悚然的神像现在可以偶尔对经过的可见 MOAB 级气球施加短暂眩晕。
Geraldo Level 13 Description,射击炮塔射速加快，伤害增加，旧钉子堆造成的伤害增加。
Geraldo Level 14 Description,识破隐形药水作用范围增加，效果持续更久。
Geraldo Level 15 Description,磨刀石现在除了增加穿透力外还会增加伤害，利刃陷阱在触发时会产生更强大的效果。
Geraldo Level 16 Description,旧钉子堆变成了一个钉子地雷，泡菜罐可对强化气球造成额外伤害，格里之火可额外造成燃烧伤害。
Geraldo Level 17 Description,杰拉尔多的主攻击造成的伤害增加，神奇胶水现在可小幅降低MOAB级的气球的速度。
Geraldo Level 18 Description,精灵获得第二次近距离目标攻击，并且可对MOAB级气球造成额外伤害，令人毛骨悚然的神像失效时可对MOAB级的气球施加神秘遮罩，被击破时会对附近气球造成大量伤害。
Geraldo Level 19 Description,杰拉尔德的主攻击大幅增强，识破隐形药水可使目标对迷彩气球造成额外伤害。
Geraldo Level 20 Description,新道具! 巅峰力量图腾 - 为下一个创建的巅峰增加巅峰能量。商店上新货啦! 杰拉尔多主攻击造成伤害的增加。
Geraldo Shop shortname,商店
Geraldo Shop name,杰拉尔多的商店
Shooty turret name,射击炮塔
Shooty turret description,一个手工制作的永久飞镖射击炮塔。
Stack of old nails name,旧钉子堆
Stack of old nails description,是的，虽然只是一堆旧钉子，但只要它们放在路径上，就能轻松地干掉那些零落的气球。
Creepy idol name,令人毛骨悚然的神像
Creepy idol description,将这个看起来很诡异的神像放在路径附近，可以吓退靠近的气球。
Jar of Pickles name,泡菜罐
Jar of Pickles description,在你的一座猴子塔上试试这些泡菜，它会更猛烈地射击，但射速会减慢一段时间。
Rare Quincy action figure name,罕见的昆西可动人偶
Rare Quincy action figure description,限量版，崭新的原版昆西，昆西之子可动人偶！这东西只会越来越值钱，所以赶紧买一个吧！
See invisibility potion name,识破隐形药水
See invisibility potion description,无论是神秘猴子，只要用上这种极其有效的灵丹妙药，就能轻松地看到迷彩气球！效果会逐渐消失。
Tube of amaz-o-glue name,一管神奇胶水
Tube of amaz-o-glue description,真的很神奇！在路径上的任何地方涂上一管这种现代发明奇迹，然后就能看到一连串气球慢下来。效果可持续4回合，或直到用完。
Sharpening stone name,磨刀石
Sharpening stone description,把这些飞镖磨得更加锋利，朋友！把这个涂到你的飞镖和刀片上，它们会比以前更加锋利。效果持续15回合。
Worn heros cape name,破旧的英雄斗篷
Worn heros cape description,所有英雄都披着斗篷！把这件物品给你的飞镖猴子，接下来就看着它变身吧！不过，使用条件有一点限制，只能是低阶猴子，唉，辛酸啊。
Blade trap name,利刃陷阱
Blade trap description,把这种陷阱放在路径上，第一个接触它的气球会被高速旋转的利刃切成碎片！
Gerrys fire hot sauce name,一瓶“格里之火”辣酱
Gerrys fire hot sauce description,280 万个Bloonville单位。无论谁尝了这种特制酱料，都会在一段时间内喷出火来!
Fertilizer name,肥料
Fertilizer description,你的农场种植香蕉吗？想要更多的香蕉吗？直接把这种超强的魔法肥料撒在农场里，就可以结出更多的香蕉！
Pet rabbit name,宠物兔
Pet rabbit description,有时你需要的只是一只超级可爱的小宠物兔！或者是好几只！
Rejuv potion name,回春药剂
Rejuv potion description,只需使用几滴这种美味的药剂，它的回春之力就能恢复损失的生命值，并重置技能冷却时间。
Genie bottle name,精灵瓶
Genie bottle description,从这个亮蓝色瓶子中召唤出一只精灵猴，但要小心，它不会一直存在！（购买时不包括任何愿望）
Paragon power totem name,模范能量图腾
Paragon power totem description,用这件神秘的神器提升你下一个模范的力量......
EventEndingSoonText,此活动即将结束，现已禁止进入。
EngineerMonkey Paragon,大师建造者
EngineerMonkey Paragon Description,猴子工程学已发展到完美程度。创造三个巨型哨兵，他们可以建立自己的哨兵。
OptionsLogout,注销
ConfirmLogout,确认注销
ConfirmLogoutDesc,你确定要注销你的帐户吗？如果是的话，请在操作前记录下你的帐户详细信息和链接代码。\n\n{0}
VortexTagLine,从天而降
VortexTagLine2,致命的空气大师
Vortex,漩涡
VortexInfoPanelDescription,• 漩涡像闪电一样移动，并且可加快其他气球的速度！\n• 当达到每个生命条的骷髅位时，漩涡会保护自己并发出冲击波，震慑附近的塔楼，然后退到路径上。\n• 漩涡发出常规的风暴脉冲，可摧毁任何非力量摧毁射弹。
Scrapyard,废料场
BloonsAllBloonsCatEarName,猫耳朵气球
BloonsAllBloonsCatEarShortName,猫耳朵气球
BloonsAllBloonsCatEarDescription,气球和猫通常不是很相配，但在这种情况下，它们的配合堪称完美。
BloonsAllBloonsDisguiseGlassesName,伪装眼镜气球
BloonsAllBloonsDisguiseGlassesShortName,伪装眼镜气球
BloonsAllBloonsDisguiseGlassesDescription,只有猴子才会被这种伪装所迷惑。等一下...
CoopEmoteAnimationPatFlexName,帕特·佛雷斯表情
CoopEmoteAnimationPatFlexShortName,帕特·佛雷斯
CoopEmoteAnimationPatFlexDescription,肌肉和大脑，多么好的组合啊！帕特好强！
CoopEmoteAnimationMindBlownName,心灵震撼表情
CoopEmoteAnimationMindBlownShortName,心灵震撼
CoopEmoteAnimationMindBlownDescription,当你的合作伙伴做了一件非常棒的事情时，只有这个表情才配得上！
GameUIProfileAvatar59Name,超猴侠化身
GameUIProfileAvatar59ShortName,超猴侠化身
GameUIProfileAvatar59Description,你能从他的眼中看到爱意。现在你只需要决定超猴侠是在看你还是在看他的倒影。
GameUIProfileAvatar60Name,先锋琼斯化身
GameUIProfileAvatar60ShortName,先锋琼斯化身
GameUIProfileAvatar60Description,先锋琼斯前来报到！用你最喜欢的肩部发射猴子来表达必胜的信念。
GameUIProfileBanner13Name,抵达档案横幅
GameUIProfileBanner13ShortName,抵达横幅
GameUIProfileBanner13Description,横幅获胜者betapotata
GameUIProfileBanner14Name,水底档案横幅
GameUIProfileBanner14ShortName,水底横幅
GameUIProfileBanner14Description,横幅获胜者Cyliia
GameUIMusicTrackMusicSunshineFiestaMixName,点唱机：阳光小夜曲 — 嘉年华重新混音版
GameUIMusicTrackMusicSunshineFiestaMixShortName,阳光 — 嘉年华
GameUIMusicTrackMusicSunshineFiestaMixDescription,提高音量，享受这段精彩的重新混音版阳光小夜曲。
CantSubmitEventEnded,无法提交你的分数，活动已经结束。
CyberQuincySkinNameFull,网络昆西
ScientistGwendolinSkinNameFull,科学家格温德林
SentaiCaptainChurchillSkinNameFull,丘吉尔战队
BikerBonesSkinNameFull,骷髅骑手
ObynOceanGuardianSkinNameFull,海洋守护者
BenJamminSkinNameFull,本杰明DJ
SmudgeCattSkinNameFull,小污猫
FustyTheSnowmanSkinNameFull,暴风雪人
WolfpackQuincySkinNameFull,Wolfpack昆西
JoanOfArcAdoraSkinNameFull,圣女贞德阿多拉
HarlegwenGwendolinSkinNameFull,疯狂格温
OctoJonesStrikerJonesSkinNameFull,章鱼
DreadPirateBrickellAdmiralBrickellSkinNameFull,恐惧海盗布里克尔
ObynMountainGuardianSkinNameFull,守山者
SushiBentoBenjaminSkinNameFull,寿司便当
ETnEtienneSkinNameFull,ETn
VikingSaudaSaudaSkinNameFull,维京萨乌达
GalaxiliEziliSkinNameFull,星系
PsimbalsPsiSkinNameFull,铙钹灵机
Least Cash,最少现金：
Least Tiers,最低阶：
Least Cash Used,使用的最少现金：
Least Tiers Used,使用的最低阶：
All Tiers Used,使用的所有阶
All Cash Used,使用的所有现金
Tiers Used,使用的阶
Cash Used,使用的现金
No Score Set,未设置分数
Auto,自动
FriendScreenFriends,好友
FriendScreenRequests,请求
FriendScreenYourFriendCode,你的朋友代码：
FriendScreenOnline,在线
FriendScreenOffline,离线
FriendScreenAccept,接受
FriendScreenDecline,拒绝
FriendScreenBlock,屏蔽
FriendScreenFriendText,好友将显示在这里。与好友和家人分享你的朋友代码
RequestDisabledText,请求已禁用
FriendScreenEnterCode,输入朋友代码：
FriendScreenAdd,添加
FriendScreenSureUnfriend,你确定要取消此用户的好友关系吗？
FriendScreenSureBlock,你确定要屏蔽此用户吗？
SpecialConditions,特殊情况
FriendScreenRequestText,请求将显示在这里。与好友和家人分享你的朋友代码
FriendScreenCodeHidden,好友代码已隐藏
RequestEnabledText,请求已启用
Least Cash No Colon,最少现金
Least Tiers No Colon,最低阶
SpecialConditionsColon,特殊情况：
GoalSetForCash,目标已被设定为{0}现金
GoalSetForTiers,目标已被设定为{0}阶
ChallengeCashUsed,你使用了{0}/{1}现金
ChallengeTiersUsed,你使用了{0}/{1}阶
ShootyTurret,射击炮塔
CreepyIdol,令人毛骨悚然的神像
RareQuincyActionFigure,罕见的昆西可动人偶
GenieBottle,精灵瓶
ParagonPowerTotem,巅峰力量图腾
FriendScreenErrorRequestFailed,申请添加好友失败
FriendScreenErrorInvalidCode,无效的好友代码
FriendScreenErrorBlocked,你想添加的玩家已经屏蔽了好友申请，抱歉!
FriendScreenErrorAlreadySent,你已经向该玩家发送了好友申请
FriendScreenErrorTooManyFriends,"你的好友人数已达上限。你可以删除一个现有的好友，或撤销你的好友申请来腾出空间。
"
MapEditor,地图编辑器
Jar of Pickles description level 11,给在你的一座猴子塔上试试这些泡菜，它会更猛烈地射击，但射速会减慢一段时间。现在对强化气球造成的伤害增加了!
Creepy idol description level 12,把这个看起来很诡异的神像放在路径附近，可以吓退靠近的气球（甚至是MOAB级气球！）。
Shooty turret description level 13,一个手工制作的永久飞镖射击炮塔。已升级! 射速加快，造成的伤害增加。
Stack of old nails description level 13,是的，虽然只是一大堆旧钉子，但只要它们放在路径上，就能轻松地干掉那些零落的气球。
See invisibility potion description level 14,无论是神秘猴子，只要用上这种极其有效的灵丹妙药，就能轻松地看到迷彩气球！效果会逐渐消失。现在作用范围扩大，持续时间加长！
Sharpening stone description level 15,把这些飞镖磨得更加锋利，朋友！把这个涂到你的飞镖和刀片上，它们会比以前更加锋利，造成的伤害更高。
Blade trap description level 15,把这种陷阱放在路径上，第一个接触它的气球会被高速旋转的利刃切成碎片！更加强大的新型号！
Stack of old nails description level 16,是的，虽然只是一个巨型钉子地雷，但只要它它放在路径上，就能轻松地干掉那些零落的气球。
Jar of Pickles description level 16,给在你的一座猴子塔上试试这些泡菜，它会更猛烈地射击，但射速会减慢一段时间。现在对强化气球造成的伤害进一步增加了!
Gerrys fire hot sauce description level 16,280万个Bloonville单位。无论谁尝了这种特制酱料，都会在一段时间内喷出火来! 现在可造成额外的燃烧伤害。
Tube of amaz-o-glue description level 17,真的很神奇！在路径上的任何地方涂上一管这种现代发明奇迹，然后就能看到一连串气球慢下来。
Genie bottle description level 18,从这个亮金色瓶子中召唤出一只精灵猴，但要小心，它不会一直存在！（购买时不包括任何愿望）现在可对MOAB级气球发起更多攻击并造成更高伤害。
Creepy idol description level 18,把这个看起来很诡异的神像放在路径附近，可以吓退靠近的气球。神秘遮罩升级已解锁！
See invisibility potion description level 19,无论是神秘猴子，只要用上这种极其有效的灵丹妙药，就能轻松地看到迷彩气球，并且对它们造成的伤害增加！效果会逐渐消失。
FriendScreenSureUnBlock,确定要解除屏蔽该用户吗？
None,无
Knowledge Requirement Monkey Money,猴币不够。是否购买更多？
Knowledge Requirement Points,知识点不够
InviteFriend,邀请好友
InvitedToJoin,{0}邀请你参加他们的合作游戏。是否要加入？
HeroesMountainObynPetBalfrogName,炎魔蛙宠物
HeroesMountainObynPetBalfrogShortName,炎魔蛙宠物
HeroesMountainObynPetBalfrogDescription,这种小蛙来自迷雾山脉下的黑暗矿井，吐露欲望之火，是它的交谈之道，为你带来真正的烈焰。仅在山脉奥本
TowerPropMonkeyVillagePrideFlagName,猴村骄傲旗
TowerPropMonkeyVillagePrideFlagShortName,猴村骄傲旗
TowerPropMonkeyVillagePrideFlagDescription,让这面骄傲旗飘扬在猴村的上空，彰显多元化。显示所有的升级
CoopEmoteTextNeedMoreName,需要更多！文字表情
CoopEmoteTextNeedMoreShortName,需要更多！
CoopEmoteTextNeedMoreDescription,当你需要更多现金、气球、防御塔或食物时，这个表情就派上用场了。
CoopEmoteTextNeedMoreWord,需要更多！
CoopEmoteAnimationRainbowName,彩虹动画
CoopEmoteAnimationRainbowShortName,彩虹
CoopEmoteAnimationRainbowDescription,大家一起歌唱吧！就在彩虹的另一边...
GameUIProfileAvatar61Name,飞镖猴化身
GameUIProfileAvatar61ShortName,飞镖猴化身
GameUIProfileAvatar61Description,赞美伟大的飞镖猴！气球克星！
GameUIProfileAvatar62Name,杰拉尔德化身
GameUIProfileAvatar62ShortName,杰拉尔德化身
GameUIProfileAvatar62Description,你好，朋友，我能让你对一只毛茸茸的白兔感兴趣吗？他是完全无害的，你同意吗？
GameUIProfileBanner15Name,OG BTD风格横幅
GameUIProfileBanner15ShortName,OG BTD风格横幅
GameUIProfileBanner15Description,横幅获胜者：LordTeddington
GameUIProfileBanner16Name,森林之魂横幅
GameUIProfileBanner16ShortName,森林之魂横幅
GameUIProfileBanner16Description,横幅获胜者：tricky999tricky
GameUIMusicTrackMusicTribesJaloonMixName,点唱机：部落与苦难 - Jaloon 混音版
GameUIMusicTrackMusicTribesJaloonMixShortName,部落 - Jaloon
GameUIMusicTrackMusicTribesJaloonMixDescription,用这首人人都爱的《部落与苦难》来点燃舞池。
Quarry,采石场
VoidoraAdoraSkinName,虚空阿多拉皮肤
VoidoraAdoraSkinDescription,我从虚空来，我已然到达
VoidoraAdoraSkinNameFull,虚空阿多拉
InappropriateTeamName,请选择一个更合适的战队名称
TeamNameNotUnique,这个名称已有人使用! 请选择其他名称或尝试添加数字
TeamNameTooShort,战队名称的长度必须介于{0}到{1}之间
SentryParagonChild,修改后的哨兵巅峰
LoginwithEpic,用Epic登录
EnterLinkingCode,输入一个链接代码来连接：
Connect,连接
PrivacyPolicy,隐私政策
TermsOfService,服务条款
ConfirmAgeInfo,要想继续，请确认你的当前年龄。你必须登录才能畅享更多在线功能以及备份数据。
AgeQuestion,你是否已年满{0}岁及以上？
AgeYes,是，我已年满{0}岁及以上。
AgeNo,否，我未满{0}岁。
