//Input. Needs to be first e.g [I] replaced by click or tap,
Click,Klicken
GameUIProfileAvatar34Description,Avatar-Sieger by mutamarkl
GameUIProfileAvatar35Name,Eigener Avatar – Mächtiger Sentai
GameUIProfileAvatar35ShortName,Mächtiger Sentai Avatar
GameUIProfileAvatar35Description,Avatar-Sieger by Kuzuyku
GameUIProfileAvatar36Name,Eigener Avatar – Starker Zauberer
GameUIProfileAvatar36ShortName,Starker Zauberer Avatar
GameUIProfileAvatar36Description,Avatar-Sieger by _Concilliabule_
Balance,Balance
Blons,Blons
Latest Save,Letzte Speicherung
Sauda,Sauda
Sauda Short Description,Schwertmeisterin
Sauda Description,Mit gelassener Wut kann Sauda mit ihren rasiermesserscharfen Doppel-Schwertern Bloons in Stücke schnippeln.
Sauda Level 1 Description,Zerstückelt mit beiden Schwertern Bloons in ihrer Nähe. Kann Tarn-Bloons platzen lassen.
Sauda Level 2 Description,Lässt mehr Bloons pro Angriff platzen.
Sauda Level 3 Description,Schwertsprung-Angriff: Saudas dramatischer Blei-Bloons-Sprungangriff überrascht die anvisierten Bloons.
Sauda Level 4 Description,Saudas Schwerter schneiden durch 2 Bloons-Schichten.
Sauda Level 5 Description,Sauda greift schneller an.
Sauda Level 6 Description,Erhöhte Angriffsreichweite und Platzkraft.
Sauda Level 7 Description,"Sauda zielt auf die Schwächen der Bloons, richtet Extraschaden an, wenn sie betäubt sind und kann jetzt Eis-Bloons platzen lassen."
Sauda Level 8 Description,Sauda greift noch schneller an.
Sauda Level 9 Description,Bloon-Bluten: Sauda durchtrennt 3 Bloons-Schichten mit einem Schlag und verursacht einen langsamen Schaden über Zeit.
Sauda Level 10 Description,Schwertladung: Sauda huscht über die ganze Strecke und vernichtet  Bloons im Vorbeigehen.
Sauda Level 11 Description,"Sauda richtet Extraschaden an bei jedem Bloon, der verlangsamt oder gelähmt wurde oder Schaden über Zeit von anderen Affen erhalten hat."
Sauda Level 12 Description,Sprungschwert-Angriff ist wesentlicher stärker.
Sauda Level 13 Description,Verzauberte Klingen richten mehr Schaden an und lassen Sauda allen Bloons Schaden zufügen.
Sauda Level 14 Description,Sauda greift noch schneller an.
Sauda Level 15 Description,Erhöhte Angriffsreichweite und Platzkraft und Sprungschwert-Angriff fügt mehr Schaden zu.
Sauda Level 16 Description,Schwertladung mit stark erhöhtem Schaden.
Sauda Level 17 Description,Saudas Schwertangriffe schneiden sich mit einem Hieb durch viele Bloon-Schichten.
Sauda Level 18 Description,Saudas Schwerter scheinen mit einem Motion-Blur anzugreifen.
Sauda Level 19 Description,"Verzauberte Klingen richten Extraschaden bei Runderneuerungs-, Verstärkten und Tarn-Bloons an."
Sauda Level 20 Description,Die mächtigere Schwertladung rauscht dreimal über alle Streckenwege! Die Sprungschwertstärke wurde beträchtlich erhöht.
SushiBentoBenjaminSkinName,Sushi Bento Skin
SushiBentoBenjaminSkinDescription,"Bestellung kommt, Sushi ist auf dem Menü!"
Leaping Sword Attack Ability,Sprungschwert-Angriff
Leaping Sword Attack Ability Description,Saudas dramatischer Blei-Bloons-Sprungangriff knallt auf ihre anvisierten Bloons.
Sword Charge Ability,Schwertladung
Sword Charge Ability Description,Sauda rauscht über die ganze Strecke und vernichtet Bloons.
Playing,{0} spielen
Solo,Solo
Custom Challenge,Eigene Herausforderung
Browsing,{0} browsen
Menues,Menüs
Challenges,Herausforderungen
GoldenBloonsPopped,Gold-Bloons platzen lassen
ChallengeStats,Herausforderungswerte
Attempts,Versuche
Wins,Siege
Fails,Niederlagen
Unique Players,Einzigartige Spieler
Victorious Players,Siegreiche Spieler
FirstWinner,Erster Sieger
MostRecentWinner,Neuester Sieger
DiskFullMessage,"Speicherplatz voll, bitte mach etwas Platz und versuch es erneut"
RacePassRemaining,Verbleibende Rennen:
RacePassHeader,Rennpass
RacePassDescription,"Damit hast du in jedem wöchentlichen Rennen unbegrenzte Rennversuche!\nKein Zeitlimit, kein Affengeld, einfach nur Rennen!"
4RacesPass,4-Rennen-Pass
12RacesPass,12-Rennen-Pass
ft_goldentitle,Gold-Bloons
ft_goldendescription,"Lass den Gold-Bloon platzen, um Extra-Affengeld zu verdienen! Es wird nicht leicht, ihn platzen zu lassen, aber du wirst dabei keine Leben verlieren, wenn er entkommt.\nDer Gold-Bloon taucht in jedem Spiel mehrmals auf, und mit jedem Erscheinen entwickelt"
TapToUnlock,[I] zum Freischalten
btd6_4racespass Description,Rase so viel du möchtest in 4 Rennen!
btd6_4racespass,4-Rennen-Pass
btd6_12racespass Description,Rase so viel du möchtest in 12 Rennen!
btd6_12racespass,12-Rennen-Pass
GetHeroBooster,Hol dir Helden-Booster
IntermediateUnlockText,"Bezwinge eine Anfänger-Karte das erste Mal, um eine Zwischenstüfler-Karte freizuschalten."
AdvancedUnlockText,"Bezwinge eine Zwischenstüfler-Karte das erste Mal, um eine Fortgeschrittene-Karte freizuschalten."
ExpertUnlockText,"Bezwinge eine Fortgeschritten-Karte das erste Mal, um eine Experten-Karte freizuschalten."
HeroesSaudaPetCraneName,Sauda Kranich-Haustier
HeroesSaudaPetCraneShortName,Sauda Kranich-Haustier
HeroesSaudaPetCraneDescription,"Auftragen, Polieren. Erlerne mit Saudas graziösem neuen Kumpel die Kranich-Technik! Nur Original-Sauda"
HeroesPatFustyPlacementSuperjumpName,Pat Supersprung-Platzierung & Upgrade
HeroesPatFustyPlacementSuperjumpShortName,Pat Supersprung
HeroesPatFustyPlacementSuperjumpDescription,"Pat ist so begeistert daran, die MOABs liebzuhaben, dass er mit seinem Supersprung voll in Aktion tritt! Nur Original-Pat Fusty"
TowerPetBananaFarmChickenName,Bananenfarm-Huhn
TowerPetBananaFarmChickenShortName,Farm-Huhn
TowerPetBananaFarmChickenDescription,Eine Farm ohne Huhn ist nicht vollständig. Warum ein Huhn? Weil es ein Huhn ist!!! 
TowerPropMonkeyVillageBrazilFlagName,Affendorf Brasilianische Fahne
TowerPropMonkeyVillageBrazilFlagShortName,Dorf Brasilianische Fahne
TowerPropMonkeyVillageBrazilFlagDescription,TOOOOOOOR! Zeige deine Unterstützung für alles Brasilianische mit dieser Affendorf-Fahne. Zeigt sich mit allen Upgrades
TowerPropMonkeyVillageUSAFlagName,Affendorf USA Fahne
TowerPropMonkeyVillageUSAFlagShortName,Dorf USA Fahne
TowerPropMonkeyVillageUSAFlagDescription,USA! USA! Lass die Stars & Stripes voller Stolz über deinem Affendorf wehen. Zeigt sich mit allen Upgrades
BloonsAllBloonsPopsPewpewName,Puh puh Pop FX
BloonsAllBloonsPopsPewpewShortName,Puh puh Pop FX
BloonsAllBloonsPopsPewpewDescription,"Finde deine Gefühle – kauf dir das jetzt, und möge der 4. Mai mit dir sein! Extrem zeitlich begrenzt verfügbares Sammlerobjekt!"
BloonsMOABSkinBtd4RetroName,BTD4-Retro-MOAB
BloonsMOABSkinBtd4RetroShortName,Retro-MOAB
BloonsMOABSkinBtd4RetroDescription,Ah die Nostalgie. Setzt die rosa getönte Brille auf und erlebe die MOAB der ersten Stunden
BloonsBFBSkinBtd4RetroName,BTD4-Retro-BFB
BloonsBFBSkinBtd4RetroShortName,Retro-BFB
BloonsBFBSkinBtd4RetroDescription,"Keine Schule ist wie Oldschool, damals als das das größte am Himmel war!"
CoopEmoteAnimationTrophyName,Trophäen-Gewinner-Emote
CoopEmoteAnimationTrophyShortName,Trophäen-Gewinner
CoopEmoteAnimationTrophyDescription,"Mach den Champagner auf, peng! Feiere deinen Erfolg mit dieser schäumenden goldenen Trophäe!"
CoopEmoteAnimationPlayerNumbersName,Spielernummer-Emote
CoopEmoteAnimationPlayerNumbersShortName,Spielernummer
CoopEmoteAnimationPlayerNumbersDescription,Verständige dich auf einfache Weise mit anderen Spielern mit diesen praktischen Spielernummer-Emotes. Seid bitte nett zu Spieler 3.
GameUIProfileAvatar37Name,Eigener Avatar – Scharfe Sauda
GameUIProfileAvatar37ShortName,Scharfe Sauda Avatar
GameUIProfileAvatar37Description,"Stille, Können, Präzision. Dieser fantastische Sauda-Avatar definiert dich als Spieler!"
GameUIProfileAvatar38Name,Eigener Avatar – Pinguinfreund
GameUIProfileAvatar38ShortName,Pinguinfreund-Avatar
GameUIProfileAvatar38Description,Avatar-Gewinner von ReconScoutTeemo
GameUIProfileAvatar39Name,Eigener Avatar – Gloo-Schütze
GameUIProfileAvatar39ShortName,Gloo-Schütze-Avatar
GameUIProfileAvatar39Description,Avatar-Gewinner von Cyliia
GameUIPowerSkinLavaLakeName,Eigene Kraft – Tragbarer Lavasee
GameUIPowerSkinLavaLakeShortName,Tragbarer Lavasee
GameUIPowerSkinLavaLakeDescription,Hier wird es langsam heiß! Brenn deine Sorgen weg mit dieser supa-dupa-heißen Lava!
Resort,Resort
ETnEtienneSkinName,Etn-Skin
ETnEtienneSkinDescription,Bring mich zu deinem Führer
VeteranXP,Veteranen-XP
GameUIMusicTrackMusicSailsAgain,Segelt wieder
Leaderboards,Bestenlisten
Global,Global
League,Liga
Race,Rennen
Mini-race,Mini-Rennen
NoRaceDataYet,"Schließe ein Rennen ab, um an einem Mini-Rennen teilzunehmen!"
Kick,Rauswerfen
MakePublic,Veröffentlichen
VeteranLevelsHeader,Veteranen-Levels
VeteranLevelsDescription,"Herzlichen Glückwunsch, du hast den Maximallevel erreicht! Von nun an kannst du Veteranen-XP sammeln und Veteranen-Levels erreichen. Für diese Levels brauchst du viel mehr Zeit und sie beweisen deine völlige Hingabe fürs Bloon-Platzen-Lassen!"
LevelCapIncreasedHeader,Maximallevel wurde erhöht
LevelCapIncreasedDescription,"Das Maximallevel wurde erhöht! Du wirst nun wieder normale Level-Fortschritte sammeln, bis du erneut das Maximallevel erreichst. Aber keine Sorge, deine bisher verdienten Veteranen-XP und Levels bleiben unberührt und sobald du wieder das Maximallevel erre"
Rejoin,Wiederbeitritt
GameHasEnded,Spiel ist zu Ende
SlowInternet,Keine oder zu langsame Internetverbindung
ErrorRejoining,Ein Fehler trat beim Wiederbeitreten auf
RewardsTopPlacing,Top {0}
LostConnectionRejoin,Verbindung unterbrochen. Co-op-Spiel wieder Beitreten?
Rejoining,Wieder Beitreten…
PlayerPositionClosed,Spielerposition am Ende
YouFinished,Du hast erreicht:
BestTime,Bestzeit:
Claim,Einfordern
PlayerRejoinedGame, nimmt nun wieder am Spiel teil
PlayerKickedFromGame, wurde aus dem Spiel entfernt
ConfirmKickPlayer,Möchtest du wirklich {0} aus dem Spiel entfernen?
Remove,Entfernen
MiniRacesFirstTimeTitle,Mini-Rennen!
MiniRacesFirstTimeDescription,"Nach dem Abschluss eines Rennens, wirst du in der Mini-Rennen-Bestenliste sowie der Renn-Bestenliste aufgeführt. Trete in Mini-Rennen gegen andere Spieler an, um dir noch mehr Preise zu sichern, nachdem das Rennen zu Ende ist!"
SharingCoop,Schließe dich in Bloons TD 6 meinem Co-op-Rennen an!
SharingChallenge,Kannst du diese Bloons TD 6-Herausforderung meistern?
btd6_racespass,{0}-Rennen-Pässe
btd6_racepass,1-Rennen-Pass
OdysseyCrewConfirmed,Mannschaft bestätigt
OdysseyCrewModified,Mannschaft modifiziert
Odysseys,Odysseen
InviteReceivedTitle,Einladung erhalten
ChallengeInviteReceivedDescription,"Du wurdest eingeladen, folgenden Herausforderungscode auszuprobieren: {0}"
CoopInviteReceivedDescription,"Du wurdest eingeladen, an folgendem Koop-Spiel teilzunehmen: {0}"
Join,Teilnehmen
AccountPermissionRestriction,Dieses Xbox-Konto hat keine Berechtigung zum Spielen von Mehrspieler-Spielen.
AccountCommunityPermissionRestriction,"Dieses Xbox-Konto hat keine Berechtigung, Community-Inhalte anzusehen oder zu erstellen."
dont have bloons,Du hast Bloons TD 6 nicht? Lade es dir jetzt herunter!
launch game,Spiel starten
copy code,Klicke hier zum Kopieren des Codes!
game already opened,Das Spiel ist bereits offen?
Psi,Psi
Psi Short Description,Psionischer Affe
Psi Description,"Psi ist ein begabtes Affenkind und nutzt nur die Kraft des Geistes, um Bloons von innen heraus zu zerstören."
Psi Level 1 Description,"Über jede Reichweite oder jedes Hindernis hinweg erzeugt Psi tödliche Vibrationen, die einen Bloon nach dem anderen komplett zerstören. Kann Tarn-Bloons sehen."
Psi Level 2 Description,Greift ein wenig schneller an.
Psi Level 3 Description,"Psychische Explosion: Psi entfesselt eine Welle der Macht, die Bloons in der Nähe für eine lange Zeit betäubt."
Psi Level 4 Description,"Psis Attacke kann einen anderen Bloon treffen, wenn er sich sehr nahe an dem anvisierten Bloon befindet."
Psi Level 5 Description,Die psionischen Schwingungen zerstören Bloons schneller als normal.
Psi Level 6 Description,Psis mächtiger Geist kann durch Blei-Bloons hindurchdringen.
Psi Level 7 Description,Physische Explosionen treffen zweimal: Psi kann jetzt Keramik-Bloons zerstören.
Psi Level 8 Description,"Zerstörerische Resonanz bewirkt, dass Bloons, die von Psis Hauptangriff zerstört werden, andere Bloons in der Nähe beschädigen."
Psi Level 9 Description,Gespaltener Verstand. Psi kann jetzt zwei verschiedene Bloons gleichzeitig anvisieren.
Psi Level 10 Description,"Psionischer Schrei: Psi stößt einen stummen Schrei aus, der die Bloons in völliges Chaos stürzt."
Psi Level 11 Description,Die psionischen Schwingungen zerstören die Bloons noch schneller.
Psi Level 12 Description,Die Psychische Explosion schlägt dreimal zu.
Psi Level 13 Description,Nicht einmal Violette Bloons können der Macht von Psis Gedankenangriffen widerstehen.
Psi Level 14 Description,Die immense psychische Kraft von Psi ermöglicht das Anvisieren und Zerstören von MOABs.
Psi Level 15 Description,Die Zerstörerische Resonanz ist noch destruktiver.
Psi Level 16 Description,Die psionischen Vibrationen zerstören Bloons sehr schnell. Psi kann nun BFBs angreifen.
Psi Level 17 Description,Gespaltener Verstand. Psi kann jetzt drei verschiedene Bloons gleichzeitig anvisieren.
Psi Level 18 Description,Die Angriffe von Psi wirken auf Bloons in einem größeren Radius um den anvisierten Bloon.
Psi Level 19 Description,Die Zerstörerische Resonanz ist viel destruktiver.
Psi Level 20 Description,Der Psionische Schrei hält alle Bloons auf dem Bildschirm fest und zerstört sie. Psi kann nun DDTs und ZOMGs angreifen.
Sanctuary,Heiligtum
ft_monkeyteamstitle,Affenteams
ft_monkeyteamsdescription,"Verdiene Bonus-Affengeld! Wähle einen beliebigen Helden und setze nur die gewählten Affen ein, um auf dieser Karte zu siegen und Bonus-Affengeld zu erhalten! Höhere Schwierigkeitsgrade bringen mehr Affengeld."
ModderWarningPopup,Modifizierter Spielclient entdeckt. Einige Spielmodi werden nicht verfügbar sein.
ModdedClient,Modifizierter Client
Achievement 117 Name,Erreichen von Erfolgen
Achievement 117 Description,Sammle 35 Erfolge.
Achievement 118 Name,"Haken, Leine und Köder"
Achievement 118 Description,Schnapp dir 3.000 Bloons der MOAB-Klasse mit der Fähigkeit MOAB-Abschuss.
Achievement 119 Name,Umzug
Achievement 119 Description,Verlege 1.000 Affentürme mit dem Support-Chinook.
Achievement 120 Name,Sozialer Schmetterling
Achievement 120 Description,Verwende Emotes in 100 Koop-Spielen!
Achievement 121 Name,Wie glänzend!
Achievement 121 Description,Lass 20 Gold-Bloons platzen.
Achievement 122 Name,Glittergold
Achievement 122 Description,Lass 100 Gold-Bloons platzen.
Achievement 123 Name,Gloriengold
Achievement 123 Description,Lass 500 Gold-Bloons platzen.
Achievement 124 Name,Magiegold
Achievement 124 Description,Lass 50 Gold-Bloons im Modus „Nur Zauberaffen“ platzen.
Achievement 125 Name,Teamspieler
Achievement 125 Description,Gewinne 25-mal mit Affenteams.
Achievement 126 Name,Team-Käpt‘n
Achievement 126 Description,Gewinne 50-mal mit Affenteams.
Achievement 127 Name,Ultimatives Team
Achievement 127 Description,Gewinne 100-mal mit Affenteams.
HeroesEtiennePetRoombaName,Etienne-Roomba-Haustier
HeroesEtiennePetRoombaShortName,Etienne-Roomba-Haustier
HeroesEtiennePetRoombaDescription,"Wir sind uns nicht ganz sicher, ob es der Roomba oder die Katze ist, die Etienne lieber mag. Es ist ein Gesamtpaket. Nur Original-Etienne"
HeroesEziliPlacementGlyphName,Ezili-Glyphen-Materialisierungsplatzierung & Upgrade
HeroesEziliPlacementGlyphShortName,Ezili-Glyphe
HeroesEziliPlacementGlyphDescription,"Beam me up, Ezili! Nur Original Ezili"
TowerPropMonkeyVillageNZFlagName,Affendorf-Neuseeland-Flagge
TowerPropMonkeyVillageNZFlagShortName,Dorf-NZ-Flagge
TowerPropMonkeyVillageNZFlagDescription,Lass den Sonnengott unser freies Land UND unsere Affendörfer vor den Bloons verteidigen! Zeigt alle Upgrades!
TowerPropMonkeyVillageScotlandFlagName,Affendorf-Neuseeland-Flagge
TowerPropMonkeyVillageScotlandFlagShortName,Dorf-Schottland-Flagge
TowerPropMonkeyVillageScotlandFlagDescription,Erhebe dich und erkläre die Freiheit mit dieser Affendorf-Flagge. Zeigt alle Upgrades!
TowerPropMonkeyVillageBananaFlagName,Affendorf-Bananen-Flagge
TowerPropMonkeyVillageBananaFlagShortName,Dorf-Bananen-Flagge
TowerPropMonkeyVillageBananaFlagDescription,"Mit der Lieblingsfrucht jedes Affen, die stolz in deinem Affendorf ausgestellt wird, kannst du es richtig krachen lassen. Zeigt alle Upgrades!"
TowerEffectAllMonkeysPlacementUpgradesFireworksName,Feuerwerk-Platzierung und Upgrade-Effekte
TowerEffectAllMonkeysPlacementUpgradesFireworksShortName,Feuerwerk-Upgrade-FX
TowerEffectAllMonkeysPlacementUpgradesFireworksDescription,Feiere jeden neuen Affen und jedes Upgrade mit diesem fantastischen Feuerwerk! Sammlerobjekt nur für begrenzte Zeit erhältlich!
TowerProjectileWizardMonkeyFireworksName,Zauberer-Feuerwerk
TowerProjectileWizardMonkeyFireworksShortName,Zauberer-Feuerwerk
TowerProjectileWizardMonkeyFireworksDescription,Finde den Gandalf in dir und ermögliche deinen Zaubereraffen dieses coole Feuerwerk! Sammlerobjekt nur für begrenzte Zeit erhältlich!!
BloonsAllBloonsBeardsName,Bart-Bloons
BloonsAllBloonsBeardsShortName,Bart-Bloons
BloonsAllBloonsBeardsDescription,Auch Grafikdirektor-Bart genannt ist dieses Gesichtsfeature absolut stylish!
BloonsAllMOABSepiaName,Antike Bloons der MOAB-Klasse
BloonsAllMOABSepiaShortName,Antike MOABs
BloonsAllMOABSepiaDescription,Du brauchst nichts Neues – diese MOABs erledigen alles nach alter Schule.
CoopEmoteAnimationTumbleweedName,Tumbleweed-Animation
CoopEmoteAnimationTumbleweedShortName,Tumbleweed
CoopEmoteAnimationTumbleweedDescription,Kombiniere dies mit dem Grillen-Soundeffekt für maximale Wirkung!
CoopEmoteIconSkullAndCrossbonesName,Totenkopf- und Knochen-Emote
CoopEmoteIconSkullAndCrossbonesShortName,Totenkopf und Knochen
CoopEmoteIconSkullAndCrossbonesDescription,"Warne vor drohender Gefahr oder einfach vor deiner Liebe zu allen Dingen, die Osseus ausmachen, mit diesem schaurigen Emote!"
CoopEmoteTextActivateName,Aktivieren!-Emote
CoopEmoteTextActivateWord,Aktivieren!
CoopEmoteTextActivateShortName,Aktivieren!
CoopEmoteTextActivateDescription,Löse die Rückwärtsmaschine in der Werkstatt aus! Feuer frei für den MOAB-Abschuss! Setze den Technoterror frei! Bringe jetzt deine Botschaft rüber!
GameUIProfileAvatar40Name,Eigener Avatar – Harlegwen PFP
GameUIProfileAvatar40ShortName,Harlegwen-PFP-Avatar
GameUIProfileAvatar40Description,Avatar-Sieger by Qqertynn
GameUIProfileAvatar41Name,Eigener Avatar – Blendgranatenninja
GameUIProfileAvatar41ShortName,Blendgranaten-Avatar
GameUIProfileAvatar41Description,Avatar-Sieger by _Concilliabule_
GameUIProfileAvatar42Name,Eigener Avatar – Corporate Patch
GameUIProfileAvatar42ShortName,Corporate Patch Avatar
GameUIProfileAvatar42Description,Patch hat die Karriereleiter des Affenreichs in aller Stille erklommen.
GameUIProfileAvatar43Name,Eigener Avatar – Feuerwerksbombenschießer
GameUIProfileAvatar43ShortName,Feuerwerksbombenschießer-Avatar
GameUIProfileAvatar43Description,"Gibt es einen besseren Weg, diese Raketen abzufeuern? Sammlerobjekt nur für begrenzte Zeit erhältlich!"
GameUIPowerSkinMonkeyBoostFireworksName,Maßgeschneiderte Kraft – Feuerwerksaffen-Boost
GameUIPowerSkinMonkeyBoostFireworksShortName,Feuerwerksaffen-Boost
GameUIPowerSkinMonkeyBoostFireworksDescription,Verbessere deine Affen und inspiriere sie zu größeren Taten mit diesem riesigen Feuerwerk. Sammlerobjekt nur für begrenzte Zeit erhältlich!!
GameUIMusicTrackMusicTropicalOctopusMixName,Jukebox: Tropische Karnevalskraken-Mischung
GameUIMusicTrackMusicTropicalOctopusMixShortName,Tropische Karnevalskrake
GameUIMusicTrackMusicTropicalOctopusMixDescription,Lege ein paar elektronische Beats drüber und dieser Jahrmarktstrack verwandelt sich in einen echten Party-Favoriten. Dreh auf!
PlaySocial,In sozialen Netzwerken spielen
ContentBrowser,Content-Browser
CoopChallenge,Koop-Herausforderung
SocialEditChallenge,Herausforderung bearbeiten
SocialEditOdyssey,Odyssee bearbeiten
SocialViewBrowser,Browser anzeigen
MonkeyTeamWins,Das Affenteam gewinnt
NewerSaveFound,"Neuerer Speicherstand gefunden Du hast mit einer neueren Version des Spiels auf einem anderen Gerät gespielt. Lade dir das Update herunter, um auf diesem Gerät weiterzuspielen. Kein Update verfügbar? Unter https://ninja.kiwi/btd6_outofdate wird dir geholf"
RacePasses,{0} Rennen-Pässe
FreeEntries,{0} kostenlose Teilnahmen
FreeEntry,1 kostenlose Teilnahme
PrivateCoopLobby,Private Koop-Lobby
PublicCoopLobby,Koop-Lobby [{0}]
MyOdysseys,Meine Odysseen
OdysseySearch,Suche/Odyssee-Code…
Psychic Blast Ability,Psychische Explosion
Psychic Blast Ability Description,Psi setzt eine Kraftwelle frei die Bloons in der Nähe für lange Zeit betäubt.
Psionic Scream Ability,Psionischer Schrei
Psionic Scream Ability Description,Psi entfesselt einen stillen Schrei der die Bloons in völliges Chaos stürzt.
EditorMode,Editor-Modus
ConfirmMaps,Zu bestätigende Karten: {0}
ResetOdysseyProgress,Dies macht deinen Odyssee-Fortschritt ungültig. Bist du sicher?
OdysseyName,Odyssee-Name
OdysseyEditor,Odyssee-Editor
MaxPowers,Max. Kräfte:
MaxMonkeySlots,Max. Kraft-Slots:
MaxPowerSlots,Maximaler Steckplatz
MapNumber,Karte {0}
ExtremeMode,Extremer Modus:
Edit,Bearbeiten
OdysseyInviteReceivedDescription,Du wurdest eingeladen zum Testen des Odyssee-Codes: {0}
SharingOdyssey,Kannst du diese Bloons TD 6 Odyssee schlagen?
EditorPowersIncluded,Kräfte inbegriffen
EditorPowersExcluded,Kräfte ausgeschlossen
OdysseyDescription,Beschreibung
SelectDefaultCrew,Standardmannschaft auswählen
Completed,Vollständig beendet
BossStart,Boss-Event starten
BloonariusPrime,Bloonarius Prime
OdysseyLockedSubmitButtonDescription,Du hast diese Odyssee bereits eingereicht
OdysseyLockedShareButtonDescription,"Um deine Odysee zu teilen, musst du beweisen, dass es möglich ist, den Sieg-Bildschirm im Testmodus zu erreichen!"
OdysseyShareAgainExplanation,"Teile es erneut, wenn der Timer herunterzählt. Du musst die Odyssee schlagen, um sie zu teilen."
ProfileAvatars,Avatare
ProfileBanners,Banner
BossNormal,Normal
BossElite,Elite
BloonariusTagLine,Aus den sumpfigen Tiefen
BloonariusTagLine2,Der Generator erwacht!
Bloonarius,Bloonarius
TierX,Rang {0}
HeroesGwendolinPlacementFireballName,Gwendolin Feuerball-Platzierung & Upgrade
HeroesGwendolinPlacementFireballShortName,Gwen Feuerball
HeroesGwendolinPlacementFireballDescription,Mit diesem wunderbaren Feuerballeffekt sind Gwens Ankunft und ihre Upgrades angemessen feurig! Nur Original-Gwendolin
TowerPropMonkeyVillageGermanyFlagName,Affendorf-Deutschlandflagge
TowerPropMonkeyVillageGermanyFlagShortName,Dorf-Deutschlandflagge
TowerPropMonkeyVillageGermanyFlagDescription,"Jeder weiß, dass die Technologie des Deutschen Affendorfes ausgezeichnet ist! Wird für alle Upgrades gezeigt"
TowerPropMonkeyVillageUKFlagName,Affendorf-Großbritannienflagge
TowerPropMonkeyVillageUKFlagShortName,Dorf-Großbritannienflagge
TowerPropMonkeyVillageUKFlagDescription,Dieses Affendorf ist stolzes Mitglied des Commonwealths. UK-Stolz wird für alle Upgrades gezeigt
BloonsDDTSkinTronName,Neon-DDT
BloonsDDTSkinTronShortName,Neon-DDT
BloonsDDTSkinTronDescription,"So schlank und tödlich, dass du schwören könntest dieser DDT stammt aus der Zukunft. Vielleicht ist das auch so."
BloonsAllBloonsBucketHatName,Eimerhut-Bloons
BloonsAllBloonsBucketHatShortName,Eimerhut-Bloons
BloonsAllBloonsBucketHatDescription,Bringe diese Bloons modisch auf Vordermann mit dem neusten digitalen Eimerhut-Design.
BloonsAllBloonsPopsWaterbloonName,Wasserbloon-Platzer FX
BloonsAllBloonsPopsWaterbloonShortName,Wasserbloon-Platzer FX
BloonsAllBloonsPopsWaterbloonDescription,Perfekt für jede Hitzewelle: Jeder Bloon wird mit diesem durchnässenden kühlen Platz-Effekt zu einem Wasser-Bloon.
CoopEmoteTextNextRoundScaryName,Nächste Runde! Gruselig! Text Emote
CoopEmoteTextNextRoundScaryShortName,Nächste Runde! Gruselig!
CoopEmoteTextNextRoundScaryDescription,Warne deine Koop-Teammitglieder vor der nächsten Runde! Vor allem nützlich kurz vor und nach Halloween.
CoopEmoteTextNextRoundScaryWord,Nächste Runde! Gruselig!
CoopEmoteAnimationFistpumpName,Geballte Faust Animation
CoopEmoteAnimationFistpumpShortName,Geballte Faust
CoopEmoteAnimationFistpumpDescription,Für eine ausgezeichnete abgeschlossene Arbeit!
GameUIProfileAvatar44Name,Benutzerdefinierter Avatar - SAS-Affe
GameUIProfileAvatar44ShortName,SAS-Affen-Avatar
GameUIProfileAvatar44Description,Avatar-Gewinner von LV-223_Deacon
GameUIProfileAvatar45Name,Benutzerdefinierter Avatar - Blaupause
GameUIProfileAvatar45ShortName,Blaupausen-Avatar
GameUIProfileAvatar45Description,Avatar-Gewinner von dungeon-raided
GameUIProfileAvatar46Name,Individueller Avatar - Maskierter Ezili
GameUIProfileAvatar46ShortName,Avatar Maskierter Ezili
GameUIProfileAvatar46Description,Auch bekannt als Verstrubbelter Ezili
GameUIProfileAvatar47Name,Benutzerdefinierter Avatar - Nagelball
GameUIProfileAvatar47ShortName,Nagelball-Avatar
GameUIProfileAvatar47Description,Nagelbälle haben noch nie so gut ausgesehen – die muss man haben
GameUIProfileBanner1Name,Luftkunststücke-Profilbanner
GameUIProfileBanner1ShortName,Luftkunststücke-Banner
GameUIProfileBanner1Description,Dieses von Ass inspirierte individuelle Profilbanner zieht Loopings um andere Spieler
GameUIProfileBanner2Name,Geisterwolf-Profilbanner
GameUIProfileBanner2ShortName,Geisterwolf-Banner
GameUIProfileBanner2Description,Erwecke die Geister mit dem individuellen Obyn-Wolf-Profilbanner
GameUIProfileBanner3Name,Eintreffendes Profilbanner
GameUIProfileBanner3ShortName,Eintreffendes Banner
GameUIProfileBanner3Description,Trage diesen BFB-Blei-Bloonssturm als eine individuelle Profilbannertrophäe deiner Siege
GameUIProfileBanner4Name,Dartsturm-Profilbanner
GameUIProfileBanner4ShortName,Dartsturm-Banner
GameUIProfileBanner4Description,"Der gemeine Dartpfeil ist alles, nur nicht gewöhnlich in diesem schmalen, dunklen individuellen Profilbanner"
GameUIProfileBanner5Name,Reaktives Profilbanner
GameUIProfileBanner5ShortName,Reaktives Banner
GameUIProfileBanner5Description,Kraft und Gefahr wurden in diesem durch U-Boote inspirierten individuellen Profilbanner kombiniert
Paragon Title,Upgrade auf Paragon
