//Input. Needs to be first e.g [I] replaced by click or tap,
Click,클릭
TowerProjectileWizardZombiesDescription,시체들의 시간! 침략하는 풍선들을 망자들의 군대로 만들어 버리는 걸 즐거워하는 망자 풍선과 MOAB급 풍선입니다.
BloonsAllBloonsDaisyChainName,데이지 체인 풍선
BloonsAllBloonsDaisyChainShortName,데이지 체인 풍선
BloonsAllBloonsDaisyChainDescription,꽃을 쓴 풍선들과 함께 강강술래! 모든 일반 풍선에 화관을 씌워서 봄을 기념해요. 기간 한정 수집가용 품목!
BloonsBADSkinWhaleName,BAD 고래
BloonsBADSkinWhaleShortName,BAD 고래
BloonsBADSkinWhaleDescription,"고래라면 다 착하다고 생각합니다만, 이 폭신폭신해 보이는 자홍색 짐승은 나쁜 고래가 틀림없습니다."
CoopEmoteAnimationObynPeaceName,오빈 평화 감정표현
CoopEmoteAnimationObynPeaceShortName,오빈 평화
CoopEmoteAnimationObynPeaceDescription,"평화를 뜻하는 인사로 쓰거나, 플레이어 3에게 발끈하는 다른 사람들을 진정하거나, 잘못 능력을 발동한 것에 대해 사과하는 의미로 쓸 수 있습니다.  기간 한정 수집가용 품목!"
CoopEmoteAnimationThinkingMonkeyName,생각하는 원숭이 감정표현
CoopEmoteAnimationThinkingMonkeyShortName,생각하는 원숭이
CoopEmoteAnimationThinkingMonkeyDescription,"생각하는 원숭이는 좋은 원숭이입니다. 뭔가 생각하고 있거나, 다른 사람이 대체 무슨 생각을 하는지 모르겠을 때 쓰면 좋습니다."
GameUIProfileAvatar56Name,드루이드 봄꽃 아바타
GameUIProfileAvatar56ShortName,드루이드 봄 아바타
GameUIProfileAvatar56Description,사색에 잠긴 아름다운 드루이드 아바타로 연중 내내 봄의 마법을 부리세요. 기간 한정 수집가용 품목!
GameUIProfileAvatar57Name,탐험가 멍키 잠수함 아바타
GameUIProfileAvatar57ShortName,탐험가 잠수함 아바타
GameUIProfileAvatar57Description,유리창에 얼굴을 바짝 대는 것이야말로 잠수함에서 가장 좋은 전망을 차지하는 비결이지요. 커다란 눈으로 세상을 담는 아바타로 잠수함을 꾸며주세요.
GameUIProfileAvatar58Name,눈사람 퍼스티 아이스크림 아바타
GameUIProfileAvatar58ShortName,퍼스티 아이스크림 아바타
GameUIProfileAvatar58Description,팻 프로스티는 아이스크림을 정말 좋아하지요. 인생의 소소한 행복을 소중하게 여기는 이들에게 안성맞춤인 아바타입니다.
GameUIPowerSkinRoadSpikesFlowerPatchName,커스텀 힘 - 꽃밭 로드 스파이크
GameUIPowerSkinRoadSpikesFlowerPatchShortName,꽃밭 로드 스파이크
GameUIPowerSkinRoadSpikesFlowerPatchDescription,로드 스파이크라고 꼭 거칠고 투박한 모양일 필요가 있나요? 이 꽃을 따려고 했다가는 가시에 찔립니다!
GameUIPowerSkinMonkeyBoostSugarRushName,커스텀 힘 - 슈가 러시 원숭이 부스트
GameUIPowerSkinMonkeyBoostSugarRushShortName,슈가 러시 부스트
GameUIPowerSkinMonkeyBoostSugarRushDescription,인간이라면 누구나 당을 섭취해 줘야 일의 능률이 오른다는 것을 잘 알고 있지요. 원숭이도 마찬가지입니다.
GameUIProfileBanner10Name,비범한 낙서 프로필 배너
GameUIProfileBanner10ShortName,비범한 낙서 배너
GameUIProfileBanner10Description,chompypaw 님의 배너 공모전 당선작
GameUIProfileBanner11Name,아르카눔 네크로니콤 프로필 배너
GameUIProfileBanner11ShortName,아르카눔 네크로니콤 배너
GameUIProfileBanner11Description,_Concilliabule_ 님의 배너 공모전 당선작
GameUIProfileBanner12Name,벌떼 윙윙 프로필 배너
GameUIProfileBanner12ShortName,벌떼 윙윙 배너
GameUIProfileBanner12Description,벌들이 꿀을 만드느라 열심히 나무 속에서 윙윙대고 있어요. 기간 한정 수집가용 품목!
FilterAll,전체
FilterHeroPlacementUpgrades,배치 효과
FilterHeroPets,펫
FilterTowerPlacementUpgrades,업그레이드 효과
FilterTowerPets,펫
FilterProjectiles,발사무기
FilterFlags,깃발
FilterPopFX,터지는 효과
FilterAllBloonSkins,모든 풍선 스킨
FilterRegularSkins,풍선 스킨
FilterMoabSkins,MOAB 스킨
FilterStandardEmotes,표준 감정표현
FilterTextEmotes,텍스트 감정표현
FilterSoundEmotes,사운드 감정표현
FilterFullScreenEmotes,전체화면 감정표현
FilterMusicTracks,음악 트랙
FilterAvatars,아바타
FilterPowerSkins,힘 스킨
FilterProfileBanners,프로필 배너
FilterMisc,기타
Blast Chain Ability,블래스트 체인
Blast Chain Ability Description,잠시 동안 어뢰 발사 속도가 빨라집니다.
TowerSpecial,원숭이 스페셜
Geraldo,제랄도
Geraldo Short Description,신비의 상인
Geraldo Description,"상인 제랄도는 유용한 아이템을 많이 팔며, 번개 공격으로 풍선을 감전시켜요."
Geraldo Level 1 Description,"판매 상품! 다트 포탑, 녹슨 못더미, 음산한 우상, 피클 항아리. 제랄도는 단거리 마법 공격도 할 수 있습니다."
Geraldo Level 2 Description,신규 아이템! 희귀 퀸시 액션 피겨 - 오래 소장할수록 그 가치가 올라갑니다!
Geraldo Level 3 Description,신규 아이템! 투명 보기 물약 - 원숭이 타워나 영웅에게 잠시 캐모 감지 능력을 부여합니다. 제랄도의 공격 사정거리가 증가합니다.
Geraldo Level 4 Description,신규 아이템! 초강력 접착제 - 트랙에 놓으면 풍선의 속도를 느리게 합니다.
Geraldo Level 5 Description,신규 아이템! 숫돌 - 원숭이 타워나 영웅의 뾰족하거나 날카로운 공격의 관통력을 증가합니다. 제랄도의 공격 속도가 증가합니다.
Geraldo Level 6 Description,신규 아이템! 영웅의 낡은 망토 - 2티어 이하의 다트 원숭이를 슈퍼 원숭이로 변신시켜줍니다! 이렇게 변신한 슈퍼 원숭이는 3티어까지만 업그레이드할 수 있습니다.
Geraldo Level 7 Description,신규 아이템! 칼날 함정 - 풍선이 함정을 건드리면 칼날 소용돌이를 일으킵니다. 제랄도의 기본 공격의 피해와 관통력이 증가합니다.
Geraldo Level 8 Description,"신규 아이템! 병에 든 '제랄도의 불' - 풍선빌 수치 280만의 순수한 불소스! 원숭이, 영웅 또는 미니언에게 10라운드 동안 불 공격을 부여합니다."
Geraldo Level 9 Description,신규 아이템! 비료 - 눈에 보이는 바나나를 생산하는 바나나 농장을 대상으로 지정하면 여러 라운드 동안 생산량이 증가하고 캐시 보너스가 나옵니다. 제랄도의 기본 공격의 폭발 반경이 증가합니다.
Geraldo Level 10 Description,신규 아이템! 애완 토끼 - 정말 깜찍하고 귀여운 토깽이!
Geraldo Level 11 Description,"신규 아이템! 회춘의 물약 - 모든 원숭이 타워와 영웅의 쿨다운을 초기화하고, 목숨 50개를 회복합니다. 제랄도의 기본 공격의 관통력이 증가하고, 피클 항아리가 강화 풍선에게 추가 피해를 줍니다. "
Geraldo Level 12 Description,신규 아이템! 지니의 호리병 - 3라운드 동안 플라스마를 동력으로 쓰는 지니 원숭이를 소환합니다. 음산한 우상이 눈에 보이는 MOAB급 풍선이 지나갈 때 잠깐 기절시킬 때도 있습니다.
Geraldo Level 13 Description,"다트 포탑이 더 빠르게 발사하고 더 많은 피해를 주며, 녹슨 못더미의 공격력도 증가합니다."
Geraldo Level 14 Description,투명 보기 물약이 사정거리도 증가하고 더 오래 지속됩니다.
Geraldo Level 15 Description,"숫돌이 관통력 외에 공격력도 증가하고, 칼날 함정의 발동 위력이 증가합니다."
Geraldo Level 16 Description,"녹슨 못더미가 못지뢰가 되고, 피클 항아리가 강화 풍선에게 추가 피해를 주고, 제랄도의 불에 연소 피해가 추가됩니다."
Geraldo Level 17 Description,"제랄도의 기본 공격이 더 많은 피해를 주고, 초강력 접착제가 이제 MOAB급 풍선에게도 약간의 영향을 미칩니다."
Geraldo Level 18 Description,"지니에게 근거리 대상 보조 공격이 생기고, MOAB급 풍선에게 추가 피해를 줍니다. 음산한 우상이 만료되면 주변의 MOAB급 풍선에게 신비의 장막을 씌워 터질 때 주변에 큰 피해를 주게 합니다."
Geraldo Level 19 Description,"제랄도의 메인 공격의 성능이 상당히 올라가며, 투명 보기 물약이 캐모 풍선에 추가 피해를 줍니다."
Geraldo Level 20 Description,신규 아이템! 파라곤 파워 토템 - 다음에 생성되는 파라곤에게 파라곤 파워를 추가합니다. 상점에 새 물품이 채워집니다! 제랄도의 기본 공격이 더 많은 피해를 줍니다.
Geraldo Shop shortname,상점
Geraldo Shop name,제랄도의 상점
Shooty turret name,다트 포탑
Shooty turret description,수제 다트를 발사하는 영구 포탑.
Stack of old nails name,녹슨 못더미
Stack of old nails description,"그냥 녹슨 못이 잔뜩 있을 뿐이지만, 트랙 아무 데나 올려놓으면 미처 놓친 풍선을 터트려줍니다."
Creepy idol name,음산한 우상
Creepy idol description,이 기분 나쁘게 생긴 우상을 트랙 근처에 놓으면 일부 풍선에게 겁을 줘서 다시 돌아가게 만듭니다.
Jar of Pickles name,피클 항아리
Jar of Pickles description,"원숭이 타워에 이 피클을 주면 한동안 공격이 더 강해지지만, 공격 속도가 낮아집니다."
Rare Quincy action figure name,희귀 퀸시 액션 피겨
Rare Quincy action figure description,"한정판 민트급 오리지널 퀸시, 퀸시 아들 액션 피겨! 시간이 지나갈수록 가치가 올라가니까 지금 구매하세요!"
See invisibility potion name,투명 보기 물약
See invisibility potion description,어떤 원숭이든 이 효력 짱짱인 영약을 주면 캐모 풍선을 쉽게 볼 수 있습니다! 일정 시간이 지나면 효과가 사라집니다.
Tube of amaz-o-glue name,초강력 접착제
Tube of amaz-o-glue description,정말 강력합니다! 이 현대 기술이 집적된 발명품을 트랙 아무 데나 바르면 그 위로 풍선이 지나가면서 느려지게 됩니다. 4라운드 동안 또는 소진될 때까지 지속됩니다.
Sharpening stone name,숫돌
Sharpening stone description,다트를 뾰족하게 갈아요! 다트와 칼날에 적용하면 이전보다 훨씬 더 뾰족해지고 날카로워집니다. 15라운드 후에 소진됩니다.
Worn heros cape name,영웅의 낡은 망토
Worn heros cape description,영웅이란 망토를 두르는 법! 다트 원숭이에게 주면 변신합니다! 사용감이 살짝...인 정도는 아니고 끝이 조금 해졌습니다.
Blade trap name,칼날 함정
Blade trap description,트랙에 놓으면 풍선이 이걸 건드리자마자 칼날의 소용돌이에 갈갈이 찢기게 됩니다!
Gerrys fire hot sauce name,병에 든 '제랄도의 불'
Gerrys fire hot sauce description,풍선빌 수치 280만. 이 특제 소스를 맛보기만 해도 한동안 입에서 불을 뿜게 됩니다!
Fertilizer name,비료
Fertilizer description,농장에 바나나가 있나요? 바나나를 더 원하나요? 이 특급 마법 비료를 그 농장에 직접 뿌리면 당장 더 많은 바나나를 가질 수 있어요!
Pet rabbit name,애완 토끼
Pet rabbit description,가끔은 그냥 깜찍한 작은 토끼가 필요할 때도 있지요! 여러 마리도요!
Rejuv potion name,회춘의 물약
Rejuv potion description,이 맛난 음료를 아무 데나 놓으면 그 회춘의 힘으로 잃은 목숨을 회복하고 능력의 쿨다운을 초기화합니다.
Genie bottle name,지니의 호리병
Genie bottle description,"이 파란 호리병으로 지니 원숭이를 소환해 보세요! 단, 일정 시간이 지나면 사라집니다! (소원은 상품에 포함되지 않습니다.)"
Paragon power totem name,파라곤 파워 토템
Paragon power totem description,이 신비의 아티팩트로 다음 파라곤의 파워를 향상하세요...
EventEndingSoonText,이벤트가 곧 끝나기 때문에 입장할 수 없습니다.
EngineerMonkey Paragon,건축의 대가
EngineerMonkey Paragon Description,원숭이 공학이 완벽한 수준으로 발전했습니다. 스스로 경비 탑을 짓는 메가 경비 탑 세 개를 생성합니다.
OptionsLogout,로그아웃
ConfirmLogout,로그아웃 확인
ConfirmLogoutDesc,정말 계정에서 로그아웃하시겠습니까? 그렇다면 로그아웃을 진행하기 전에 계정 정보와 연동 코드를 따로 보관하십시오.\n\n{0}
VortexTagLine,하늘에서 날아오는
VortexTagLine2,무시무시한 바람의 대가
Vortex,보텍스
VortexInfoPanelDescription,"• 보텍스는 번개처럼 움직이며, 다른 풍선들의 속도를 올려줍니다!\n• 체력 막대 해골에 도달할 때마다 보텍스가 실드를 두르고 주변 타워를 기절시키는 충격파를 발생시키며 트랙에서 얼마 후퇴합니다.\n• 보텍스는 트랙에 있는 비파워 요소를 포함하여 발사무기를 파괴하는 폭풍 진동을 발사합니다."
Scrapyard,고철 처리장
BloonsAllBloonsCatEarName,고양이귀 풍선
BloonsAllBloonsCatEarShortName,고양이귀 풍선
BloonsAllBloonsCatEarDescription,"풍선과 고양이는 원래 잘 어울리지 않지만, 이 경우는 특별합니다."
BloonsAllBloonsDisguiseGlassesName,위장 안경 풍선
BloonsAllBloonsDisguiseGlassesShortName,위장 안경 풍선
BloonsAllBloonsDisguiseGlassesDescription,이 정도의 위장에 속는 건 원숭이밖에 없겠죠. 가만...
CoopEmoteAnimationPatFlexName,팻 플렉스 감정표현
CoopEmoteAnimationPatFlexShortName,팻 플렉스
CoopEmoteAnimationPatFlexDescription,"근육과 두뇌라니, 멋진 조합이네요! 팻은 강해요!"
CoopEmoteAnimationMindBlownName,경악 감정표현
CoopEmoteAnimationMindBlownShortName,경악
CoopEmoteAnimationMindBlownDescription,협동 팀원이 믿을 수 없는 활약을 보여줬을 때 사용하면 딱 좋은 감정표현입니다!
GameUIProfileAvatar59Name,슈퍼 원숭이 아바타
GameUIProfileAvatar59ShortName,슈퍼 원숭이 아바타
GameUIProfileAvatar59Description,"그 눈빛에는 사랑이 가득합니다. 그 눈빛이 당신을 향하는 것인지, 당신의 눈에 비친 자신의 모습을 향하는 건지는 확인이 필요하겠지요."
GameUIProfileAvatar60Name,스트라이커 존스 아바타
GameUIProfileAvatar60ShortName,스트라이커 존스 아바타
GameUIProfileAvatar60Description,스트라이커 존스 신고합니다! 듬직한 포병 원숭이의 거수경례와 함께 승리를 향한 포부를 드러내세요.
GameUIProfileBanner13Name,도착 배너
GameUIProfileBanner13ShortName,도착 프로필 배너
GameUIProfileBanner13Description,betapotata 님의 배너 공모전 당선작
GameUIProfileBanner14Name,물속 배너
GameUIProfileBanner14ShortName,물속 프로필 배너
GameUIProfileBanner14Description,Cyliia 님의 배너 공모전 당선작
GameUIMusicTrackMusicSunshineFiestaMixName,주크박스: 햇살의 세레나데 - 피에스타 리믹스
GameUIMusicTrackMusicSunshineFiestaMixShortName,햇살 - 피에스타
GameUIMusicTrackMusicSunshineFiestaMixDescription,볼륨을 높여 햇살의 세레나데의 멋진 리믹스를 즐겨요.
CantSubmitEventEnded,이벤트가 이미 끝나서 점수를 제출할 수 없습니다.
CyberQuincySkinNameFull,사이버 퀸시
ScientistGwendolinSkinNameFull,과학자 그웬돌린
SentaiCaptainChurchillSkinNameFull,전대 처칠
BikerBonesSkinNameFull,바이커 본즈
ObynOceanGuardianSkinNameFull,바다의 지킴이
BenJamminSkinNameFull,벤재밍 DJ
SmudgeCattSkinNameFull,스머지 캣
FustyTheSnowmanSkinNameFull,눈사람 퍼스티
WolfpackQuincySkinNameFull,늑대무리 퀸시
JoanOfArcAdoraSkinNameFull,잔다르크 아도라
HarlegwenGwendolinSkinNameFull,할리그웬
OctoJonesStrikerJonesSkinNameFull,옥토존스
DreadPirateBrickellAdmiralBrickellSkinNameFull,드레드 해적 브릭켈
ObynMountainGuardianSkinNameFull,산의 지킴이
SushiBentoBenjaminSkinNameFull,스시 벤또
ETnEtienneSkinNameFull,ETn
VikingSaudaSaudaSkinNameFull,바이킹 사우다
GalaxiliEziliSkinNameFull,갤럭실리
PsimbalsPsiSkinNameFull,사임벌즈
Least Cash,최소 캐시:
Least Tiers,최소 티어:
Least Cash Used,최소 사용 캐시:
Least Tiers Used,최소 사용 티어:
All Tiers Used,모든 티어 사용
All Cash Used,모든 캐시 사용
Tiers Used,사용 티어
Cash Used,사용 캐시
No Score Set,점수 없음
Auto,자동
FriendScreenFriends,친구
FriendScreenRequests,요청
FriendScreenYourFriendCode,친구 코드:
FriendScreenOnline,온라인
FriendScreenOffline,오프라인
FriendScreenAccept,수락
FriendScreenDecline,거절
FriendScreenBlock,차단
FriendScreenFriendText,여기에 친구가 표시됩니다. 친구와 가족들에게 친구 코드를 공유하세요.
RequestDisabledText,요청 안 받음
FriendScreenEnterCode,친구 코드 입력!
FriendScreenAdd,추가
FriendScreenSureUnfriend,정말 이 사용자를 친구 목록에서 제거하시겠습니까?
FriendScreenSureBlock,정말 이 사용자를 차단하시겠습니까?
SpecialConditions,특별 조건
FriendScreenRequestText,여기에 요청이 표시됩니다. 친구와 가족들에게 친구 코드를 공유하세요.
FriendScreenCodeHidden,친구 코드 숨김
RequestEnabledText,요청 받음
Least Cash No Colon,최소 캐시
Least Tiers No Colon,최소 티어
SpecialConditionsColon,특별 조건:
GoalSetForCash,{0}캐시로 목표를 정했습니다.
GoalSetForTiers,{0}티어로 목표를 정했습니다.
ChallengeCashUsed,{0} / {1} 캐시를 사용했습니다.
ChallengeTiersUsed,{0} / {1} 티어를 사용했습니다.
ShootyTurret,다트 포탑
CreepyIdol,음산한 우상
RareQuincyActionFigure,희귀 퀸시 액션 피겨
GenieBottle,지니의 호리병
ParagonPowerTotem,파라곤 파워 토템
FriendScreenErrorRequestFailed,친구 요청 실패
FriendScreenErrorInvalidCode,잘못된 친구 코드
FriendScreenErrorBlocked,해당 플레이어는 친구 요청을 차단했기 때문에 추가할 수 없습니다!
FriendScreenErrorAlreadySent,이미 친구 요청을 보낸 플레이어입니다.
FriendScreenErrorTooManyFriends,친구의 수가 이미 최대치에 도달했습니다. 기존 친구를 삭제하거나 이미 보낸 친구 요청을 취소하여 빈자리를 만드세요.
MapEditor,맵 편집기
Jar of Pickles description level 11,"원숭이 타워에 이 피클을 주면 한동안 공격이 더 강해지지만, 공격 속도가 낮아집니다. 이제는 강화 풍선에 더 많은 피해를 줍니다!"
Creepy idol description level 12,이 기분 나쁘게 생긴 우상을 트랙 근처에 놓으면 (MOAB 포함) 일부 풍선에게 겁을 줘서 다시 돌아가게 만듭니다.
Shooty turret description level 13,수제 다트를 발사하는 영구 포탑의 강화판! 더 빨리 발사하고 피해도 더 많이 줍니다.
Stack of old nails description level 13,"그냥 녹슨 못이 무더기로 있을 뿐이지만, 트랙 아무 데나 올려놓으면 미처 놓친 풍선을 터트려줍니다."
See invisibility potion description level 14,어떤 원숭이든 이 효력 짱짱인 영약을 주면 캐모 풍선을 쉽게 볼 수 있습니다! 일정 시간이 지나면 효과가 사라집니다. 이제는 사정거리와 지속시간이 더 증가합니다!
Sharpening stone description level 15,다트를 뾰족하게 갈아요! 다트와 칼날에 적용하면 이전보다 훨씬 더 뾰족해지고 날카로워져 더 많은 피해를 줍니다.
Blade trap description level 15,트랙에 놓으면 풍선이 이걸 건드리자마자 칼날의 소용돌이에 갈갈이 찢기게 됩니다! 새로 나온 강화판 모델!
Stack of old nails description level 16,"그저 어마어마하게 쌓인 못 더미이지만, 트랙 아무 데나 올려놓으면 미처 놓친 풍선을 터트려줍니다."
Jar of Pickles description level 16,"원숭이 타워에 이 피클을 주면 한동안 공격이 더 강해지지만, 공격 속도가 낮아집니다. 이제는 강화 풍선에 훨씬 더 많은 피해를 줍니다!"
Gerrys fire hot sauce description level 16,풍선빌 수치 280만. 이 특제 소스를 맛보기만 해도 한동안 입에서 불을 뿜게 됩니다! 불이 전보다도 더 잘 붙습니다.
Tube of amaz-o-glue description level 17,정말 강력합니다! 이 현대 기술이 집적된 발명품을 트랙 아무 데나 바르면 그 위로 지나가는 풍선이 느려지게 됩니다. MOAB도 예외는 아닙니다.
Genie bottle description level 18,"이 금색 호리병으로 지니 원숭이를 소환해 보세요! 단, 일정 시간이 지나면 사라집니다! (소원은 상품에 포함되지 않습니다.) 이제는 MOAB 풍선에 추가 공격을 날리며 더 많은 피해를 줍니다."
Creepy idol description level 18,이 기분 나쁘게 생긴 우상을 트랙 근처에 놓으면 일부 풍선에게 겁을 줘서 다시 돌아가게 만듭니다. 신비의 장막 업그레이드 해제!
See invisibility potion description level 19,"어떤 원숭이든 이 효력 짱짱인 영약을 주면 캐모 풍선을 쉽게 볼 수 있으며, 캐모 풍선에게 더 많은 피해를 줍니다! 일정 시간이 지나면 효과가 사라집니다."
FriendScreenSureUnBlock,정말 이 사용자의 차단을 해제하시겠습니까?
None,없음
Knowledge Requirement Monkey Money,멍키 머니가 부족합니다! 더 구매할까요?
Knowledge Requirement Points,지식 포인트 부족
InviteFriend,친구 초대하기
InvitedToJoin,{0} 님이 협동 게임에 초대했습니다. 참가하시겠습니까?
HeroesMountainObynPetBalfrogName,개구로그 펫
HeroesMountainObynPetBalfrogShortName,개구로그 펫
HeroesMountainObynPetBalfrogDescription,"안개 자욱한 산 아래 어두운 광산에 서식하는 작은 개구리로, 대화할 때마다 주인의 진정한 불꽃이 되고자 하는 열망을 불태웁니다. 산악 오빈 전용"
TowerPropMonkeyVillagePrideFlagName,원숭이 마을 프라이드 깃발
TowerPropMonkeyVillagePrideFlagShortName,마을 프라이드 깃발
TowerPropMonkeyVillagePrideFlagDescription,이 멋진 프라이드 깃발로 원숭이 마을에서 다양성과 선택의 소중함을 드러내 보세요. 모든 업그레이드에서 표시
CoopEmoteTextNeedMoreName,더 필요해! 텍스트 감정표현
CoopEmoteTextNeedMoreShortName,더 필요해!
CoopEmoteTextNeedMoreDescription,"캐시, 풍선, 방어, 음식 등 무엇이든 더 필요할 때 사용하면 좋은 감정표현입니다."
CoopEmoteTextNeedMoreWord,더 필요해!
CoopEmoteAnimationRainbowName,무지개 애니메이션
CoopEmoteAnimationRainbowShortName,무지개
CoopEmoteAnimationRainbowDescription,"다 같이 노래해요! 어딘가, 무지개 저편에..."
GameUIProfileAvatar61Name,다트 원숭이 아바타
GameUIProfileAvatar61ShortName,다트 원숭이 아바타
GameUIProfileAvatar61Description,위대한 다트 원숭이를 경배하라! 풍선을 터트리시니!
GameUIProfileAvatar62Name,제랄도 아바타
GameUIProfileAvatar62ShortName,제랄도 아바타
GameUIProfileAvatar62Description,복슬복슬한 털의 하얀 토끼 어때요? 정말 온순해 보이죠?
GameUIProfileBanner15Name,오리지널 BTD 스타일 배너
GameUIProfileBanner15ShortName,오리지널 BTD 스타일 배너
GameUIProfileBanner15Description,LordTeddington 님의 배너 공모전 당선작
GameUIProfileBanner16Name,숲의 정령 배너
GameUIProfileBanner16ShortName,숲의 정령 배너
GameUIProfileBanner16Description,tricky999tricky 님의 배너 공모전 당선작
GameUIMusicTrackMusicTribesJaloonMixName,주크박스: 부족과 고난 - 잘룬 믹스
GameUIMusicTrackMusicTribesJaloonMixShortName,부족 - 잘룬
GameUIMusicTrackMusicTribesJaloonMixDescription,인기 많은 부족과 고난 트랙의 신나는 리믹스와 함께 신나게 춤을 춰요
Quarry,채석장
VoidoraAdoraSkinName,공허도라 스킨
VoidoraAdoraSkinDescription,공허에서 왔노라
VoidoraAdoraSkinNameFull,공허도라
InappropriateTeamName,좀 더 적절한 팀 이름을 선택하세요.
TeamNameNotUnique,"이미 사용 중인 이름입니다! 다른 이름을 선택하거나, 뒤에 숫자를 덧붙이세요."
TeamNameTooShort,팀 이름은 {0}자 이상 {1}자 이하여야 합니다.
SentryParagonChild,개조 경비 탑 파라곤
LoginwithEpic,Epic 계정으로 로그인
EnterLinkingCode,연동 코드 입력:
Connect,연동
PrivacyPolicy,개인정보처리방침
TermsOfService,서비스 약관
ConfirmAgeInfo,계속 진행하려면 현재 만 나이를 입력하세요. 추가 온라인 기능을 사용하고 데이터를 백업하려면 로그인해야 합니다.
AgeQuestion,만 {0}세 이상이신가요?
AgeYes,"네, 만 {0}세 이상입니다."
AgeNo,"아니요, 만 {0}세 미만입니다."
PersonalAccountInfo,"개인적으로 식별 가능한 정보를 전혀 사용하지 않은 채 개인적인 계정을 생성할 수 있습니다.
아래에서 '동의합니다'를 선택하면 귀하의 부모 또는 보호자가 Ninja Kiwi의 개인정보처리방침과 서비스 약관을 귀하와 함께 검토하였으며, 그 내용과 미국에 소재한 서버의 사용을 포함해 본 게임에서 귀하의 게임플레이 및 식별 불가능한 계정 정보를 보관하는 것에 동의함을 확인하게 됩니다."
AgreeCreateAccount,동의합니다. 계정을 생성합니다.
NormalAccountInfo,계속 진행하면 귀하는 Ninja Kiwi의 개인정보처리방침과 서비스 약관의 내용과 미국에 소재한 서버의 사용을 포함해 본 게임에서 귀하의 게임플레이 및 계정 정보를 보관하는 것에 동의하게 됩니다.
LoggedInAs,로그인 상태:
EpicAccountId,Epic 계정 ID:
NeedHelp,도움이 필요하신가요?
ContactSupport,고객지원팀 문의
DeleteAccountText,"계정을 삭제하면 클라우드에 저장된 모든 진행 상황과 데이터에 접근할 수 없게 됩니다.
계정 삭제를 진행하려면 (아래에 표시된) 사용자 ID를 빈칸에 입력하세요. 계정 삭제에는 48~72시간이 소요될 수 있습니다."
EnterUserId,사용자 ID 입력
GetAllButton,전체 구매
GetAllConfirmation,멍키 머니를 사용해 현재 구매가 가능한 모든 영웅과 스킨을 구매하는 것을 확인해 주세요!
DeleteAccount,계정 삭제
CtLeaderboardTitle,영토 전쟁 순위표
LocalTeams,로컬 팀
LocalPlayers,로컬 플레이어
GlobalTeams,글로벌 팀
GlobalPlayers,글로벌 플레이어
CreateTeamPanelTitle,팀 생성
CreateTeamTitle,팀 생성하기
CreateTeamNameDescription,팀 이름:
CreateTeamNameInputField,팀 이름을 입력하세요.
CreateTeamCostDescription,{0}의 비용으로 팀을 생성합니다.
CreateTeamFailed,팀 생성 실패
EditTeamPanelTitle,팀 편집
EditTeamTitle,팀을 편집합니다.
EditTeamNameDescription,팀 이름 편집:
TeamEmblemTitle,엠블럼
TeamBannerTitle,배너
TeamEmblemsTitle,엠블럼
TeamBannersTitle,배너
TeamGeneralTitle,일반
TeamSettingPublicTitle,공개
TeamSettingPrivateTitle,비공개
TeamSettingClosedTitle,닫힘
TeamJoin,가입
TeamApply,신청
RecentWin,최근 승리:
TileHeldBy,타일 점령자:
Score,점수
ScoreDegradesIn,점수 하락까지:
NeutralOwnerIn,중립 상태까지:
Tile,타일: {0}
RelicTile,유물 타일
BannerTile,배너 타일
BonusCTPoints,보너스 영전 점수!
DailyRelics,일일 유물
HeldRelics,보유 유물
Tickets,티켓:
PurchaseTickets,티켓 구매
MoreTicketsIn,다음 티켓까지:
CTTitleName,영토 전쟁
CTTeamStore,팀 상점
CTMyTeam,내 팀
CTTeamTrophies,팀 트로피
CTTickets,티켓
CTTeamTickets,팀 티켓
CTNextTicketsIn,다음 티켓 입고까지:
CTTileSearch,타일 찾기
CTOwner,점령자:
CTScore,점수:
CTNeutralIn,중립까지:
CTPosition,순위:
CTUncaptured,미점령
CTCheckpoint,체크포인트 도달!
CTNewScore,새로운 점수!
CTBestScore,최고 점수
TimeAttack,타임 어택
ERR_NOT_LOGGED_IN,미로그인 상태
ERR_ALREADY_PENDING,이미 요청 대기 중
ERR_FEATURE_UNAVAILABLE,사용할 수 없습니다. 나중에 다시 시도하십시오.
ERR_REQUEST_PARAMETER_MISSING,매개변수 없음
ERR_GUILD_FULL,팀에 빈자리 없음
ERR_GUILD_NAME_EXISTS,이미 있는 팀 이름
ERR_GUILD_DOES_NOT_EXIST,존재하지 않는 팀
ERR_GUILD_CANNOT_DISBAND,팀 해산 불가
ERR_GUILD_PERMISSION_DENIED,권한 부족
ERR_GUILD_CANNOT_UPDATE_OWNER_DENIED,팀 리더 업데이트 실패. 권한이 부족합니다.
ERR_GUILD_CANNOT_UPDATE_OWNER_NONE,팀 리더 업데이트 실패
ERR_TIMEOUT,요청 시간 초과. 나중에 다시 시도하십시오.
CreateNewTeamText,새로운 팀을 생성하시겠어요?
ParagonLimitReached,파라곤 한도 도달
TeamMsgNewMayor,{0} 님이 새로운 시장이 되었어요!
TeamMsgPlayerJoined,{0} 님이 팀에 들어왔습니다.
TeamMsgPlayerLeft,{0} 님이 팀에서 나가셨습니다.
