//Input. Needs to be first e.g [I] replaced by click or tap,
Click,Haz clic en
Achievement 110 Name,Regalo doble
Achievement 110 Description,Revienta 1 millón de bloons con pistoleros movedizos.
Achievement 111 Name,Locura de cupones
Achievement 111 Description,Gasta al menos 50 trofeos en la tienda correspondiente.
Achievement 112 Name,Gratificación instantánea
Achievement 112 Description,"Usa un instamono de nivel 5. Nota: incluso después del uso, los instamonos cuentan para la colección."
Achievement 113 Name,Cien instantes
Achievement 113 Description,"Usa 100 instamonos. Nota: incluso después del uso, los instamonos cuentan para la colección."
Achievement 114 Name,Carrera limitada
Achievement 114 Description,Compra al menos 1 objeto nuevo por tiempo limitado en la tienda correspondiente.
Achievement 115 Name,Herramientas evolutivas
Achievement 115 Description,Mejora las torres 20 000 veces.
Achievement 116 Name,Estrategia terca
Achievement 116 Description,"Solo porque algo se puede hacer, no significa que deba hacerse."
ChallengeBrowserDescription,"Juega, crea y califica el contenido de la comunidad."
VerifiedUser,Usuario verificado
TrophyBadgesEmpty,Gana partidas y obtén medallas.
,
// External cleaning app (not in binary),
cleaner.oops.title,¡Uy!
cleaner.oops.message,Selecciona una opción válida...
cleaner.warning.title,¿Seguro?
cleaner.warning.message,Advertencia: no se puede deshacer
cleaner.title,Limpiador de {0}
cleaner.Message,Selecciona una opción:
cleaner.RadioButton_CleanAll,Limpiar todo
cleaner.RadioButton_Keep,Conservar configuración y progreso
cleaner.RadioButton_CleanSelective,Limpieza selectiva
cleaner.CheckBox_Preferences,Preferencias
cleaner.CheckBox_Progress,Progreso
cleaner.Button_Run,Continuar
cleaner.Button_Exit,Salir
cleaner.allDone,¡Todo listo!
// External cleaning lines complete,
,
ChallengeBrowserError,Hubo un error de carga del explorador de contenido.
OverwriteChallengeBrowserText,Se sobrescribirán los datos guardados más antiguos. ¿Seguro?
OverwriteChallengeBrowserHeader,¿Sobrescribir?
GameUIMusicTrackMusicJingleBloonsName,Rocola: Noche de Bloons
GameUIMusicTrackMusicJingleBloonsShortName,Noche de Bloons
GameUIMusicTrackMusicJingleBloonsDescription,"Celebra las fiestas con esta pista nueva original y exclusiva. ¡Navidad, Navidad!\nActiva la música desde la rocola en la configuración del menú principal"
Favorite,Favorito
FasterRegen,Más tasa de regeneración
SlowerRegen,Menos tasa de regeneración
NewTower,Torre nueva
MapUnlockTutorHeader,Desbloqueo de mapas
MapUnlockTutorBody,Supera un mapa en una categoría por primera vez para desbloquear otro en la siguiente.\n\n•Principiante desbloquea intermedio\n•Intermedio desbloquea avanzado\n•Avanzado desbloquea experto
HideCompleted,Ocultar completados
Ravine,Desfiladero
GameUIProfileAvatar31Name,Avatar personalizado: ninja kabuki
GameUIProfileAvatar31ShortName,Avatar de ninja kabuki
GameUIProfileAvatar31Description,El mono ninja tiene el mejor maquillaje kumadori.
GameUIProfileAvatar32Name,Avatar personalizado: piloto de helicóptero
GameUIProfileAvatar32ShortName,Avatar de piloto de helicóptero
GameUIProfileAvatar32Description,¡A volar! Este avatar combina belleza con eficacia.
BloonsAllBloonsTruckerHatsName,Gorras de camionero
BloonsAllBloonsTruckerHatsShortName,Gorras de camionero
BloonsAllBloonsTruckerHatsDescription,Estos bloons recorren distancias enormes. ¡Orgullo de camioneros!
BloonsAllBloonsPopsPowName,Efecto explosivo «pow»
BloonsAllBloonsPopsPowShortName,Efecto explosivo «pow»
BloonsAllBloonsPopsPowDescription,¡Pow! ¡Bam! ¡Pop! Elimina más bloons con esta animación genial.
BloonsBFBSkinLanternName,BFB lámpara
BloonsBFBSkinLanternShortName,BFB lámpara
BloonsBFBSkinLanternDescription,"Lleva suerte, prosperidad y luz al campo de batalla con este aspecto increíble para BFB."
TowerProjectileSpikeFactoryPineapplesName,Piñas fábrica de clavos
TowerProjectileSpikeFactoryPineapplesShortName,Piñas fábrica de clavos
TowerProjectileSpikeFactoryPineapplesDescription,"¿Qué es más punzante que una bola de clavos? Una piña, por supuesto. Hora de reventar bloons. Solo mejora Bolas claveteadas."
GameUIMusicTrackMusicBMCStreetPartyName,Rocola: fiesta callejera de BMC
GameUIMusicTrackMusicBMCStreetPartyShortName,Fiesta callejera de BMC
GameUIMusicTrackMusicBMCStreetPartyDescription,"Por demanda popular, volvió la fiesta callejera de Bloons Monkey City."
FirstTimeContinue,"¡No! ¡Pasaron los bloons! Puedes continuar gratis esta vez, pero la próxima te costará dinero moneril."
Follow,Seguir
Unfollow,Dejar de seguir
Following,Siguiendo
Primary Knowledge,Conocimiento principal
Military Knowledge,Conocimiento militar
Magic Knowledge,Conocimiento mágico
Support Knowledge,Conocimiento de apoyo
Heroes Knowledge,Conocimiento heroico
Powers Knowledge,Conocimiento de poderes
Block followers,Bloquear seguidores
Unblock followers,Desbloquear seguidores
Followers,Seguidores
Submitted Challenges,Desafíos enviados
TurnOnNotificationsCreator,¿Activar notificaciones para este/a creador/a?
TurnOffNotificationsCreator,¿Desactivar notificaciones para este/a creador/a?
TargetingOptionFirstTimePopup,Cambiar las opciones de objetivos puede ayudarte a superar rondas difíciles.
et_challengefreeplaytitle,Modo libre para desafíos
et_challengefreeplaydescription,"Este modo permite que continúes el juego, pero no recibes PE ni recompensas."
GameServicesBlockedText,El acceso a los servicios de juego está bloqueado y esto podría afectar la jugabilidad. Desactiva el bloqueo para evitar problemas inesperados. Para saber más: https://ninja.kiwi/btd6_network
DoubleCashDisabled,Dinero doble desactivado
UnableToAccessDomain,No hay acceso a {0}. Desactiva los servicios de bloqueo y reinténtalo.
Custom Rounds,Rondas personalizadas
Warning,Advertencia
Player Completion Rate,Tasa de finalización de jugador
Win Rate,Tasa de victorias
HeroesBenjaminPlacementMatrixName,Colocación y mejora de Benjamin Matrix
HeroesBenjaminPlacementMatrixShortName,Benjamin Matrix
HeroesBenjaminPlacementMatrixDescription,¡Ya sé kung fu! Solo para Benjamin.
HeroesObynPetBunnyName,Conejo mascota de Obyn
HeroesObynPetBunnyShortName,Conejo mascota de Obyn
HeroesObynPetBunnyDescription,Uno de los mejores amigos de Obyn. Solo para Obyn. Objeto para coleccionistas por tiempo limitado.
TowerProjectileDartlingEasterEggsName,Proyectiles de huevos de Pascua de dardero
TowerProjectileDartlingEasterEggsShortName,Huevos de Pascua de dardero
TowerProjectileDartlingEasterEggsDescription,Carga chocolate y dispara. Solo para mejoras Perdigones y Cohete. Objeto para coleccionistas por tiempo limitado.
TowerPetNinjaMonkeyKiwiName,Mascota kiwi de mono ninja
TowerPetNinjaMonkeyKiwiShortName,Mascota de Ninja Kiwi
TowerPetNinjaMonkeyKiwiDescription,El valiente pájaro kiwi que no vuela. El compañero más noble del mono ninja.
BloonsMOABSkinChocolateName,MOAB huevo de chocolate
BloonsMOABSkinChocolateShortName,MOAB de chocolate
BloonsMOABSkinChocolateDescription,"Aunque esté cubierto de chocolate, este MOAB contiene 4 cerámicas. Objeto para coleccionistas por tiempo limitado."
BloonsBFBSkinChocolateName,BFB huevo de chocolate
BloonsBFBSkinChocolateShortName,BFB de chocolate
BloonsBFBSkinChocolateDescription,Más puntos si el BFB de chocolate contiene MOAB de chocolate. Objeto para coleccionistas por tiempo limitado.
BloonsAllBloonsBunnyEarsName,Bloons con orejas de conejo
BloonsAllBloonsBunnyEarsShortName,Bloons con orejas de conejo
BloonsAllBloonsBunnyEarsDescription,Los bloons son más adorables cuando tienen orejas de conejo. Objeto para coleccionistas por tiempo limitado.
BloonsAllBloonsPopsFlowersName,Efecto estallido floral
BloonsAllBloonsPopsFlowersShortName,Efecto estallido floral
BloonsAllBloonsPopsFlowersDescription,Cada estallido es una explosión de colores con este efecto.
CoopEmoteAnimationPixelMonkeyDanceName,Emote de mono bailarín
CoopEmoteAnimationPixelMonkeyDanceShortName,Mono bailarín
CoopEmoteAnimationPixelMonkeyDanceDescription,"Baila para mí, como dice la canción."
CoopEmoteAnimationFlowerBloomName,Emote de flores que brotan
CoopEmoteAnimationFlowerBloomShortName,Flores que brotan
CoopEmoteAnimationFlowerBloomDescription,"Llegó la primavera, cantan los pájaros, zumban las abejas y brotan las flores."
GameUIProfileAvatar33Name,Avatar personalizado: huevos de Obyn
GameUIProfileAvatar33ShortName,Avatar de huevos de Obyn
GameUIProfileAvatar33Description,Protege los huevos valiosos con Obyn. Objeto para coleccionistas por tiempo limitado.
GameUIProfileAvatar34Name,Avatar personalizado: mono tachuelero
GameUIProfileAvatar34ShortName,Avatar de mono tachuelero
GameUIProfileAvatar34Description,Avatar ganador de mutamarkl
GameUIProfileAvatar35Name,Avatar personalizado: sentai fuerte
GameUIProfileAvatar35ShortName,Avatar de sentai fuerte
GameUIProfileAvatar35Description,Avatar ganador de Kuzukyu
GameUIProfileAvatar36Name,Avatar personalizado: mago intenso
GameUIProfileAvatar36ShortName,Avatar de mago intenso
GameUIProfileAvatar36Description,Avatar ganador de _Concilliabule_
Balance,Equilibrio
Blons,Blons
Latest Save,Última partida guardada
Sauda,Sauda
Sauda Short Description,Esgrimista
Sauda Description,"Con furia y calma, Sauda destruye a los bloons con dos espadas muy afiladas."
Sauda Level 1 Description,Corta a los bloons cercanos con ambas espadas. Revienta camuflados.
Sauda Level 2 Description,Revienta más bloons por ataque.
Sauda Level 3 Description,Ataque de espada con salto: el ataque con salto de Sauda que revienta emplomados impacta sobre los bloons objetivo.
Sauda Level 4 Description,Las espadas de Sauda cortan 2 capas de bloons.
Sauda Level 5 Description,Sauda ataca más rápido.
Sauda Level 6 Description,Aumenta el alcance de ataque y el poder reventador.
Sauda Level 7 Description,Sauda explota las debilidades de los bloons y hace más daño si están aturdidos. Ahora también revienta bloons congelados.
Sauda Level 8 Description,Sauda ataca aún más rápido.
Sauda Level 9 Description,Hemorragia de bloons: Sauda revienta 3 capas de bloons con cada golpe y genera un efecto lento de daño por tiempo.
Sauda Level 10 Description,Carga de espada: Sauda se desliza por el camino y destruye a los bloons que encuentra.
Sauda Level 11 Description,"Sauda hace más daño a los bloons desacelerados, inmobilizados o que reciben daño por tiempo de otros monos."
Sauda Level 12 Description,Aumenta mucho la potencia de Ataque de espada con salto.
Sauda Level 13 Description,Las hojas encantadas hacen más daño y permiten que Sauda dañe a todos los bloon.
Sauda Level 14 Description,Sauda ataca aún más rápido.
Sauda Level 15 Description,Aumenta el alcance de ataque y el poder reventador. Ataque de espada con salto hace más daño.
Sauda Level 16 Description,La carga de espada hace mucho más daño.
Sauda Level 17 Description,Los ataques de espada de Sauda cortan más capas de bloons a la vez.
Sauda Level 18 Description,Las espadas de Sauda atacan con mucha más velocidad.
Sauda Level 19 Description,"Las hojas encantadas hacen más daño a los bloons recrecidos, fortificados y camuflados."
Sauda Level 20 Description,La carga de espada más potente barre todos los caminos tres veces. Aumenta la potencia de la espada con salto.
SushiBentoBenjaminSkinName,Aspecto de sushi bento
SushiBentoBenjaminSkinDescription,"Atención, hay sushi en el menú."
Leaping Sword Attack Ability,Ataque de espada con salto
Leaping Sword Attack Ability Description,El ataque con salto de Sauda que revienta emplomados impacta sobre los bloons objetivo.
Sword Charge Ability,Carga de espada
Sword Charge Ability Description,Sauda se desliza por el camino y destruye a los bloons que encuentra.
Playing,Jugando {0}
Solo,Individual
Custom Challenge,Desafío personalizado
Browsing,Explorando {0}
Menues,Menús
Challenges,Desafíos
GoldenBloonsPopped,Bloons dorados reventados
ChallengeStats,Estadísticas de desafío
Attempts,Intentos
Wins,Victorias
Fails,Fallos
Unique Players,Jugadores únicos
Victorious Players,Jugadores victoriosos
FirstWinner,Primer ganador
MostRecentWinner,Ganador más reciente
DiskFullMessage,"Disco lleno, libera espacio y reinténtalo."
RacePassRemaining,Carreras restantes:
RacePassHeader,Pase de carrera
RacePassDescription,"Obtiene intentos ilimitados por carrera semanal.\nSin temporizador y sin mónares, solo corre."
4RacesPass,4 pases de carrera
12RacesPass,12 pases de carrera
ft_goldentitle,Bloons dorados
ft_goldendescription,"Revienta el bloon dorado y gana más mónares. Es difícil de reventar, pero no pierdes vidas si escapa.\nEl bloon dorado aparece varias veces por partida y evoluciona con cada aparición.\nBuena suerte."
TapToUnlock,[I] para desbloquear
btd6_4racespass Description,Corre todo lo que quieras en 4 carreras.
btd6_4racespass,4 pases de carrera
btd6_12racespass Description,Corre todo lo que quieras en 12 carreras.
btd6_12racespass,12 pases de carrera
GetHeroBooster,Obtener potenciador de héroe
IntermediateUnlockText,Supera un mapa de principiante por primera vez para desbloquear un mapa de intermedio
AdvancedUnlockText,Supera un mapa de intermedio por primera vez para desbloquear un mapa de avanzado
ExpertUnlockText,Supera un mapa de avanzado por primera vez para desbloquear un mapa de experto
HeroesSaudaPetCraneName,Mascota grulla de Sauda
HeroesSaudaPetCraneShortName,Mascota grulla de Sauda
HeroesSaudaPetCraneDescription,"Encerar, pulir. Estudia la técnica de la grulla con esta mascota nueva. Solo para Sauda."
HeroesPatFustyPlacementSuperjumpName,Colocación y mejora de Supersalto de Pat
HeroesPatFustyPlacementSuperjumpShortName,Supersalto de Pat
HeroesPatFustyPlacementSuperjumpDescription,Pat está tan contento de abrazar a los MOAB que da un supersalto hacia la acción y con cada mejora. Solo para Pat Fusty.
TowerPetBananaFarmChickenName,Pollo de bananal
TowerPetBananaFarmChickenShortName,Pollo
TowerPetBananaFarmChickenDescription,Toda granja necesita un pollo. ¿Por qué? Porque sí. ¡Píooo!
TowerPropMonkeyVillageBrazilFlagName,Bandera de Brasil para la monoaldea
TowerPropMonkeyVillageBrazilFlagShortName,Bandera de Brasil
TowerPropMonkeyVillageBrazilFlagDescription,¡GOOOL! Apoya a todo lo que viene de Brasil con esta bandera para la monoaldea. Aparece en todas las actualizaciones.
TowerPropMonkeyVillageUSAFlagName,Bandera de EE. UU. para la monoaldea
TowerPropMonkeyVillageUSAFlagShortName,Bandera de EE. UU.
TowerPropMonkeyVillageUSAFlagDescription,¡Viva EE. UU.! Exhibe las barras y estrellas con orgullo en la monoaldea. Aparece en todas las actualizaciones.
BloonsAllBloonsPopsPewpewName,Efecto sonoro piu piu
BloonsAllBloonsPopsPewpewShortName,Efecto sonoro piu piu
BloonsAllBloonsPopsPewpewDescription,Busca en tus sentimientos. Debes comprarlo ahora y que la Fuerza te acompañe. Objeto para coleccionistas por tiempo muy limitado.
BloonsMOABSkinBtd4RetroName,MOAB retro de BTD4
BloonsMOABSkinBtd4RetroShortName,MOAB retro
BloonsMOABSkinBtd4RetroDescription,"Ah, la nostalgia. Usa los anteojos color de rosa y consulta un modelo anterior de MOAB."
BloonsBFBSkinBtd4RetroName,BFB retro de BTD4
BloonsBFBSkinBtd4RetroShortName,BFB retro
BloonsBFBSkinBtd4RetroDescription,"No hay como la vieja escuela, los tiempos en el que esto era lo más grande en el cielo."
CoopEmoteAnimationTrophyName,Emote de ganador de trofeo
CoopEmoteAnimationTrophyShortName,Ganador de trofeo
CoopEmoteAnimationTrophyDescription,¡Abre la champaña! Celebra la victoria con este trofeo dorado brillante.
CoopEmoteAnimationPlayerNumbersName,Emote de números de jugador
CoopEmoteAnimationPlayerNumbersShortName,Números de jugador
CoopEmoteAnimationPlayerNumbersDescription,Comunícate con mayor facilidad con los demás jugadores gracias a estos emotes útiles de números de jugador. No seas exigente con el jugador 3.
GameUIProfileAvatar37Name,Avatar personalizado: Sauda sagaz
GameUIProfileAvatar37ShortName,Avatar de Sauda sagaz
GameUIProfileAvatar37Description,"Silencio, habilidad y precisión. Este avatar increíble de Sauda te define como jugador."
GameUIProfileAvatar38Name,Avatar personalizado: amigo pingüino
GameUIProfileAvatar38ShortName,Avatar de amigo pingüino
GameUIProfileAvatar38Description,Avatar ganador de ReconScoutTeemo
GameUIProfileAvatar39Name,Avatar personalizado: pistolero pegajoso
GameUIProfileAvatar39ShortName,Avatar de pistolero pegajoso
GameUIProfileAvatar39Description,Avatar ganador de Cyliia
GameUIPowerSkinLavaLakeName,Poder personalizado: lago de lava portátil
GameUIPowerSkinLavaLakeShortName,Lago de lava portátil
GameUIPowerSkinLavaLakeDescription,¡Hace mucho calor aquí! Derrite las preocupaciones con un estanque de lava.
Resort,Complejo turístico
ETnEtienneSkinName,ETn
ETnEtienneSkinDescription,Llévame con tu líder.
VeteranXP,PE de veterano
GameUIMusicTrackMusicSailsAgain,Zarpa otra vez
Leaderboards,Marcadores
Global,Global
League,Liga
Race,Carrera
Mini-race,Minicarrera
NoRaceDataYet,Completa una carrera para unirte a una minicarrera.
Kick,Expulsar
MakePublic,Hacer público
VeteranLevelsHeader,Niveles de veterano
VeteranLevelsDescription,"Felicitaciones, llegaste al tope de nivel. Desde ahora, ganarás PE de veterano y niveles de veterano. Lleva más tiempo superar estos niveles que demuestran tu gran dedicación a reventar bloons."
LevelCapIncreasedHeader,Tope de nivel aumentado
LevelCapIncreasedDescription,"Aumentó el tope de nivel. No dejarás de ganar niveles normales hasta que llegues al tope de nuevo. No te preocupes, los PE y niveles de veterano siguen ahí y empezarás a ganar PE de veterano otra vez cuando alcances el tope de nivel nuevo."
Rejoin,Unirse de nuevo
GameHasEnded,Terminó la partida
SlowInternet,No hay conexión a internet o falta velocidad
ErrorRejoining,Se produjo un error mientras te unías de nuevo
RewardsTopPlacing,Mejores {0}
LostConnectionRejoin,Se perdió la conexión. ¿Unirse de nuevo?
Rejoining,Uniéndose de nuevo...
PlayerPositionClosed,Puesto cerrado
YouFinished,Completaste:
BestTime,Récord:
Claim,Reclamar
PlayerRejoinedGame, se unió a la partida de nuevo
PlayerKickedFromGame,Se quitó a {0} de la partida.
ConfirmKickPlayer,¿Seguro que quieres quitar a {0}?
Remove,Quitar
MiniRacesFirstTimeTitle,¡Minicarreras!
MiniRacesFirstTimeDescription,"Cuando completes una carrera, se te colocará en el marcador de minicarreras y el de las carreras principales. Compite contra otros en la minicarrera para ganar aún más premios al final de la carrera."
SharingCoop,Únete a mi partida cooperativa en Bloons TD 6.
SharingChallenge,¿Puedes superar el desafío de Bloons TD 6?
btd6_racespass,{0} pases de carrera
btd6_racepass,1 pase de carrera
OdysseyCrewConfirmed,Equipo confirmado
OdysseyCrewModified,Equipo modificado
Odysseys,Odiseas
InviteReceivedTitle,Invitación recibida
ChallengeInviteReceivedDescription,Te invitaron a probar el código de desafío: {0}
CoopInviteReceivedDescription,Te invitaron a unirte a una partida cooperativa: {0}
Join,Unirse
AccountPermissionRestriction,Esta cuenta de Xbox no tiene permiso para partidas multijugador.
AccountCommunityPermissionRestriction,Esta cuenta de Xbox no tiene permiso para ver o crear contenido comunitario.
dont have bloons,¿No tienes Bloons TD 6? ¡Descárgalo ya!
launch game,iniciar juego
copy code,Haz clic aquí para copiar el código
game already opened,¿El juego ya está abierto?
Psi,Psi
Psi Short Description,Mono psiónico
Psi Description,Psi nació con dones especiales y usa el poder de la mente para destruir a los bloons desde adentro.
Psi Level 1 Description,Psi nació con dones especiales y usa el poder de la mente para destruir a los bloons desde adentro. Ataca a los camuflados.
Psi Level 2 Description,Ataca un poco más rápido.
Psi Level 3 Description,Estallido psíquico: Psi lanza una oleada de energía que aturde a los bloons cercanos durante mucho tiempo.
Psi Level 4 Description,El ataque de Psi golpea a otro bloon si está muy cerca del objetivo.
Psi Level 5 Description,Las vibraciones psiónicas destruyen bloons más rápido de lo normal.
Psi Level 6 Description,La mente poderosa de Psi atraviesa a los bloons emplumados.
Psi Level 7 Description,Estallido psíquico tiene dos pulsos y Psi puede destruir bloons cerámicos.
Psi Level 8 Description,Resonancia destructiva hace que los bloons eliminados por el ataque principal de Psi dañen a otros cercanos.
Psi Level 9 Description,Mente dividida. Psi puede atacar a dos bloons a la vez.
Psi Level 10 Description,Grito psiónico: Psi lanza un alarido silencioso que siembra el caos total entre los bloons.
Psi Level 11 Description,Las vibraciones psiónicas destruyen bloons todavía más rápido.
Psi Level 12 Description,Estallido psíquico tiene tres pulsos.
Psi Level 13 Description,Ni los bloons morados resisten la potencia de los ataques mentales de Psi.
Psi Level 14 Description,La energía psíquica inmensa de Psi permite atacar y destruir bloons clase MOAB.
Psi Level 15 Description,Resonancia destructiva causa más daño.
Psi Level 16 Description,Las vibraciones psiónicas destruyen bloons muy rápido. Psi puede atacar a los BFB.
Psi Level 17 Description,Mente dividida. Psi puede atacar a tres bloons a la vez.
Psi Level 18 Description,Los ataques de Psi afectan bloons dentro de un radio más grande desde el objetivo.
Psi Level 19 Description,Resonancia destructiva causa muchísimo más daño.
Psi Level 20 Description,Grito mentalista retiene y daña a todos los bloons en pantalla. Psi puede atacar a los DDT y ZOMG.
Sanctuary,Santuario
ft_monkeyteamstitle,Equipos de monos
ft_monkeyteamsdescription,Gana más mónares. Elige un personaje y usa solo los monos elegidos para superar el mapa y aumentar las ganancias. Las dificultades superiores otorgan más mónares.
ModderWarningPopup,Se detectó un cliente de juego modificado. Algunos modos no estarán disponibles.
ModdedClient,Cliente modificado
Achievement 117 Name,Logro de logros
Achievement 117 Description,Consigue 35 logros
Achievement 118 Name,Con todo
Achievement 118 Description,Elimina 3000 bloons clase MOAB con la habilidad Derribo de MOAB.
Achievement 119 Name,Mudanza
Achievement 119 Description,Reubica 1000 torres moneriles con el Chinook de apoyo.
Achievement 120 Name,Muy sociable
Achievement 120 Description,Usa emotes 100 veces en partidas cooperativas.
Achievement 121 Name,¡Qué brillo!
Achievement 121 Description,Revienta 20 bloons dorados.
Achievement 122 Name,Oro brillante
Achievement 122 Description,Revienta 100 bloons dorados.
Achievement 123 Name,Oro glorioso
Achievement 123 Description,Revienta 500 bloons dorados.
Achievement 124 Name,Oro mágico
Achievement 124 Description,Revienta 50 bloons dorados en modo solo monos mágicos.
Achievement 125 Name,Trabajo en equipo
Achievement 125 Description,Gana 25 veces con equipos de monos.
Achievement 126 Name,Capitán de equipo
Achievement 126 Description,Gana 50 veces con equipos de monos.
Achievement 127 Name,Equipo definitivo
Achievement 127 Description,Gana 100 veces con equipos de monos.
HeroesEtiennePetRoombaName,Roomba mascota de Etienne
HeroesEtiennePetRoombaShortName,Roomba mascota de Etienne
HeroesEtiennePetRoombaDescription,No sabemos si Etienne quiere más al gato o a la Roomba. Es un paquete completo. Solo para Etienne.
HeroesEziliPlacementGlyphName,Colocación y mejora de materialización de glifo de Ezili
HeroesEziliPlacementGlyphShortName,Glifo de Ezili
HeroesEziliPlacementGlyphDescription,"¡Transpórtame, Ezili! Solo para Ezili."
TowerPropMonkeyVillageNZFlagName,Bandera de Nueva Zelanda para la monoaldea
TowerPropMonkeyVillageNZFlagShortName,Bandera de NZ
TowerPropMonkeyVillageNZFlagDescription,Que el dios del sol defienda la tierra libre y las monoaldeas contra los bloons. Aparece en todas las actualizaciones.
TowerPropMonkeyVillageScotlandFlagName,Bandera de Escocia para la monoaldea
TowerPropMonkeyVillageScotlandFlagShortName,Bandera de Escocia
TowerPropMonkeyVillageScotlandFlagDescription,Rebélate y grita «libertaaad» con esta bandera para la monoaldea. Aparece en todas las actualizaciones.
TowerPropMonkeyVillageBananaFlagName,Bandera de banana para la monoaldea
TowerPropMonkeyVillageBananaFlagShortName,Bandera de banana
TowerPropMonkeyVillageBananaFlagDescription,Muestra con orgullo la fruta favorita de los monos en la monoaldea. Aparece en todas las actualizaciones.
TowerEffectAllMonkeysPlacementUpgradesFireworksName,Ubicación de pirotecnia y efectos de mejoras
TowerEffectAllMonkeysPlacementUpgradesFireworksShortName,Efecto de mejora de pirotecnia
TowerEffectAllMonkeysPlacementUpgradesFireworksDescription,Celebra con cada mono y mejora con esta demostración de pirotecnia increíble. Objeto para coleccionistas por tiempo limitado.
TowerProjectileWizardMonkeyFireworksName,Pirotecnia de mago
TowerProjectileWizardMonkeyFireworksShortName,Pirotecnia de mago
TowerProjectileWizardMonkeyFireworksDescription,Saca el Gandalf que hay en ti y dales esta pirotecnia genial a los monos magos. Objeto para coleccionistas por tiempo limitado.
BloonsAllBloonsBeardsName,Bloons barbados
BloonsAllBloonsBeardsShortName,Bloons barbados
BloonsAllBloonsBeardsDescription,Este vello facial fantástico se conoce como barba de director de arte y es imperdible.
BloonsAllMOABSepiaName,Bloons clase MOAB antiguos
BloonsAllMOABSepiaShortName,MOAB antiguos
BloonsAllMOABSepiaDescription,"No ajustes la imagen, estos MOAB reviven el estilo de antes."
CoopEmoteAnimationTumbleweedName,Animación de planta rodadora
CoopEmoteAnimationTumbleweedShortName,Planta rodadora
CoopEmoteAnimationTumbleweedDescription,Acompáñalo con el efecto de sonido Grillos para tener más impacto.
CoopEmoteIconSkullAndCrossbonesName,Emote de calavera y tibias
CoopEmoteIconSkullAndCrossbonesShortName,Calavera y tibias
CoopEmoteIconSkullAndCrossbonesDescription,Aviso de peligro inminente o solo amor por todo lo óseo con este emote aterrador.
CoopEmoteTextActivateName,Emote de activación
CoopEmoteTextActivateWord,Activación
CoopEmoteTextActivateShortName,Activación
CoopEmoteTextActivateDescription,Enciende la máquina reversa en el taller. Activa el derribo de MOAB. Desata el Tecnoterror. Divulga tu mensaje ahora mismo.
GameUIProfileAvatar40Name,Avatar personalizado: PFP de Harley Gwen
GameUIProfileAvatar40ShortName,Avatar PFP de Harley Gwen
GameUIProfileAvatar40Description,Avatar ganador de Qqertynn
GameUIProfileAvatar41Name,Avatar personalizado: ninja de bomba cegadora
GameUIProfileAvatar41ShortName,Avatar de bomba cegadora
GameUIProfileAvatar41Description,Avatar ganador de _Concilliabule_
GameUIProfileAvatar42Name,Avatar personalizado: Patch empresaria
GameUIProfileAvatar42ShortName,Patch empresaria
GameUIProfileAvatar42Description,Patch subió poco a poco en la escala corporativa del mundo moneril.
GameUIProfileAvatar43Name,Avatar personalizado: lanzabombas de pirotecnia
GameUIProfileAvatar43ShortName,Lanzabombas de pirotecnia
GameUIProfileAvatar43Description,¿Qué mejor forma de encender los cohetes? Objeto para coleccionistas por tiempo limitado.
GameUIPowerSkinMonkeyBoostFireworksName,Poder personalizado: potenciador moneril pirotécnico
GameUIPowerSkinMonkeyBoostFireworksShortName,Potenciador moneril pirotécnico
GameUIPowerSkinMonkeyBoostFireworksDescription,Potencia a los monos e inspíralos a realizar hazañas mayores con esta pirotecnia tremenda. Objeto para coleccionistas por tiempo limitado.
GameUIMusicTrackMusicTropicalOctopusMixName,Rocola: mezcla de pulpo de carnaval tropical
GameUIMusicTrackMusicTropicalOctopusMixShortName,Pulpo de carnaval tropical
GameUIMusicTrackMusicTropicalOctopusMixDescription,Coloca un par de ritmos electrónicos y esta pista de carnaval será la preferida de la fiesta. ¡Suban el volumen!
PlaySocial,Juego social
ContentBrowser,Explorador de contenido
CoopChallenge,Desafío cooperativo
SocialEditChallenge,Editar desafío
SocialEditOdyssey,Editar Odisea
SocialViewBrowser,Ver explorador
MonkeyTeamWins,Victorias del equipo de monos
NewerSaveFound,Se encontraron datos más recientes. Jugaste una versión más nueva del juego en otro dispositivo. Actualiza ahora para seguir en este. ¿No hay actualizaciones disponibles? Visita https://ninja.kiwi/btd6_outofdate para obtener ayuda.
RacePasses,{0} pases de carrera
FreeEntries,{0} entradas gratis
FreeEntry,1 entrada gratis
PrivateCoopLobby,Antesala cooperativa privada
PublicCoopLobby,Antesala cooperativa [{0}]
MyOdysseys,Mis Odiseas
OdysseySearch,Buscar/Código de Odisea...
Psychic Blast Ability,Estallido psíquico
Psychic Blast Ability Description,Psi lanza una oleada de energía que aturde a los bloons cercanos durante mucho tiempo.
Psionic Scream Ability,Grito psiónico
Psionic Scream Ability Description,Psi lanza un alarido silencioso que siembra el caos total entre los bloons.
EditorMode,Modo editor
ConfirmMaps,Mapas a confirmar: {0}
ResetOdysseyProgress,Se invalidará el progreso en la Odisea. ¿Seguro?
OdysseyName,Nombre de Odisea
OdysseyEditor,Editor de Odisea
MaxPowers,Máx. de poderes:
MaxMonkeySlots,Máx. de ranuras de monos:
MaxPowerSlots,Máx. de ranuras de poderes:
MapNumber,Mapa {0}
ExtremeMode,Modo extremo:
Edit,Editar
