//Input. Needs to be first e.g [I] replaced by click or tap,
Click,انقر
GameUIProfileAvatar52Name,أفاتار مخصص - الخشبة المرتدة
GameUIProfileAvatar52ShortName,أفاتار الخشبة المرتدة
GameUIProfileAvatar52Description,الخشبة المرتدة المخصصة لليد اليسرى هي أفضل
GameUIProfileAvatar53Name,أفاتار مخصص - كابتن القراصنة
GameUIProfileAvatar53ShortName,أفاتار كابتن القراصنة
GameUIProfileAvatar53Description,يار! أنتم تريدون إقناع لاعبي الجنوبين البيض الآخرين بأفضل جوائز أفاتار يمكن شراؤها، أليس كذلك الآن؟
GameUIProfileAvatar54Name,أفاتار مخصص - كوينسي الهندسية
GameUIProfileAvatar54ShortName,أفاتار كوينسي الهندسية
GameUIProfileAvatar54Description,أنا الألفا والأوميغا. أنا كوينسي المربعة
GameUIProfileAvatar55Name,أفاتار مخصص - ستار توبر أدورا
GameUIProfileAvatar55ShortName,أفاتار أدورا النجمة
GameUIProfileAvatar55Description,من الذي ستؤتمنه أيضًا على وضع اللمسات الأخيرة على الشجرة؟ حسنًا، هذا ولا يسمح أدورا لأي شخص آخر بالاقتراب منه! عنصر جامعي الوقت المحدود!
GameUIProfileBanner8Name,القفز إلى لافتة الملف الشخصي المستوحى من الفضاء
GameUIProfileBanner8ShortName,القفز إلى لافتة الملف الشخصي المستوحى من الفضاء
GameUIProfileBanner8Description,أفاتار الفائز هو جالاكسيز
GameUIProfileBanner9Name,لافتة ملف شخصي بمواجهة الشمس
GameUIProfileBanner9ShortName,لافتة مواجهة الشمس
GameUIProfileBanner9Description,أفاتار الفائز هو بوهروكي
GameUIPowerSkinEnergisingTotemChristmasTreeName,قوة مخصصة - شجرة عيد الميلاد تنشيط الطوطم
GameUIPowerSkinEnergisingTotemChristmasTreeShortName,تنشيط شجرة عيد الميلاد
GameUIPowerSkinEnergisingTotemChristmasTreeDescription,حافظ على قرودك نشطة مع شجرة عيد الميلاد الملونة هذه! عنصر جامعي الوقت المحدود!
GameUIPowerSkinDartTimeMatrixName,قوة مخصصة - توقف وقت دارت
GameUIPowerSkinDartTimeMatrixShortName,دارت تايم ستوب
GameUIPowerSkinDartTimeMatrixDescription,هذا ليس خللًا، لم تره من قبل ولكنك ستحبه، نعدك بذلك
GameUIMusicTrackMusicWinterChilledMixName,صندوق الموسيقى: ليالي الشتاء - ريمكس مبرد
GameUIMusicTrackMusicWinterChilledMixShortName,ليالي الشتاء مبردة
GameUIMusicTrackMusicWinterChilledMixDescription,هدئ أعصابك والعب وتأمل في نجوم الشتاء مع هذا الريمكس الجديد الرائع
Achievement 134 Name,ديفيد ضد جالوت
Achievement 134 Description,اربح معركة زعيم دون استخدام بطل
Achievement 135 Name,سو سبايسي نينجا كيواي
Achievement 135 Description,تغلب على جزر التوابل في جولات بالونالبديلة مع الأبراج الأرضية فقط
Achievement 136 Name,لا حصاد
Achievement 136 Description,تغلب على حقل الذرة على تشيمبس دون إزالة أي ذرة
Achievement 137 Name,القروض الطلابية
Achievement 137 Description,4 × 10^5 (انخرط في مبلغ 400000 دولار من الديون)
Achievement 138 Name,لا تفتقر إلى المعلومات الهامة
Achievement 138 Description,احصل على 25000 نتيجة حاسمة
GameRestartedTitle,إعادة تشغيل اللعبة في...
GameContinuedTitle,استمرار اللعبة
GameRestartedDescription,تمت إعادة تشغيل اللعبة من قبل لاعب آخر.
GameContinuedDescription,استمرت اللعبة من قبل لاعب آخر.
EditorAbilityCooldown,معدل تباطؤ القدرة
EditorRemovableCost,معدل التكلفة القابلة للإزالة
AbilityCooldownIncreased,تمت زيادة معدل تهدئة القدرة
AbilityCooldownDecreased,انخفض معدل تباطؤ القدرة
RemovableCostIncreased,زيادة التكلفة القابلة للإزالة
RemovableCostDecreased,انخفاض التكلفة القابلة للإزالة
Disabled,تم التعطيل
ViewStats,عرض احصائيات
CloseSlot,فتحة مغلقة
OpenSlot,فتحة مفتوحة
CalloutBossCrusher,ساحقة الزعيم
CalloutBossCrusherDesc,{0} من الضرر الذي يلحق بالزعيم
CalloutWellRounded,مدربة جيدًا
CalloutWellRoundedDesc,{0} من كل نوع من أنواع الأبراج الأربعة
CalloutEndlessPower,قوة لا نهاية لها!
CalloutEndlessPowerDesc,الدرجة {0} تم إنشاء النموذج
AnyGame,أي لعبه
AnyMap,أي خريطة
AnyDifficulty,أي صعوبة
AnyMode,أي وضع
DataConsentTitle,تمكين نقل البيانات
DataConsentBody,مرحبًا! نحن في نينجا كيواي نحتاج إلى استخدام معلومات اللعب الخاصة بك، بما في ذلك عنوان IP واسم جيم سنتر والتقدم في اللعب، لتمكينك من لعب أوديسيات و السباقات و الزعماء و التعاوني والأحداث الأخرى. (لن تعمل هذه بدون هذه البيانات.) هل هذا جيد؟
DataConsentAccepted,شكرًا! استمتع بلعب تلك الأحداث
DataConsentRejected,لا مشكلة. لن نستخدم معلومات اللعب الخاصة بك، لذلك سيتم تعطيل أوديسيات والسباقات والزعماء والتعاوني ومتصفح المحتوى. لا يزال بإمكانك لعب لاعب واحد ويمكنك مراجعة هذا الإعداد في أي وقت في قائمة الإعدادات.
DataConsentCurrent,نقل البيانات: {0}
DataConsentEnabled,تم التمكين
DataConsentDisabled,تم التعطيل
DataConsentReview,مراجعة
DataConsentYes,نعم
DataConsentNo,لا
BionicAugmentation,تكبير الكتروني
BionicAugmentationDescription,أثناء تنشيط الشحنة السريعة، تكون خشبة بيونيك المرتدة قادرة على استهداف البالونات المموهة.
XrayUltra,أشعة ألترا السينية
XrayUltraDescription,السماح للرؤية الخارقة للقرود الخارقين برؤية الأشياء وإطلاق النار من خلالها
BonusGlueGunner,رشاش غراء إضافي
BonusGlueGunnerDescription,ابدأ كل لعبة باستخدام لعبة رشاش الغراء واحدة مجانية! (برج قرود واحد مجاني لكل لعبة)
Achievement 139 Name,موقف حرج
Achievement 139 Description,لصق 500000 بالونة
Achievement 140 Name,منفق كبير
Achievement 140 Description,إنفاق 1000000 نقدًا في جولة واحدة
Achievement 141 Name,ذا ديلي ريد
Achievement 141 Description,اربح 365 تحديًا فريدًا من نوعه من التحديات اليومية
Achievement 142 Name,سأعود لاحقا
Achievement 142 Description,أنفق 1،000 من أموال القرود على استمرار أو نقاط التفتيش
PetSounds,أصوات الحيوانات الأليفة
UserID,معرف المستخدم
SunkenColumns,أعمدة غارقة
PsimbalsPsiSkinName,بسيمبالز
PsimbalsPsiSkinDescription,هل أنت مستعد لعرض؟!
HeroesStrikerJonesPetGermanShepherdName,المهاجم الأليف جونز من فصيلة جيرمان شيبرد
HeroesStrikerJonesPetGermanShepherdShortName,مهاجم جرو أليف
HeroesStrikerJonesPetGermanShepherdDescription,بالطبع المهاجم لديه كلب جيرمان شيبرد! يأخذ كلبًا قويًا للعب بألعاب تحمل على الكتف. المهاجم جونز الأصلي فقط
HeroesETnPlacementBeamDownName,الانتقال بشعاع ET-n إلى الأسفل والترقية
HeroesETnPlacementBeamDownShortName,الانتقال بشعاع ET-n إلى الأسفل
HeroesETnPlacementBeamDownDescription,لا اتصال هاتفي بالمنزل أو مبتهج هنا. يعتقد ET-n أنه من الأفضل استخدام أجهزة النقل عن بعد للقفز مباشرة إلى العمل أو إضافة لمسة مميزة إلى الترقيات. ET-n فقط
TowerPetHeliPilotHummingbirdName,طنان طائر المروحية الأليف
TowerPetHeliPilotHummingbirdShortName,طنان طائر المروحية الأليف
TowerPetHeliPilotHummingbirdDescription,طائر المروحية لديه بعض مهارات التحليق المجنونة، لكن هذا الطائر الطنان الأليف يظهر أن هناك دائمًا مجال للتحسين
TowerProjectileWizardZombiesName,بالونات زومبي الساحر لمستحضر الأرواح
TowerProjectileWizardZombiesShortName,بالونات نيكرو الساحر
TowerProjectileWizardZombiesDescription,"أخرجوا موتاكم! يشعر هذان النوعان بالونات نيكرو و بالونات من فئة منطاد ""موآب"" بالسعادة حيال جعل حجارة البالونات الغازية ميتة في لحظة."
BloonsAllBloonsDaisyChainName,بالونات سلسلة ديزي
BloonsAllBloonsDaisyChainShortName,بالونات سلسلة ديزي
BloonsAllBloonsDaisyChainDescription,حلقة حول روزي، جميع البالونات تعلوها بوضعية! احتفل بالربيع مع هذا الدائرة الزهرية على جميع بالونات العادية. عنصر جامعي الوقت المحدود!
BloonsBADSkinWhaleName,الحوت الشرير
BloonsBADSkinWhaleShortName,الحوت الشرير
BloonsBADSkinWhaleDescription,نميل إلى الاعتقاد بأن جميع الحيتان حيتان جيدة، لكن هذا الوحش الأرجواني ذو المظهر المحبوب هو بالتأكيد حوت شرير.
CoopEmoteAnimationObynPeaceName,رمز معبر عن سلام أوبين
CoopEmoteAnimationObynPeaceShortName,سلام أوبين
CoopEmoteAnimationObynPeaceDescription,اختيارك - قم بتقديم تحية تزين، أو اجعل الآخرين يخففون عن اللاعب 3، أو اعتذر عن التنشيط الخاص بك. سلام أوبين هو الجواب. عنصر جامعي الوقت المحدود!
CoopEmoteAnimationThinkingMonkeyName,رمز معبر عن قرد مستغرق في التفكير
CoopEmoteAnimationThinkingMonkeyShortName,قرد مستغرق في التفكير
CoopEmoteAnimationThinkingMonkeyDescription,القرد المفكر هو قرد جيد. يعمل عندما تفكر، أو عندما تتساءل عما كان يفكر فيه شخص آخر.
GameUIProfileAvatar56Name,أفاتار زهور ربيع الكاهن
GameUIProfileAvatar56ShortName,أفاتار ربيع الكاهن
GameUIProfileAvatar56Description,استحضِر سحر الربيع في أي وقت من السنة مع هذه الصورة الرمزية التأملية الجميلة للكاهن. عنصر جامعي الوقت المحدود!
GameUIProfileAvatar57Name,أفاتار القرد الغواص المستكشف
GameUIProfileAvatar57ShortName,أفاتار الغواص المستكشف
GameUIProfileAvatar57Description,لا يوجد منظر أفضل في الغواصة من أن يكون وجهك مضغوطًا بالكامل على الزجاج. امنح القرد الغواص بعض الحب مع صورة الأفاتار ذي العيون الواسعة.
GameUIProfileAvatar58Name,أفاتار فوتسي سنومان أيس كريم
GameUIProfileAvatar58ShortName,أفاتار فوتسي أيس كريم
GameUIProfileAvatar58Description,أنا أصرخ، أنت تصرخ، بات فروستي يحب الآيس كريم خاصته. من الواضح أنه أفضل صورة رمزية لأولئك منا الذين يقدرون الأشياء الدقيقة في الحياة.
GameUIPowerSkinRoadSpikesFlowerPatchName,قوة مخصصة - أشواك طريق مشتل الزهور
GameUIPowerSkinRoadSpikesFlowerPatchShortName,أشواك مشتل الزهور
GameUIPowerSkinRoadSpikesFlowerPatchDescription,من يقول أن أشواك الطريق يجب أن تبدو وكأنها مثبتات خشنة وصناعية؟ حاولت قطف هذه الزهور، تحصل على الأشواك!
GameUIPowerSkinMonkeyBoostSugarRushName,قوة مخصصة - داعم القرد المندفع نحو السكر
GameUIPowerSkinMonkeyBoostSugarRushShortName,داعم اندفاع السكر
GameUIPowerSkinMonkeyBoostSugarRushDescription,البشر: نعلم جميعًا أننا نعمل بشكل أفضل تحت تأثير الكميات الغزيرة من الذهول السكرية. القرود: ونحن كذلك
GameUIProfileBanner10Name,لافتة الملف الشخصي لدودل بريليانس
GameUIProfileBanner10ShortName,لافتة دودل بريليانس
GameUIProfileBanner10Description,أفاتار الفائز هو تشومبيباو
GameUIProfileBanner11Name,لافتة الملف الشخصي لأكرانوم نيكرومانسر
GameUIProfileBanner11ShortName,لافتة أكرانوم نيكرومانسر
GameUIProfileBanner11Description,أفاتار الفائز هو _كونسيليابل_
GameUIProfileBanner12Name,"لافتة ملف شخصي ""حماسية للغاية"""
GameUIProfileBanner12ShortName,"لافتة ""حماسية للغاية"""
GameUIProfileBanner12Description,النحل يطن على الأشجار ليصنع بعض العسل فقط من أجلي. عنصر جامعي الوقت المحدود!
FilterAll,الجميع
FilterHeroPlacementUpgrades,وضع مؤثرات خاصة
FilterHeroPets,حيوانات أليفة
FilterTowerPlacementUpgrades,المؤثرات الخاصة للترقية
FilterTowerPets,حيوانات أليفة
FilterProjectiles,مقذوفات
FilterFlags,أعلام
FilterPopFX,المؤثرات الخاصة للفرقعة!
FilterAllBloonSkins,مظاهر جميع البالونات
FilterRegularSkins,مظاهر البالونات
FilterMoabSkins,"مظاهر منطاد ""موآب"""
FilterStandardEmotes,رموز تعبيرية قياسية
FilterTextEmotes,رموز تعبيرية لعبارات
FilterSoundEmotes,رموز تعبيرية لأصوات
FilterFullScreenEmotes,رموز تعبيرية بملء الشاشة
FilterMusicTracks,مقطوعات موسيقية
FilterAvatars,أفاتارات
FilterPowerSkins,مظاهر القوة
FilterProfileBanners,لافتة للملف الشخصي
FilterMisc,متنوعة
Blast Chain Ability,سلسلة الانفجار
Blast Chain Ability Description,تنطلق ألغام البحر بشكل أسرع لفترة قصيرة
TowerSpecial,قرد مميز
Geraldo,جيرالدو
Geraldo Short Description,صاحب متجر صوفي
Geraldo Description,يبيع جيرالدو صاحب المتجر مجموعة مختارة من العناصر المفيدة وينطلق بالونات بهجوم البرق.
Geraldo Level 1 Description,القطع المتاحة! برج الرماية، كومة من المسامير القديمة، تمثال غريب، برطمان المخلل. لدى جيرالدو أيضًا هجوم سحري قصير المدى.
Geraldo Level 2 Description,عنصر جديد! المجسم النادر لشخصية كوينسي - تزداد القيمة كلما طالت مدة امتلاكك لها!
Geraldo Level 3 Description,عنصر جديد! انظر جرعة الاختفاء - تمنح اكتشاف التمويه قصير المدى لبرج القرد أو البطل. يزداد نطاق هجوم جيرالدو.
Geraldo Level 4 Description,عنصر جديد! أنبوب من أميز أوف جلو - يمكن وضعه على المسار لإبطاء البالونات.
Geraldo Level 5 Description,عنصر جديد! حجر الشحذ - تعزز ثقب برج القرود أو البطل عند القيام بأضرار من النوع الحاد. جيرالدو يهاجم بشكل أسرع.
Geraldo Level 6 Description,عنصر جديد! عباءة البطل البالية- تحول المستوى 2 أو قرد السهام السفلي إلى قرد خارق لا يمكن ترقية هذه القرود الخارقة المحولة إلا إلى المستوى 3.
Geraldo Level 7 Description,عنصر جديد! مصيدة الشفرات - عندما لمس بالون مرئي المصيدة، تنفجر دوامة الشفرات. يزيد هجوم جيرالدو الرئيسي من الضرر والاختراق.
Geraldo Level 8 Description,"عنصر جديد! زجاجة ""نيران جيري"" - 2.8 مليون وحدة بلوون فيل من صلصة حارة نقية! منح قرد أو بطل أو مينيون هجوم ناري لمدة 10 جولات."
Geraldo Level 9 Description,عنصر جديد! الأسمدة - مزارع الموز المستهدفة التي تنتج الموز المرئي تزيد الإنتاج وتحصل على مكافأة نقدية على عدة جولات. يزداد نصف قطر هجوم جيرالدو الرئيسي.
Geraldo Level 10 Description,عنصر جديد! أرنب أليف - آه يا له من أرنب لطيف ضعيف وصغير!
Geraldo Level 11 Description,عنصر جديد! مشروب الشباب - يعيد تعيين كل فترات الهدوء لبرج القرد والأبطال، ويعيد 50 حياة. يزداد اختراق الهجوم الرئيسي لـ جيرالدو، ويمنح برطمان المخلل ضررًا إضافيًا مقابل بالونات المحصنة.
Geraldo Level 12 Description,"عنصر جديد! زجاجة الجني - تستدعي قرد الجني الذي يعمل بالبلازما والذي يستمر لمدة 3 جولات. يمكن لكريبي أيدول الآن إطلاق صاعقة قصيرة بين الحين والآخر لتمرير البالونات من فئة منطاد ""موآب""."
Geraldo Level 13 Description,أبراج الحراسة تطلق  بشكل أسرع مع زيادة الضرر، كما تعمل كومة المسامير القديمة على زيادة الضرر.
Geraldo Level 14 Description,انظر جرعة الاختفاء تمنح نطاقًا إضافيًا وتستمر لفترة أطول.
Geraldo Level 15 Description,يزيد شحذ الحجر الآن من الضرر بالإضافة إلى الثقب، وتؤدي مصيدة الشفرات لتهيئة تأثيرًا أكثر قوة عند تشغيلها.
Geraldo Level 16 Description,تصبح بمثابة لغم أشواك، أما برطمان المخلل فيمنح ويمنح جرة المخللات ضررًا إضافيًا  مقابل البالونات المحصنة، وتكسب نيران جيري مكافأة إضافية للضرر الناتج عن الحروق.
Geraldo Level 17 Description,"يتسبب هجوم جيرالدو الرئيسي في مزيد من الضرر ولديه الآن لصقة غراء مذهلة تأثير ضئيل على بالونات من فئة ""موآب""."
Geraldo Level 18 Description,يكتسب الجنِّي هجومًا قريبًا ثانيًا ويحدث ضررًا إضافيًا لبالونات من فئة موآب. عندما تنتهي صلاحية تمثال غريب، فإنه يغطي بالونات من فئة موآب القريبة مع كفن غامض، مما يتسبب في ضرر عند ظهوره.
Geraldo Level 19 Description,تحسن هجوم جيرالدو الرئيسي بشكل كبير، وتكسب جرعة رؤية الأشياء غير المرئية ضررًا إضافيًا للبالونات المموهة.
Geraldo Level 20 Description,عنصر جديد! طوطم قدرة القدوة - يضيف قوة نموذجية إلى النموذج التالي الذي تم إنشاؤه. المتجر يجهز مجددًا بالكامل! هجوم جيرالدو الرئيسي يسبب المزيد من الضرر.
Geraldo Shop shortname,متجر
Geraldo Shop name,متجر جيرالدو
Shooty turret name,برج الحراسة
Shooty turret description,برج الرماية بالسهام مصنوع يدويًا بشكل دائم.
Stack of old nails name,كومة من المسامير القديمة
Stack of old nails description,نعم، إنها مجرد كومة من المسامير القديمة ولكن ضعها في أي مكان على المسار وستفرقع تلك البالونات الضالة بسهولة.
Creepy idol name,تمثال غريب
Creepy idol description,ضع هذا الصنم ذي المظهر المخيف بالقرب من المسار لإخافة بعض البالونات للعودة من حيث أتوا.
Jar of Pickles name,برطمان المخلل
Jar of Pickles description,جرب هذه المخللات على أحد أبراج القرود الخاصة بك وسوف تضرب بقوة أكبر، لكن أطلق النار بشكل أبطأ لفترة من الوقت.
Rare Quincy action figure name,نادر شخصية عمل كوينسي
Rare Quincy action figure description,إصدار محدود، حالة النعناع الأصلية، شخصية كوينسي، ابن كوينسي! هذا سيرتفع فقط من حيث القيمة، لذا قم بشرائه الآن!
See invisibility potion name,انظر جرعة الاختفاء
See invisibility potion description,أيًا كان القرد الذي تقدمه مع هذا الإكسير الرائع للغاية، فسيكون قادرًا على رؤية البالونات المموهة بسهولة! سوف تتلاشى التأثيرات.
Tube of amaz-o-glue name,أنبوب من Amaz-o-Glue
Tube of amaz-o-glue description,مدهش حقا! ضع أنبوبًا من هذه الأعجوبة الحديثة في أي مكان على المسار وشاهد المجموعة التالية من بالونات وهي تبطئ بسرعة. يدوم 4 جولات أو حتى ينفد.
Sharpening stone name,حجر شحذ
Sharpening stone description,شحذ تلك السهام يا صديقي! قم بتطبيق هذا على السهام والشفرات الخاصة بك وستكون أكثر حدة من أي وقت مضى. ينفد بعد 15 طلقة.
Worn heros cape name,يرتدي قبعة البطل
Worn heros cape description,كل الأبطال يرتدون الكاب! امنح هذا لأحد القرود النشابة الخاصة بك وشاهد التحول! حالة مستخدمة قليلاً، طبقات صغيرة فقط، أعني دموع.
Blade trap name,مصيدة الشفرات
Blade trap description,ضع هذا على المسار وشاهد أول بالونات يلمسه يتم تمزيقه بواسطة الشفرات الدوارة الرائعة!
Gerrys fire hot sauce name,"زجاجة من صلصة ""جيريز فاير"" الحارة"
Gerrys fire hot sauce description,2.8 مليون وحدة بلونفيل. من يتذوق هذه الصلصة الخاصة سوف يقذف النار لفترة من الوقت!
Fertilizer name,سماد عضوي
Fertilizer description,هل مزرعتك بها موز؟ هل تريد المزيد من الموز؟ رش هذا السماد السحري فائق القوة مباشرة على تلك المزرعة واحصل على المزيد من الموز الآن!
Pet rabbit name,أرنب أليف
Pet rabbit description,في بعض الأحيان كل ما تحتاجه هو حيوان أليف لطيف للغاية! أو عدة!
Rejuv potion name,مشروب تجديد الشباب
Rejuv potion description,قم بإسقاط هذا المشروب اللذيذ في أي مكان وشاهد قدراته المجددة لاستعادة الأرواح المفقودة وإعادة ضبط فترات التباطؤ.
Genie bottle name,زجاجة الجني
Genie bottle description,قم باستدعاء جني قرد من هذه الزجاجة الزرقاء الرائعة ولكن احذر، لن تدوم إلى الأبد! (لا توجد رغبات متضمنة مع الشراء).
Paragon power totem name,طوطم قوة الباراغون
Paragon power totem description,عزز قدرات باراغون خاصتك مع هذه التحفة الأثرية الغامضة ...
EventEndingSoonText,سينتهي هذا الحدث قريبًا، لذا تم تعطيل الدخول الآن.
EngineerMonkey Paragon,بنَّاء محترف
EngineerMonkey Paragon Description,تطورت هندسة القرد إلى الكمال. يقوم بإنشاء ثلاثة حراس ميجا يمكنهم بناء حراسهم الخاصين.
OptionsLogout,تسجيل خروج
ConfirmLogout,قم بتأكيد تسجيل الخروج
ConfirmLogoutDesc,هل أنت متأكد أنك تريد تسجيل الخروج من حسابك؟ إذا كان الأمر كذلك، فالرجاء ملاحظة تفاصيل حسابك ورمز الربط قبل القيام بذلك \n\n{0}
VortexTagLine,قادم من السماوات
VortexTagLine2,سيد الهواء القاتل
Vortex,دوامة
VortexInfoPanelDescription,• تتحرك الدوامة مثل البرق وتعمل على إسراع من البالونات الأخرى على طول!\n• عندما يتم الوصول إلى كل جمجمة شريط صحي، تحمي الدوامة نفسها وترسل موجة صدمة تصعق الأبراج المجاورة قبل التراجع عن المسار.\n• تصدر الدوامة نبضات عاصفة منتظمة، تدمير المقذوفات، بما في ذ
Scrapyard,ساحة للخردة
BloonsAllBloonsCatEarName,بالونات بأذن الأرنب
BloonsAllBloonsCatEarShortName,بالونات بأذن الأرنب
BloonsAllBloonsCatEarDescription,عادة لا تلتقي بالونات والقطط معًا بشكل جيد ولكن في هذه الحالة يكون الملاءمة مثالية.
BloonsAllBloonsDisguiseGlassesName,بالونات النظارة التنكرية
BloonsAllBloonsDisguiseGlassesShortName,بالونات النظارة التنكرية
BloonsAllBloonsDisguiseGlassesDescription,لا ينخدع بهذا التنكر سوى القرود. انتظر دقيقة...
CoopEmoteAnimationPatFlexName,رمز معبر لوطواط مرن
CoopEmoteAnimationPatFlexShortName,وطواط مرن
CoopEmoteAnimationPatFlexDescription,القوة والعقول، يا له من مزيج! وطواط قوي
CoopEmoteAnimationMindBlownName,عقل في مهب التعبيرات
CoopEmoteAnimationMindBlownShortName,طار برج من عقلي
CoopEmoteAnimationMindBlownDescription,عندما يفعل شريكك التعاوني شيئًا رائعًا بشكل لا يصدق، فإن هذا التعبير هو وحده الذي سيفعله!
GameUIProfileAvatar59Name,أفاتار القرد الخارق
GameUIProfileAvatar59ShortName,أفاتار القرد الخارق
GameUIProfileAvatar59Description,يمكنك أن ترى الحب في عينيه. الآن عليك فقط أن تقرر ما إذا كانت القرود الخارقة تنظر إليك أم هذا انعكاسها.
GameUIProfileAvatar60Name,أفاتار المهاجم جونز
GameUIProfileAvatar60ShortName,أفاتار المهاجم جونز
GameUIProfileAvatar60Description,المهاجم جونز يرفع تقاريره لأداء الواجب! أظهر استعدادك للفوز بتحية من قرد إطلاق كتفك المفضل.
GameUIProfileBanner13Name,لافتة ملف شخصي بالوصول
GameUIProfileBanner13ShortName,لافتة الوصول
GameUIProfileBanner13Description,أفاتار الفائز هو بيتابوتاتا
GameUIProfileBanner14Name,لافتة الملف الشخصي تحت المياه
GameUIProfileBanner14ShortName,لافتة تحت المياه
GameUIProfileBanner14Description,أفاتار الفائز هو سيليا
GameUIMusicTrackMusicSunshineFiestaMixName,صندوق الموسيقى: صن شاين سيريناد - فييستا ريمكس
GameUIMusicTrackMusicSunshineFiestaMixShortName,صن شاين - فييستا
GameUIMusicTrackMusicSunshineFiestaMixDescription,ارفع مستوى الصوت واستمتع بهذا المزيج الرائع من صن شاين سيريناد.
CantSubmitEventEnded,لا يمكن إرسال نتيجتك، لقد انتهى الحدث بالفعل.
CyberQuincySkinNameFull,سايبر كوينسي
ScientistGwendolinSkinNameFull,عالم جويندولين
SentaiCaptainChurchillSkinNameFull,تشرشل سينتاي
BikerBonesSkinNameFull,بايكر بونز
ObynOceanGuardianSkinNameFull,حارس المحيط
BenJamminSkinNameFull,بنيامين دي جيه
SmudgeCattSkinNameFull,سمدج كات
FustyTheSnowmanSkinNameFull,فوستي ذا سنومان
WolfpackQuincySkinNameFull,قطيع ذئاب كوينسي
JoanOfArcAdoraSkinNameFull,جوان أوف ارك أدورا
HarlegwenGwendolinSkinNameFull,هارلجوين
OctoJonesStrikerJonesSkinNameFull,أوكتوجونز
DreadPirateBrickellAdmiralBrickellSkinNameFull,بريكل القراصنة المخيف
ObynMountainGuardianSkinNameFull,حارس الجبل
SushiBentoBenjaminSkinNameFull,سوشي بينتو
ETnEtienneSkinNameFull,إتيان
VikingSaudaSaudaSkinNameFull,فايكنغ ساودا
GalaxiliEziliSkinNameFull,جلاكسيلي
PsimbalsPsiSkinNameFull,سيمبالز
Least Cash,النقود الأقل:
Least Tiers,المستويات الأقل:
Least Cash Used,استخدام النقد الأقل:
Least Tiers Used,أقل المستويات المستخدمة:
All Tiers Used,جميع المستويات المستخدمة
All Cash Used,جميع المبالغ النقدية المستخدمة
Tiers Used,المستويات المستخدمة
Cash Used,النقدية المستخدمة
No Score Set,لا توجد نقاط محددة
Auto,آلي
FriendScreenFriends,أصدقاء
FriendScreenRequests,الطلبات
FriendScreenYourFriendCode,كود صديقك:
FriendScreenOnline,متصل
FriendScreenOffline,غير متصل على الإنترنت
FriendScreenAccept,قبول
FriendScreenDecline,رفض
FriendScreenBlock,حجب
FriendScreenFriendText,سيعرض الأصدقاء هنا. شارك كود صديقك مع الأصدقاء والعائلة
RequestDisabledText,تم تعطيل الطلبات
FriendScreenEnterCode,أدخل رمز صديق:
FriendScreenAdd,إضافة
FriendScreenSureUnfriend,هل أنت متأكد أنك تريد إلغاء صداقة هذا المستخدم؟
FriendScreenSureBlock,هل أنت متأكد أنك تريد حظر هذا المستخدم؟
SpecialConditions,شروط خاصة
FriendScreenRequestText,سيتم عرض الطلبات هنا. شارك كود صديقك مع الأصدقاء والعائلة
FriendScreenCodeHidden,كود الصديق مخفي
RequestEnabledText,تم تمكين الطلبات
Least Cash No Colon,النقود الأقل
Least Tiers No Colon,المستويات الأقل
SpecialConditionsColon,شروط خاصة:
GoalSetForCash,تم تحديد الهدف بمبلغ {0} نقدًا
GoalSetForTiers,تم تحديد الهدف على {0} من المستويات
ChallengeCashUsed,لقد استخدمت {0} / {1} نقدًا
ChallengeTiersUsed,لقد استخدمت {0} / {1} من المستويات
ShootyTurret,برج الحراسة
CreepyIdol,تمثال غريب
RareQuincyActionFigure,نادر شخصية عمل كوينسي
GenieBottle,زجاجة الجني
ParagonPowerTotem,طوطم قوة الباراغون
FriendScreenErrorRequestFailed,فشل طلب الصداقة
FriendScreenErrorInvalidCode,كود صديق غير صالح
FriendScreenErrorBlocked,اللاعب الذي تحاول إضافته قد منع طلبات الصداقة، آسف!
FriendScreenErrorAlreadySent,لقد أرسلت بالفعل طلب صداقة إلى هذا اللاعب
FriendScreenErrorTooManyFriends,لقد وصلت إلى الحد الأقصى لعدد الأصدقاء. يمكنك إفساح المجال بإزالة صديق حالي أو إلغاء طلب صداقة قمت به
MapEditor,محرر الخرائط
Jar of Pickles description level 11,جرب هذه المخللات على أحد أبراج القرود الخاصة بك وسوف تضرب بقوة أكبر، لكن أطلق النار بشكل أبطأ لفترة من الوقت. الآن مع زيادة الأضرار التي لحقت بالونات المحصنة!
Creepy idol description level 12,ضع هذا التمثال ذي المظهر المخيف بالقرب من المسار لإخافة بعض البالونات والعودة من حيث أتوا.
Shooty turret description level 13,برج الرماية بالسهام مصنوع يدويًا بشكل دائم. تمت الترقية! حرائق أسرع وتسبب المزيد من الضرر.
Stack of old nails description level 13,نعم، إنها مجرد كومة كبيرة جدًا من المسامير القديمة ولكن ضعها في أي مكان على المسار وستفرق بسهولة تلك البالونات الضالة.
See invisibility potion description level 14,أيًا كان القرد الذي تقدمه مع هذا الإكسير الرائع للغاية، فسيكون قادرًا على رؤية البالونات المموهة بسهولة! سوف تتلاشى التأثيرات. يعطي الآن نطاقًا متزايدًا ويدوم لفترة أطول!
Sharpening stone description level 15,شحذ تلك السهام يا صديقي! يمكنك استعمال هذا مع السهام والشفرات الخاصة بك وستكون أكثر حدة وستحدث ضررًا أكثر من أي وقت مضى.
