//Input. Needs to be first e.g [I] replaced by click or tap,
Click,Tıkla
EditorReviewMap,Haritayı İncele
YourBestTime,En İyi Süren
Boss,Patron
MiniBoss,Mini Patron
NormalRewards,Normal Ödüller
EliteRewards,Elit Ödüller
1Player,1 Oyuncu
2Player,2 Oyuncu
3Player,3 Oyuncu
4Player,4 Oyuncu
BossLeaderboard,Patron Lider Tablosu
LeaderboardSubmissionFail,Lider Tablosuna Gönderilemiyor
SafeNameChallenge,{0} için Görev
SafeNameOdyssey,{0} için Yolculuk
BossEventEnded,Patron Etkinliği sona erdi!
RankedNormal,Sıralamalı Normal
RankedElite,Sıralamalı Elit
StartRankedBoss,Sıralamalı Patronu Başlat
MusicHaunted,Perili Ev
GameUIMusicTrackMusicHauntedName,Müzik Kutusu: Perili Ev
GameUIMusicTrackMusicHauntedShortName,Müzik Kutusu: Perili Ev
GameUIMusicTrackMusicHauntedDescription,Ürkütücü tempolar ve hayaletleri anımsatan ritimler bu parçayı Cadılar Bayramının veya gecenin geç saatlerindeki müzik oturumlarının olmazsa olmaz parçası yapıyor. Sınırlı Süreli Koleksiyoncu Eşyası!
NSCameraUsageDescription,Destek Biletleri için ekran görüntüleri
btd6_needmoremonkeymoneyprompt_no_iap,Yeterli Maymun Parası yok!
UseRacePassDescription,Bu Yarışa sınırsız giriş kazanmak için bir Yarış Pasosu kullanılsın mı?
RacePassActivated,Yarış Pasosu Etkinleştirildi
UseRacePassTitle,Yarış Pasosu kullanılsın mı?
Elite Best Time,Elit En İyi Süre
Normal Best Time,Normal En İyi Süre
NormalCursor,Normal İmleç
MayAffectPerformance,*Performansı Etkileyebilir
GameUIMusicTrackMusicOnslaughtName,Hücum
GameUIMusicTrackMusicOnslaughtShortName,Hücum
GameUIMusicTrackMusicOnslaughtDescription,Hücum Patron Parçası
SharingCoopBoss,Bloons TD 6’da patron oyunuma katıl!
EliteBossEvent,Elit Patron Etkinliği
NinjaMonkey Paragon,Yükselmiş Gölge
NinjaMonkey Paragon Description,Herhangi bir Bloon tehdidiyle baş etmek için eksiksiz bir suikastçı paketi.
Elite,Elit
HackGameStopMessage,Oyun değerleri eşitlenemiyor. Maalesef bu oyun devam edemez. Lütfen yeni bir oyun dene.
RankedMode,Sıralamalı Mod
Any,Herhangi
ScoreNotVerifiable,Skorun doğrulanamadığı için gönderilmedi.
NoBossDataYet,Mini Patron lider tablosuna katılmak için Patronu yen!
LeaderboardMessageMaxPlayers,En İyi 100 Oyuncu Gösteriliyor
ConfirmQuitCoopMessage,Şimdi ayrılırsan bu oyuna tekrar katılamazsın. Emin misin?
YouWereRemoved,Son oyununda iş birliği pozisyonun kapatıldı, tekrar katılamazsın.
iCloudLongMessage,"iCloud etkinleştirilmişse ve kullanılabilir durumdaysa kayıtların, yedekleme ve diğer cihazlardan erişim için otomatik olarak iCloud hesabında saklanır."
CreateNew,Yeni Oluştur
SlotX,Yuva {0}
EmptySlot,Boş Yuva
Delete,Sil
CreatedDate,Oluşturma Tarihi: {0}
LastSavedDate,Son Kayıt Tarihi: {0}
DeleteDescription,Bu kayıt dosyasını cihazından ve iCloud hesabından silmek istediğinden emin misin?
SaveSlots,Kayıt Yuvaları
LoadGame,Oyunu Yükle
DeleteDescriptionNotConnected,Bu kayıt dosyasını yerel depolama alanından silmek istediğinden emin misin?
icloudConflictMessage,iCloud ve cihazın üzerinde kayıtlı veriler birbirinden farklı. Lütfen saklamak için birini seç. Diğeri kalıcı olarak kullanım dışı bırakılacaktır.
GamecenterRestricted,Çok Oyunculu Kullanım Dışı – Bu cihaz üzerinde çok oyunculu oyunlar veya içerik oynama iznin yok.
DeviceOfflineMessage,Bu cihaz şu anda çevrimdışı. Var olan herhangi bir bulut kaydı kullanılamaz. Herhangi bir oyun ilerlemen kaydedilemeyebilir.
GamecenterLoginPrompt,"Erişmek için lütfen Game Center hesabında oturum aç. Cihaz Ayarlarını aç, Game Center’ı bul ve oturum aç."
GamecenterRestrictedTitle,Çok Oyunculu Erişimi Kısıtlanmış
GamecenterLoginTitle,Game Center hesabında oturum aç
QuietStreet,Sessiz Sokak
GalaxiliEziliSkinName,Galaxili Dış Görünümü
GalaxiliEziliSkinDescription,"Olduğumuz her şey, gördüğümüz her şey uzay tozundan yapılmıştır."
MonkeyBuccaneer Paragon,Donanma Kumandanı
MonkeyBuccaneer Paragon Description,Deniz yüzdürmek için gelmiş geçmiş en harika şey.
HeroesPsiPetBisonName,Psi Bizon Evcil Hayvan
HeroesPsiPetBisonShortName,Psi Bizon Evcil Hayvan
HeroesPsiPetBisonDescription,Psi’nin çok ama çok sevimli bulduğu çift toynaklı türün emsal niteliğindeki numunesi. Yalnızca Orijinal Psi 
TowerPropMonkeyVillageAustralianFlagName,Maymun Köyü Avustralya Bayrağı
TowerPropMonkeyVillageAustralianFlagShortName,Avustralya Köyü Bayrağı
TowerPropMonkeyVillageAustralianFlagDescription,"Avustralyalı, Avustralyalı, Avustralyalı, Selam, Selam, Selam! Bu Maymun Köyü bayrağı tüm yükseltmeleri gösterir"
TowerProjectileMortarSnowName,Havancı Maymun Kar Fırlatıcısı
TowerProjectileMortarSnowShortName,Havancı Kar Fırlatıcısı
TowerProjectileMortarSnowDescription,Bu muhteşem karlı Havancı Maymun Fırlatıcısı ile tüm kartopu savaşlarını kazan. Sınırlı Süreli Koleksiyoncu Eşyası!
TowerPetIceMonkeySnowmanName,Buz Maymunu Kardan Adam Evcil Hayvanı
TowerPetIceMonkeySnowmanShortName,Buz Maymunu Kar Evcil Hayvanı
TowerPetIceMonkeySnowmanDescription,Buz Maymunu Bloon’ları patlatmıyorken ne yapar? Tabii ki muhteşem kar evcil hayvanları oluşturur! Sınırlı Süreli Koleksiyoncu Eşyası!
BloonsDDTSkinSleighName,Kıyamet Kızağı DDT
BloonsDDTSkinSleighShortName,Kıyamet Kızağı DDT
BloonsDDTSkinSleighDescription,Haşmetli Kıyamet Kızağı ile bu Yılbaşı hediyeleri tarz şekilde dağıt! Sınırlı Süreli Koleksiyoncu Eşyası!
BloonsAllBloonsElfHatName,Elf Şapkalı Bloon’lar
BloonsAllBloonsElfHatShortName,Elf Şapkalı Bloon’lar
BloonsAllBloonsElfHatDescription,Mini minnacık elf şapkasını takınca her şey daha şirin! Sınırlı Süreli Koleksiyoncu Eşyası!
CoopEmoteAnimationBenCoolName,Harika Ben Emojisi
CoopEmoteAnimationBenCoolShortName,Harika Ben
CoopEmoteAnimationBenCoolDescription,"Ben gibi ol ve harika kal, harika yaşa"
CoopEmoteAnimationBikerBonesRageName,Biker Bones Hışmı Emojisi
CoopEmoteAnimationBikerBonesRageShortName,Biker Bones Hışmı
CoopEmoteAnimationBikerBonesRageDescription,Tapınağını inşa etmek için gerçekten tüm atıcılarımı feda mı ettin? Biker Bones HIŞŞŞMII!
GameUIProfileAvatar52Name,Özel Avatar - Bumerang
GameUIProfileAvatar52ShortName,Bumerang Avatarı
GameUIProfileAvatar52Description,Solak Bumerang en becerikli Bumerangtır!
GameUIProfileAvatar53Name,Özel Avatar - Korsan Yüzbaşı
GameUIProfileAvatar53ShortName,Korsan Yüzbaşı Avatarı
GameUIProfileAvatar53Description,"Hırr! Alabileceğin en iyi avatar ganimetleriyle diğer fırlama oyuncuları etkilemek istiyorsun, değil mi?"
GameUIProfileAvatar54Name,Özel Avatar - Geometrik Quincy
GameUIProfileAvatar54ShortName,Geometrik Quincy Avatarı
GameUIProfileAvatar54Description,"Ben Alfa ve Omegayım. Ben Quincy, daima hazırım"
GameUIProfileAvatar55Name,Özel Avatar - Yıldız Sınıfı Adora
GameUIProfileAvatar55ShortName,Yıldız Adora Avatarı
GameUIProfileAvatar55Description,"Ağaca son dokunuşlarda bulunması için başka kime güvenirdin? Pekâlâ, Adora ağacın yanına başka kimsenin yaklaşmasına izin vermez! Sınırlı Süreli Koleksiyoncu Eşyası!"
GameUIProfileBanner8Name,Uzaya Sıçrayış Profil Afişi
GameUIProfileBanner8ShortName,Uzaya Sıçrayış Afişi
GameUIProfileBanner8Description,"Galaksyz, Afiş galibi"
GameUIProfileBanner9Name,Yüzünü Güneşe Dön Profil Afişi
GameUIProfileBanner9ShortName,Yüzünü Güneşe Dön Afişi
GameUIProfileBanner9Description,"Bohrokki, Afiş galibi"
GameUIPowerSkinEnergisingTotemChristmasTreeName,Özel Güç - Yılbaşı Ağacı Enerji Verici Totemi
GameUIPowerSkinEnergisingTotemChristmasTreeShortName,Enerjiyle Dolu Yılbaşı Ağacı
GameUIPowerSkinEnergisingTotemChristmasTreeDescription,Bu rengârenk Yılbaşı Ağacı ile maymunlarını enerji dolu kıl! Sınırlı Süreli Koleksiyoncu Eşyası!
GameUIPowerSkinDartTimeMatrixName,Özel Güç - Ok Zaman Durdurma
GameUIPowerSkinDartTimeMatrixShortName,Ok Zaman Durdurma
GameUIPowerSkinDartTimeMatrixDescription,"Bu bir hata değil, bunu daha önce görmedin ama hoşuna gidecek; söz veriyoruz"
GameUIMusicTrackMusicWinterChilledMixName,Müzik Kutusu: Winter Nights - Sakin Remiks
GameUIMusicTrackMusicWinterChilledMixShortName,Winter Nights Sakin
GameUIMusicTrackMusicWinterChilledMixDescription,"Bu harika yeni remiksle rahatla, oyna ve kış yıldızlarını hayal et"
Achievement 134 Name,Davids karşısında Goliath
Achievement 134 Description,Bir Kahraman kullanmadan bir patron savaşını kazan
Achievement 135 Name,Çok Espriliiii Ninja Kiwi
Achievement 135 Description,Yalnızca kara atıcılarıyla Bloon Turlarını Değiştir üzerindeki Baharat Adalarını kazan
Achievement 136 Name,Hasat Yok
Achievement 136 Description,Hiçbir mısırı kaldırmadan CHIMP üzerindeki Mısır Tarlasını kazan
Achievement 137 Name,Öğrenci Kredileri
Achievement 137 Description,4 x 10^5 (400.000 dolar borca gir)
Achievement 138 Name,Kritik Bilgiler Eksik Değil
Achievement 138 Description,25.000 Kritik vuruş kazan
GameRestartedTitle,Oyun Yeniden Başlatıldı
GameContinuedTitle,Oyun Devam Ettirildi
GameRestartedDescription,Oyun başka bir oyuncu tarafından yeniden başlatıldı.
GameContinuedDescription,Oyun başka bir oyuncu tarafından devam ettirildi.
EditorAbilityCooldown,Yetenek Gecikme Süresi Oranı
EditorRemovableCost,Taşınabilir Maliyeti Oranı
AbilityCooldownIncreased,Yetenek Gecikme Süresi Oranı Artırıldı
AbilityCooldownDecreased,Yetenek Gecikme Süresi Oranı Azaltıldı
RemovableCostIncreased,Taşınabilir Maliyeti Artırıldı
RemovableCostDecreased,Taşınabilir Maliyeti Azaltıldı
Disabled,Devre Dışı
ViewStats,İstatistikleri Göster
CloseSlot,Yuvayı Kapat
OpenSlot,Yuvayı Aç
CalloutBossCrusher,Patron Parçalayıcı
CalloutBossCrusherDesc,Patrona {0} Hasar
CalloutWellRounded,Çok Yönlü
CalloutWellRoundedDesc,4 atıcı türünün her birinden {0} adet
CalloutEndlessPower,Sınırsız Güç!
CalloutEndlessPowerDesc,{0}. Derece Gözcü oluşturuldu
AnyGame,Herhangi Bir Oyun
AnyMap,Herhangi Bir Harita
AnyDifficulty,Herhangi Bir Zorluk
AnyMode,Herhangi Bir Mod
DataConsentTitle,Veri Aktarımını Etkinleştir
DataConsentBody,"Merhaba! Yolculukları, Yarışları, Patronları, İş Birliğini ve diğer Etkinlikleri oynamanı sağlayabilmemiz için Ninja Kiwi ekibi olarak; IP adresi, Game Center adı ve oyun deneyimi ilerlemesi dahil, oyun deneyimine ilişkin bilgileri kullanmamız gerekir. (Bu etkinlikler söz konusu bilgiler olmadan çalışmaz.) Bu senin için uygun mu?"
DataConsentAccepted,Teşekkürler! Bu etkinliklerin tadını çıkar
DataConsentRejected,"Sorun değil. Oyun deneyimine ilişkin bilgileri kullanmayız; böylece Yolculuklar, Yarışlar, Patronlar, İş Birliği ve İçerik Tarayıcısı devre dışı bırakılır. Yine Tek Oyunculu oyun oynayabilir ve Ayarlar menüsünden istediğin zaman bu ayarı değiştirebilirsin."
DataConsentCurrent,Veri Aktarımı: {0}
DataConsentEnabled,Etkin
DataConsentDisabled,Devre Dışı
DataConsentReview,İncele
DataConsentYes,Evet
DataConsentNo,Hayır
BionicAugmentation,Biyonik Büyüme
BionicAugmentationDescription,"Turbo Yük etkinken, Biyonik Bumerang, Kamuflajlı Bloon’ları hedefleyebilir."
XrayUltra,X-ışını Ultra
XrayUltraDescription,"Ultravizyon, Süper Maymunların engelleyen nesnelerin içinden görmesine ve atış yapabilmesine olanak tanır."
BonusGlueGunner,Bonus Yapışkan Nişancı
BonusGlueGunnerDescription,Her oyuna 1 ücretsiz Yapışkan Nişancı ile başla! (Oyun başına yalnızca 1 ücretsiz Maymun Atıcı)
Achievement 139 Name,Yapışkan Durum
Achievement 139 Description,500.000 Bloon’u yapışkanla
Achievement 140 Name,Savurgan
Achievement 140 Description,Tek turda 1.000.000 nakit harca
Achievement 141 Name,Günlük Reid
Achievement 141 Description,365 benzersiz günlük görev kazan
Achievement 142 Name,Geri Döneceğim
Achievement 142 Description,Devam veya Kontrol Noktaları için 1000 MP harca
PetSounds,Evcil Hayvan Sesleri
UserID,Kullanıcı Kimliği
SunkenColumns,Batık Sütunlar
PsimbalsPsiSkinName,Psimbals Dış Görünümü
PsimbalsPsiSkinDescription,Bir gösteriye hazır mısın?!
HeroesStrikerJonesPetGermanShepherdName,Vurucu Jones Alman Çobanı Evcil Hayvanı
HeroesStrikerJonesPetGermanShepherdShortName,Striker Köpek Evcil Hayvanı
HeroesStrikerJonesPetGermanShepherdDescription,Tabii ki Striker’ın Alman Çoban Köpeği var! Omuzdan atılan oyuncakları gidip getirmeli oyunlar için güçlü bir köpek alır. Yalnızca Orijinal Vurucu Jones
HeroesETnPlacementBeamDownName,ET-n Işınlama Yeri ve Yükseltmesi
HeroesETnPlacementBeamDownShortName,ET-n Işınlama
HeroesETnPlacementBeamDownDescription,"Buradan evi aramak veya ışınlanmak yok. ET-n, ışınlayıcıların harekete geçmede veya yükseltmelere muhteşem bir kabiliyet eklemede kullanılmasının daha iyi olduğunu düşünüyor. Yalnızca ET-n"
TowerPetHeliPilotHummingbirdName,Helikopter Pilotu Sinek Kuşu Evcil Hayvanı
TowerPetHeliPilotHummingbirdShortName,Helikopter Pilotu Sinek Kuşu Evcil Hayvanı
TowerPetHeliPilotHummingbirdDescription,"Helikopter Pilotunun bazı çılgın havada durma becerileri var ama bu güzel sinek kuşu evcil hayvanı, her zaman gelişime yer olduğunu gösteriyor"
TowerProjectileWizardZombiesName,Büyücü Sihirbaz Zombi Bloon’lar
TowerProjectileWizardZombiesShortName,Büyücü Sihirbaz Bloon’lar
TowerProjectileWizardZombiesDescription,"Ölünü ortaya çıkar! Bu büyücü Bloon’lar ve MOAB Sınıfı Bloon’lar, istilacı Bloon’ları anında yok etmekten mutluluk duyuyor."
BloonsAllBloonsDaisyChainName,Papatya Dizimli Bloon’lar
BloonsAllBloonsDaisyChainShortName,Papatya Dizimli Bloon’lar
BloonsAllBloonsDaisyChainDescription,Tüm Bloon’ları güzel çiçeklerle kapla! Bu çiçekli halkayı tüm normal Bloon’lar üzerinde uygulayarak Baharı kutla. Sınırlı Süreli Koleksiyoncu Eşyası!
BloonsBADSkinWhaleName,BAD Balina
BloonsBADSkinWhaleShortName,BAD Balina
BloonsBADSkinWhaleDescription,"Tüm balinaların iyi balinalar olduğunu düşünürdük ama bu sevimli görünüşlü macenta yaratık kesinlikle kötü, yani BAD balina."
CoopEmoteAnimationObynPeaceName,Obyn Barış Emojisi
CoopEmoteAnimationObynPeaceShortName,Obyn Barış
CoopEmoteAnimationObynPeaceDescription,"Sen seç; bir zen selamı ver, diğerlerinin Oyuncu 3’e baskılarını azalt veya etkinleşmiş becerilerini mahvettiğin için özür dile. Obyn Barış cevaptır. Sınırlı Süreli Koleksiyoncu Eşyası!"
CoopEmoteAnimationThinkingMonkeyName,Düşünen Maymun Emojisi
CoopEmoteAnimationThinkingMonkeyShortName,Düşünen Maymun
CoopEmoteAnimationThinkingMonkeyDescription,Düşünen Maymun iyi bir maymundur. Sen düşünürken veya bir başkasının ne haltlar düşündüğünü merak ettiğinde çalışır.
GameUIProfileAvatar56Name,Medyum Bahar Çiçekleri Avatarı
GameUIProfileAvatar56ShortName,Medyum Bahar Avatarı
GameUIProfileAvatar56Description,"Bu güzel, düşünceli Medyum avatarı ile yılın herhangi bir zamanında Baharın sihrini uyandır. Sınırlı Süreli Koleksiyoncu Eşyası!"
GameUIProfileAvatar57Name,Kâşif Maymun Denizaltı Avatarı
GameUIProfileAvatar57ShortName,Kâşif Denizaltı Avatarı
GameUIProfileAvatar57Description,"Bir denizaltıda, tüm yüzünün cama yaslanmış olduğu bir manzaradan daha güzeli yoktur. Bu gözleri fal taşı gibi açılmış avatarla Denizaltıya biraz sevgi ver."
GameUIProfileAvatar58Name,Fusty Kardan Adam Dondurma Avatarı
GameUIProfileAvatar58ShortName,Fusty Dondurma Avatarı
GameUIProfileAvatar58Description,"Ben donmayayım, sen donma, Pat Frosty sever dondurma. Hayatta daha güzel şeyleri takdir edenlerimiz için kesinlikle en iyi avatar."
GameUIPowerSkinRoadSpikesFlowerPatchName,Özel Güç - Çiçek Yamalı Yol Çivileri
GameUIPowerSkinRoadSpikesFlowerPatchShortName,Çiçek Yamalı Çiviler
GameUIPowerSkinRoadSpikesFlowerPatchDescription,"Kim demiş Yol Çivilerinin sert, endüstriyel raptiyeler gibi görünmesi gerekiyor diye? Bu çiçekleri koparmaya çalışırsan dikenlerine katlanırsın!"
GameUIPowerSkinMonkeyBoostSugarRushName,Özel Güç - Şekere Hücum Maymun Desteği
GameUIPowerSkinMonkeyBoostSugarRushShortName,Şekere Hücum Desteği
GameUIPowerSkinMonkeyBoostSugarRushDescription,İnsanlar: hepimiz bol miktarda şeker muhteşemliğinin etkisiyle daha iyi performans gösterdiğimizi biliyoruz. Maymunlar: aynı.
GameUIProfileBanner10Name,Karalama Muhteşemliği Profil Afişi
GameUIProfileBanner10ShortName,Karalama Muhteşemliği Afişi
GameUIProfileBanner10Description,"chompypaw, Afiş galibi"
GameUIProfileBanner11Name,İksir Büyücüsü Profil Afişi
GameUIProfileBanner11ShortName,İksir Büyücüsü Afişi
GameUIProfileBanner11Description,"_Concilliabule_, Afiş galibi"
GameUIProfileBanner12Name,Çok Vızıltılı Profil Afişi
GameUIProfileBanner12ShortName,Çok Vızıltılı Afişi
GameUIProfileBanner12Description,Arılar sadece bana bal yapmak için ağaçlarda vızıldıyor. Sınırlı Süreli Koleksiyoncu Eşyası!
FilterAll,Tümü
FilterHeroPlacementUpgrades,Yerleştirme Efekti
FilterHeroPets,Evcil Hayvanlar
FilterTowerPlacementUpgrades,Yükseltme Efekti
FilterTowerPets,Evcil Hayvanlar
FilterProjectiles,Fırlatıcılar
FilterFlags,Bayraklar
FilterPopFX,Patlatma Efekti
FilterAllBloonSkins,Tüm Bloon Dış Görünümleri
FilterRegularSkins,Bloon Dış Görünümleri
FilterMoabSkins,MOAB Dış Görünümleri
FilterStandardEmotes,Standart Emojiler
FilterTextEmotes,Metin Emojileri
FilterSoundEmotes,Ses Emojileri
FilterFullScreenEmotes,Tam Ekran Emojiler
FilterMusicTracks,Müzik Parçaları
FilterAvatars,Avatarlar
FilterPowerSkins,Güç Dış Görünümleri
FilterProfileBanners,Profil Afişleri
FilterMisc,Çeşitli
Blast Chain Ability,Patlama Zinciri
Blast Chain Ability Description,Kısa süre için deniz mayınları daha hızlı ateşlenir
TowerSpecial,Maymun Özel
Geraldo,Geraldo
Geraldo Short Description,Mistik Esnaf
Geraldo Description,"Esnaf Geraldo, yararlı eşya seçenekleri satar ve yıldırım saldırısıyla Bloon’ları yok eder."
Geraldo Level 1 Description,"Mevcut Eşyalar! Vurucu Taret, Bir Yığın Eski Çivi, Ürpertici İdol, Turşu Kavanozu. Geraldo’nun kısa menzil sihir saldırısı da vardır."
Geraldo Level 2 Description,Yeni Eşya! Nadir Quincy Koleksiyon Figürü - Sahip olduğun süre uzadıkça değeri artar!
Geraldo Level 3 Description,Yeni Eşya! Görünmezliği Gör İksiri - Bir Maymun Atıcıya veya Kahramana kısa süreli kamuflajlı tespiti kazandırır. Geraldo’nun saldırı menzili artar.
Geraldo Level 4 Description,Yeni Eşya! İnanılmaz Yapışkan Tüpü - Bloon’ları yavaşlatmak için parkura yerleştirilebilir.
Geraldo Level 5 Description,Yeni Eşya! Biley Taşı - keskin türde hasar verirken bir Maymun Atıcının veya Kahramanın delme yeteneğini artırır. Geraldo daha hızlı saldırır.
Geraldo Level 6 Description,"Yeni Eşya! Kullanılmış Kahraman Pelerini - 2. Kademe veya daha düşük bir Okçu Maymunu, Süper Maymuna dönüştürür! Bu dönüşmüş Süper Maymunlar yalnızca 3. Kademeye yükseltilebilir. "
Geraldo Level 7 Description,"Yeni Eşya! Bıçak Tuzağı - görünür bir Bloon, tuzağa değdiğinde bir Bıçak Girdabı oluşur. Geraldo’nun ana saldırısında hasar ve delme artar."
Geraldo Level 8 Description,"Yeni Eşya! Gerry’nin Ateşi Şişesi - 2,8 milyon Bloonvil birimi, saf acı sos ateşi! Bir Maymuna, Kahramana veya yardakçıya 10 tur boyunca şiddetli saldırı sağlar."
Geraldo Level 9 Description,"Yeni Eşya! Gübre - görünür muzlar üreten, hedeflenen Muz Çiftliklerinin üretimi artar ve birkaç tur boyunca nakit bonusu kazanır. Geraldo’nun ana saldırısının patlatma yarıçapı artar."
Geraldo Level 10 Description,"Yeni Eşya! Evcil Hayvan Tavşan - ooo ne de tatlı, kıpır kıpır bir tavşancık!"
Geraldo Level 11 Description,"Yeni Eşya! Yenilenme İksiri - tüm Maymun Atıcılarını ve Kahraman gecikme sürelerini sıfırlar, 50 can geri yükler. Geraldo’nun ana saldırısında delme artar ve Turşu Kavanozu, Güçlendirilmiş Bloon’lar karşısında bonus hasar kazandırır."
Geraldo Level 12 Description,Yeni Eşya! Peri Şişesi - Plazma ile çalışan bir Peri Maymun çağırır ve 2 tur boyunca sürer. Ürpertici İdol artık görünür geçen MOAB Sınıfı Bloon’lara rastgele bir kısa sersemletme uygular.
Geraldo Level 13 Description,"Vurucu Taret, yüksek hasar ile daha hızlı atış yapar ve Bir Yığın Eski Çivi daha fazla hasar verir."
Geraldo Level 14 Description,Görünmezliği Gör İksiri ek menzil kazandırır ve daha uzun sürer.
Geraldo Level 15 Description,Biley Taşının artık delmeye ek olarak verdiği hasar da artar ve Bıçak Tuzağı tetiklendiğinde daha güçlü bir etki oluşturur.
Geraldo Level 16 Description,"Bir Yığın Eski Çivi, Çivi Madenine dönüşür. Turşu Kavanozu Güçlendirilmiş Bloon’lar karşısında ek bonus hasar kazandırır ve Gerry’nin Ateşi bonus yanıcı hasar sağlar."
Geraldo Level 17 Description,Geraldo’nun ana saldırısı daha fazla hasar verir ve İnanılmaz Yapışkanın MOAB Sınıfı Bloon’lar üzerinde artık küçük bir etkisi vardır.
Geraldo Level 18 Description,"Peri, ikinci yakın hedefli saldırıyı kazanır ve MOAB Sınıfı Bloon’lara bonus hasar verir. Ürpertici İdol sona erdiğinde, yakındaki MOAB Sınıfı Bloon’ları, patlatıldığında hasar veren bir Mistik Örtü ile kaplar."
Geraldo Level 19 Description,"Geraldo’nun ana saldırısı oldukça gelişir ve Görünmezliği Gör İksiri, Kamuflajlı Bloon’lara bonus hasar kazandırır."
Geraldo Level 20 Description,Yeni Eşya! Gözcü Gücü Totemi - oluşturulan bir sonraki gözcüye gözcü gücü ekler. Mağaza yeniden stokluyor! Geraldo’nun ana saldırısı daha fazla hasar verir.
Geraldo Shop shortname,Mağaza
Geraldo Shop name,Geraldo’nun Mağazası
Shooty turret name,Vurucu Taret
Shooty turret description,"Sabit, el yapımı ok fırlatan taret."
Stack of old nails name,Bir Yığın Eski Çivi
Stack of old nails description,"Evet, sadece bir yığın eski çivi ama onları parkurun herhangi bir yerine yerleştirdiğinde başıboş gezen Bloon’ları kolayca patlatırlar."
Creepy idol name,Ürpertici İdol
Creepy idol description,Birkaç Bloon’u korkutup geldikleri yere geri göndermek için bu ürkünç görünümlü idolü parkurun yakınına yerleştir.
Jar of Pickles name,Turşu Kavanozu
Jar of Pickles description,Bu turşuları Maymun Atıcılarından birinde denediğinde daha sert vuruş yapacaktır ama bir süre daha yavaş atış yap.
Rare Quincy action figure name,Nadir Quincy Koleksiyon Figürü
Rare Quincy action figure description,"Sınırlı sürüm, çok iyi durumda, orijinal Quincy, Quincy’nin Oğlu koleksiyon figürü! Bunun değeri gittikçe artar; bu yüzden hemen al!"
See invisibility potion name,Görünmezliği Gör İksiri
See invisibility potion description,Bu son derece tesirli iksiri hediye ettiğin Maymun Kamuflajlı Bloon’ları kolayca görebilir! Etkiler kaybolur.
Tube of amaz-o-glue name,İnanılmaz Yapışkan Tüpü
Tube of amaz-o-glue description,Gerçekten muhteşem! Parkurun herhangi bir yerinde bu modern mucizeden bir tüp uygulayıp bir sonraki Bloon grubunun yavaşlamasını izle. 4 tur veya kullanılana kadar sürer.
Sharpening stone name,Biley Taşı
Sharpening stone description,"Şu okları keskinleştir, dostum! Bunu oklarına ve bıçaklarına uygula ve her zamankinden daha keskin olsunlar. 15 tur sonra süresi geçer."
Worn heros cape name,Kullanılmış Kahraman Pelerini
Worn heros cape description,"Tüm kahramanlar pelerin giyer! Bunu Okçu Maymunlarından birine verip dönüşümü izle! Biraz kullanılmış, sadece ufak kademeler, ee, yani ufak kademeli yırtıklar demek istedim."
Blade trap name,Bıçak Tuzağı
Blade trap description,Bunu parkura yerleştirip ona dokunan ilk Bloon’ların büyük dönen bıçaklar tarafından parçalanışını izle!
Gerrys fire hot sauce name,Gerry’nin Ateşi Acı Sos Şişesi
Gerrys fire hot sauce description,"2,8 milyon Bloonvil birimi. Bu özel sosun tadına bakan bir süreliğine ateş püskürtür!"
Fertilizer name,Gübre
Fertilizer description,Çiftliğinde muzlar var mı? Daha fazla muz ister misin? Bu ekstra güçlü sihirli gübreyi doğrudan şu çiftliğe serpiştir ve şimdi daha fazla muz topla!
Pet rabbit name,Evcil Hayvan Tavşan
Pet rabbit description,Bazen ihtiyacın olan tek şey süper sevimli bir minik tavşan evcil hayvandır! Ya da birkaç!
Rejuv potion name,Yenilenme İksiri
Rejuv potion description,"Bu lezzetli içeceği herhangi bir yere damlatıp yenileyici gücünün, kaybolan canları geri yüklemesini ve yetenek gecikme sürelerini sıfırlamasını izle."
Genie bottle name,Peri Şişesi
Genie bottle description,"Bu parlak mavi şişeden bir Peri Maymun çağır ama dikkatli ol, bu sonsuza dek sürmez! (Dilekler satın alma işlemine dahil değildir)."
Paragon power totem name,Gözcü Gücü Totemi
Paragon power totem description,Bu mistik artifakt ile bir sonraki Gözcünün güçlerini artır...
EventEndingSoonText,Bu etkinlik yakında sona eriyor, bu nedenle şu anda giriş devre dışı bırakıldı.
EngineerMonkey Paragon,Usta İnşaatçı
EngineerMonkey Paragon Description,Maymun mühendisliği mükemmelliğe erişti. Kendi gözcülerini oluşturabilen üç Mega Gözcü yaratır.
OptionsLogout,Oturumu Kapat
ConfirmLogout,Oturum Kapatmayı Onayla
ConfirmLogoutDesc,Hesabının oturumunu kapatmak istediğinden emin misin? Eminsen işlem yapmadan önce lütfen hesap bilgilerini ve bağlantı kodunu not et.\n\n{0}
VortexTagLine,Göklerden gelir
VortexTagLine2,Havanın Ölümcül Ustası
Vortex,Girdap
VortexInfoPanelDescription,"• Girdap yıldırım gibi hareket eder ve diğer Bloon’ları da beraberinde hızlandırır!\n• Her bir sağlık çubuğu kafatasına ulaşıldığında, Girdap kendini kalkana alır ve parkurdan çekilmeden önce yakındaki Atıcıları sersemleten bir şok dalgası gönderir.\n• Girdap, düzenli bir fırtına darbesi yayarak parkurda Güç üretmeyenler dahil, fırlatıcıları yok eder."
