//Input. Needs to be first e.g [I] replaced by click or tap,
Click,點擊
Psi Level 19 Description,毀滅共鳴的破壞力增强了很多很多。
Psi Level 20 Description,靈能尖嘯不再擾亂氣球。
Sanctuary,聖殿
ft_monkeyteamstitle,猴子小隊
ft_monkeyteamsdescription,賺取額外獎勵猴幣！選擇任意英雄，並且僅使用選擇的猴子來完成此地圖即可獲得額外獎勵的猴幣！難度越高，獎勵的猴幣越多。
ModderWarningPopup,發現修改過的游戲用戶端。可能無法使用一些游戲模式。
ModdedClient,修改過的用戶端
Achievement 117 Name,成就達人
Achievement 117 Description,收集 35 項成就
Achievement 118 Name,魚鈎、綫和墜子
Achievement 118 Description,使用MOAB追擊技能消滅3000個MOAB級氣球
Achievement 119 Name,移動建築
Achievement 119 Description,使用支援奇努克重新部署 1000 座猴子塔
Achievement 120 Name,交際花
Achievement 120 Description,在組隊游戲中使用表情 100 次
Achievement 121 Name,如此閃亮！
Achievement 121 Description,擊破 20 個黃金氣球
Achievement 122 Name,閃閃發光的黃金
Achievement 122 Description,擊破 100 個黃金氣球
Achievement 123 Name,光輝燦爛的黃金
Achievement 123 Description,擊破 500 個黃金氣球
Achievement 124 Name,有魔力的黃金
Achievement 124 Description,在僅限魔法猴子模式中擊破 50 個黃金氣球
Achievement 125 Name,團隊合作高手
Achievement 125 Description,使用猴子小隊獲勝 25 次
Achievement 126 Name,隊長
Achievement 126 Description,使用猴子小隊獲勝 50 次
Achievement 127 Name,終極配合
Achievement 127 Description,使用猴子小隊獲勝 100 次
HeroesEtiennePetRoombaName,埃蒂安掃地機器人寵物
HeroesEtiennePetRoombaShortName,埃蒂安掃地機器人寵物
HeroesEtiennePetRoombaDescription,我們真不知道埃蒂安更喜歡掃地機器人還是貓。二者不可分割。僅限初始埃蒂安
HeroesEziliPlacementGlyphName,艾茲利象形文字放置
HeroesEziliPlacementGlyphShortName,艾茲利象形文字
HeroesEziliPlacementGlyphDescription,讓我離開這裏！僅限初始艾茲利
TowerPropMonkeyVillageNZFlagName,猴村紐西蘭旗
TowerPropMonkeyVillageNZFlagShortName,猴村紐西蘭旗
TowerPropMonkeyVillageNZFlagDescription,讓太陽神守護我們的自由土地和猴村免遭氣球攻擊！顯示所有升級
TowerPropMonkeyVillageScotlandFlagName,猴村蘇格蘭旗
TowerPropMonkeyVillageScotlandFlagShortName,猴村蘇格蘭旗
TowerPropMonkeyVillageScotlandFlagDescription,升起這面猴村旗，宣告自由。顯示所有升級。
TowerPropMonkeyVillageBananaFlagName,猴村香蕉旗
TowerPropMonkeyVillageBananaFlagShortName,猴村香蕉旗
TowerPropMonkeyVillageBananaFlagDescription,通過猴村旗驕傲地展示每一隻猴子最愛的水果 - 香蕉。顯示所有升級
TowerEffectAllMonkeysPlacementUpgradesFireworksName,煙火放置和升級效果
TowerEffectAllMonkeysPlacementUpgradesFireworksShortName,煙火升級特效
TowerEffectAllMonkeysPlacementUpgradesFireworksDescription,用這種很棒的煙火顯示效果慶祝每一隻新猴子和每一次升級！限時收藏家物品！
TowerProjectileWizardMonkeyFireworksName,巫師煙火
TowerProjectileWizardMonkeyFireworksShortName,巫師煙火
TowerProjectileWizardMonkeyFireworksDescription,引導你内心的甘道夫，給與你的巫師猴這些酷炫的煙火！限時收藏家物品！
BloonsAllBloonsBeardsName,鬍子氣球
BloonsAllBloonsBeardsShortName,鬍子氣球
BloonsAllBloonsBeardsDescription,俗稱主美鬍子，這款時髦的鬍子不容錯過
BloonsAllMOABSepiaName,老派MOAB級氣球
BloonsAllMOABSepiaShortName,老派MOAB
BloonsAllMOABSepiaDescription,千萬不要改變你的設定，這些MOAB級氣球就喜歡老派作風
CoopEmoteAnimationTumbleweedName,風滾草動畫
CoopEmoteAnimationTumbleweedShortName,風滾草
CoopEmoteAnimationTumbleweedDescription,搭配蟋蟀聲效，達到最大效果！
CoopEmoteIconSkullAndCrossbonesName,骷髏旗表情
CoopEmoteIconSkullAndCrossbonesShortName,骷髏旗
CoopEmoteIconSkullAndCrossbonesDescription,用這種令人恐懼的表情警告即將發生的危險，或者表示你對所有骨頭狀東西的喜愛
CoopEmoteTextActivateName,激活！表情
CoopEmoteTextActivateWord,激活！
CoopEmoteTextActivateShortName,激活！
CoopEmoteTextActivateDescription,在工場觸發倒轉機器！發射MOAB追擊！使用科技恐怖！將你的消息傳達出去
GameUIProfileAvatar40Name,自訂化身 - 瘋狂格溫 PFP
GameUIProfileAvatar40ShortName,瘋狂格溫 PFP 化身
GameUIProfileAvatar40Description,化身獲勝者 Qqertynn
GameUIProfileAvatar41Name,自訂化身 - 閃光炸彈忍者
GameUIProfileAvatar41ShortName,閃光炸彈化身
GameUIProfileAvatar41Description,化身獲勝者 _Concilliabule_
GameUIProfileAvatar42Name,自訂化身 - 公司帕奇
GameUIProfileAvatar42ShortName,公司貼片化身
GameUIProfileAvatar42Description,帕奇一直毫不張揚地在 Monkeydom 中步步高升
GameUIProfileAvatar43Name,自訂化身 - 煙火炸彈射手
GameUIProfileAvatar43ShortName,煙火炸彈化身
GameUIProfileAvatar43Description,難道還有比這更好地射出火箭的方式嗎？限時收藏家物品！
GameUIPowerSkinMonkeyBoostFireworksName,自訂力量 - 煙火猴子强化
GameUIPowerSkinMonkeyBoostFireworksShortName,煙火猴子强化
GameUIPowerSkinMonkeyBoostFireworksDescription,用這種巨大的煙火顯示强化你的猴子，激勵它們取得更偉大的功績。限時收藏家物品！
GameUIMusicTrackMusicTropicalOctopusMixName,自動唱機：熱帶狂歡章魚
GameUIMusicTrackMusicTropicalOctopusMixShortName,熱帶狂歡章魚
GameUIMusicTrackMusicTropicalOctopusMixDescription,這首狂歡歌曲極富電子音樂節奏，一定會成爲真正的派對最愛曲目。把聲音開大一些！
PlaySocial,與好友一起玩
ContentBrowser,内容瀏覽器
CoopChallenge,組隊挑戰
SocialEditChallenge,編輯挑戰
SocialEditOdyssey,編輯征程
SocialViewBrowser,監視瀏覽器
MonkeyTeamWins,猴子小隊獲勝
NewerSaveFound,發現更新的存檔數據！你已在其他設備上玩了此游戲的更新版本。立即更新以繼續此設備上玩。沒有可用更新？請瀏覽 https://ninja.kiwi/btd6_outofdate 以獲取更多幫助。
RacePasses,{0} 張競速通行證
FreeEntries,{0} 次免費入場
FreeEntry,1 次免費入場
PrivateCoopLobby,私人組隊游戲大廳
PublicCoopLobby,組隊游戲大廳 [{0}]
MyOdysseys,我的征程
OdysseySearch,搜索/征程代碼…
Psychic Blast Ability,心靈震爆
Psychic Blast Ability Description,靈能術士釋放出心靈震波，使附近的氣球長時間陷入昏迷。
Psionic Scream Ability,心靈尖嘯
Psionic Scream Ability Description,靈能術士發出無聲尖嘯，使氣球陷入完全混亂。
EditorMode,編輯器模式
ConfirmMaps,待確認地圖：{0}
ResetOdysseyProgress,這會使你的征程進度失效。你確定要這樣做嗎？
OdysseyName,征程名稱
OdysseyEditor,征程編輯器
MaxPowers,最大力量：
MaxMonkeySlots,最大猴子欄位：
MaxPowerSlots,最大力量欄位：
MapNumber,地圖{0}
ExtremeMode,極端模式：
Edit,編輯
OdysseyInviteReceivedDescription,你受邀嘗試征程代碼：{0}
SharingOdyssey,你能打敗此Bloons TD 6征程嗎？
EditorPowersIncluded,包括的力量
EditorPowersExcluded,未包括力量
OdysseyDescription,描述：
SelectDefaultCrew,選擇默認團隊
Completed,已完成
BossStart,開始頭目活動
BloonariusPrime,氣球至尊
OdysseyLockedSubmitButtonDescription,你已提交此征程
OdysseyLockedShareButtonDescription,如果想分享您的征程，您必須在測試模式下證明此征程能夠完成！
OdysseyShareAgainExplanation,計時器倒數時再次分享。你必須完成征程才能分享它。
ProfileAvatars,化身
ProfileBanners,橫幅
BossNormal,普通
BossElite,精英
BloonariusTagLine,來自沼澤深處
BloonariusTagLine2,充氣筒醒來了！
Bloonarius,氣球至尊
TierX,{0}階
HeroesGwendolinPlacementFireballName,Gwendolin火球放置和升級
HeroesGwendolinPlacementFireballShortName,Gwen火球
HeroesGwendolinPlacementFireballDescription,確保用這一很棒的火球效果來對應Gwen的到來和升級！僅限初始Gwendolin
TowerPropMonkeyVillageGermanyFlagName,猴村德國國旗
TowerPropMonkeyVillageGermanyFlagShortName,猴村德國國旗
TowerPropMonkeyVillageGermanyFlagDescription,人人都知道德國猴村的科技很厲害！表明全部升級
TowerPropMonkeyVillageUKFlagName,猴村英國國旗
TowerPropMonkeyVillageUKFlagShortName,猴村英國國旗
TowerPropMonkeyVillageUKFlagDescription,作爲英聯邦的成員，英國國旗在這座猴村的上空驕傲地飄揚著，表明全部升級
BloonsDDTSkinTronName,霓虹DDT
BloonsDDTSkinTronShortName,霓虹DDT
BloonsDDTSkinTronDescription,這種DDT氣球造型前衛，攻擊致命，你肯定它來自未來。也許就是這樣。
BloonsAllBloonsBucketHatName,漁夫帽氣球
BloonsAllBloonsBucketHatShortName,漁夫帽氣球
BloonsAllBloonsBucketHatDescription,用最新的數位漁夫帽設計讓那些氣球趕上潮流趨勢。
BloonsAllBloonsPopsWaterbloonName,水氣球擊破特效
BloonsAllBloonsPopsWaterbloonShortName,水氣球擊破特效
BloonsAllBloonsPopsWaterbloonDescription,非常適合用來對付熱浪，利用這種濕漉漉的酷爽擊破效果將氣球變成水球
CoopEmoteTextNextRoundScaryName,下一回合！恐怖！文字表情
CoopEmoteTextNextRoundScaryShortName,下一回合！恐怖！
CoopEmoteTextNextRoundScaryDescription,提醒你的隊友當心下一回合！在萬聖節期間也非常有用。
CoopEmoteTextNextRoundScaryWord,下一回合！恐怖！
CoopEmoteAnimationFistpumpName,揮拳動畫
CoopEmoteAnimationFistpumpShortName,揮拳
CoopEmoteAnimationFistpumpDescription,慶祝幹得漂亮！
GameUIProfileAvatar44Name,自訂化身 - SAS猴子
GameUIProfileAvatar44ShortName,SAS猴子化身
GameUIProfileAvatar44Description,化身獲勝者LV-223_Deacon
GameUIProfileAvatar45Name,自訂化身 - 藍圖
GameUIProfileAvatar45ShortName,藍圖化身
GameUIProfileAvatar45Description,化身獲勝者dungeon-raided
GameUIProfileAvatar46Name,自訂化身 - 假面Ezili
GameUIProfileAvatar46ShortName,假面Ezili化身
GameUIProfileAvatar46Description,別名未梳妝的Ezili
GameUIProfileAvatar47Name,自訂化身 - 刺球
GameUIProfileAvatar47ShortName,刺球化身
GameUIProfileAvatar47Description,刺球看起來從沒這麽酷炫過 - 不容錯過
GameUIProfileBanner1Name,空中技巧個人檔案橫幅
GameUIProfileBanner1ShortName,空中技巧橫幅
GameUIProfileBanner1Description,這一設計靈感來自王牌猴子的自訂個人檔案橫幅會繞著其他玩家飛行
GameUIProfileBanner2Name,靈狼個人檔案橫幅
GameUIProfileBanner2ShortName,靈狼橫幅
GameUIProfileBanner2Description,用Obyn狼自訂個人檔案橫幅喚醒靈狼
GameUIProfileBanner3Name,接踵而來個人檔案橫幅
GameUIProfileBanner3ShortName,接踵而來橫幅
GameUIProfileBanner3Description,將BFB級氣球風暴作爲勝利的自訂個人檔案橫幅獎杯
GameUIProfileBanner4Name,飛鏢風暴個人檔案橫幅
GameUIProfileBanner4ShortName,飛鏢風暴橫幅
GameUIProfileBanner4Description,飛鏢看似普通，但在這一時尚典雅的深色自訂個人檔案橫幅中絕不普通
GameUIProfileBanner5Name,反應式個人檔案橫幅
GameUIProfileBanner5ShortName,反應式橫幅
GameUIProfileBanner5Description,這一設計靈感來自猴子潛艇的自訂個人檔案橫幅兼具力量與危險
Paragon Title,升級至典範
Paragon Body,此操作將創建一個典範{0}。所有其他{1}都將在此過程中被摧毀，為典範提供力量！
ft_paragontitle,已啓用典範升級！
ft_paragondescription,將一種5階猴子升級至典範！模範會吸收所有同種類猴子，包括另兩條升級路綫的5階猴子。\n\n升級時吸收的力量會影典範等級。沙箱中不可用。
ParagonDegreeText,典範等級
DartMonkeys,飛鏢猴
BoomerangMonkeys,迴旋鏢猴
BombShooters,炸彈射手
TackShooters,釘子槍手
IceMonkeys,冰猴
GlueGunners,粘膠槍手
SniperMonkeys,狙擊手猴
MonkeySubs,猴子潛艇
MonkeyBuccaneers,猴子海盜
MonkeyAces,王牌猴子
HeliPilots,直升機飛行員
MortarMonkeys,迫擊砲猴
WizardMonkeys,巫師猴
DartlingGunners,飛鏢槍手
SuperMonkeys,超猴
NinjaMonkeys,忍者猴
Alchemists,煉金術士
Druids,督伊德
BananaFarms,香蕉農場
EngineerMonkeys,工程師猴子
SpikeFactorys,針刺工廠
MonkeyVillages,猴村
BossInfoPanelTitle,頭目氣球活動
BossInfoPanelDescription,你好，勇敢的冒險者。你已進入頭目領域！祝你好運，請記住這些重要規則：頭目活動在你點擊開始游戲后即開始，回合之間沒有暫停，並且無法減緩頭目的移動速度。\n• 擊破全部5階頭目即可在頭目模式中獲勝，擊敗普通頭目可解鎖精英頭目。\n• 建立你自己的經濟，準備好技能，利用好每階頭目之間的時間！\n• 每擊敗一階頭目可獲得獎杯或其他獎勵，如果未能在20回合内擊敗頭目，將戰敗。\n• 你可在排名模式中與其他玩家一較高下，誰能更快擊敗頭目即可贏得豐厚獎勵！\n• 你在單人或組隊模式下的排名將決定你所獲得的獎勵。\n• 普通模式和精英模式設有獨立的排行榜和獎勵，你可將“它們一網打盡”！
BloonariusInfoPanelDescription,住在淤泥裏的氣球至尊會在受到傷害時吐出氣球，并且生命條上每出現一個頭骨就會吐出大群氣球。\n\n由於外殼覆蓋著淤泥，氣球至尊雖然速度緩慢，但卻不好對付。
NextBossIn,距離頭目出現還有：{0}
ARound,1 回合
SomeRounds,{0} 回合
DartMonkey Paragon,巔峰電漿大師
DartMonkey Paragon Description,讓區域内充滿可將氣球切成碎片的電漿投石車球，所過之處片甲不留…
BoomerangMonkey Paragon,大刀大師
BoomerangMonkey Paragon Description,氣球看過我的大刀就知道什麽是恐懼了。
TowerEffectAllMonkeysPlacementUpgradesButterfliesName,蝴蝶放置和升級特效
TowerEffectAllMonkeysPlacementUpgradesButterfliesShortName,蝴蝶升級特效
TowerEffectAllMonkeysPlacementUpgradesButterfliesDescription,每當放置和升級猴子時，會有蝴蝶展翅飛舞，欣賞自然之美。
BossEvent,頭目活動
NewCoopGame,新的組隊游戲
Hold,待命
Paragon,典範
Unlock All (For This Tower),全部解鎖（此防禦塔）
Purchase Tower XP,購買防禦塔經驗值
Connect Controller,連接控制器
BossDefeatedYou,{0}打敗了你
TierBossDefeated,擊破了{0}階
BossDefeated,你打敗了{0}！
Set Center,設定中心
Bombardment Ability,炮擊
PlayerStatsHighestRoundCHIMPS,最高回合CHIMPS
PlayerStatsHighestRoundDeflation,最高回合放氣
Rejoin Coop,重新加入組隊游戲
WaitingEndRound,等待當前回合結束
SoftwareCursor,大游標
LargeCursor,超大游標
Cursor,游標
SandboxCursor,沙箱/游標
Achievement 128 Name,誰是新的氣球大師？
Achievement 128 Description,打敗一個1階頭目
Achievement 129 Name,誰是頭目？
Achievement 129 Description,擊敗一個5階頭目
Achievement 130 Name,我是頭目
Achievement 130 Description,擊敗一個5階精英頭目
Achievement 131 Name,巔峰
Achievement 131 Description,升級至一個典範猴子塔
Achievement 132 Name,點贊一個頭目
Achievement 132 Description,擊破50個頭目氣球
Achievement 133 Name,完美典範
Achievement 133 Description,典範中的典範
Log in,登入
Twitch Integration,Twitch整合
Choose my loadout,選擇我的武裝
Required polls,需要的票數：
Total duration,總持續時間：
Duration,持續時間
Max winners,投票獲勝者（武裝）
Loadout Poll,武裝投票
Initializing,正在初始化…
Running poll,進行投票
XofY,{0}/{1}
Point voting,忠誠點數投票
Points per vote,每票忠誠點數
Bit voting,小奇點投票
Bits per vote,每票小奇點
TwitchTimeout,Twitch回應時間過長…
TwitchInvalidOperation,無效操作…請稍後再試。
TwitchAuthFail,使用Twitch驗證失敗！請嘗試重新登入...
TwitchPartnerFail,抱歉，只有Twitch分支機構或合作夥伴才能使用此功能。
TwitchError,出現問題…請稍後再試。\n{0}
Monkeys for poll,猴子投票
TwitchSignedInInfo,如果是Twitch分支機構或合作夥伴，你現在可以創建武裝投票！在玩游戲時尋找Twitch設定按鈕。
BestRound,最佳回合：
NewBestRound,新的最佳回合！
CurrentRound,當前回合：
Select All,全選
btd6_towerandparagonunlock,完全解鎖防禦塔和典範
btd6_towerandparagonunlock Description,立即為一座猴子塔解鎖包括典範在内的所有升級。
btd6_paragonunlock,解鎖典範
btd6_paragonunlock Description,立即為一座猴子塔解鎖典範。
jukeboxskipbossmusic,跳過頭目音樂
GameUIMusicTrackMusicBossBloonariusName,至尊
GameUIMusicTrackMusicBossBloonariusShortName,至尊
GameUIMusicTrackMusicBossBloonariusDescription,至尊頭目歌曲
Play Again,再玩一次
Retry From Checkpoint,從檢查點重試
RetryCheckpointText,從上一個檢查點的第{0}回合重試？
Retry From Round,從第{0}回合重試
EliteBossLockedPopup,擊敗普通難度的頭目以解鎖精英難度
Custom Odyssey,自訂征程
Creating Odyssey,正在創建征程
Creating Challenge,正在創建挑戰
TheCabin,小木屋
VikingSaudaSaudaSkinName,海盜Sauda皮膚
VikingSaudaSaudaSkinDescription,隨時準備戰鬥！
HeroesChurchillSentaiSkinPetDroneName,Churchill戰隊無人機寵物
HeroesChurchillSentaiSkinPetDroneShortName,Churchill戰隊無人機
HeroesChurchillSentaiSkinPetDroneDescription,超級先進的偵察哨兵Y26G擅長快速評估氣球威脅。我們毫無意外地稱之爲SASSY。僅限Churchill戰隊
TowerPetGlueGunnerRatName,粘膠槍手老鼠寵物
TowerPetGlueGunnerRatShortName,粘膠槍手老鼠寵物
TowerPetGlueGunnerRatDescription,始終陪伴在粘膠槍手身邊，尤其是在實驗室裏。想知道粘膠槍手的那些科學道具出自誰之手嗎？我們認爲是那隻老鼠。
TowerEffectAllMonkeysPlacementUpgradesBatsName,蝙蝠放置和升級特效
TowerEffectAllMonkeysPlacementUpgradesBatsShortName,蝙蝠升級特效
TowerEffectAllMonkeysPlacementUpgradesBatsDescription,每放置和升級一座猴子塔就用浮現于特定地圖上的邪惡蝙蝠動畫嚇唬那些氣球。
TowerPetMonkeyBuccaneerNarwhalName,猴子海盜獨角鯨寵物
TowerPetMonkeyBuccaneerNarwhalShortName,海盜獨角鯨寵物
TowerPetMonkeyBuccaneerNarwhalDescription,放置猴子海盜的地方都能看見神秘的獨角鯨！只有强大的猴子海盜才能制服狂狼，並與這些傳奇生物爲友？！
TowerProjectileEngineerVampireHunterName,吸血鬼獵人工程師射彈
TowerProjectileEngineerVampireHunterShortName,吸血鬼獵人工程師
TowerProjectileEngineerVampireHunterDescription,萬一氣球碰巧都是像吸血鬼，工程師可以裝備吸血鬼氣球擊破射彈，如：釘樁、大蒜和棺材。限時收藏家物品！
TowerPropMonkeyVillageCanadianFlagName,猴村加拿大國旗
TowerPropMonkeyVillageCanadianFlagShortName,猴村加拿大國旗
TowerPropMonkeyVillageCanadianFlagDescription,是時候了！哦，加拿大，讓這面旗幟飄揚在所有猴村的上空。表明全部升級
BloonsZOMGSkinJackOLanternName,南瓜燈ZOMG
BloonsZOMGSkinJackOLanternShortName,南瓜燈ZOMG
BloonsZOMGSkinJackOLanternDescription,Sauda在每年的ZOMG雕南瓜比賽中的優勝作品，她甚至能雕西紅柿！限時收藏家物品！
BloonsAllBloonsVampireCapesName,吸血鬼斗篷氣球
BloonsAllBloonsVampireCapesShortName,吸血鬼斗篷氣球
BloonsAllBloonsVampireCapesDescription,這個萬聖節將你的氣球裝扮成夜行生物！限時收藏家物品！
CoopEmoteAnimationPanicMonkeyName,恐慌猴子表情
CoopEmoteAnimationPanicMonkeyShortName,恐慌猴子
CoopEmoteAnimationPanicMonkeyDescription,這是你的組隊東道主發言。請不要擔心。好吧，嗨起來吧！
CoopEmoteAnimationBeggingMonkeyName,懇請猴子表情
CoopEmoteAnimationBeggingMonkeyShortName,懇請猴子
CoopEmoteAnimationBeggingMonkeyDescription,拜托了，只需再有10000塊，我就能進行此升級了！老實説，我碰巧是玩家3！
GameUIPowerSkinThriveStonksName,自訂化身 - 績優股
GameUIPowerSkinThriveStonksShortName,績優股
GameUIPowerSkinThriveStonksDescription,Ben說不顧一切投資香蕉幣，它的價格正在猛漲！
GameUIProfileAvatar48Name,自訂化身 - 曲棍球面具猴子
GameUIProfileAvatar48ShortName,曲棍球面具化身
GameUIProfileAvatar48Description,當心曲棍球面具猴子！限時收藏家物品！
GameUIProfileAvatar49Name,自訂化身 - 鉛氣球齊柏林飛艇
GameUIProfileAvatar49ShortName,自訂化身 - 鉛氣球齊柏林飛艇化身
GameUIProfileAvatar49Description,化身獲勝者waywardzuck
GameUIProfileAvatar50Name,自訂化身 - 最好的Ben
GameUIProfileAvatar50ShortName,最好的Ben化身
GameUIProfileAvatar50Description,誰負責滿足你的IT需求？這個傢伙！誰演奏酷炫的節拍？這個傢伙！誰能為下一次頭目活動錦上添花？沒錯，當然是這個傢伙。
GameUIProfileAvatar51Name,自訂化身 - 戰鬥靈能術士
GameUIProfileAvatar51ShortName,戰鬥靈能術士化身
GameUIProfileAvatar51Description,始終與萬物同在並不意味著靈能術士不能偶爾找點小樂子！亮出這個超棒的靈能術士化身，與民同樂。
GameUIProfileBanner6Name,太陽神廟個人檔案橫幅
GameUIProfileBanner6ShortName,太陽神廟橫幅
GameUIProfileBanner6Description,這個史詩級的自訂個人檔案橫幅可帶你一睹全面運轉的太陽神廟的真正力量
GameUIProfileBanner7Name,幽靈與糖果個人檔案橫幅
GameUIProfileBanner7ShortName,幽靈與糖果橫幅
GameUIProfileBanner7Description,不給糖就搞惡作劇！完美的萬聖節自訂個人檔案橫幅
LychTagLine,墓穴領主
LychTagLine2,已復活！
Lych,巫妖
LychInfoPanelDescription,• 墓穴領主巫妖可通過吸取猴子身上的增益效果來治療它自己。\n• 巫妖生命條上每出現一個頭骨，它就會進入超凡狀態，復活最近被擊破的MOAB級氣球的空殼。\n• 進入超凡狀態后，巫妖在所有復活的氣球被擊破前免疫一切傷害，包括會吸取生命的靈魂虹吸氣球。\n• 復活的MOAB級氣球不會生成子氣球。
EditorReviewMap,檢查地圖
YourBestTime,你的最好成績
Boss,頭目
MiniBoss,迷你頭目
NormalRewards,普通獎勵
EliteRewards,精英獎勵
1Player,玩家1
2Player,玩家2
3Player,玩家3
4Player,玩家4
BossLeaderboard,頭目排行榜
LeaderboardSubmissionFail,無法提交至排行榜
SafeNameChallenge,{0}的挑戰
SafeNameOdyssey,{0}的征程
BossEventEnded,頭目活動已結束！
RankedNormal,排名普通
RankedElite,排名精英
StartRankedBoss,開始排名頭目
MusicHaunted,鬼屋
GameUIMusicTrackMusicHauntedName,點唱機：鬼屋
GameUIMusicTrackMusicHauntedShortName,自動點唱機：鬼屋
GameUIMusicTrackMusicHauntedDescription,具有鬼魅一般的節拍和律動，是萬聖節或深夜游戲不可或缺的歌曲。限時收藏家物品！
NSCameraUsageDescription,支援票證螢幕擷取畫面
btd6_needmoremonkeymoneyprompt_no_iap,猴幣不夠！
UseRacePassDescription,要使用競速通行證獲取此競速的無限入場嗎？
RacePassActivated,競速通行證已啓用
UseRacePassTitle,要使用競速通行證嗎？
Elite Best Time,精英最好成績
Normal Best Time,普通最好成績
NormalCursor,普通游標
MayAffectPerformance,*可能會影響效能
GameUIMusicTrackMusicOnslaughtName,突擊
GameUIMusicTrackMusicOnslaughtShortName,突擊
GameUIMusicTrackMusicOnslaughtDescription,突擊頭目歌曲
SharingCoopBoss,加入BTD6我的頭目游戲！
EliteBossEvent,精英頭目活動
NinjaMonkey Paragon,晉升暗影
NinjaMonkey Paragon Description,完整刺殺包可應對任何氣球威脅。
Elite,精英
HackGameStopMessage,無法重新同步游戲數值。很遺憾，此游戲無法繼續進行。請嘗試開始新的游戲。
RankedMode,排名模式
Any,任何
ScoreNotVerifiable,無法驗證您的得分，因此未提交。
NoBossDataYet,打敗頭目，加入迷你頭目排行榜！
LeaderboardMessageMaxPlayers,顯示排名前100的玩家
ConfirmQuitCoopMessage,如果現在離開，您將無法重新加入此游戲？您確定要離開嗎？
YouWereRemoved,您上一次游戲時關閉了組隊位置，無法重新加入。
iCloudLongMessage,如果啟用了iCloud，并且iCloud可用，您的存檔資料將自動儲存在您的iCloud帳戶中，以便在其他設備上備份和存取。
CreateNew,新建
SlotX,存檔欄{0}
EmptySlot,空的存檔欄
Delete,刪除
CreatedDate,創建於：{0}
LastSavedDate,上次存檔時間：{0}
DeleteDescription,您確定要將此文件從您的設備和iCloud帳戶中刪除嗎？
SaveSlots,存檔欄
LoadGame,載入游戲
DeleteDescriptionNotConnected,您確定要將此文件從您的本地儲存空間中刪除嗎？
icloudConflictMessage,iCloud上的儲存資料和您設備上的不一致。請選擇要保留的一個。另一個將被永久捨棄。
GamecenterRestricted,多人游戲無法使用 - 您未獲准在此設備上玩多人游戲或内容。
DeviceOfflineMessage,此設備目前為離綫狀態。無法使用任何現有的雲端儲存資料。無法儲存任何游戲進度。
GamecenterLoginPrompt,請登入游戲中心進行存取。打開「設備」設定，找到「游戲中心」，然後登入。
GamecenterRestrictedTitle,多人游戲存取受限
GamecenterLoginTitle,登入游戲中心
QuietStreet,寧靜街道
GalaxiliEziliSkinName,星光熠熠皮膚
GalaxiliEziliSkinDescription,萬物皆有太空塵埃所造
MonkeyBuccaneer Paragon,海盜艦隊司令
MonkeyBuccaneer Paragon Description,水面上最偉大的主宰。
HeroesPsiPetBisonName,靈能術士野牛寵物
HeroesPsiPetBisonShortName,靈能術士野牛寵物
HeroesPsiPetBisonDescription,偶蹄目動物的典範，靈能術士正好發現它非常可愛。僅限初始靈能術士。
TowerPropMonkeyVillageAustralianFlagName,猴村澳大利亞國旗
TowerPropMonkeyVillageAustralianFlagShortName,猴村澳大利亞國旗
TowerPropMonkeyVillageAustralianFlagDescription,澳大利亞人，澳大利亞人，澳大利亞人，嗨，嗨，嗨！這面猴村旗子表明全部升級
TowerProjectileMortarSnowName,迫擊砲猴雪彈
TowerProjectileMortarSnowShortName,迫擊砲猴雪彈
TowerProjectileMortarSnowDescription,使用這種迫擊砲猴雪彈贏得每一場打雪仗的勝利。限時收藏家物品！
TowerPetIceMonkeySnowmanName,冰猴雪人寵物
TowerPetIceMonkeySnowmanShortName,冰猴雪人寵物
TowerPetIceMonkeySnowmanDescription,冰猴不擊破氣球的時候做什麽呢？當然是造棒極了的雪人寵物！限時收藏家物品！
BloonsDDTSkinSleighName,毀滅雪橇DDT
BloonsDDTSkinSleighShortName,毀滅雪橇DDT
BloonsDDTSkinSleighDescription,這個耶誕節用令人畏懼的毀滅雪橇運送禮物！限時收藏家物品！
BloonsAllBloonsElfHatName,精靈帽氣球
BloonsAllBloonsElfHatShortName,精靈帽氣球
BloonsAllBloonsElfHatDescription,戴上小小的精靈帽，一切都變得更可愛了！限時收藏家物品！
CoopEmoteAnimationBenCoolName,酷Ben表情
CoopEmoteAnimationBenCoolShortName,酷Ben
CoopEmoteAnimationBenCoolDescription,像Ben一樣，保持冷靜，活得瀟灑
CoopEmoteAnimationBikerBonesRageName,骷髏騎手憤怒表情
CoopEmoteAnimationBikerBonesRageShortName,骷髏騎手憤怒
CoopEmoteAnimationBikerBonesRageDescription,你真犧牲了我所有的防禦塔來建造你的神廟？骷髏騎手憤怒了！
GameUIProfileAvatar52Name,自訂化身- 迴旋鏢
GameUIProfileAvatar52ShortName,迴旋鏢化身
GameUIProfileAvatar52Description,左手用迴旋鏢是最好的迴旋鏢！
GameUIProfileAvatar53Name,自訂化身 - 海盜船長
GameUIProfileAvatar53ShortName,海盜船長化身
GameUIProfileAvatar53Description,是的！你想要用獎杯可以買到的最好化身來讓其他惡棍玩家銘記在心，對嗎？
GameUIProfileAvatar54Name,自訂化身 - 幾何Quincy
GameUIProfileAvatar54ShortName,幾何Quincy化身
GameUIProfileAvatar54Description,我是阿爾法，我是奧米伽。我是正方形的Quincy
