//Input. Needs to be first e.g [I] replaced by click or tap,
Click,Napsauta
CoopEmoteAnimationThinkingMonkeyName,Ajatteleva apina -emote
CoopEmoteAnimationThinkingMonkeyShortName,Ajatteleva apina
CoopEmoteAnimationThinkingMonkeyDescription,"Ajatteleva apina on kelpo apina. Toimii silloin, kun sinä ajattelet, tai silloin, kun sinä ajattelet, mitä himskattia tuo toinen oikein ajattelee."
GameUIProfileAvatar56Name,Druidin kevätkukat -avatar
GameUIProfileAvatar56ShortName,Druidin kevät-avatar
GameUIProfileAvatar56Description,"Tarjoa ripaus kevään taianomaisuutta joka vuodenaikaan tällä kauniilla, pohdiskelevalla druidi-avatarilla.  Rajoitetun ajan keräilijänimike!"
GameUIProfileAvatar57Name,Sukellusveneen tutkija-avatar
GameUIProfileAvatar57ShortName,Sukellusveneen tutkija-avatar
GameUIProfileAvatar57Description,"Sukellusveneen paras näköalapaikka vaatii, että koko naama on painettava lasia vasten. Anna sukellusveneelle silmäkarkkia tällä avatarilla."
GameUIProfileAvatar58Name,Lumiukko-Fustyn jäätelö-avatar
GameUIProfileAvatar58ShortName,Fustyn jäätelö-avatar
GameUIProfileAvatar58Description,"Sulle jätskiä, mulle jätskiä, Pat Frosty rakastaa jätskiä. Selvästi avatarien parhaimmistoa niille, jotka arvostavat elämän herkullisia puolia."
GameUIPowerSkinRoadSpikesFlowerPatchName,Oma voima – Kukkaisat tiepiikit
GameUIPowerSkinRoadSpikesFlowerPatchShortName,Kukkaiset tiepiikit
GameUIPowerSkinRoadSpikesFlowerPatchDescription,"Kuka muka väittää, että tiepiikkien on aina näytettävä niin teollisilta? Näitä kukkia poimimalla saa käsiinsä pelkkiä okaita!"
GameUIPowerSkinMonkeyBoostSugarRushName,Oma voima – Sokerihumalatehoste
GameUIPowerSkinMonkeyBoostSugarRushShortName,Sokerihumalatehoste
GameUIPowerSkinMonkeyBoostSugarRushDescription,"Ihmiset: kyllähän me kaikki tiedämme, että jaksamme paremmin sokeriöverien energialla, eikö niin? Apinat: samiksia."
GameUIProfileBanner10Name,Raapustettua nerokkuutta -profiilibanneri
GameUIProfileBanner10ShortName,Raapustettua -profiilibanneri
GameUIProfileBanner10Description,Bannerivoittaja: chompypaw
GameUIProfileBanner11Name,Arcanum Necronicom -profiilibanneri
GameUIProfileBanner11ShortName,Arcanum Necronicom -banneri
GameUIProfileBanner11Description,Bannerivoittaja: _Concilliabule_
GameUIProfileBanner12Name,Pörinäkaveri-profiilibanneri
GameUIProfileBanner12ShortName,Pörinäkaveri-banneri
GameUIProfileBanner12Description,Nämä mehiläiset pörisevät puissa tehdäkseen hunajaa vain minua varten. Rajoitetun ajan keräilijänimike!
FilterAll,Kaikki
FilterHeroPlacementUpgrades,Aseta tehoste
FilterHeroPets,Lemmikit
FilterTowerPlacementUpgrades,Päivitä tehoste
FilterTowerPets,Lemmikit
FilterProjectiles,Ammukset
FilterFlags,Liput
FilterPopFX,Poksautustehoste
FilterAllBloonSkins,Kaikki bloonien ulkoasut
FilterRegularSkins,Bloonien ulkoasut
FilterMoabSkins,MOAB-ulkoasu
FilterStandardEmotes,Perusemotet
FilterTextEmotes,Tekstiemote
FilterSoundEmotes,Ääniemotet
FilterFullScreenEmotes,Kokoruudun emotet
FilterMusicTracks,Musiikkiraidat
FilterAvatars,Avatarit
FilterPowerSkins,Voimaulkoasut
FilterProfileBanners,Profiilibannerit
FilterMisc,Sekalaiset
Blast Chain Ability,Räjähdeketju
Blast Chain Ability Description,Merimiinat räjähtävät nopeammin hetken aikaa
TowerSpecial,Apinaerikoisuus
Geraldo,Geraldo
Geraldo Short Description,Mystinen kauppias
Geraldo Description,Kauppias Geraldo myy hyödyllisiä esineitä ja iskee blooneja salamahyökkäyksellään.
Geraldo Level 1 Description,"Esineitä saatavilla! Amputorni, kasa vanhoja nauloja, karmiva idoli, pikkelssipurnukka. Geraldolla on myös lyhyen kantaman maaginen hyökkäys."
Geraldo Level 2 Description,Uusi esine! Harvinainen Quincy-toimintafiguuri – kasvattaa arvoaan mitä pidempään sen omistat!
Geraldo Level 3 Description,Uusi esine! Näe näkymättömät -taikajuoma – antaa väliaikaisen maastokuvioinnin tunnistamisen apinatornille tai sankarille. Geraldon hyökkäyskantama kasvaa.
Geraldo Level 4 Description,Uusi esine! Mahtiliimaputkilo – voidaan asettaa radalle hidastamaan blooneja.
Geraldo Level 5 Description,Uusi esine! Hiomakivi – tehostaa apinatornin tai sankarin terävien ammusten lävistystehoa. Geraldo hyökkää nopeammin.
Geraldo Level 6 Description,Uusi esine! Kulunut sankarin viitta – muuttaa korkeintaan tason 2 tikka-apinan superapinaksi! Nämä muunnetut superapinat voi päivittää vain tasolle 3.
Geraldo Level 7 Description,"Uusi esine! Teräansa – kun näkyvä blooni koskettaa ansaa, terämyrsky laukeaa. Geraldon päähyökkäys saa lisää vahinkoa ja läpäisyä."
Geraldo Level 8 Description,"Uusi esine! Pullollinen Gerryn tulta – 2,8 miljoonaa bloonvillen yksikköä puhdasta tulisuutta! Antaa apinalle, sankarille tai kätyrille tulisen hyökkäyksen 10 kierrokseksi."
Geraldo Level 9 Description,"Uusi esine! Lannoite – valittu banaanifarmi, joka tuottaa näkyviä banaaneja, lisää tuotantoa ja saa käteisbonuksen muutaman kierroksen aikana. Geraldon päähyökkäyksen räjähdyksen kantama kasvaa."
Geraldo Level 10 Description,Uusi esine! Lemmikkipupu – voi kuinka suloinen pieni pupujussikka!
Geraldo Level 11 Description,"Uusi esine! Parannusjuoma – nollaa kaikkien apinatornien ja sankarien palautumisajat, palauttaa 50 elämää. Geraldon päähyökkäyksen kantama kasvaa ja pikkelssipurnukka tekee enemmän vahinkoa vahvistettuja blooneja vastaan."
Geraldo Level 12 Description,"Uusi esine! Pullon henki – kutsuu esiin plasmavoimaa käyttävän henkiapinan, joka kestää 3 kierrosta. Karmiva idoli tyrmää nyt välillä ohi menevät näkyvät MOAB-luokan bloonit."
Geraldo Level 13 Description,"Amputorni tulittaa nopeammin ja tekee enemmän vahinkoa, ja kasa vanhoja nauloja tekee enemmän vahinkoa."
Geraldo Level 14 Description,Näe näkymättömät -taikajuoma antaa lisäkantamaa ja kestää pidempään.
Geraldo Level 15 Description,"Teroituskivi lisää nyt vahinkoa läpäisyn lisäksi ja teräansa luo tehokkaamman vaikutuksen, kun se laukeaa."
Geraldo Level 16 Description,"Kasa vanhoja nauloja muuttuu naulamiinaksi, pikkelssipurkki antaa lisää bonusvahinkoa vahvistettuja blooneja vastaan ja Gerryn tuli saa bonuspalovahinkoa."
Geraldo Level 17 Description,Geraldon päähyökkäys tekee enemmän vahinkoa ja mahtiliimaputkilo vaikuttaa hieman MOAB-luokan blooneihin.
Geraldo Level 18 Description,"Henki saa toisen lähihyökkäyksen ja tekee lisävahinkoa MOAB-luokan blooneille. Kun karmivan idolin vaikutus lakkaa, se peittää kaikki MOAB-luokan bloonit salaperäisen harson alle, joka tekee poksautettaessa vahinkoa."
Geraldo Level 19 Description,Geraldon päähyökkäys on huomattavasti vahvempi ja Näe näkymätön -taikajuoma tekee lisävahinkoa maastokuvioiduille blooneille.
Geraldo Level 20 Description,Uusi esine! Perikuvan voima -toteemi – antaa perikuvan voiman seuraavalle luodulle perikuvalle. Kaupan varastot täydennetään kokonaan! Geraldon päähyökkäys tekee enemmän vahinkoa.
Geraldo Shop shortname,Kauppa
Geraldo Shop name,Geraldon kauppa
Shooty turret name,Amputorni
Shooty turret description,"Pysyvä, käsin tehty tikkoja ampuva torni."
Stack of old nails name,Kasa vanhoja nauloja
Stack of old nails description,"Kyllä, se on vain kasa vanhoja nauloja, mutta kun ne asetetaan radalle niin ne poksauttavat läpi päässeitä blooneja."
Creepy idol name,Karmiva idoli
Creepy idol description,"Aseta tämä pelottavan näköinen idoli radan lähelle, niin pelotat osan blooneista sinne mistä ne tulivatkin."
Jar of Pickles name,Pikkelssipurnukka
Jar of Pickles description,"Kokeile näitä pikkelssejä jollekin apinatornillesi, niin hetken se iskee kovempaa, mutta ampuu hitaammin."
Rare Quincy action figure name,Harvinainen Quincy-toimintafiguuri
Rare Quincy action figure description,"Rajatun erän huippukuntoinen alkuperäinen Quincy, Quincyn poika -toimintafiguuri! Tämän arvo vain kasvaa, joten osta se nyt!"
See invisibility potion name,Näe näkymättömät -taikajuoma
See invisibility potion description,"Mille apinalle annatkin tämän tehokkaan eliksiirin, se pystyy näkemään maastokuvioidut bloonit helposti! Tehosteet kuluvat pois."
Tube of amaz-o-glue name,Mahtiliimaputkilo
Tube of amaz-o-glue description,"Ällistyttävää! Lisää tuubillinen tätä nykyaikaista ihmeainetta minne tahansa radan varrelle ja seuraa, miten seuraava joukko blooneja hidastuu silmiesi edessä. Kestää 4 kierroksen ajan tai kunnes se on kulunut loppuun."
Sharpening stone name,Teroituskivi
Sharpening stone description,"Teroita tikat, ystäväiseni! Käytä tätä tikkoihin ja teräaseisiin, jolloin niistä tulee terävämpiä kuin koskaan aiemmin. Kuluu loppuun 15 kierroksen jälkeen."
Worn heros cape name,Kulunut sankarin viitta
Worn heros cape description,"Kaikki sankarit käyttävät viittaa! Anna tämä yhdelle tikka-apinoistasi, niin näet muutoksen! Hieman käytetty, vähän heikkotasoinen."
Blade trap name,Teräansa
Blade trap description,"Aseta tämä radalle, niin voit katsella kuinka pyörivät terät repivät palasiksi ensimmäiset sitä koskevat bloonit."
Gerrys fire hot sauce name,Pullollinen Gerryn tuli -chilikastiketta
Gerrys fire hot sauce description,"2,8 miljoonaa bloonvillen yksikköä. Kuka maistaakaan tätä erikoiskastiketta syöksee tulta jonkin aikaa!"
Fertilizer name,Lannoite
Fertilizer description,"Onko farmillasi banaaneja? Haluaisitko enemmän banaaneja? Levitä hieman tätä erikoisvahvaa taikalannoitetta suoraan farmille, niin saat enemmän banaaneita!"
Pet rabbit name,Lemmikkipupu
Pet rabbit description,Joskus ei muuta tarvita kuin supersöpö lemmikkipupu! Tai muutama!
Rejuv potion name,Parannusjuoma
Rejuv potion description,"Heitä tämä herkkujuoma minne tahansa, niin näet sen parantavien voimien palauttavan menetettyjä elämiä ja nollaavan kykyjen palautumisajat."
Genie bottle name,Pullon henki
Genie bottle description,"Kutsu henkiapina tästä kirkkaan sinisestä pullosta, mutta varo, sillä se ei kestä loputtomiin! (Ostokseen ei sisälly toiveita.)"
Paragon power totem name,Esikuvan voimatoteemi
Paragon power totem description,Tehosta seuraavan esikuvasi voimia tällä mystisellä artefaktilla...
EventEndingSoonText,"Tämä tapahtuma päättyy pian, joten osallistuminen on estetty."
EngineerMonkey Paragon,Mestarirakentaja
EngineerMonkey Paragon Description,"Apinainsinööri huippuunsa kehitettynä. Luo kolme megatykkitornia, jotka voivat rakentaa omia tykkitornejaan."
OptionsLogout,Kirjaudu ulos
ConfirmLogout,Vahvista uloskirjautuminen
ConfirmLogoutDesc,"Haluatko varmasti kirjautua ulos tililtäsi? Jos teet niin, kirjoita tilin tiedot ja linkkikoodi muistiin ennen sitä.\n\n{0}"
VortexTagLine,Taivaalta saapuu
VortexTagLine2,Ilman tappava mestari
Vortex,Vortex
VortexInfoPanelDescription,"• Vortex liikkuu salamannopeudella ja nopeuttaa muita blooneja mukanaan!\n• Aina kun terveyspalkin pääkallo saavutetaan, Vortex suojaa itsensä ja lähettää sokkiaallon, joka tyrmää läheiset tornit, ennen kuin se pakenee rataa pitkin.\n• Vortex lähettää säännöllisiä myrskypulsseja, jotka tuhoavat projektiileja, mukaan lukien radalla olevat muut asiat kuin voimat."
Scrapyard,Romuttamo
BloonsAllBloonsCatEarName,Kissankorvabloonit
BloonsAllBloonsCatEarShortName,Kissankorvabloonit
BloonsAllBloonsCatEarDescription,"Bloonit ja kissat eivät yleensä sovi yhteen, mutta tässä tapauksessa ne sopivat kuin korvat päähän."
BloonsAllBloonsDisguiseGlassesName,Silmälasivaleasu-bloonit
BloonsAllBloonsDisguiseGlassesShortName,Silmälasivaleasu-bloonit
BloonsAllBloonsDisguiseGlassesDescription,Tämä valeasu menisi läpi vain apinalle. Hetkinen...
CoopEmoteAnimationPatFlexName,Patin fleksaus -emote
CoopEmoteAnimationPatFlexShortName,Patin fleksaus
CoopEmoteAnimationPatFlexDescription,"Voimaa ja älyä, mikä yhdistelmä! Pat vahva!"
CoopEmoteAnimationMindBlownName,Mieli räjähti -emote
CoopEmoteAnimationMindBlownShortName,Mieli räjähti
CoopEmoteAnimationMindBlownDescription,"Kun yhteistoiminnan kumppanisi tekee jotain niin nerokasta, että vain tämä emote kelpaa!"
GameUIProfileAvatar59Name,Superapina-avatar
GameUIProfileAvatar59ShortName,Superapina-avatar
GameUIProfileAvatar59Description,"Rakkaus näkyy hänen silmissään. Nyt sinun tarvitsee vain päättää, katsooko Superi sinua vai heijastustaan."
GameUIProfileAvatar60Name,Iskijä Jones -avatar
GameUIProfileAvatar60ShortName,Iskijä Jones -avatar
GameUIProfileAvatar60Description,Iskijä Jones valmiina toimintaan! Näytä valmiutesi voittoon olkapäältä ampuvan suosikkiapinasi tervehdyksellä.
GameUIProfileBanner13Name,Saapuminen-profiilibanneri
GameUIProfileBanner13ShortName,Saapuminen-banneri
GameUIProfileBanner13Description,Bannerivoittaja: betapotata
GameUIProfileBanner14Name,Vetten alla -profiilibanneri
GameUIProfileBanner14ShortName,Vetten alla -banneri
GameUIProfileBanner14Description,Bannerivoittaja: Cyliia
GameUIMusicTrackMusicSunshineFiestaMixName,Jukeboksi: Auringonpaisteen serenadi – Fiesta-remix
GameUIMusicTrackMusicSunshineFiestaMixShortName,Auringonpaiste – Fiesta
GameUIMusicTrackMusicSunshineFiestaMixDescription,Volyymi kaakkoon ja nauttimaan tästä upeasta Auringonpaisteen serenadin remixistä.
CantSubmitEventEnded,"Et voi lähettää pisteitäsi, tapahtuma on jo päättynyt."
CyberQuincySkinNameFull,Kyber-Quincy
ScientistGwendolinSkinNameFull,Tieteilijä-Gwendolin
SentaiCaptainChurchillSkinNameFull,Sentai Churchill
BikerBonesSkinNameFull,Prätkä-Bones
ObynOceanGuardianSkinNameFull,Merivartija
BenJamminSkinNameFull,Benjammaileva-DJ
SmudgeCattSkinNameFull,Smudge Catt
FustyTheSnowmanSkinNameFull,Lumiukko-Fusty
WolfpackQuincySkinNameFull,Susilauma-Quincy
JoanOfArcAdoraSkinNameFull,Jeanne d'Arc -Adora
HarlegwenGwendolinSkinNameFull,Harlegwen
OctoJonesStrikerJonesSkinNameFull,Octojones
DreadPirateBrickellAdmiralBrickellSkinNameFull,Kauhupiraatti Brickell
ObynMountainGuardianSkinNameFull,Vuorivartija
SushiBentoBenjaminSkinNameFull,Sushi Bento
ETnEtienneSkinNameFull,ETn
VikingSaudaSaudaSkinNameFull,Viikinki-Sauda
GalaxiliEziliSkinNameFull,Galaxili
PsimbalsPsiSkinNameFull,Psimbalit
Least Cash,Vähiten käteistä:
Least Tiers,Vähiten tasoja:
Least Cash Used,Vähiten käteistä käytetty:
Least Tiers Used,Vähiten tasoja käytetty:
All Tiers Used,Kaikki tasot käytetty
All Cash Used,Kaikki käteinen käytetty
Tiers Used,Tasoa käytetty
Cash Used,Käteistä käytetty
No Score Set,Ei pisteitä
Auto,Autom.
FriendScreenFriends,Kaverit
FriendScreenRequests,Pyynnöt
FriendScreenYourFriendCode,Kaverikoodisi:
FriendScreenOnline,Online
FriendScreenOffline,Offline
FriendScreenAccept,Hyväksy
FriendScreenDecline,Hylkää
FriendScreenBlock,Estä
FriendScreenFriendText,Kaverit näytetään tässä. Jaa kaverikoodisi kavereille ja perheelle
RequestDisabledText,Pyynnöt pois käytöstä
FriendScreenEnterCode,Anna kaverikoodi:
FriendScreenAdd,Lisää
FriendScreenSureUnfriend,Haluatko varmasti poistaa tämän käyttäjän kavereista?
FriendScreenSureBlock,Haluatko varmasti estää tämän käyttäjän?
SpecialConditions,Erikoisehdot
FriendScreenRequestText,Pyynnöt näytetään tässä. Jaa kaverikoodisi kavereille ja perheelle
FriendScreenCodeHidden,Kaverikoodi piilotettu
RequestEnabledText,Pyynnöt käytössä
Least Cash No Colon,Vähiten käteistä
Least Tiers No Colon,Vähiten tasoja
SpecialConditionsColon,Erikoisehdot:
GoalSetForCash,Tavoite on {0} käteistä
GoalSetForTiers,Tavoite on {0} tasoa
ChallengeCashUsed,Olet käyttänyt {0} / {1} käteistä
ChallengeTiersUsed,Olet käyttänyt {0} / {1} tasoa
ShootyTurret,Paukkutykki
CreepyIdol,Karmiva idoli
RareQuincyActionFigure,Harvinainen Quincy-toimintafiguuri
GenieBottle,Taikalamppu
ParagonPowerTotem,Perikuvan voima -toteemi
FriendScreenErrorRequestFailed,Kaveripyyntö epäonnistui
FriendScreenErrorInvalidCode,Kaverikoodi ei kelpaa
FriendScreenErrorBlocked,"Pelaaja, jota yrität lisätä, on ikävä kyllä estänyt kaveripyynnöt."
FriendScreenErrorAlreadySent,Olet jo lähettänyt kaveripyynnön tälle pelaajalle
FriendScreenErrorTooManyFriends,Olet saavuttanut kaverien maksimimäärän. Voit tehdä tilaa poistamalla jonkun nykyisen kaverisi tai perumalla tekemäsi kaveripyynnön
MapEditor,Karttaeditori
Jar of Pickles description level 11,"Yritäpä antaa tämä jollekin apinatornillesi: tekee enemmän vahinkoa, mutta ampuu hetken hitaammin. Tekee lisävahinkoa vahvistetuille blooneille!"
Creepy idol description level 12,"Aseta tämä pelottavan näköinen idoli radan varrelle, jolloin pelästyneet bloonit (ja MOABit!) palaavat vauhdilla sinne, mistä tulivatkin."
Shooty turret description level 13,"Tikkoja ampuva, pysyvä ja käsintehty tykkitorni. Päivitetty! Ampuu nopeammin ja tekee enemmän vahinkoa."
Stack of old nails description level 13,"Niin siis, onhan se vain vino pino vanhoja nauloja, mutta laita ne radalle ja voilá, karanneet bloonit poksahtavat miltei itsestään."
See invisibility potion description level 14,Tämän eliksiirin avulla mikä tahansa apina pystyy näkemään maastokuvioidut bloonit yhdellä hännän heilautuksella! Kestää vain hetken ajan. Pidempi kantama ja kestää pidemmän aikaa!
Sharpening stone description level 15,"Teroita tikat, ystäväiseni! Käytä tätä tikkoihin ja teräaseisiin, jolloin niistä tulee terävämpiä ja ne tekevät enemmän vahinkoa kuin koskaan aiemmin."
Blade trap description level 15,"Aseta tämä radalle ja seuraa, miten ensimmäinen siihen koskeva blooni repeytyy riekaleiksi pyörivien terien syleilyssä! Uusi, tehokkaampi malli!"
Stack of old nails description level 16,"Juu, se on pelkkä JÄTTIMÄINEN NAULAMIINA, mutta laita se radalle ja voilá, karanneet bloonit poksahtavat miltei itsestään."
Jar of Pickles description level 16,"Yritäpä antaa tämä jollekin apinatornillesi: tekee enemmän vahinkoa, mutta ampuu hetken hitaammin. Tekee VIELÄ ENEMMÄN lisävahinkoa vahvistetuille blooneille!"
Gerrys fire hot sauce description level 16,"2,8 miljoonaa Bloonvillen asteikolla. Ken maistaakaan tätä tulista soossia, sylkee takuulla tulta hetken aikaa! Sisältää ekstrapoltetta."
Tube of amaz-o-glue description level 17,"Ällistyttävää! Lisää tuubillinen tätä nykyaikaista ihmeainetta minne tahansa radan varrelle ja seuraa, miten seuraava joukko blooneja hidastuu silmiesi edessä. Vaikuttaa jopa MOABeihin!"
Genie bottle description level 18,"Kutsuu lampun apinan kauniista kultaisesta lampusta, mutta varo – se ei pysy pelissä ikuisesti! (Toiveet eivät sisälly ostoon.) Sisältää lisähyökkäyksen ja tekee enemmän vahinkoa MOABeille."
Creepy idol description level 18,"Aseta tämä pelottavan näköinen idoli radan varrelle, jolloin pelästyneet bloonit palaavat vauhdille sinne, mistä tulivatkin. Salaperäinen harso -päivitys avattu!"
See invisibility potion description level 19,Tämän eliksiirin avulla mikä tahansa apina pystyy näkemään maastokuvioidut bloonit yhdellä hännän heilautuksella ja tekee niille lisävahinkoa! Tehoste kuluu käytössä.
FriendScreenSureUnBlock,Haluatko varmasti poistaa eston tältä pelaajalta?
None,Ei mikään
Knowledge Requirement Monkey Money,Ei riittävästi apinarahaa. Osta lisää?
Knowledge Requirement Points,Ei riittävästi tietämyspisteitä
InviteFriend,Kutsu kaveri
InvitedToJoin,{0} on kutsunut sinut yhteistoimintapeliinsä. Haluatko liittyä?
HeroesMountainObynPetBalfrogName,Balfrog-lemmikki
HeroesMountainObynPetBalfrogShortName,Balfrog-lemmikki
HeroesMountainObynPetBalfrogDescription,Tämä sumuisten vuorten syvimmistä kaivoksista kavunnut sammakkokaveri lisää takuuvarmasti lämpöä joka ikiseen keskusteluun. Vain Vuori-Obyn
TowerPropMonkeyVillagePrideFlagName,Apinakylän sateenkaarilippu
TowerPropMonkeyVillagePrideFlagShortName,Kylän sateenkaarilippu
TowerPropMonkeyVillagePrideFlagDescription,Juhli apinakyläläisten moninaisuutta ja vapautta olla oma itsensä tällä huikealla sateenkaarilipulla! Näkyy kaikissa päivityksissä
CoopEmoteTextNeedMoreName,"Lisää, lisää! Tekstiemote"
CoopEmoteTextNeedMoreShortName,"Lisää, lisää!"
CoopEmoteTextNeedMoreDescription,"Tämä emote sopii käyttöön, kun tarvitset enemmän rahaa, blooneja, puolustusta tai ruokaa."
CoopEmoteTextNeedMoreWord,"Lisää, lisää!"
CoopEmoteAnimationRainbowName,Sateenkaari-animaatio
CoopEmoteAnimationRainbowShortName,Sateenkaari
CoopEmoteAnimationRainbowDescription,Kaikki mukaan laulamaan! Sateenkaaren tuolla puolen...
GameUIProfileAvatar61Name,Tikka-apina-avatar
GameUIProfileAvatar61ShortName,Tikka-apina-avatar
GameUIProfileAvatar61Description,Ylistäkää mahtavaa Tikkaa! Bloonien poksauttaja!
GameUIProfileAvatar62Name,Geraldo-avatar
GameUIProfileAvatar62ShortName,Geraldo-avatar
GameUIProfileAvatar62Description,"Tervehdys, ystävä. Kiinnostaisiko pehmoinen ja valkoinen jänö? Se on täysin harmiton, eikö olekin?"
GameUIProfileBanner15Name,OG-BTD-tyylinen banneri
GameUIProfileBanner15ShortName,OG-BTD-tyylinen banneri
GameUIProfileBanner15Description,"Voittajabanneri, LordTeddington"
GameUIProfileBanner16Name,Metsän henki -banneri
GameUIProfileBanner16ShortName,Metsän henki -banneri
GameUIProfileBanner16Description,"Voittajabanneri, tricky999tricky"
GameUIMusicTrackMusicTribesJaloonMixName,Jukeboksi: Heimoja ja koettelemuksia – Jaloon Remix
GameUIMusicTrackMusicTribesJaloonMixShortName,Heimoja – Jaloon
GameUIMusicTrackMusicTribesJaloonMixDescription,Ota tanssilattia haltuun tällä rakastetulla Heimoja ja koettelemuksia -bändin remixillä
Quarry,Louhos
VoidoraAdoraSkinName,Voidora-ulkoasu
VoidoraAdoraSkinDescription,Tyhjyydestä olen tullut
VoidoraAdoraSkinNameFull,Voidora
InappropriateTeamName,Valitse soveliaampi nimi ryhmälle
TeamNameNotUnique,Nimi on jo käytössä! Valitse uusi nimi tai lisää numeroita
TeamNameTooShort,Ryhmän nimen on oltava {0}–{1} merkkiä pitkä
SentryParagonChild,Muokatun tykin perikuva
LoginwithEpic,Kirjaudu Epic-tilillä
EnterLinkingCode,Yhdistä syöttämällä linkityskoodi:
Connect,Yhdistä
PrivacyPolicy,Tietosuojakäytäntö
TermsOfService,Käyttöehdot
ConfirmAgeInfo,"Jatka vahvistamalla nykyinen ikäsi. Sinun on kirjauduttava, jotta saat peliin kaikki online-ominaisuudet ja varmuuskopioinnin."
AgeQuestion,Oletko vähintään {0}-vuotias?
AgeYes,"Kyllä, olen vähintään {0}-vuotias."
AgeNo,"Ei, olen alle {0}-vuotias."
PersonalAccountInfo,"Voit luoda henkilökohtaisen tilin käyttämättä mitään henkilökohtaisesti tunnistettavia tietoja.
Valitsemalla ”Hyväksyn” vanhempasi tai huoltajasi on tarkistanut Ninja Kiwin tietosuojakäytännön ja käyttöehdot kanssasi, ja hän hyväksyy tietosuojakäytäntömme ja käyttöehtomme sekä kykymme tallentaa pelitilanteesi ja yksilöimättömiä tilitietoja palveluumme, joka sisältää Yhdysvalloissa sijaitsevia palvelimia."
AgreeCreateAccount,"Hyväksyn, luo tili"
NormalAccountInfo,"Jatkamalla hyväksyt Ninja Kiwin tietosuojakäytännön ja käyttöehdot ja kykymme tallentaa pelitilanteesi ja tilitietosi palveluumme, joka sisältää Yhdysvalloissa sijaitsevia palvelimia."
LoggedInAs,Kirjautuneena:
EpicAccountId,Epic-tilitunnus:
NeedHelp,Tarvitsetko apua?
ContactSupport,Ota yhteyttä tukeen
DeleteAccountText,"Tilin poistaminen tarkoittaa, että menetät pääsyn pilviedistymiseesi ja -tietoihisi."
EnterUserId,Syötä käyttäjätunnus tähän
GetAllButton,Hanki kaikki
GetAllConfirmation,"Vahvista, että haluat ostaa apinarahalla kaikki mahdolliset sankarit ja ulkoasut!"
DeleteAccount,Poista tili
CtLeaderboardTitle,Kilpailtujen territorioiden pistetaulukko
LocalTeams,Paikalliset ryhmät
LocalPlayers,Paikalliset pelaajat
GlobalTeams,Maailmanlaajuiset ryhmät
GlobalPlayers,Maailmanlaajuiset pelaajat
CreateTeamPanelTitle,Luo ryhmä
CreateTeamTitle,Luo ryhmä
CreateTeamNameDescription,Ryhmän nimi:
CreateTeamNameInputField,Anna ryhmän nimi...
CreateTeamCostDescription,Luo ryhmä hintaan {0}
CreateTeamFailed,Ryhmän luonti epäonnistui
EditTeamPanelTitle,Muokkaa ryhmää
EditTeamTitle,Muokkaa ryhmääsi
EditTeamNameDescription,Muokkaa ryhmän nimeä:
TeamEmblemTitle,Tunnus
TeamBannerTitle,Banneri
TeamEmblemsTitle,Tunnukset
TeamBannersTitle,Bannerit
TeamGeneralTitle,Yleinen
TeamSettingPublicTitle,Julkinen
TeamSettingPrivateTitle,Yksityinen
TeamSettingClosedTitle,Vain kutsu
TeamJoin,Liity
TeamApply,Lähetä hakemus
RecentWin,Viimeisin voitto:
TileHeldBy,Ruudun omistaja:
Score,Pistemäärä
ScoreDegradesIn,Pisteet kuluvat ajassa:
NeutralOwnerIn,Neutraali omistaja ajassa:
Tile,Ruutu: {0}
RelicTile,Reliikkiruutu
BannerTile,Banneriruutu
BonusCTPoints,Bonus-KT-pisteitä!
DailyRelics,Päivittäisiä voimia ja tapahtumareliikkejä
HeldRelics,Kaapatut reliikit
Tickets,Tiketit:
PurchaseTickets,Osta tiketti
MoreTicketsIn,Lisää tikettejä saatavilla:
CTTitleName,Kilpailtu territorio
CTTeamStore,Ryhmän pisteet
CTMyTeam,Ryhmäni
CTTeamTrophies,Ryhmän pokaalit
CTTickets,Tiketit
CTTeamTickets,Ryhmätiketit
CTNextTicketsIn,Seuraavat tiketit saatavilla:
CTTileSearch,Ruutuhaku
CTOwner,Omistaja:
CTScore,Pistemäärä:
CTNeutralIn,Neutraali ajassa:
CTPosition,Sijoitus:
CTUncaptured,Valtaamaton
CTCheckpoint,Tarkistuspiste saavutettu!
CTNewScore,Uusi pistemäärä!
CTBestScore,Paras pistemäärä
TimeAttack,Aikahyökkäys
ERR_NOT_LOGGED_IN,Et ole kirjautuneena sisään
ERR_ALREADY_PENDING,Olemassa on jo odottava pyyntö
ERR_FEATURE_UNAVAILABLE,"Ominaisuus ei ole saatavilla, yritä myöhemmin uudestaan"
ERR_REQUEST_PARAMETER_MISSING,Parametri puuttuu
ERR_GUILD_FULL,Ryhmä on täynnä
ERR_GUILD_NAME_EXISTS,Tällä nimellä on jo ryhmä
ERR_GUILD_DOES_NOT_EXIST,Ryhmää ei ole olemassa
ERR_GUILD_CANNOT_DISBAND,Ryhmää ei voi hajottaa
ERR_GUILD_PERMISSION_DENIED,Lupa evätty
ERR_GUILD_CANNOT_UPDATE_OWNER_DENIED,"Ryhmän omistajaa ei voi päivittää, lupa evätty"
ERR_GUILD_CANNOT_UPDATE_OWNER_NONE,Ryhmän omistajaa ei voi päivittää
