//Input. Needs to be first e.g [I] replaced by click or tap,
Click,Clicca
GameUIPowerSkinRetroTechbotShortName,Robot assistente rétro
GameUIPowerSkinRetroTechbotDescription,Mantieni sotto controllo le tue abilità attivate con questo fantastico robot assistente rétro. Le batterie non sono incluse. Articolo da collezione a tempo limitato!
GameUIPowerSkinIcebergPontoonName,Potere personalizzato: pontile di ghiaccio
GameUIPowerSkinIcebergPontoonShortName,Pontile di ghiaccio
GameUIPowerSkinIcebergPontoonDescription,Fai sciogliere tutti i tuoi problemi coi bloon con questo fantastico pontile di ghiaccio.
GameUIProfileAvatar27Name,Avatar personalizzato: scimmia asso
GameUIProfileAvatar27ShortName,Avatar scimmia asso
GameUIProfileAvatar27Description,Scimmia asso alla riscossa! Domina i cieli con questo grandioso avatar
GameUIProfileAvatar28Name,Avatar personalizzato: torre spara freccette
GameUIProfileAvatar28ShortName,Avatar torre spara freccette
GameUIProfileAvatar28Description,"E dopo aver visto la torre scimmia, è ora di afferrare l'avatar! Dimostra il tuo apprezzamento per questo classico distruttore di bloon!"
GameUIProfileAvatar29Name,Avatar personalizzato: ninja invernale
GameUIProfileAvatar29ShortName,Avatar ninja invernale
GameUIProfileAvatar29Description,Preparati per le feste con questo fantastico avatar ninja. Articolo da collezione a tempo limitato!
GameUIProfileAvatar30Name,Avatar personalizzato: Patch festività
GameUIProfileAvatar30ShortName,Avatar Patch festività
GameUIProfileAvatar30Description,"Patch ha un aggiornamento in serbo per te, buon Natale e felice anno nuovo! Articolo da collezione a tempo limitato!"
RecurringRangs,Boomerang ricorrenti
RecurringRangsDescription,I boomerang che ritornano alla scimmia boomerang vengono lanciati nuovamente.
FirstLastLineOfDefense,Prima e ultima linea di difesa
FirstLastLineOfDefenseDescription,Il prezzo di acquisto della prima fabbrica di aculei viene ridotto in ogni partita di 150 $.
FlankingManeuvers,Manovre di attacco
FlankingManeuversDescription,"Le scimmie bucaniere, cecchino e sommergibile attaccano il 10% più in fretta quando vengono impostate su ""Ultima"" priorità nella mira."
EmergencyUnlock,Sblocco di emergenza
EmergencyUnlockDescription,Abilità attivata: sblocca le torri spara freccette bloccate e ne potenzia la velocità di rotazione per un breve lasso di tempo.
GorgonStorm,Tempesta di Gorgoni
GorgonStormDescription,La tempesta di missili Hydra stordisce i bloon danneggiati per un breve lasso di tempo.
CrossTheStreams,Raffiche incrociate
CrossTheStreamsDescription,"Quando la traiettoria dei raggi della morte si incrocia con quella dei raggi plasma, vengono a crearsi delle pozze di plasma temporanee."
MonkeysTogetherStrong,Potenza delle scimmie unite
MonkeysTogetherStrongDescription,"Per ogni eroe piazzato, gli eroi ricevono il 5% di esperienza in più."
GrandPrixSpree,Corsa al gran premio
GrandPrixSpreeDescription,Il costo in denaro per partecipare alle gare è ridotto del 10%.
ChallengeBrowser,Cerca sfida
Trending,Tendenze
Casual,Casuale
Newest,Più recente
Expert,Esperto
MostLiked,Più piaciuta
Favorites,Preferite
Played,Giocate
MyChallenges,Le mie sfide
ChallengeName,Nome sfida
Creator,Ideatore
Likes,Mi piace
WinPercent,% vittoria
Create,Crea
PageXofY,Pagina {0} di {1}
ChallengeInfo,Info sfida:
TimeUploaded,Periodo di caricamento
Last24Hours,Ultime 24 ore
LastWeek,Settimana scorsa
LastMonth,Mese scorso
AllTime,In qualsiasi momento
NoChallengesFound,Nessuna sfida trovata
Shared,Condivise
DeleteThisSave,Cancellare salvataggio?
DeleteThisChallenge,Cancellare la sfida definitivamente?
ShareAgainIn,Condividi ancora tra:
ShareAgainExplanation,Condividi ancora allo scadere del timer. Devi superare la sfida per poterla condividere.
MySavedGames,Le mie partite salvate
ConfirmShare,Confermi la condivisione? Comparirà a breve nella Ricerca contenuti.
Custom,Personalizzata
ChallengeSearch,Cerca/Codice sfida...
IncludeOldVersions,Includi vecchie versioni
Achievement 107 Name,Sei pronto giocatore uno?
Achievement 107 Description,Ospita e vinci 10 partite cooperative
Achievement 108 Name,Scontro di titani
Achievement 108 Description,Rimuovi le fortificazioni dai DDT fortificati 3000 volte
Achievement 109 Name,Codice di inserimento
Achievement 109 Description,Inserisci una sfida nella Ricerca contenuti
Achievement 110 Name,Ridonato
Achievement 110 Description,Fai scoppiare 1.000.000 di bloon con le torri spara freccette
Achievement 111 Name,Matto per i buoni
Achievement 111 Description,Spendi almeno 50 trofei nel negozio trofei
Achievement 112 Name,Gratificazione istantanea
Achievement 112 Description,Usa in insta-scimmia livello 5. NOTA: gli insta hanno ancora influenza sulla tua raccolta anche dopo essere stati usati!
Achievement 113 Name,Insta-secolo
Achievement 113 Description,Usa 100 insta-scimmie. NOTA: gli insta hanno ancora influenza sulla tua raccolta anche dopo essere stati usati!
Achievement 114 Name,Serie limitata
Achievement 114 Description,Acquista almeno 1 nuovo articolo a tempo limitato nel negozio trofei
Achievement 115 Name,Evoluzionismo
Achievement 115 Description,Potenzia le torri 20.000 volte
Achievement 116 Name,Incaponirsi
Achievement 116 Description,Solo perché una cosa può essere fatta non vuol dire che vada fatta
ChallengeBrowserDescription,"Gioca, crea e valuta i contenuti della community!"
VerifiedUser,Utente verificato
TrophyBadgesEmpty,Vinci partite e ottieni medaglie!
,
// External cleaning app (not in binary),
cleaner.oops.title,Ops!
cleaner.oops.message,Seleziona un'opzione valida...
cleaner.warning.title,Sei sicuro?
cleaner.warning.message,ATTENZIONE: non si può annullare!
cleaner.title,Pulitore {0}
cleaner.Message,Seleziona un'opzione:
cleaner.RadioButton_CleanAll,Pulisci tutto
cleaner.RadioButton_Keep,Mantieni impostazioni e progressi
cleaner.RadioButton_CleanSelective,Pulizia selettiva
cleaner.CheckBox_Preferences,Preferenze
cleaner.CheckBox_Progress,Progressi
cleaner.Button_Run,Continua
cleaner.Button_Exit,Esci
cleaner.allDone,Fatto!
// External cleaning lines complete,
,
ChallengeBrowserError,Si è verificato un errore nel caricamento della Ricerca contenuti
OverwriteChallengeBrowserText,Il tuo salvataggio più datato verrà sovrascritto. Vuoi procedere?
OverwriteChallengeBrowserHeader,Sovrascrivere i dati salvati?
GameUIMusicTrackMusicJingleBloonsName,Jukebox: Jingle Bloon
GameUIMusicTrackMusicJingleBloonsShortName,Jingle Bloon
GameUIMusicTrackMusicJingleBloonsDescription,"Celebra le feste con questo nuovissimo tracciato bloon, per arrivare in fondo in allegria!\nAttiva la musica attraverso il Jukebox nelle impostazioni del menu principale"
Favorite,Preferiti
FasterRegen,Tasso di rigenerazione aumentato
SlowerRegen,Tasso di rigenerazione diminuito
NewTower,Nuova torre
MapUnlockTutorHeader,Sbloccare le mappe
MapUnlockTutorBody,Supera per la prima volta una mappa in una categoria qualsiasi per sbloccarne un'altra nella categoria successiva.\n\n•Principiante sblocca Intermedio\n•Intermedio sblocca Difficile\n•Difficile sblocca Esperto
HideCompleted,Nascondiglio completato
Ravine,Baratro
GameUIProfileAvatar31Name,Avatar personalizzato - Kabuki Ninja
GameUIProfileAvatar31ShortName,Avatar Kabuki Ninja
GameUIProfileAvatar31Description,La scimmia ninja sfoggia il miglior trucco kumadori
GameUIProfileAvatar32Name,Avatar personalizzato - Pilota di elicottero
GameUIProfileAvatar32ShortName,Avatar Pilota di elicottero
GameUIProfileAvatar32Description,Prendi il volo! Questo avatar Pilota di elicottero sa combinare perfettamente dolcezza ed efficacia
BloonsAllBloonsTruckerHatsName,Cappelli da camionista
BloonsAllBloonsTruckerHatsShortName,Cappelli da camionista
BloonsAllBloonsTruckerHatsDescription,Questi bloon sono pronti ad affrontare lunghi viaggi! Dai gas!
BloonsAllBloonsPopsPowName,Effetti scazzottata
BloonsAllBloonsPopsPowShortName,Effetti scazzottata
BloonsAllBloonsPopsPowDescription,Pow! Bam! Pop! Fai fuori ancora più bloon con questa incredibile animazione da scazzottate
BloonsBFBSkinLanternName,BFB lanterna
BloonsBFBSkinLanternShortName,BFB lanterna
BloonsBFBSkinLanternDescription,"Porta fortuna, prosperità e luce sul campo di battaglia con questa bellissima skin BFB"
TowerProjectileSpikeFactoryPineapplesName,Ananas della fabbrica di aculei
TowerProjectileSpikeFactoryPineapplesShortName,Ananas della fabbrica di aculei
TowerProjectileSpikeFactoryPineapplesDescription,"Cosa c'è di più acuminato di una sfera acuminata? Beh, un ananas ovviamente! Buone esplosioni. Potenziamento esclusivo per le sfere acuminate."
GameUIMusicTrackMusicBMCStreetPartyName,Jukebox: BMC Street Party
GameUIMusicTrackMusicBMCStreetPartyShortName,BMC Street Party
GameUIMusicTrackMusicBMCStreetPartyDescription,"È tornatooooo! A grande richiesta, torna lo Street Party della Città delle scimmie!"
FirstTimeContinue,"Oh no! I bloon hanno avuto la meglio! Essendo la prima volta, puoi continuare gratuitamente, dopodiché ti costerà denaro"
Follow,Segui
Unfollow,Smetti di seguire
Following,Seguiti
Primary Knowledge,Sapienza primaria
Military Knowledge,Sapienza militare
Magic Knowledge,Sapienza magica
Support Knowledge,Sapienza di supporto
Heroes Knowledge,Sapienza eroica
Powers Knowledge,Sapienza di poteri
Block followers,Blocca follower
Unblock followers,Sblocca follower
Followers,Follower
Submitted Challenges,Sfide inviate
TurnOnNotificationsCreator,Attivare le notifiche per questo creatore?
TurnOffNotificationsCreator,Disattivare le notifiche per questo creatore?
TargetingOptionFirstTimePopup,Modificare le opzioni di mira a volte può aiutare nei round più difficili!
et_challengefreeplaytitle,Gioco libero per le sfide!
et_challengefreeplaydescription,"Questa è la modalità Gioco libero per le sfide. Puoi continuare a giocare ma non riceverai PE, né ricompense."
GameServicesBlockedText,Qualcosa impedisce l'accesso ai nostri servizi di gioco. Il gioco ne potrebbe risentire: disattiva il servizio di blocco per evitare problemi imprevisti. Per maggiori informazioni: https://ninja.kiwi/btd6_network
DoubleCashDisabled,Denaro doppio disattivato
UnableToAccessDomain,"Impossibile accedere a {0}, disattiva tutti i servizi di blocco e riprova"
Custom Rounds,Round personalizzati
Warning,Attenzione
Player Completion Rate,Tasso di completamento del giocatore
Win Rate,Tasso di vittorie
HeroesBenjaminPlacementMatrixName,Posizionamento e potenziamento Matrice Benjamin
HeroesBenjaminPlacementMatrixShortName,Matrice Benjamin
HeroesBenjaminPlacementMatrixDescription,"Wow, ora conosco il kung-fu! Solo Benjamin originale"
HeroesObynPetBunnyName,Animaletto Coniglio Obyn
HeroesObynPetBunnyShortName,Animaletto Coniglio Obyn
HeroesObynPetBunnyDescription,Questo piccolo e grazioso coniglietto è uno dei migliori amici di Obyn. Solo Obyn originale. Oggetto collezionabile per un periodo limitato!
TowerProjectileDartlingEasterEggsName,Proiettili Ovetti di Pasqua
TowerProjectileDartlingEasterEggsShortName,Freccette Ovetti di Pasqua
TowerProjectileDartlingEasterEggsDescription,Caricati di delizie al cioccolato e spara a raffica! Potenziamenti solo per fucili a pallettoni e missili. Oggetto collezionabile per un periodo limitato!
TowerPetNinjaMonkeyKiwiName,Animaletto Kiwi Scimmia ninja
TowerPetNinjaMonkeyKiwiShortName,Animaletto Kiwi ninja
TowerPetNinjaMonkeyKiwiDescription,"L'impavido uccello Kiwi che non ha bisogno di volare, il più nobile tirapiedi della Scimmia ninja"
BloonsMOABSkinChocolateName,MOAB uovo di cioccolato
BloonsMOABSkinChocolateShortName,MOAB di cioccolato
BloonsMOABSkinChocolateDescription,"Sarà anche ricoperto di cioccolato, ma questo MOAB ha comunque 4 bloon di ceramica al suo interno! Oggetto collezionabile per un periodo limitato!"
BloonsBFBSkinChocolateName,BFB uovo di cioccolato
BloonsBFBSkinChocolateShortName,BFB di cioccolato
BloonsBFBSkinChocolateDescription,Punti bonus se il tuo BFB di cioccolato ha MOAB di cioccolato al suo interno. Oggetto collezionabile per un periodo limitato!
BloonsAllBloonsBunnyEarsName,Bloon orecchie da coniglio
BloonsAllBloonsBunnyEarsShortName,Bloon orecchie da coniglio
BloonsAllBloonsBunnyEarsDescription,I bloon sono più carini con delle orecchie da coniglio! Oggetto collezionabile per un periodo limitato!
BloonsAllBloonsPopsFlowersName,Effetto Scoppio dei fiori
BloonsAllBloonsPopsFlowersShortName,Effetto Scoppio dei fiori
BloonsAllBloonsPopsFlowersDescription,Ogni scoppio è un'esplosione di colori con l'effetto Scoppio dei fiori
CoopEmoteAnimationPixelMonkeyDanceName,Emote Scimmia ballerina
CoopEmoteAnimationPixelMonkeyDanceShortName,Scimmia ballerina
CoopEmoteAnimationPixelMonkeyDanceDescription,L'evoluzione inciampa... La scimmia nuda balla...
CoopEmoteAnimationFlowerBloomName,Emote fiori che sbocciano
CoopEmoteAnimationFlowerBloomShortName,Fiori che sbocciano
CoopEmoteAnimationFlowerBloomDescription,"La primavera è arrivata, gli uccelli cantano, le api ronzano e i fiori sbocciano!"
GameUIProfileAvatar33Name,Avatar personalizzato - Uova di Obyn
GameUIProfileAvatar33ShortName,Avatar Uova di Obyn
GameUIProfileAvatar33Description,Proteggi queste preziose uova con Obyn. Oggetto collezionabile per un periodo limitato!
GameUIProfileAvatar34Name,Avatar personalizzato - Scimmia puntina
GameUIProfileAvatar34ShortName,Avatar Scimmia puntina
GameUIProfileAvatar34Description,Avatar vincitore di mutamarkl
GameUIProfileAvatar35Name,Avatar personalizzato - Potente Sentai
GameUIProfileAvatar35ShortName,Avatar Potente Sentai
GameUIProfileAvatar35Description,Avatar vincitore di Kuzuyku
GameUIProfileAvatar36Name,Avatar personalizzato - Mago deciso
GameUIProfileAvatar36ShortName,Avatar Mago deciso
GameUIProfileAvatar36Description,Avatar vincitore di _Concilliabule_
Balance,Equilibrio
Blons,Blon
Latest Save,Salvataggio più recente
Sauda,Sauda
Sauda Short Description,Maestra di spade
Sauda Description,"Con una furia controllata, Sauda può tagliuzzare i bloon con le sue spade gemelle affilate come rasoi."
Sauda Level 1 Description,Affetta con entrambe le spade i bloon nelle vicinanze. Può far scoppiare i mimetici.
Sauda Level 2 Description,Scoppia più bloon ad ogni attacco.
Sauda Level 3 Description,Attacco in salto con spada: lo spettacolare attacco in salto in grado di far scoppiare i bloon di piombo di Sauda non lascia tregua ai bloon bersagli.
Sauda Level 4 Description,Le spade di Sauda affettano 2 strati di bloon.
Sauda Level 5 Description,Sauda attacca più velocemente.
Sauda Level 6 Description,Portata d'attacco e potenza distruttiva aumentata.
Sauda Level 7 Description,"Sauda approfitta delle debolezze dei bloon per infliggere danni extra se sono storditi, e ora può scoppiare i bloon congelati."
Sauda Level 8 Description,Sauda attacca ancora più velocemente.
Sauda Level 9 Description,"Sanguinamento di bloon: Sauda scoppia 3 strati di bloon ad ogni colpo, e causa un lento effetto di danni nel tempo."
Sauda Level 10 Description,"Carica della spada: Sauda scivola lungo tutto il tracciato, devastando i bloon sul suo percorso."
Sauda Level 11 Description,"Sauda infligge danni extra a ogni bloon rallentato, immobilizzato o che sta subendo danni nel tempo da altre scimmie."
Sauda Level 12 Description,L'Attacco in salto con spada aumenta considerevolmente di potenza.
Sauda Level 13 Description,Le Lame incantate infliggono più danni e permettono a Sauda di danneggiare tutti i bloon.
Sauda Level 14 Description,Sauda attacca ancora più velocemente.
Sauda Level 15 Description,"Portata d'attacco e potenza distruttiva aumentata, e l'Attacco in salto con spada infligge più danni."
Sauda Level 16 Description,Carica della spada infligge danni aumentati.
Sauda Level 17 Description,Gli attacchi di spada di Sauda affettano molti strati di bloon contemporaneamente.
Sauda Level 18 Description,Le spade di Sauda attaccano talmente veloci da apparire sfocate.
Sauda Level 19 Description,"Le Lame incantate infliggono danni extra ai bloon rigeneranti, fortificati e mimetizzati."
Sauda Level 20 Description,Carica della spada è più potente e ripulisce tutti i percorsi del tracciato tre volte! La potenza di Attacco in salto con spada aumenta considerevolmente.
SushiBentoBenjaminSkinName,Skin Sushi Bento
SushiBentoBenjaminSkinDescription,Avanti con gli ordini! Il sushi è nel menu!
Leaping Sword Attack Ability,Attacco in salto con spada
Leaping Sword Attack Ability Description,Lo spettacolare attacco in salto in grado di far scoppiare i bloon di piombo di Sauda non lascia tregua ai bloon bersagli.
Sword Charge Ability,Carica della spada
Sword Charge Ability Description,"Sauda scivola lungo tutto il tracciato, devastando i bloon sul suo percorso."
Playing,Giocano: {0}
Solo,In solitaria
Custom Challenge,Sfida personalizzata
Browsing,Guardano: {0}
Menues,Menu
Challenges,Sfide
GoldenBloonsPopped,Bloon dorati scoppiati
ChallengeStats,Statistiche delle sfide
Attempts,Tentativi
Wins,Vittorie
Fails,Sconfitte
Unique Players,Giocatori unici
Victorious Players,Giocatori vittoriosi
FirstWinner,Primo vincitore
MostRecentWinner,Vincitore più recente
DiskFullMessage,Disco pieno libera un po' di spazio e riprova
RacePassRemaining,Corse rimanenti:
RacePassHeader,Pass Corsa
RacePassDescription,"Garantisce tentativi di Corsa illimitati per le Corse settimanali!\nNiente timer, niente denaro, solo Corse!"
4RacesPass,Pass per 4 Corse
12RacesPass,Pass per 12 Corse
ft_goldentitle,Bloon dorati
ft_goldendescription,"Scoppia il bloon dorato per guadagnare denaro extra! È difficile da scoppiare, ma non perderai vite se scappa.\nIl bloon dorato appare più volte in ogni partita, e si evolve ad ogni apparizione!\nBuona fortuna!"
TapToUnlock,[I] per sbloccare
btd6_4racespass Description,Corri quanto vuoi per 4 Corse!
btd6_4racespass,Pass per 4 Corse
btd6_12racespass Description,Corri quanto vuoi per 12 Corse!
btd6_12racespass,Pass per 12 Corse
AccountPermissionRestriction,Questo account Xbox non è abilitato a giocare in modalità multigiocatore
GetHeroBooster,Ottieni Potenziatore eroe
AccountCommunityPermissionRestriction,Questo account Xbox non è abilitato a visualizzare o creare contenuti per la community
IntermediateUnlockText,Supera una mappa di livello Principiante per la prima volta per sbloccare una mappa di livello Intermedio
AdvancedUnlockText,Supera una mappa di livello Intermedio per la prima volta per sbloccare una mappa di livello Difficile
ExpertUnlockText,Supera una mappa di livello Difficile per la prima volta per sbloccare una mappa di livello Esperto
HeroesSaudaPetCraneName,Animaletto Gru di Sauda
HeroesSaudaPetCraneShortName,Animaletto Gru di Sauda
HeroesSaudaPetCraneDescription,"Metti la cera, togli la cera. Studia la tecnica della gru con il nuovo elegante calcio laterale di Sauda! Solo Sauda originale"
HeroesPatFustyPlacementSuperjumpName,Posizionamento e potenziamento Super salto di Pat
HeroesPatFustyPlacementSuperjumpShortName,Super salto di Pat
HeroesPatFustyPlacementSuperjumpDescription,"Pat non vede l'ora di abbracciare quei MOAB con il suo super salto, con ogni aggiornamento! Solo Pat Fusty originale"
TowerPetBananaFarmChickenName,Pollo del Vivaio di banane
TowerPetBananaFarmChickenShortName,Pollo del Vivaio
TowerPetBananaFarmChickenDescription,Nessun vivaio è completo senza un pollo. Perché un pollo? Perché è un pollo! Bwaaak!!
TowerPropMonkeyVillageBrazilFlagName,Bandiera villaggio delle scimmie Brasile
TowerPropMonkeyVillageBrazilFlagShortName,Bandiera villaggio Brasile
TowerPropMonkeyVillageBrazilFlagDescription,"GOOOOOOOAAL! Mostra il tuo supporto totale per il Brasile, con questa bandiera del Villaggio delle scimmie. Per tutti i potenziamenti"
TowerPropMonkeyVillageUSAFlagName,Bandiera villaggio delle scimmie USA
TowerPropMonkeyVillageUSAFlagShortName,Bandiera villaggio USA
TowerPropMonkeyVillageUSAFlagDescription,USA! USA! Fai sventolare le stelle e le strisce sul tuo Villaggio delle scimmie con fierezza. Per tutti i potenziamenti
BloonsAllBloonsPopsPewpewName,Effetto pem pem
BloonsAllBloonsPopsPewpewShortName,Effetto pem pem
BloonsAllBloonsPopsPewpewDescription,"Cerca dentro di te... Devi comprarlo subito e, il 4 maggio, che la Forza sia con te! Oggetto collezionabile per un periodo estremamente limitato!"
BloonsMOABSkinBtd4RetroName,MOAB rétro BTD4
BloonsMOABSkinBtd4RetroShortName,MOAB rétro
BloonsMOABSkinBtd4RetroDescription,Che nostalgia. Mettiti gli occhiali che ti fanno vedere tutto roseo e dai un'occhiata a un vecchio modello di MOAB
BloonsBFBSkinBtd4RetroName,BFB rétro BTD4
BloonsBFBSkinBtd4RetroShortName,BFB rétro
BloonsBFBSkinBtd4RetroDescription,"Niente è come la vecchia scuola, all'epoca non c'era niente di più grande in cielo!"
CoopEmoteAnimationTrophyName,Emote vincitore del trofeo
CoopEmoteAnimationTrophyShortName,Vincitore del trofeo
CoopEmoteAnimationTrophyDescription,"Pop, stappa lo champagne! Festeggia la tua vittoria con questo vecchio trofeo d'oro luccicante!"
CoopEmoteAnimationPlayerNumbersName,Emote numeri dei giocatori
CoopEmoteAnimationPlayerNumbersShortName,Numeri dei giocatori
CoopEmoteAnimationPlayerNumbersDescription,Comunica più facilmente con gli altri giocatori con la pratica emote numero del giocatore. Vacci piano col giocatore 3.
GameUIProfileAvatar37Name,Avatar personalizzato: Sauda affilata
GameUIProfileAvatar37ShortName,Avatar Sauda affilata
GameUIProfileAvatar37Description,"Silenzio, abilità, precisione. Questo fantastico avatar di Sauda ti dà carattere!"
GameUIProfileAvatar38Name,Avatar personalizzato: Amico pinguino
GameUIProfileAvatar38ShortName,Avatar amico pinguino
GameUIProfileAvatar38Description,Avatar vincitore di ReconScoutTeemo
GameUIProfileAvatar39Name,Avatar personalizzato: Spara colloso
GameUIProfileAvatar39ShortName,Avatar Spara colloso
GameUIProfileAvatar39Description,Avatar vincitore di Cyliia
GameUIPowerSkinLavaLakeName,Potere personalizzato: Lago di lava portatile
GameUIPowerSkinLavaLakeShortName,Lago di lava portatile
GameUIPowerSkinLavaLakeDescription,Inizia a fare caldo qui! Lascia che le tue preoccupazioni evaporino immergendoti in un caloroso abbraccio!
Resort,Resort
ETnEtienneSkinName,ETn
ETnEtienneSkinDescription,Portami dal tuo capo.
VeteranXP,PE veterano
GameUIMusicTrackMusicSailsAgain,Salpa ancora
Leaderboards,Classifiche
Global,Globale
League,Lega
Race,Gara
Mini-race,Minigara
NoRaceDataYet,Completa una gara per partecipare a una minigara!
Kick,Calcio
MakePublic,Pubblica
VeteranLevelsHeader,Livelli veterano
VeteranLevelsDescription,"Complimenti, hai raggiunto il livello massimo! D'ora in poi inizierai a ottenere PE veterano e a raggiungere i livelli veterano. Questi livelli richiedono più tempo di quelli normali e dimostrano la tua immensa passione per lo scoppio dei bloon!"
LevelCapIncreasedHeader,Livello massimo aumentato!
LevelCapIncreasedDescription,"Il livello massimo è stato aumentato! Continuerai a raggiungere livelli normali fino al nuovo livello massimo. Non preoccuparti, i tuoi PE e livelli veterano sono dove li hai lasciati e ricomincerai a ottenere PE veterano appena avrai raggiunto il livello"
Rejoin,Rientra
GameHasEnded,La partita è terminata
SlowInternet,Connessione a internet assente o lenta
ErrorRejoining,Si è verificato un errore mentre rientravi
RewardsTopPlacing,Top {0}
LostConnectionRejoin,Connessione persa. Vuoi rientrare nella partita cooperativa?
Rejoining,Stai rientrando...
PlayerPositionClosed,Posizione giocatore chiusa
YouFinished,Hai ottenuto:
BestTime,Record:
Claim,Riscuoti
PlayerRejoinedGame,rientra nella partita
PlayerKickedFromGame,{0} non partecipa più alla partita
ConfirmKickPlayer,Vuoi davvero rimuovere {0}?
Remove,Rimuovi
MiniRacesFirstTimeTitle,Minigare!
MiniRacesFirstTimeDescription,"Dopo aver completato una gara, otterrai una posizione nella classifica della minigara, oltre che in quella della gara. Sfida gli altri giocatori nella minigara per vincere altri premi, quando la gara finisce!"
SharingCoop,Unisciti alla mia partita cooperativa su Bloon TD6!
SharingChallenge,Riesci a vincere questa sfida su Bloon TD6?
btd6_racespass,{0} Pass Corsa
btd6_racepass,1 Pass Corsa
OdysseyCrewConfirmed,Equipaggio confermato
OdysseyCrewModified,Equipaggio modificato
Odysseys,Odissee
InviteReceivedTitle,Invito ricevuto
ChallengeInviteReceivedDescription,Hai un invito a provare il codice sfida: {0}
CoopInviteReceivedDescription,Hai un invito a unirti alla partita cooperativa: {0}
Join,Unisciti
AccountPermissionRestriction,Questo account Xbox non è abilitato a giocare in modalità multigiocatore
AccountCommunityPermissionRestriction,Questo account Xbox non è abilitato a visualizzare o creare contenuti per la community
dont have bloons,Non hai Bloons TD6? Scaricalo subito!
launch game,avvia partita
copy code,Clicca qui per copiare il codice
game already opened,Partita già aperta?
Psi,Psi
Psi Short Description,Scimmia psionica
Psi Description,"Psi, una scimmietta molto dotata, usa il solo potere della mente per distruggere i bloon dall'interno."
Psi Level 1 Description,"Psi emette delle vibrazioni letali che distruggono un bloon alla volta, a qualsiasi distanza e al di là di qualunque ostacolo. È in grado di colpire i bloon mimetizzati."
Psi Level 2 Description,Attacca un po' più velocemente.
Psi Level 3 Description,Raffica psichica: Psi scatena una potente ondata che stordisce a lungo i bloon nelle vicinanze.
Psi Level 4 Description,"L'attacco di Psi può colpire anche un altro bloon, se è vicino a quello preso di mira."
Psi Level 5 Description,Le vibrazioni psioniche distruggono i bloon più velocemente del normale.
Psi Level 6 Description,La potente mente di Psi riesce a penetrare i bloon di piombo.
Psi Level 7 Description,La Raffica psichica pulsa due volte. Ora Psi può distruggere i bloon di ceramica.
Psi Level 8 Description,La Risonanza devastante fa sì che i bloon distrutti dall'attacco principale di Psi danneggino quelli vicini.
Psi Level 9 Description,Mente aperta. Psi ora può prendere di mira due bloon diversi alla volta.
Psi Level 10 Description,Urlo psionico: Psi scatena un urlo silenzioso che scaraventa i bloon nel caos più totale.
Psi Level 11 Description,Le vibrazioni psioniche distruggono i bloon ancora più velocemente.
Psi Level 12 Description,La Raffica psichica pulsa tre volte.
Psi Level 13 Description,Neanche i bloon viola riescono a resistere al potere degli attacchi psichici di Psi.
Psi Level 14 Description,L'immenso potere psichico di Psi permette di prendere di mira e distruggere i MOAB.
Psi Level 15 Description,La Risonanza devastante è ancora più distruttiva.
Psi Level 16 Description,Le vibrazioni psioniche distruggono i bloon molto velocemente. Ora Psi può prendere di mira i BFB.
Psi Level 17 Description,Mente aperta. Psi ora può prendere di mira tre bloon diversi alla volta.
Psi Level 18 Description,Gli attacchi di Psi hanno effetti sui bloon entro un raggio più ampio del bloon attaccato.
Psi Level 19 Description,La Risonanza devastante è di gran lunga più distruttiva.
Psi Level 20 Description,Urlo psionico blocca sul posto e danneggia tutti i bloon sullo schermo. Ora Psi può prendere di mira i DDT e gli ZOMG.
Sanctuary,Santuario
ft_monkeyteamstitle,Squadre di scimmie
ft_monkeyteamsdescription,Guadagna denaro bonus! Scegli qualsiasi eroe e usa solo le scimmie selezionate per superare la mappa e guadagnare denaro bonus! Livelli di difficoltà maggiore elargiscono più denaro.
ModderWarningPopup,Rilevato client di gioco modificato. Alcune modalità di gioco non saranno disponibili.
ModdedClient,Client modificato
Achievement 117 Name,Obiettivo degli obiettivi
Achievement 117 Description,Raccogli 35 obiettivi
Achievement 118 Name,"Amo, lenza e piombo"
Achievement 118 Description,Accumula 3000 bloon di classe MOAB utilizzando l'abilità Abbattimento MOAB
Achievement 119 Name,Casa mobile
Achievement 119 Description,Riposiziona 1000 torri scimmiesche utilizzando il Supporto Chinook
Achievement 120 Name,Farfalla sociale
Achievement 120 Description,Usa le emote 100 volte nelle partite cooperative
Achievement 121 Name,Scintillante!
Achievement 121 Description,Fai scoppiare 20 bloon dorati
Achievement 122 Name,Oro luccicante
Achievement 122 Description,Fai scoppiare 100 bloon dorati
Achievement 123 Name,Oro glorioso
Achievement 123 Description,Fai scoppiare 500 bloon dorati
Achievement 124 Name,Oro magico
Achievement 124 Description,Fai scoppiare 50 bloon dorati in modalità solo scimmie magiche
Achievement 125 Name,Gioco di squadra
Achievement 125 Description,Vinci 25 volte con Squadre di scimmie
Achievement 126 Name,Capitano della squadra
Achievement 126 Description,Vinci 50 volte con Squadre di scimmie
Achievement 127 Name,Squadra definitiva
Achievement 127 Description,Vinci 100 volte con Squadre di scimmie
HeroesEtiennePetRoombaName,Animaletto Roomba di Etienne
HeroesEtiennePetRoombaShortName,Animaletto Roomba di Etienne
HeroesEtiennePetRoombaDescription,Non sappiamo se Etienne preferisca il Roomba o il gatto. È un bel pacchetto. Solo Etienne originale
